#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.9714420096e-01    6.3615133396e-01   -1.1160473058e+00    3.1890310488e-01    3.5504945737e-01    3.3179334769e-01   -1.8278225630e+00    2.4932452097e-02    1.2000000000e+01    4.2777749968e-05    1.0000000000e+00
         1   -7.7835201499e-01    6.0655014360e-01   -1.4707089428e+00    6.9235692785e-01    3.5395672118e-01    3.3179334769e-01   -2.1989320977e+00    4.2473086027e-02    1.2000000000e+01    5.0661500154e-05    1.0000000000e+00
         2   -8.0480185981e-01    6.5077817957e-01   -1.3469833363e+00    5.4218147648e-01    3.6422747538e-01    3.3179334769e-01   -2.1756565461e+00    1.3265238675e-01    1.2000000000e+01    4.2059500174e-05    9.5833333333e-01
         3   -7.6411603669e-01    5.8543489498e-01   -1.5070300853e+00    7.4291404863e-01    3.5565489144e-01    3.3179334769e-01   -2.2246693836e+00    3.0191059123e-02    1.2000000000e+01    4.2654000481e-05    1.0000000000e+00
         4   -8.4133142588e-01    7.1339722282e-01   -1.3502983526e+00    5.0896692670e-01    4.2049538033e-01    3.3179334769e-01   -2.1073906548e+00    4.8035742055e-03    1.2000000000e+01    3.9901499804e-05    1.0000000000e+00
         5   -7.8029310395e-01    6.1005780280e-01   -1.1288683742e+00    3.4857527030e-01    3.6028502009e-01    3.3179334769e-01   -1.8231804000e+00    2.2336579807e-03    1.2000000000e+01    4.3009499677e-05    9.5833333333e-01
         6   -7.7332770165e-01    5.9866981100e-01   -1.0546697032e+00    2.8134200155e-01    3.5527851361e-01    3.3179334769e-01   -1.7462388226e+00    4.4972581269e-03    1.2000000000e+01    4.3928499963e-05    1.0000000000e+00
         7   -7.7762413901e-01    6.0603563948e-01   -1.0170831198e+00    2.3945898075e-01    3.5653102687e-01    3.3179334769e-01   -1.7062868151e+00    8.7932078559e-04    1.2000000000e+01    4.7144750170e-05    1.0000000000e+00
         8   -7.4882357486e-01    5.6192868311e-01   -1.2772158486e+00    5.2839227375e-01    3.7949363238e-01    3.3179334769e-01   -1.9961917679e+00    7.6889391876e-03    1.2000000000e+01    5.0414749694e-05    1.0000000000e+00
         9   -7.7905900270e-01    6.0767847117e-01   -1.1064047950e+00    3.2734579225e-01    2.9574869436e-01    3.3179334769e-01   -1.8192594758e+00    8.5312638771e-02    1.2000000000e+01    4.7296249704e-05    1.0000000000e+00
        10   -7.7042816053e-01    5.9412804268e-01   -1.4633426199e+00    6.9291445934e-01    3.2727032723e-01    3.3179334769e-01   -2.1404274271e+00    1.8021132320e-02    1.2000000000e+01    4.9949250297e-05    9.5833333333e-01
        11   -8.0578128078e-01    6.5404865769e-01   -1.4899244175e+00    6.8414313675e-01    3.0309436665e-01    3.3179334769e-01   -2.1496501733e+00    2.4838041484e-02    1.2000000000e+01    4.8016999699e-05    1.0000000000e+00
        12   -7.6983419592e-01    5.9367246414e-01   -1.3409880627e+00    5.7115386679e-01    3.3920931595e-01    3.3179334769e-01   -2.0248161477e+00    1.2825421382e-02    1.2000000000e+01    4.6357499286e-05    9.5833333333e-01
