#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.9669423371e-01    6.4083315930e-01   -1.6042809628e+00    8.0758672905e-01    3.9607971141e-01    3.3179334769e-01   -2.3431983612e+00    1.1044339335e-02    2.0000000000e+01    1.1835350051e-04    9.1666666667e-01
         1   -7.7492876194e-01    6.0674195696e-01   -1.3033666380e+00    5.2843787605e-01    3.7041382038e-01    3.3179334769e-01   -2.0320605925e+00    2.6486786446e-02    2.0000000000e+01    1.2219600012e-04    9.4166666667e-01
         2   -7.7731790206e-01    6.0952811503e-01   -1.4510041546e+00    6.7368625256e-01    3.3752430790e-01    3.3179334769e-01   -2.1351112033e+00    1.4789393115e-02    2.0000000000e+01    1.1396499985e-04    9.6666666667e-01
         3   -8.3062705813e-01    7.1116813217e-01   -1.9744716899e+00    1.1438446318e+00    3.5762586922e-01    3.3179334769e-01   -2.6755982735e+00    1.1707366738e-02    2.0000000000e+01    1.1364349984e-04    8.6666666667e-01
         4   -7.6255183349e-01    5.8485407265e-01   -2.3605568495e+00    1.5980050160e+00    3.7431772169e-01    3.3179334769e-01   -3.0722753268e+00    5.6074079442e-03    2.0000000000e+01    1.2621700034e-04    8.9166666667e-01
         5   -8.1240867827e-01    6.7050911519e-01   -1.4951067002e+00    6.8269802193e-01    4.2185706390e-01    3.3179334769e-01   -2.2578307858e+00    9.0736739684e-03    2.0000000000e+01    1.1371099981e-04    9.0833333333e-01
         6   -7.9246699018e-01    6.3313903490e-01   -1.0424193209e+00    2.4995233068e-01    4.0589709358e-01    3.3179334769e-01   -1.7835319067e+00    3.4221445262e-03    2.0000000000e+01    1.0512375002e-04    9.5000000000e-01
         7   -7.8881607664e-01    6.2723621555e-01   -1.2164959955e+00    4.2767991887e-01    4.1049142402e-01    3.3179334769e-01   -1.9593053194e+00    5.2455216550e-04    2.0000000000e+01    1.0671424980e-04    9.4166666667e-01
         8   -7.7181031439e-01    6.0175833572e-01   -1.7230114743e+00    9.5120115990e-01    4.5656186901e-01    3.3179334769e-01   -2.5132929143e+00    1.9262232704e-03    2.0000000000e+01    1.1566475041e-04    9.3333333333e-01
         9   -7.8445247362e-01    6.2322828484e-01   -1.6340374102e+00    8.4958493653e-01    5.0327498165e-01    3.3179334769e-01   -2.5004975468e+00    3.1391807299e-02    2.0000000000e+01    1.3499600027e-04    8.8333333333e-01
        10   -8.0524726320e-01    6.5067682199e-01   -1.3409930177e+00    5.3574575452e-01    3.3463570105e-01    3.3179334769e-01   -2.0276206041e+00    2.0198537662e-02    2.0000000000e+01    1.4456025019e-04    9.2500000000e-01
        11   -8.0565187203e-01    6.5588244156e-01   -1.8481216919e+00    1.0424698199e+00    4.4971736805e-01    3.3179334769e-01   -2.6386810299e+00    9.0486222344e-03    2.0000000000e+01    1.2896874978e-04    8.9166666667e-01
        12   -7.7479352519e-01    6.0621367816e-01   -1.4375118483e+00    6.6271832307e-01    4.6634968980e-01    3.3179334769e-01   -2.2589430242e+00    2.3288138490e-02    2.0000000000e+01    1.4123725077e-04    9.7500000000e-01
        13   -7.2319522113e-01    5.3187703725e-01   -1.4747345758e+00    7.5153935468e-01    4.4202184832e-01    3.3179334769e-01   -2.2502102307e+00    1.6604588596e-03    2.0000000000e+01    4.2205399996e-04    8.7500000000e-01
        14   -7.2936986961e-01    5.4196873463e-01   -1.8267265088e+00    1.0973566392e+00    5.6380891887e-01    3.3179334769e-01   -2.7699106737e+00    4.7581898305e-02    2.0000000000e+01    1.4353175038e-04    9.1666666667e-01
        15   -7.2860455609e-01    5.4240690532e-01   -1.1718201733e+00    4.4321561724e-01    7.8726092687e-01    3.3179334769e-01   -2.3379768197e+00    4.7102371801e-02    2.0000000000e+01    1.5851975013e-04    8.7500000000e-01
        16   -8.2201384738e-01    7.0990418092e-01   -1.1493086253e+00    3.2729477796e-01    3.6219292705e-01    3.3179334769e-01   -2.0217207025e+00    1.7842580241e-01    2.0000000000e+01    2.1126249976e-04    9.6666666667e-01
        17   -7.6343864082e-01    5.8655384436e-01   -2.0067609645e+00    1.2433223237e+00    5.6777176103e-01    3.3179334769e-01   -2.9085876209e+00    2.2615477025e-03    2.0000000000e+01    1.5916650000e-04    9.0000000000e-01
