#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       2.746399967534e-03       6.752823743544e+00
1.921000000000e-02       2.387229210823e-02       6.749553764651e+00
3.621000000000e-02       4.508490770540e-02       6.741099984489e+00
5.321000000000e-02       6.667060651340e-02       6.727482155591e+00
7.021000000000e-02       8.909754718383e-02       6.708731622843e+00
8.721000000000e-02       1.129702463049e-01       6.684891471391e+00
1.042100000000e-01       1.389727528885e-01       6.656016372964e+00
1.212100000000e-01       1.678053985717e-01       6.622172363029e+00
1.382100000000e-01       2.001206143430e-01       6.583436600157e+00
1.552100000000e-01       2.364631531321e-01       6.539897068902e+00
1.722100000000e-01       2.772195230835e-01       6.491652242462e+00
1.892100000000e-01       3.225803286046e-01       6.438810722659e+00
2.062100000000e-01       3.725181392092e-01       6.381490819545e+00
2.232100000000e-01       4.267817383860e-01       6.319820120347e+00
2.402100000000e-01       4.849064737779e-01       6.253935012867e+00
2.572100000000e-01       5.462389262255e-01       6.183980179228e+00
2.742100000000e-01       6.099730798000e-01       6.110108076970e+00
2.912100000000e-01       6.751946133336e-01       6.032478374399e+00
3.082100000000e-01       7.409293732106e-01       5.951257385576e+00
3.252100000000e-01       8.061923092385e-01       5.866617474780e+00
3.422100000000e-01       8.700333830156e-01       5.778736445368e+00
3.592100000000e-01       9.315776485925e-01       5.687796928301e+00
3.762100000000e-01       9.900573854686e-01       5.593985742783e+00
3.932100000000e-01       1.044835145795e+00       5.497493268171e+00
4.102100000000e-01       1.095417272336e+00       5.398512802280e+00
4.272100000000e-01       1.141458279049e+00       5.297239919230e+00
4.442100000000e-01       1.182757123261e+00       5.193871839605e+00
4.612100000000e-01       1.219246681322e+00       5.088606791141e+00
4.782100000000e-01       1.250978215365e+00       4.981643391685e+00
4.952100000000e-01       1.278102484953e+00       4.873180034895e+00
5.122100000000e-01       1.300849214745e+00       4.763414289456e+00
5.292100000000e-01       1.319506414068e+00       4.652542321536e+00
5.462100000000e-01       1.334400724155e+00       4.540758324329e+00
5.632100000000e-01       1.345879745962e+00       4.428253978404e+00
5.802100000000e-01       1.354296915682e+00       4.315217928436e+00
5.972100000000e-01       1.359999247502e+00       4.201835284334e+00
6.142100000000e-01       1.363317987881e+00       4.088287153263e+00
6.312100000000e-01       1.364562048014e+00       3.974750191492e+00
6.482100000000e-01       1.364013911125e+00       3.861396191913e+00
6.652100000000e-01       1.361927652635e+00       3.748391697338e+00
6.822100000000e-01       1.358528653505e+00       3.635897644784e+00
6.992100000000e-01       1.354014581919e+00       3.524069044125e+00
7.162100000000e-01       1.348557276620e+00       3.413054684385e+00
7.332100000000e-01       1.342305170297e+00       3.302996876364e+00
7.502100000000e-01       1.335385990918e+00       3.194031225569e+00
7.672100000000e-01       1.327909515963e+00       3.086286437969e+00
7.842100000000e-01       1.319970216696e+00       2.979884159383e+00
8.012100000000e-01       1.311649697314e+00       2.874938845102e+00
8.182100000000e-01       1.303018854824e+00       2.771557662612e+00
8.352100000000e-01       1.294139742070e+00       2.669840424386e+00
8.522100000000e-01       1.285067129717e+00       2.569879551074e+00
8.692100000000e-01       1.275849783321e+00       2.471760063864e+00
8.862100000000e-01       1.266531488296e+00       2.375559605155e+00
9.032100000000e-01       1.257151852122e+00       2.281348485987e+00
9.202100000000e-01       1.247746923035e+00       2.189189759445e+00
9.372100000000e-01       1.238349658327e+00       2.099139318760e+00
9.542100000000e-01       1.228990273011e+00       2.011246017547e+00
