#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.8562363779e-01    6.2304549524e-01   -1.4431121085e+00    6.5748847068e-01    4.0712744989e-01    3.3179334769e-01   -2.2286132253e+00    4.6580319211e-02    2.5600000000e+02    3.0220324998e-03    6.7714843750e-01
         1   -7.7889694525e-01    6.1396519837e-01   -1.4223304273e+00    6.4343348204e-01    4.0395718491e-01    3.3179334769e-01   -2.2128277794e+00    5.4746819468e-02    2.5600000000e+02    2.6320697498e-03    6.6757812500e-01
         2   -7.7620224654e-01    6.0810248226e-01   -1.4482507420e+00    6.7204849550e-01    4.4730596175e-01    3.3179334769e-01   -2.2550318377e+00    2.7681786190e-02    2.5600000000e+02    2.7428207500e-03    6.7011718750e-01
         3   -7.9104758531e-01    6.3111623015e-01   -1.4983006797e+00    7.0725309439e-01    4.1049618790e-01    3.3179334769e-01   -2.2773428916e+00    3.6752676325e-02    2.5600000000e+02    2.4354044995e-03    6.5410156250e-01
         4   -7.8376634061e-01    6.2156571664e-01   -1.5186078458e+00    7.3484150520e-01    4.1560626781e-01    3.3179334769e-01   -2.3359841725e+00    6.9976711171e-02    2.5600000000e+02    2.5424549995e-03    6.7675781250e-01
         5   -7.7925530613e-01    6.1295419783e-01   -1.4081434817e+00    6.2888817557e-01    4.6153485214e-01    3.3179334769e-01   -2.2699390164e+00    6.8467334860e-02    2.5600000000e+02    2.5223357502e-03    6.8691406250e-01
         6   -7.9482771559e-01    6.3999407001e-01   -1.4291947056e+00    6.3436698996e-01    4.2896916241e-01    3.3179334769e-01   -2.2475481929e+00    5.7590977270e-02    2.5600000000e+02    3.1898265006e-03    6.8652343750e-01
         7   -7.8962032418e-01    6.3079175885e-01   -1.4666161408e+00    6.7699581661e-01    4.1796974654e-01    3.3179334769e-01   -2.2692116220e+00    5.2832386961e-02    2.5600000000e+02    2.8268980000e-03    6.9062500000e-01
         8   -7.8273407483e-01    6.1953507264e-01   -1.4264179391e+00    6.4368386430e-01    4.1760584516e-01    3.3179334769e-01   -2.2140938441e+00    3.8276712161e-02    2.5600000000e+02    2.4265104998e-03    6.7343750000e-01
         9   -7.8599570776e-01    6.2249998434e-01   -1.4722509008e+00    6.8625519306e-01    4.4910867041e-01    3.3179334769e-01   -2.2991642569e+00    4.6011337941e-02    2.5600000000e+02    2.5479789997e-03    6.7187500000e-01
        10   -7.8437643508e-01    6.2398634885e-01   -1.4951139589e+00    7.1073752378e-01    4.6462607105e-01    3.3179334769e-01   -2.3290134130e+00    3.7480035362e-02    2.5600000000e+02    2.4500249997e-03    6.5781250000e-01
