#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.7932921459e-01    6.1635544611e-01   -1.5021746459e+00    7.2284543134e-01    4.5264951962e-01    3.3179334769e-01   -2.3333188046e+00    4.6701291358e-02    4.0000000000e+02    3.6950455001e-03    9.2458333333e-01
         1   -7.8502049547e-01    6.2371988453e-01   -1.4186426846e+00    6.3362218915e-01    4.1704643785e-01    3.3179334769e-01   -2.1948416129e+00    2.7359142701e-02    4.0000000000e+02    2.8443639999e-03    9.2041666667e-01
         2   -7.8520655837e-01    6.2451987258e-01   -1.5559925254e+00    7.7078596706e-01    4.2460225807e-01    3.3179334769e-01   -2.3510136815e+00    3.8625550263e-02    4.0000000000e+02    2.7522962496e-03    9.3166666667e-01
         3   -7.8732584678e-01    6.2584290421e-01   -1.6311095428e+00    8.4378369606e-01    4.4837702498e-01    3.3179334769e-01   -2.4529865592e+00    4.1706643643e-02    4.0000000000e+02    2.5740260003e-03    9.3583333333e-01
         4   -7.8153998177e-01    6.1928352988e-01   -1.4908541330e+00    7.0931415128e-01    4.7522573365e-01    3.3179334769e-01   -2.3516891680e+00    5.3815953625e-02    4.0000000000e+02    2.6149275000e-03    9.2916666667e-01
         5   -7.9056259740e-01    6.3567328360e-01   -1.2339148150e+00    4.4335221761e-01    3.8602263812e-01    3.3179334769e-01   -1.9848729176e+00    3.3142116743e-02    4.0000000000e+02    3.4876397503e-03    9.4666666667e-01
         6   -7.8603850188e-01    6.2819035109e-01   -1.5131365188e+00    7.2709801689e-01    4.3301857534e-01    3.3179334769e-01   -2.2988169795e+00    2.0868537660e-02    4.0000000000e+02    2.6907117499e-03    9.3416666667e-01
         7   -7.8685767392e-01    6.3375358601e-01   -1.4632707273e+00    6.7641305335e-01    3.6590498623e-01    3.3179334769e-01   -2.1311951309e+00   -2.9773930264e-02    4.0000000000e+02    2.4046025005e-03    9.3333333333e-01
         8   -7.8602584729e-01    6.2348355180e-01   -1.3988747612e+00    6.1284891392e-01    3.9618100959e-01    3.3179334769e-01   -2.1480276024e+00    2.1178483893e-02    4.0000000000e+02    2.2574592499e-03    9.2958333333e-01
         9   -7.7676627028e-01    6.0962286684e-01   -1.4063912326e+00    6.2962496237e-01    4.4243996073e-01    3.3179334769e-01   -2.2294327143e+00    4.8808173183e-02    4.0000000000e+02    2.3626069997e-03    9.4541666667e-01
        10   -7.8391202587e-01    6.2238635059e-01   -1.4925144020e+00    7.0860237610e-01    4.4767149887e-01    3.3179334769e-01   -2.3170602595e+00    4.5081010999e-02    4.0000000000e+02    3.6964864998e-03    9.3125000000e-01
        11   -7.8479845551e-01    6.2298383169e-01   -1.3827892761e+00    5.9799082057e-01    4.5466260059e-01    3.3179334769e-01   -2.2093101029e+00    4.0064878497e-02    4.0000000000e+02    2.8972445002e-03    9.3375000000e-01
        12   -7.8520106868e-01    6.2715736406e-01   -1.4137494244e+00    6.2854835572e-01    3.9747019168e-01    3.3179334769e-01   -2.1710468376e+00    2.8033873817e-02    4.0000000000e+02    2.2979370001e-03    9.4000000000e-01
        13   -7.8321929121e-01    6.2193752340e-01   -1.4540314965e+00    6.7081220528e-01    4.2860210695e-01    3.3179334769e-01   -2.2513160345e+00    3.6889083357e-02    4.0000000000e+02    2.4524332503e-03    9.2916666667e-01
        14   -7.9299825615e-01    6.3890966239e-01   -1.5424554467e+00    7.4945719052e-01    4.1072271442e-01    3.3179334769e-01   -2.3199644467e+00    3.4992937903e-02    4.0000000000e+02    2.3985504995e-03    9.3208333333e-01
        15   -7.7784524415e-01    6.1598684343e-01   -1.4521892403e+00    6.7434399614e-01    4.2317812687e-01    3.3179334769e-01   -2.2414804052e+00    3.4319690306e-02    4.0000000000e+02    2.6564665000e-03    9.3750000000e-01
        16   -7.8392638067e-01    6.3137579450e-01   -1.4040788784e+00    6.2015249774e-01    3.8785133004e-01    3.3179334769e-01   -2.1842404286e+00    6.0516872437e-02    4.0000000000e+02    2.9699125002e-03    9.2625000000e-01
        17   -7.8043300497e-01    6.2617773992e-01   -1.3425599174e+00    5.6212691239e-01    4.0076150633e-01    3.3179334769e-01   -2.1318492638e+00    5.6734492404e-02    4.0000000000e+02    2.9039709998e-03    9.4083333333e-01
        18   -7.7873756584e-01    6.1638979958e-01   -1.3562340266e+00    5.7749646075e-01    4.0320278487e-01    3.3179334769e-01   -2.1354369587e+00    4.4206799560e-02    4.0000000000e+02    2.5359864994e-03    9.3416666667e-01
        19   -7.7239531678e-01    6.0768391301e-01   -1.5360179992e+00    7.6362268238e-01    4.3899419610e-01    3.3179334769e-01   -2.3555019494e+00    4.8696406502e-02    4.0000000000e+02    2.5719227497e-03    9.3541666667e-01
        20   -7.7752302778e-01    6.1174915225e-01   -1.3849498199e+00    6.0742679215e-01    4.1672483227e-01    3.3179334769e-01   -2.1686684563e+00    3.5200456396e-02    4.0000000000e+02    2.6253524998e-03    9.3291666667e-01
        21   -7.6650826210e-01    6.0914964004e-01   -1.5025341160e+00    7.3602585390e-01    4.1520386787e-01    3.3179334769e-01   -2.3008353024e+00    5.1303970828e-02    4.0000000000e+02    2.9483747503e-03    9.1708333333e-01
        22   -7.7851532989e-01    6.1162779458e-01   -1.4723244658e+00    6.9380913595e-01    4.7023676550e-01    3.3179334769e-01   -2.3238723657e+00    4.9517786692e-02    4.0000000000e+02    3.1685900003e-03    9.2416666667e-01
        23   -7.8011468779e-01    6.1803161207e-01   -1.4774396268e+00    6.9732493905e-01    4.0973637376e-01    3.3179334769e-01   -2.2438889241e+00    2.4919575813e-02    4.0000000000e+02    3.2235980002e-03    9.3333333333e-01
        24   -7.9563188387e-01    6.4592471504e-01   -1.4823840192e+00    6.8675213535e-01    4.2662025025e-01    3.3179334769e-01   -2.2907946773e+00    4.9997060123e-02    4.0000000000e+02    2.6382267502e-03    9.3208333333e-01
        25   -7.7938101952e-01    6.1469713420e-01   -1.5914895483e+00    8.1210852874e-01    4.9190453976e-01    3.3179334769e-01   -2.4592668184e+00    4.4079382680e-02    4.0000000000e+02    2.6649490001e-03    9.3208333333e-01
