#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.8530144934e-01    6.2554604687e-01   -1.4715707994e+00    6.8626935010e-01    4.1477906252e-01    3.3179334769e-01   -2.2529911643e+00    3.4847954656e-02    1.0243000000e+04    6.4546495752e-02    9.9853534661e-01
         1   -7.8704661216e-01    6.2941801890e-01   -1.4732118990e+00    6.8616528686e-01    4.1603151570e-01    3.3179334769e-01   -2.2599433799e+00    3.8906617487e-02    1.0247000000e+04    5.2229827499e-02    9.9868251512e-01
         2   -7.8808734962e-01    6.3119074743e-01   -1.4606245297e+00    6.7253718005e-01    4.1094480855e-01    3.3179334769e-01   -2.2364795219e+00    3.3116835961e-02    1.0247000000e+04    5.0310122002e-02    9.9848697540e-01
         3   -7.8850738873e-01    6.3005030118e-01   -1.4587849002e+00    6.7027751148e-01    4.1630456912e-01    3.3179334769e-01   -2.2392396589e+00    3.2356841859e-02    1.0244000000e+04    5.2875980498e-02    9.9834094723e-01
         4   -7.8953690827e-01    6.3226180704e-01   -1.4622453436e+00    6.7270843534e-01    4.1530764419e-01    3.3179334769e-01   -2.2341356799e+00    2.4789344455e-02    1.0242000000e+04    5.0453123993e-02    9.9834033871e-01
         5   -7.8810333219e-01    6.2954294929e-01   -1.4653629102e+00    6.7725957805e-01    4.1446404220e-01    3.3179334769e-01   -2.2434685062e+00    3.1848206080e-02    1.0253000000e+04    5.0098888496e-02    9.9765965289e-01
         6   -7.8591771600e-01    6.2462671795e-01   -1.4556623952e+00    6.6974467923e-01    4.1234663159e-01    3.3179334769e-01   -2.2387325783e+00    3.8930203836e-02    1.0239000000e+04    5.0869106755e-02    9.9814464565e-01
         7   -7.8692723037e-01    6.2778644594e-01   -1.4812109958e+00    6.9428376543e-01    4.1448965061e-01    3.3179334769e-01   -2.2717340030e+00    4.4240008884e-02    1.0207000000e+04    5.1989763997e-02    9.9745328193e-01
         8   -7.8744097198e-01    6.2833756857e-01   -1.4858903513e+00    6.9844937936e-01    4.2172499780e-01    3.3179334769e-01   -2.2761992768e+00    3.6790579944e-02    1.0179000000e+04    5.1081924754e-02    9.9808487954e-01
         9   -7.8804689022e-01    6.2898761859e-01   -1.4590178703e+00    6.7097098010e-01    4.2655197942e-01    3.3179334769e-01   -2.2534382720e+00    3.6075074559e-02    1.0179000000e+04    6.6104134006e-02    9.9852626982e-01
        10   -7.8832441941e-01    6.3062312573e-01   -1.4296825850e+00    6.4135816559e-01    4.3010180418e-01    3.3179334769e-01   -2.2290865885e+00    3.7508851612e-02    1.0226000000e+04    4.9490844995e-02    9.9799410664e-01
        11   -7.8254171871e-01    6.2051687887e-01   -1.4413850876e+00    6.5884336886e-01    4.3248617835e-01    3.3179334769e-01   -2.2472240832e+00    4.1559469569e-02    1.0305000000e+04    5.4087851753e-02    9.9873816449e-01
        12   -7.8556759140e-01    6.2566764250e-01   -1.4346596775e+00    6.4909208605e-01    4.2419227165e-01    3.3179334769e-01   -2.2368562799e+00    4.6210983077e-02    1.0329000000e+04    5.8647313748e-02    9.9787001689e-01
        13   -7.8787099820e-01    6.2878095613e-01   -1.4097121214e+00    6.2184112323e-01    4.1795354388e-01    3.3179334769e-01   -2.2121403360e+00    5.2681323016e-02    1.0312000000e+04    5.2649760248e-02    9.9806058559e-01
        14   -7.8511349009e-01    6.2426142738e-01   -1.4402004372e+00    6.5508694714e-01    4.2045481253e-01    3.3179334769e-01   -2.2408183877e+00    4.8369790245e-02    1.0325000000e+04    5.7581387751e-02    9.9757807599e-01
        15   -7.8628539441e-01    6.2533568379e-01   -1.4536215324e+00    6.6733613795e-01    4.2000921604e-01    3.3179334769e-01   -2.2445918920e+00    3.9167795881e-02    1.0309000000e+04    5.3775111006e-02    9.9873940615e-01
        16   -7.8884778008e-01    6.2919705991e-01   -1.4109441337e+00    6.2209635361e-01    4.2201902907e-01    3.3179334769e-01   -2.2026341542e+00    3.7877643785e-02    1.0280000000e+04    5.2675436997e-02    9.9781241727e-01
        17   -7.8690135128e-01    6.2607252889e-01   -1.4138905788e+00    6.2698922750e-01    4.2717257633e-01    3.3179334769e-01   -2.2066708556e+00    3.3814352809e-02    1.0260000000e+04    5.2684290749e-02    9.9809853847e-01
        18   -7.8791455714e-01    6.2910385860e-01   -1.4280978691e+00    6.4018331193e-01    4.3287530009e-01    3.3179334769e-01   -2.2298986870e+00    3.7132170149e-02    1.0250000000e+04    5.3185882502e-02    9.9809827258e-01
        19   -7.8874009434e-01    6.3025999757e-01   -1.4765785294e+00    6.8783843509e-01    4.2927746230e-01    3.3179334769e-01   -2.2724282439e+00    3.4778904483e-02    1.0286000000e+04    5.3347636753e-02    9.9785999296e-01
        20   -7.8918704166e-01    6.3263891199e-01   -1.4784835079e+00    6.8929646621e-01    4.3137298752e-01    3.3179334769e-01   -2.2814669087e+00    3.9817065631e-02    1.0290000000e+04    5.1967191001e-02    9.9844601486e-01
        21   -7.8878162804e-01    6.3094112182e-01   -1.4993429278e+00    7.1056129978e-01    4.3594797768e-01    3.3179334769e-01   -2.3046262818e+00    3.7542028597e-02    1.0307000000e+04    5.3422837998e-02    9.9830170474e-01
        22   -7.8650281699e-01    6.2678242809e-01   -1.5237888949e+00    7.3728607787e-01    4.2936495868e-01    3.3179334769e-01   -2.3218345606e+00    3.6887359392e-02    1.0306000000e+04    5.3038816004e-02    9.9801147589e-01
        23   -7.8689099656e-01    6.2803988023e-01   -1.4794238251e+00    6.9253282850e-01    4.3435856596e-01    3.3179334769e-01   -2.2852367165e+00    3.9660977830e-02    1.0289000000e+04    5.3786273500e-02    9.9839652801e-01
        24   -7.8595418423e-01    6.2786942807e-01   -1.4514879970e+00    6.6553381276e-01    4.2587917490e-01    3.3179334769e-01   -2.2607211077e+00    5.1560588151e-02    1.0289000000e+04    5.4689644749e-02    9.9854297056e-01
        25   -7.8771410481e-01    6.3049010141e-01   -1.4967578099e+00    7.0904370511e-01    4.2929010271e-01    3.3179334769e-01   -2.3032911813e+00    4.5449920990e-02    1.0246000000e+04    5.2852278248e-02    9.9775573316e-01
        26   -7.8964589351e-01    6.3287812508e-01   -1.5115128060e+00    7.2186691247e-01    4.2145898207e-01    3.3179334769e-01   -2.2995242995e+00    3.4759163757e-02    1.0215000000e+04    5.3145548496e-02    9.9892325660e-01
        27   -7.9071111806e-01    6.3344518548e-01   -1.4941442375e+00    7.0343311942e-01    4.2148140639e-01    3.3179334769e-01   -2.2932690370e+00    4.5850045395e-02    1.0216000000e+04    5.1029751998e-02    9.9843346236e-01
        28   -7.9229436759e-01    6.3809681066e-01   -1.5176944124e+00    7.2540004477e-01    4.2609071057e-01    3.3179334769e-01   -2.3192400236e+00    4.3661552992e-02    1.0213000000e+04    5.1130137752e-02    9.9867848341e-01
        29   -7.8985795610e-01    6.3099869302e-01   -1.4987387303e+00    7.0888077423e-01    4.1437845951e-01    3.3179334769e-01   -2.2935065885e+00    4.8596050981e-02    1.0230000000e+04    5.2110812001e-02    9.9828862498e-01
