# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.9024525979e-01    6.8644581608e-03    1.0230000000e+03    1.0240000000e+03    0.0000000000e+00   -7.8778049320e-01    1.0000000000e+00    9.9902343750e-01
         1   -7.9070323645e-01    7.0187745641e-03    1.0250730721e+03    1.0240000000e+03    2.5000000000e-01   -6.9254129501e-01    9.9864976618e-01    1.0000000000e+00
         2   -7.8976009697e-01    5.8894041276e-03    1.0239966168e+03    1.0260000000e+03    5.0000000000e-01   -9.8582524957e-01    9.9789551127e-01    9.9805068226e-01
         3   -7.9007109937e-01    6.2830512573e-03    1.0240013309e+03    1.0240000000e+03    5.0000000000e-01   -7.8976009697e-01    9.9953895193e-01    9.9902343750e-01
         4   -7.9005375162e-01    6.4595152965e-03    1.0239988181e+03    1.0230000000e+03    2.5000000000e-01   -6.9236713459e-01    9.9887617111e-01    1.0000000000e+00
         5   -7.8920775605e-01    7.2147576080e-03    1.0239943519e+03    1.0230000000e+03    0.0000000000e+00   -6.9234978684e-01    9.9802704777e-01    1.0000000000e+00
         6   -7.8955118004e-01    6.5764388021e-03    1.0240002647e+03    1.0230000000e+03    0.0000000000e+00   -6.9150379126e-01    9.9846558235e-01    1.0000000000e+00
         7   -7.9128183900e-01    6.3417583295e-03    1.0240073118e+03    1.0230000000e+03    0.0000000000e+00   -6.9184721526e-01    9.9875769343e-01    1.0000000000e+00
         8   -7.9638511752e-01    3.1363763119e-02    1.0240242562e+03    1.0230000000e+03    0.0000000000e+00   -6.9357787422e-01    9.9817166651e-01    1.0000000000e+00
         9   -7.8828545588e-01    9.0184925202e-03    1.0239584154e+03    1.0240000000e+03    2.5000000000e-01   -7.9638511752e-01    1.0000000000e+00    9.9902343750e-01
        10   -7.8798037546e-01    7.8586650438e-03    1.0239987629e+03    1.0240000000e+03    2.5000000000e-01   -7.8828545588e-01    9.9776684472e-01    1.0000000000e+00
        11   -7.8812840216e-01    8.0686276888e-03    1.0240003491e+03    1.0240000000e+03    0.0000000000e+00   -7.8798037546e-01    9.9927194924e-01    1.0000000000e+00
        12   -7.9091433202e-01    8.8496966653e-03    1.0240155231e+03    1.0250000000e+03    2.5000000000e-01   -8.8573699946e-01    9.9943702094e-01    9.9902439024e-01
        13   -7.9147134989e-01    6.9067008805e-03    1.0240033882e+03    1.0240000000e+03    2.5000000000e-01   -7.9091433202e-01    1.0000000000e+00    1.0000000000e+00
        14   -7.8999283745e-01    6.3041352423e-03    1.0239936697e+03    1.0250000000e+03    2.5000000000e-01   -8.8907994720e-01    9.9922919272e-01    9.9804878049e-01
        15   -7.8991791021e-01    7.1692898948e-03    1.0239981478e+03    1.0230000000e+03    5.0000000000e-01   -6.9228887267e-01    9.9927870108e-01    1.0000000000e+00
        16   -7.9087768246e-01    1.0128761979e-02    1.0240068536e+03    1.0250000000e+03    2.5000000000e-01   -8.8752650752e-01    9.9942481970e-01    9.9804878049e-01
        17   -7.9243288936e-01    7.2290024026e-03    1.0240063768e+03    1.0230000000e+03    0.0000000000e+00   -6.9317371767e-01    9.9935427602e-01    1.0000000000e+00
        18   -7.9211017843e-01    6.3007224211e-03    1.0239980194e+03    1.0240000000e+03    0.0000000000e+00   -7.9243288936e-01    9.9711892603e-01    1.0000000000e+00
        19   -7.9398636999e-01    7.8231755408e-03    1.0240092685e+03    1.0240000000e+03    0.0000000000e+00   -7.9211017843e-01    9.9864227582e-01    1.0000000000e+00
        20   -7.9116934792e-01    6.9328945551e-03    1.0239852496e+03    1.0240000000e+03    0.0000000000e+00   -7.9398636999e-01    9.9848957151e-01    9.9804687500e-01
        21   -7.9103044541e-01    6.9251815310e-03    1.0219912358e+03    1.0220000000e+03    2.5000000000e-01   -7.9203133516e-01    9.9861664171e-01    1.0000000000e+00
        22   -7.8969329424e-01    5.9745455099e-03    1.0219970104e+03    1.0220000000e+03    0.0000000000e+00   -7.9062282412e-01    9.9760904495e-01    1.0000000000e+00
        23   -7.9106296131e-01    6.4445043621e-03    1.0220024649e+03    1.0220000000e+03    0.0000000000e+00   -7.9010701960e-01    1.0000000000e+00    9.9902152642e-01
        24   -7.9146931667e-01    6.4637176950e-03    1.0210284998e+03    1.0210000000e+03    0.0000000000e+00   -7.8853587696e-01    9.9854337897e-01    9.9902056807e-01
        25   -7.9189119899e-01    6.2078543404e-03    1.0200428542e+03    1.0200000000e+03    0.0000000000e+00   -7.8747458445e-01    9.9936987013e-01    1.0000000000e+00
        26   -7.9180818482e-01    6.0670815144e-03    1.0210342324e+03    1.0210000000e+03    2.5000000000e-01   -7.8846796849e-01    1.0000000000e+00    1.0000000000e+00
        27   -7.9207551102e-01    6.2307078043e-03    1.0210344196e+03    1.0210000000e+03    0.0000000000e+00   -7.8853786035e-01    1.0000000000e+00    1.0000000000e+00
        28   -7.9406802686e-01    7.9182540529e-03    1.0210454969e+03    1.0210000000e+03    0.0000000000e+00   -7.8857990248e-01    9.9883180686e-01    1.0000000000e+00
        29   -7.9204267352e-01    9.3069917010e-03    1.0210446373e+03    1.0210000000e+03    0.0000000000e+00   -7.8864230483e-01    9.9675551332e-01    1.0000000000e+00
        30   -7.9111849279e-01    9.0549861794e-03    1.0210269913e+03    1.0210000000e+03    0.0000000000e+00   -7.8889147829e-01    9.9964659946e-01    9.9902056807e-01
        31   -7.8980006669e-01    6.4629099002e-03    1.0200254940e+03    1.0200000000e+03    2.5000000000e-01   -7.8793131256e-01    9.9942699426e-01    9.9803921569e-01
        32   -7.8863059375e-01    6.6753125357e-03    1.0180337842e+03    1.0180000000e+03    2.5000000000e-01   -7.8590804347e-01    9.9720871290e-01    1.0000000000e+00
        33   -7.8855513101e-01    6.6513641002e-03    1.0180285332e+03    1.0180000000e+03    0.0000000000e+00   -7.8575538307e-01    9.9942121445e-01    1.0000000000e+00
        34   -7.8801654733e-01    7.3971095752e-03    1.0180275805e+03    1.0180000000e+03    0.0000000000e+00   -7.8554099751e-01    9.9742110089e-01    1.0000000000e+00
        35   -7.8894424789e-01    7.4012379477e-03    1.0210036184e+03    1.0210000000e+03    2.5000000000e-01   -7.8829278690e-01    9.9860628745e-01    1.0000000000e+00
        36   -7.8465100759e-01    6.7540023052e-03    1.0209864663e+03    1.0210000000e+03    0.0000000000e+00   -7.8809214771e-01    9.9558589927e-01    1.0000000000e+00
        37   -7.8572155345e-01    6.7518545753e-03    1.0229522285e+03    1.0230000000e+03    2.5000000000e-01   -7.8992663154e-01    9.9981253563e-01    1.0000000000e+00
        38   -7.8346050817e-01    1.2183748613e-02    1.0229486521e+03    1.0230000000e+03    0.0000000000e+00   -7.8957926134e-01    1.0000000000e+00    1.0000000000e+00
        39   -7.8510628549e-01    1.1587106873e-02    1.0229479933e+03    1.0230000000e+03    0.0000000000e+00   -7.8932480094e-01    1.0000000000e+00    1.0000000000e+00
        40   -7.8696244336e-01    1.0829039766e-02    1.0239595659e+03    1.0240000000e+03    2.5000000000e-01   -7.8995977397e-01    1.0000000000e+00    1.0000000000e+00
        41   -7.8689559944e-01    8.9072020916e-03    1.0239708462e+03    1.0240000000e+03    0.0000000000e+00   -7.8972865547e-01    9.9788085414e-01    9.9902343750e-01
        42   -7.8442094361e-01    8.3403125080e-03    1.0229692835e+03    1.0230000000e+03    2.5000000000e-01   -7.8862587891e-01    1.0000000000e+00    1.0000000000e+00
        43   -7.8252347385e-01    8.3509747455e-03    1.0239383222e+03    1.0240000000e+03    2.5000000000e-01   -7.8948520903e-01    9.9615061956e-01    1.0000000000e+00
        44   -7.8553142904e-01    8.0546633557e-03    1.0249372434e+03    1.0250000000e+03    0.0000000000e+00   -7.9025028394e-01    1.0000000000e+00    1.0000000000e+00
        45   -7.8477916599e-01    9.9355743175e-03    1.0249501881e+03    1.0250000000e+03    0.0000000000e+00   -7.8998025498e-01    1.0000000000e+00    9.9902439024e-01
        46   -7.8605791808e-01    1.2591189950e-02    1.0239643612e+03    1.0240000000e+03    2.5000000000e-01   -7.8887060208e-01    1.0000000000e+00    1.0000000000e+00
        47   -7.8657934337e-01    1.2339624961e-02    1.0239748870e+03    1.0240000000e+03    0.0000000000e+00   -7.8871906741e-01    9.9982676786e-01    1.0000000000e+00
        48   -7.8655780885e-01    8.1682396698e-03    1.0249687233e+03    1.0250000000e+03    2.5000000000e-01   -7.8960011234e-01    1.0000000000e+00    1.0000000000e+00
        49   -7.8616716682e-01    7.3614578975e-03    1.0249671518e+03    1.0250000000e+03    0.0000000000e+00   -7.8952960603e-01    9.9849547875e-01    1.0000000000e+00
        50   -7.8869186976e-01    8.2275204851e-03    1.0249788027e+03    1.0250000000e+03    0.0000000000e+00   -7.8946308232e-01    9.9975323824e-01    1.0000000000e+00
        51   -7.8998307335e-01    9.0267974384e-03    1.0249990784e+03    1.0250000000e+03    0.0000000000e+00   -7.8938824911e-01    9.9959098828e-01    1.0000000000e+00
        52   -7.8986512515e-01    1.0532621595e-02    1.0250049715e+03    1.0250000000e+03    0.0000000000e+00   -7.8939698994e-01    1.0000000000e+00    9.9902439024e-01
        53   -7.8978822373e-01    1.1334816052e-02    1.0250117307e+03    1.0250000000e+03    0.0000000000e+00   -7.8944432841e-01    9.9720157569e-01    1.0000000000e+00
        54   -7.9066512871e-01    9.5086751669e-03    1.0250070358e+03    1.0250000000e+03    0.0000000000e+00   -7.8948541320e-01    9.9806336208e-01    9.9902439024e-01
        55   -7.9047915988e-01    8.9308358386e-03    1.0240205505e+03    1.0240000000e+03    2.5000000000e-01   -7.8854586712e-01    9.9749271365e-01    9.9804687500e-01
        56   -7.8886522483e-01    7.3070358981e-03    1.0220321015e+03    1.0220000000e+03    2.5000000000e-01   -7.8664970066e-01    9.9773351694e-01    1.0000000000e+00
        57   -7.8852348694e-01    6.8428910594e-03    1.0220199934e+03    1.0220000000e+03    0.0000000000e+00   -7.8670036078e-01    9.9754186076e-01    1.0000000000e+00
        58   -7.8977411362e-01    6.8361354195e-03    1.0220246106e+03    1.0220000000e+03    0.0000000000e+00   -7.8670588260e-01    9.9965646024e-01    9.9902152642e-01
        59   -7.8970806546e-01    8.1786131245e-03    1.0220318073e+03    1.0220000000e+03    2.5000000000e-01   -7.8670235874e-01    9.9833854264e-01    1.0000000000e+00
        60   -7.8861041394e-01    7.8695917059e-03    1.0220244246e+03    1.0220000000e+03    0.0000000000e+00   -7.8673027675e-01    9.9770033820e-01    9.9902152642e-01
        61   -7.9006355593e-01    8.4445657096e-03    1.0210360989e+03    1.0210000000e+03    2.5000000000e-01   -7.8577626936e-01    9.9809594777e-01    1.0000000000e+00
        62   -7.8781323898e-01    7.6386549295e-03    1.0220223649e+03    1.0220000000e+03    0.0000000000e+00   -7.8675284475e-01    9.9864046851e-01    1.0000000000e+00
        63   -7.8814574133e-01    9.8465548998e-03    1.0230021653e+03    1.0230000000e+03    2.5000000000e-01   -7.8776236730e-01    1.0000000000e+00    9.9902248289e-01
        64   -7.9101452397e-01    7.6998227555e-03    1.0220301349e+03    1.0220000000e+03    2.5000000000e-01   -7.8676332284e-01    9.9874546318e-01    1.0000000000e+00
        65   -7.9117474481e-01    7.0717948295e-03    1.0230343342e+03    1.0230000000e+03    2.5000000000e-01   -7.8772859322e-01    9.9691746249e-01    1.0000000000e+00
        66   -7.9010856091e-01    9.2657989574e-03    1.0230288794e+03    1.0230000000e+03    0.0000000000e+00   -7.8777878650e-01    9.9980738993e-01    1.0000000000e+00
        67   -7.9081806688e-01    9.9070928963e-03    1.0250076856e+03    1.0250000000e+03    2.5000000000e-01   -7.8978337848e-01    9.9862377681e-01    1.0000000000e+00
        68   -7.9024316589e-01    1.1329366823e-02    1.0250068715e+03    1.0250000000e+03    0.0000000000e+00   -7.8981048824e-01    9.9885484878e-01    1.0000000000e+00
        69   -7.9167892659e-01    1.5338110844e-02    1.0250107700e+03    1.0250000000e+03    0.0000000000e+00   -7.8985097119e-01    9.9667674050e-01    1.0000000000e+00
        70   -7.9162349270e-01    1.1579952019e-02    1.0250174866e+03    1.0250000000e+03    0.0000000000e+00   -7.8987833680e-01    1.0000000000e+00    1.0000000000e+00
