#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.8785084660e-01    6.2747668285e-01   -1.4906294957e+00    7.0277864913e-01    4.0148021110e-01    3.3179334769e-01   -2.2560245472e+00    3.2121492721e-02    2.5600000000e+03    1.1875076754e-02    9.9843688487e-01
         1   -7.9124363593e-01    6.3466565067e-01   -1.5132890614e+00    7.2204542544e-01    4.0061853584e-01    3.3179334769e-01   -2.2776262292e+00    3.1925284306e-02    2.5630000000e+03    1.2801517249e-02    9.9922177710e-01
         2   -7.8957238278e-01    6.3070198747e-01   -1.5225483601e+00    7.3297597733e-01    4.1447622043e-01    3.3179334769e-01   -2.3064500389e+00    3.7632110661e-02    2.5560000000e+03    1.3057030752e-02    9.9863281250e-01
         3   -7.8977266581e-01    6.3208619648e-01   -1.5226713657e+00    7.3289869987e-01    4.0527914273e-01    3.3179334769e-01   -2.2989813676e+00    3.9237511517e-02    2.5510000000e+03    1.2842725253e-02    9.9725820807e-01
         4   -7.8633421459e-01    6.2343229327e-01   -1.5547464740e+00    7.6841225941e-01    4.2575864018e-01    3.3179334769e-01   -2.3429941844e+00    3.0695722500e-02    2.5420000000e+03    1.3571094245e-02    9.9684775939e-01
         5   -7.9299291454e-01    6.3717872416e-01   -1.5160377498e+00    7.2304483521e-01    4.4477678677e-01    3.3179334769e-01   -2.3268682040e+00    3.4260319738e-02    2.5710000000e+03    1.2186996752e-02    9.9785392238e-01
         6   -7.8643648753e-01    6.2416281710e-01   -1.4537992689e+00    6.6736278133e-01    4.3955206058e-01    3.3179334769e-01   -2.2575921416e+00    3.2447464497e-02    2.5800000000e+03    1.2820423744e-02    9.9844383017e-01
         7   -7.8607805264e-01    6.2429871274e-01   -1.4246570672e+00    6.3857901451e-01    4.4453990181e-01    3.3179334769e-01   -2.2256243689e+00    2.4634052202e-02    2.6010000000e+03    1.4236998999e-02    9.9865175549e-01
         8   -7.8224112121e-01    6.1722104185e-01   -1.4742756933e+00    6.9203457208e-01    4.1942176755e-01    3.3179334769e-01   -2.2558496799e+00    3.0358871402e-02    2.6160000000e+03    1.3221352998e-02    9.9847203863e-01
         9   -7.8958112853e-01    6.3163431209e-01   -1.4286327319e+00    6.3905160333e-01    4.3218786648e-01    3.3179334769e-01   -2.2253758954e+00    3.2761949387e-02    2.6260000000e+03    1.3097968749e-02    9.9809386829e-01
