#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.8416232237e-01    6.2323790290e-01   -1.4666171484e+00    6.8245482606e-01    4.0616687852e-01    3.3179334769e-01   -2.2429234488e+00    3.8346074203e-02    4.1050000000e+03    2.5116557001e-02    9.9524853801e-01
         1   -7.8663531701e-01    6.2680107951e-01   -1.4575342914e+00    6.7089897437e-01    4.1332261430e-01    3.3179334769e-01   -2.2466637226e+00    4.4013469265e-02    4.0990000000e+03    2.2547306995e-02    9.9463437362e-01
         2   -7.8716772062e-01    6.2937475248e-01   -1.4805776475e+00    6.9340992691e-01    4.1749447962e-01    3.3179334769e-01   -2.2785681673e+00    4.8702692458e-02    4.0980000000e+03    2.2946981251e-02    9.9499975949e-01
         3   -7.8932294002e-01    6.3190754192e-01   -1.4965124651e+00    7.0718952512e-01    4.1341716529e-01    3.3179334769e-01   -2.2806962791e+00    3.8973301034e-02    4.1060000000e+03    2.2128285495e-02    9.9621962130e-01
         4   -7.8969322713e-01    6.3336274852e-01   -1.4867660685e+00    6.9707284132e-01    4.1556535573e-01    3.3179334769e-01   -2.2663412927e+00    3.2216520835e-02    4.0940000000e+03    2.1792826243e-02    9.9463199732e-01
         5   -7.9031567189e-01    6.3483819330e-01   -1.4895921745e+00    6.9927650261e-01    4.1512964369e-01    3.3179334769e-01   -2.2770398370e+00    4.0524671128e-02    4.0740000000e+03    2.3531199502e-02    9.9546447774e-01
         6   -7.8513569775e-01    6.2491714217e-01   -1.5175877504e+00    7.3245205264e-01    4.2888671170e-01    3.3179334769e-01   -2.3143519375e+00    3.6084127700e-02    4.0730000000e+03    2.1646879497e-02    9.9311989714e-01
         7   -7.8738329130e-01    6.2965234813e-01   -1.4996810132e+00    7.1229772195e-01    4.3573962572e-01    3.3179334769e-01   -2.3012589727e+00    3.4044986040e-02    4.0810000000e+03    2.1360089253e-02    9.9521926533e-01
         8   -7.8747235936e-01    6.2966819660e-01   -1.4880092048e+00    7.0053684540e-01    4.2896860852e-01    3.3179334769e-01   -2.2826435351e+00    3.3872374166e-02    4.0890000000e+03    2.3437950498e-02    9.9461646619e-01
         9   -7.8434605978e-01    6.2392721615e-01   -1.4785128968e+00    6.9416683698e-01    4.3140929311e-01    3.3179334769e-01   -2.2887474445e+00    4.7031906965e-02    4.0850000000e+03    2.3852136997e-02    9.9583956589e-01
