# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.8782721794e-01    7.9303651740e-03    1.0310000000e+03    1.0310000000e+03    0.0000000000e+00   -7.9443273331e-01    9.9878756044e-01    9.9903006790e-01
         1   -7.8696071709e-01    7.1906478600e-03    1.0239909420e+03    1.0310000000e+03    2.5000000000e-01   -1.4690950597e+00    1.0000000000e+00    9.9030067895e-01
         2   -7.8703663514e-01    8.9540868717e-03    1.0239983051e+03    1.0210000000e+03    0.0000000000e+00   -4.9356197361e-01    9.9864090153e-01    1.0000000000e+00
         3   -7.8627312961e-01    9.6350329065e-03    1.0239939861e+03    1.0220000000e+03    2.5000000000e-01   -5.9153315156e-01    9.9851528403e-01    1.0000000000e+00
         4   -7.8438480523e-01    1.0749260185e-02    1.0239920074e+03    1.0260000000e+03    5.0000000000e-01   -9.8139514273e-01    9.9950610706e-01    9.9805068226e-01
         5   -7.8491986668e-01    1.1160226469e-02    1.0240022933e+03    1.0240000000e+03    2.5000000000e-01   -7.8438480523e-01    9.9751489402e-01    1.0000000000e+00
         6   -7.8536252303e-01    1.2553521983e-02    1.0240017126e+03    1.0240000000e+03    0.0000000000e+00   -7.8491986668e-01    1.0000000000e+00    1.0000000000e+00
         7   -7.8684363488e-01    1.1688460462e-02    1.0240069863e+03    1.0240000000e+03    0.0000000000e+00   -7.8536252303e-01    9.9833751726e-01    1.0000000000e+00
         8   -7.8872852182e-01    1.3070701629e-02    1.0240090364e+03    1.0240000000e+03    0.0000000000e+00   -7.8684363488e-01    9.9951225116e-01    1.0000000000e+00
         9   -7.8960231240e-01    1.2613681575e-02    1.0240038570e+03    1.0240000000e+03    0.0000000000e+00   -7.8872852182e-01    9.9904596967e-01    1.0000000000e+00
        10   -7.8989101840e-01    1.2013552466e-02    1.0240032477e+03    1.0250000000e+03    2.5000000000e-01   -8.8721090971e-01    9.9859502089e-01    9.9902439024e-01
        11   -7.8894433636e-01    1.1429068412e-02    1.0239944915e+03    1.0240000000e+03    2.5000000000e-01   -7.8989101840e-01    9.9846365472e-01    1.0000000000e+00
        12   -7.8736072936e-01    1.0213980614e-02    1.0239913515e+03    1.0240000000e+03    0.0000000000e+00   -7.8894433636e-01    1.0000000000e+00    9.9902343750e-01
        13   -7.8834415276e-01    1.1035306739e-02    1.0240035606e+03    1.0230000000e+03    2.5000000000e-01   -6.8965676458e-01    9.9769560206e-01    1.0000000000e+00
        14   -7.8887158556e-01    1.0939503889e-02    1.0240010697e+03    1.0230000000e+03    0.0000000000e+00   -6.9064018797e-01    9.9944784541e-01    1.0000000000e+00
        15   -7.8848051149e-01    1.2058095274e-02    1.0239990440e+03    1.0250000000e+03    0.0000000000e+00   -8.8648018286e-01    9.9843772918e-01    9.9902439024e-01
        16   -7.8854877501e-01    1.1786772125e-02    1.0239999521e+03    1.0240000000e+03    0.0000000000e+00   -7.8848051149e-01    1.0000000000e+00    1.0000000000e+00
        17   -7.8873831654e-01    9.7919494875e-03    1.0240004051e+03    1.0240000000e+03    0.0000000000e+00   -7.8854877501e-01    9.9806534144e-01    9.9902343750e-01
        18   -7.9140818213e-01    1.1879620058e-02    1.0240133210e+03    1.0230000000e+03    2.5000000000e-01   -6.9103435176e-01    1.0000000000e+00    1.0000000000e+00
        19   -7.8959985727e-01    9.7088197599e-03    1.0239915575e+03    1.0250000000e+03    5.0000000000e-01   -8.8901677943e-01    9.9970180038e-01    1.0000000000e+00
        20   -7.8865120484e-01    8.6459376919e-03    1.0239956503e+03    1.0250000000e+03    0.0000000000e+00   -8.8720845458e-01    9.9855060436e-01    1.0000000000e+00
        21   -7.8815664054e-01    7.2016004821e-03    1.0239980590e+03    1.0250000000e+03    0.0000000000e+00   -8.8625980215e-01    1.0000000000e+00    1.0000000000e+00
        22   -7.8691711924e-01    6.2757697652e-03    1.0239942738e+03    1.0250000000e+03    0.0000000000e+00   -8.8576523784e-01    9.9525422487e-01    9.9707317073e-01
        23   -7.8860519864e-01    8.8427723031e-03    1.0240061420e+03    1.0220000000e+03    2.5000000000e-01   -5.9141363566e-01    9.9990663580e-01    1.0000000000e+00
        24   -7.8622060305e-01    7.7061985695e-03    1.0239887716e+03    1.0250000000e+03    2.5000000000e-01   -8.8621379595e-01    9.9947330903e-01    9.9902439024e-01
        25   -7.8685270543e-01    7.2392618605e-03    1.0240031791e+03    1.0240000000e+03    2.5000000000e-01   -7.8622060305e-01    9.9987439502e-01    1.0000000000e+00
        26   -7.8951857873e-01    8.5922297742e-03    1.0240132635e+03    1.0240000000e+03    0.0000000000e+00   -7.8685270543e-01    1.0000000000e+00    1.0000000000e+00
        27   -7.8926513511e-01    7.3726073536e-03    1.0239983175e+03    1.0240000000e+03    0.0000000000e+00   -7.8951857873e-01    9.9893685615e-01    9.9902343750e-01
        28   -7.8869465603e-01    7.5469967971e-03    1.0239962119e+03    1.0230000000e+03    2.5000000000e-01   -6.9156117033e-01    9.9799142699e-01    1.0000000000e+00
        29   -7.8840960117e-01    6.2673519968e-03    1.0239995697e+03    1.0250000000e+03    5.0000000000e-01   -8.8630325334e-01    1.0000000000e+00    9.9902439024e-01
        30   -7.8554142362e-01    6.0388402476e-03    1.0239852490e+03    1.0240000000e+03    2.5000000000e-01   -7.8840960117e-01    1.0000000000e+00    9.9804687500e-01
