#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -7.8208004231e-01    6.1925709603e-01   -1.3868810715e+00    6.0480102917e-01    4.3349447682e-01    3.3179334769e-01   -2.1831342205e+00    3.0965324482e-02    2.5600000000e+02    2.7150764981e-03    6.7929687500e-01
         1   -7.6842894268e-01    6.0386252911e-01   -1.4511232621e+00    6.8269431943e-01    4.4939580512e-01    3.3179334769e-01   -2.2925212068e+00    6.0208791912e-02    2.5600000000e+02    3.4652065006e-03    6.7851562500e-01
         2   -7.8910121226e-01    6.2849790553e-01   -1.5047636610e+00    7.1566244877e-01    4.1218828513e-01    3.3179334769e-01   -2.2701504014e+00    2.1405107561e-02    2.5600000000e+02    2.9508244988e-03    6.8125000000e-01
         3   -7.9460594923e-01    6.4498447802e-01   -1.4251469433e+00    6.3054099405e-01    4.1597697701e-01    3.3179334769e-01   -2.2298969771e+00    5.6979709154e-02    2.5600000000e+02    2.5956150021e-03    6.7714843750e-01
         4   -7.7480848700e-01    6.1150245982e-01   -1.4318161079e+00    6.5700762088e-01    4.1415652469e-01    3.3179334769e-01   -2.2314319663e+00    5.3665986049e-02    2.5600000000e+02    2.6143265022e-03    6.7597656250e-01
         5   -7.9010198459e-01    6.3135713359e-01   -1.4764347287e+00    6.8633274407e-01    4.4143524773e-01    3.3179334769e-01   -2.2918915919e+00    4.2228267782e-02    2.5600000000e+02    2.9306399992e-03    6.7089843750e-01
         6   -7.8981758325e-01    6.2883929153e-01   -1.4278701718e+00    6.3805258850e-01    3.8292927523e-01    3.3179334769e-01   -2.1736840188e+00    3.1091224138e-02    2.5600000000e+02    3.4524485054e-03    6.8574218750e-01
         7   -7.7903940319e-01    6.1981366351e-01   -1.4252180856e+00    6.4617868240e-01    3.9895551738e-01    3.3179334769e-01   -2.2069424995e+00    5.0975548887e-02    2.5600000000e+02    2.9427537447e-03    6.7558593750e-01
         8   -7.8908799396e-01    6.3451071985e-01   -1.4678710715e+00    6.7878307755e-01    4.2357317260e-01    3.3179334769e-01   -2.2724801818e+00    4.9242590047e-02    2.5600000000e+02    2.5994210046e-03    6.6894531250e-01
         9   -7.7621892412e-01    6.0933306187e-01   -1.2888350582e+00    5.1261613406e-01    3.9425264444e-01    3.3179334769e-01   -2.0378409156e+00    2.2959865245e-02    2.5600000000e+02    2.6309445020e-03    6.9140625000e-01
