#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4866563894e+01    2.2110648980e+02   -2.8677110416e+01    1.3810546523e+01    4.2775745242e+00   -3.2954684941e+01    1.6000000000e+01    5.1425397396e-04    6.1197916667e-01
         1   -1.4599217000e+01    2.1317394601e+02   -2.8670889260e+01    1.4071672260e+01    4.0623822989e+00   -3.2733271559e+01    1.6000000000e+01    6.0664117336e-04    5.9166666667e-01
         2   -1.4696980800e+01    2.1609770825e+02   -2.6073973726e+01    1.1376992925e+01    4.0047388982e+00   -3.0078712624e+01    1.6000000000e+01    5.8999657631e-04    5.8802083333e-01
         3   -1.4573164354e+01    2.1246492006e+02   -2.5398309960e+01    1.0825145606e+01    3.7213116408e+00   -2.9119621600e+01    1.6000000000e+01    1.3724565506e-03    6.0312500000e-01
         4   -1.4680598571e+01    2.1558941283e+02   -2.5085760902e+01    1.0405162331e+01    4.0358575968e+00   -2.9121618499e+01    1.6000000000e+01    4.7168135643e-04    6.1875000000e-01
         5   -1.4616240209e+01    2.1373309309e+02   -2.5901703447e+01    1.1285463239e+01    4.0620850233e+00   -2.9963788471e+01    1.6000000000e+01    1.2991130352e-03    6.0625000000e-01
         6   -1.4521121976e+01    2.1094738353e+02   -2.3971820802e+01    9.4506988253e+00    4.3222153195e+00   -2.8294036121e+01    1.6000000000e+01    4.4420361519e-04    6.0781250000e-01
         7   -1.4733947633e+01    2.1718550766e+02   -2.4363249939e+01    9.6293023051e+00    4.7099341226e+00   -2.9073184061e+01    1.6000000000e+01    1.3011097908e-03    5.9531250000e-01
         8   -1.4798372591e+01    2.1908521723e+02   -2.9098246553e+01    1.4299873962e+01    4.2017642482e+00   -3.3300010801e+01    1.6000000000e+01    4.6394765377e-04    6.0781250000e-01
         9   -1.4603493601e+01    2.1332690061e+02   -2.8223161698e+01    1.3619668097e+01    3.9484547223e+00   -3.2171616421e+01    1.6000000000e+01    1.2112408876e-03    6.0312500000e-01
