#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4644686597e+01    2.1475440837e+02   -3.2594858559e+01    1.7950171962e+01    4.5099481321e+00   -3.7104806691e+01    4.0000000000e+03    1.6991719604e-02    4.0533750000e-01
         1   -1.4618376492e+01    2.1398324568e+02   -2.9406965895e+01    1.4788589403e+01    4.4415081656e+00   -3.3848474061e+01    4.0000000000e+03    2.0261615515e-02    4.0628750000e-01
         2   -1.4654901876e+01    2.1502317262e+02   -2.8725603456e+01    1.4070701579e+01    4.2987280754e+00   -3.3024331531e+01    4.0000000000e+03    1.4492124319e-02    4.0580000000e-01
         3   -1.4666996801e+01    2.1539620669e+02   -2.9749523456e+01    1.5082526655e+01    4.4507932550e+00   -3.4200316711e+01    4.0000000000e+03    1.3750106096e-02    4.0511250000e-01
         4   -1.4619900597e+01    2.1398909386e+02   -3.0320189595e+01    1.5700288997e+01    4.5850028748e+00   -3.4905192469e+01    4.0000000000e+03    1.3420388103e-02    4.0468750000e-01
         5   -1.4653854713e+01    2.1500524532e+02   -2.7325365752e+01    1.2671511039e+01    4.3758630557e+00   -3.1701228807e+01    4.0000000000e+03    1.3456568122e-02    4.0768750000e-01
         6   -1.4627714837e+01    2.1424224012e+02   -2.9153611595e+01    1.4525896759e+01    4.2701844101e+00   -3.3423796006e+01    4.0000000000e+03    1.3687610626e-02    4.0737500000e-01
         7   -1.4691818009e+01    2.1613365022e+02   -2.8463686611e+01    1.3771868602e+01    4.4408738314e+00   -3.2904560443e+01    4.0000000000e+03    1.3457939029e-02    4.0811250000e-01
         8   -1.4666484744e+01    2.1536670658e+02   -2.9468807427e+01    1.4802322683e+01    4.4850628999e+00   -3.3953870327e+01    4.0000000000e+03    1.3452365994e-02    4.0760000000e-01
         9   -1.4648820772e+01    2.1484124136e+02   -2.8580082636e+01    1.3931261864e+01    4.5279142064e+00   -3.3107996842e+01    4.0000000000e+03    1.3377144933e-02    4.0502500000e-01
        10   -1.4637560826e+01    2.1450918585e+02   -2.7465156350e+01    1.2827595525e+01    4.4337831846e+00   -3.1898939535e+01    4.0000000000e+03    1.3411954045e-02    4.0683750000e-01
