#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9395989139e+01    8.6467768181e+02   -6.0738321237e+01    3.1342332099e+01    1.2305233761e+01    3.4507764181e+00   -7.6494331417e+01    1.6000000000e+02    1.3724863529e-03    6.0026041667e-01
         1   -2.9254419048e+01    8.5623609969e+02   -5.7285401675e+01    2.8030982627e+01    1.2068918979e+01    3.4507764181e+00   -7.2805097072e+01    1.6000000000e+02    4.0033906698e-03    6.0364583333e-01
         2   -2.9209021697e+01    8.5359502044e+02   -5.2365576355e+01    2.3156554658e+01    1.2246050966e+01    3.4507764181e+00   -6.8062403739e+01    1.6000000000e+02    1.6996711493e-03    6.0286458333e-01
         3   -2.9339873241e+01    8.6119885214e+02   -5.1919087764e+01    2.2579214524e+01    1.1780723504e+01    3.4507764181e+00   -6.7150587687e+01    1.6000000000e+02    3.7078708410e-03    6.1119791667e-01
         4   -2.9227302487e+01    8.5458056547e+02   -5.5702838296e+01    2.6475535809e+01    1.2127280606e+01    3.4507764181e+00   -7.1280895319e+01    1.6000000000e+02    1.6088783741e-03    6.1302083333e-01
         5   -2.9373569130e+01    8.6328687957e+02   -5.7979079072e+01    2.8605509942e+01    1.2664933424e+01    3.4507764181e+00   -7.4094788914e+01    1.6000000000e+02    4.3956935406e-03    5.9505208333e-01
         6   -2.9426953753e+01    8.6624930554e+02   -6.0315108253e+01    3.0888154500e+01    1.2572737116e+01    3.4507764181e+00   -7.6338621787e+01    1.6000000000e+02    1.6668587923e-03    5.9322916667e-01
         7   -2.9325744130e+01    8.6024200080e+02   -5.9794426382e+01    3.0468682252e+01    1.2001586333e+01    3.4507764181e+00   -7.5246789133e+01    1.6000000000e+02    3.6509186029e-03    5.9427083333e-01
         8   -2.9277303610e+01    8.5769395893e+02   -5.8638880870e+01    2.9361577260e+01    1.2386729774e+01    3.4507764181e+00   -7.4476387062e+01    1.6000000000e+02    4.2287558317e-03    6.0312500000e-01
         9   -2.9167420261e+01    8.5116889812e+02   -5.6040373391e+01    2.6872953130e+01    1.1700653184e+01    3.4507764181e+00   -7.1191802993e+01    1.6000000000e+02    1.7046779394e-03    6.0989583333e-01
        10   -2.9354852743e+01    8.6196799386e+02   -5.5483395251e+01    2.6128542509e+01    1.2080279796e+01    3.4507764181e+00   -7.1014451465e+01    1.6000000000e+02    1.6952157021e-03    6.1614583333e-01
        11   -2.9228308395e+01    8.5465522113e+02   -6.2620557438e+01    3.3392249043e+01    1.2691844025e+01    3.4507764181e+00   -7.8763177881e+01    1.6000000000e+02    3.4106671810e-03    6.1406250000e-01
        12   -2.9388198449e+01    8.6407480766e+02   -5.5522880157e+01    2.6134681708e+01    1.2340061612e+01    3.4507764181e+00   -7.1313718188e+01    1.6000000000e+02    1.8450170755e-03    6.1197916667e-01
