#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9257598931e+01    8.5647512422e+02   -5.6481872691e+01    2.7224273759e+01    1.1885257750e+01    3.4507764181e+00   -7.1817906859e+01    1.2800000000e+03    7.1852758527e-02    6.0121093750e-01
         1   -2.9255480579e+01    8.5636475793e+02   -5.8273801900e+01    2.9018321321e+01    1.2011566663e+01    3.4507764181e+00   -7.3736144981e+01    1.2800000000e+03    5.7428181171e-02    5.9721679687e-01
         2   -2.9256384813e+01    8.5639934718e+02   -5.7207118540e+01    2.7950733727e+01    1.2007584617e+01    3.4507764181e+00   -7.2665479575e+01    1.2800000000e+03    5.4413735867e-02    5.9670898437e-01
         3   -2.9245278503e+01    8.5577052614e+02   -6.0344015911e+01    3.1098737408e+01    1.2101331176e+01    3.4507764181e+00   -7.5896123505e+01    1.2800000000e+03    5.7276323438e-02    5.9839843750e-01
         4   -2.9264459073e+01    8.5693975169e+02   -5.8910788760e+01    2.9646329687e+01    1.2129273486e+01    3.4507764181e+00   -7.4490838665e+01    1.2800000000e+03    5.5515989661e-02    5.9587890625e-01
         5   -2.9273304762e+01    8.5743719277e+02   -5.7195764353e+01    2.7922459591e+01    1.1907510778e+01    3.4507764181e+00   -7.2554051550e+01    1.2800000000e+03    5.5539295077e-02    5.9757812500e-01
         6   -2.9277871747e+01    8.5765105742e+02   -5.8003665963e+01    2.8725794215e+01    1.2142290650e+01    3.4507764181e+00   -7.3596733030e+01    1.2800000000e+03    5.9559315443e-02    5.9870117188e-01
         7   -2.9281689724e+01    8.5788079446e+02   -5.8912182193e+01    2.9630492468e+01    1.2134910182e+01    3.4507764181e+00   -7.4497868793e+01    1.2800000000e+03    5.6041955948e-02    5.9742187500e-01
         8   -2.9253044711e+01    8.5621377354e+02   -5.7809055080e+01    2.8556010369e+01    1.2008545750e+01    3.4507764181e+00   -7.3268377248e+01    1.2800000000e+03    5.5149883032e-02    5.9833984375e-01
         9   -2.9291655659e+01    8.5847699419e+02   -6.0600168407e+01    3.1308512748e+01    1.2090113748e+01    3.4507764181e+00   -7.6141058573e+01    1.2800000000e+03    5.6069329381e-02    5.9702148438e-01
        10   -2.9278483307e+01    8.5773361620e+02   -6.1008048574e+01    3.1729565266e+01    1.2290911139e+01    3.4507764181e+00   -7.6749736131e+01    1.2800000000e+03    5.6669861078e-02    5.9747070312e-01
        11   -2.9270157148e+01    8.5722506522e+02   -5.7078620068e+01    2.7808462920e+01    1.2016059963e+01    3.4507764181e+00   -7.2545456449e+01    1.2800000000e+03    5.5139511824e-02    6.0026367187e-01
        12   -2.9290089045e+01    8.5837913893e+02   -5.7342513543e+01    2.8052424498e+01    1.2083583064e+01    3.4507764181e+00   -7.2876873026e+01    1.2800000000e+03    5.5571794510e-02    5.9883789062e-01
        13   -2.9275581651e+01    8.5750254830e+02   -5.7618111116e+01    2.8342529466e+01    1.2344385776e+01    3.4507764181e+00   -7.3413273310e+01    1.2800000000e+03    5.7539507747e-02    5.9661132812e-01
        14   -2.9294170446e+01    8.5861934613e+02   -5.7088901677e+01    2.7794731231e+01    1.2075529730e+01    3.4507764181e+00   -7.2615207826e+01    1.2800000000e+03    5.7160124183e-02    6.0062500000e-01
        15   -2.9243028417e+01    8.5563901149e+02   -5.8447389887e+01    2.9204361471e+01    1.2006561604e+01    3.4507764181e+00   -7.3904727910e+01    1.2800000000e+03    5.6152403355e-02    5.9747070312e-01
        16   -2.9272989744e+01    8.5740428933e+02   -5.8506530100e+01    2.9233540356e+01    1.2165043360e+01    3.4507764181e+00   -7.4122349878e+01    1.2800000000e+03    5.5599570274e-02    5.9586914063e-01
        17   -2.9257790911e+01    8.5653455925e+02   -5.9166334707e+01    2.9908543796e+01    1.2038684117e+01    3.4507764181e+00   -7.4655795242e+01    1.2800000000e+03    5.5612444878e-02    5.9708984375e-01
        18   -2.9263962440e+01    8.5689766036e+02   -5.8952219917e+01    2.9688257477e+01    1.2285415047e+01    3.4507764181e+00   -7.4688411382e+01    1.2800000000e+03    5.7602941990e-02    5.9496093750e-01
        19   -2.9265701818e+01    8.5697842471e+02   -6.0511378786e+01    3.1245676968e+01    1.2139359513e+01    3.4507764181e+00   -7.6101514717e+01    1.2800000000e+03    5.7976573706e-02    5.9876953125e-01
