#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9423327038e+01    8.6631145418e+02   -5.6692102402e+01    2.7268775364e+01    1.1865001234e+01    3.4507764032e+00   -7.2007880039e+01    1.6000000000e+02    1.3415664434e-03    6.0312500000e-01
         1   -2.9276200349e+01    8.5782342652e+02   -6.0661817753e+01    3.1385617404e+01    1.2393285146e+01    3.4507764032e+00   -7.6505879302e+01    1.6000000000e+02    3.3156424761e-03    6.0208333333e-01
         2   -2.9213386420e+01    8.5407078483e+02   -5.6040031017e+01    2.6826644597e+01    1.2193188977e+01    3.4507764032e+00   -7.1683996397e+01    1.6000000000e+02    1.5532374382e-03    5.9348958333e-01
         3   -2.9439973208e+01    8.6715330010e+02   -5.7834774068e+01    2.8394800861e+01    1.1801671435e+01    3.4507764032e+00   -7.3087221906e+01    1.6000000000e+02    3.2952278852e-03    6.0937500000e-01
         4   -2.9309058463e+01    8.5935291003e+02   -5.5652581078e+01    2.6343522615e+01    1.1696386919e+01    3.4507764032e+00   -7.0799744401e+01    1.6000000000e+02    1.5110522509e-03    6.1041666667e-01
         5   -2.9336712503e+01    8.6099815532e+02   -5.8314533311e+01    2.8977820808e+01    1.2666864288e+01    3.4507764032e+00   -7.4432174002e+01    1.6000000000e+02    1.4708787203e-03    5.9348958333e-01
         6   -2.9403620426e+01    8.6487864308e+02   -5.5105791455e+01    2.5702171029e+01    1.2457996058e+01    3.4507764032e+00   -7.1014563916e+01    1.6000000000e+02    1.5062838793e-03    6.0000000000e-01
         7   -2.9302555079e+01    8.5900056368e+02   -5.3838845478e+01    2.4536290399e+01    1.2381067004e+01    3.4507764032e+00   -6.9670688886e+01    1.6000000000e+02    5.9987455606e-03    6.0546875000e-01
         8   -2.9247465826e+01    8.5571760767e+02   -5.4266602091e+01    2.5019136265e+01    1.1855346165e+01    3.4507764032e+00   -6.9572724659e+01    1.6000000000e+02    1.5493333340e-03    5.9557291667e-01
         9   -2.9180508107e+01    8.5217007486e+02   -5.3925551429e+01    2.4745043322e+01    1.1769241959e+01    3.4507764032e+00   -6.9145569791e+01    1.6000000000e+02    3.5061985254e-03    6.1406250000e-01
        10   -2.9365236650e+01    8.6274616103e+02   -5.3309804076e+01    2.3944567425e+01    1.2327493751e+01    3.4507764032e+00   -6.9088074230e+01    1.6000000000e+02    1.5422105789e-03    6.2343750000e-01
        11   -2.9293054786e+01    8.5871046308e+02   -6.2431752681e+01    3.3138697896e+01    1.2244446492e+01    3.4507764032e+00   -7.8126975577e+01    1.6000000000e+02    1.5954226255e-03    6.0286458333e-01
        12   -2.9240862451e+01    8.5548135327e+02   -5.9537353342e+01    3.0296490891e+01    1.2962248310e+01    3.4507764032e+00   -7.5950378055e+01    1.6000000000e+02    1.4874935150e-03    5.9661458333e-01
        13   -2.9328016489e+01    8.6049421373e+02   -5.9630004395e+01    3.0301987906e+01    1.2387560134e+01    3.4507764032e+00   -7.5468340932e+01    1.6000000000e+02    1.4933496714e-03    6.0286458333e-01
        14   -2.9242404995e+01    8.5565854257e+02   -6.5971340240e+01    3.6728935245e+01    1.2965983704e+01    3.4507764032e+00   -8.2388100347e+01    1.6000000000e+02    1.5037655830e-03    5.8750000000e-01
        15   -2.9171095929e+01    8.5146947168e+02   -6.1709703761e+01    3.2538607832e+01    1.2744041063e+01    3.4507764032e+00   -7.7904521227e+01    1.6000000000e+02    1.4969855547e-03    5.9687500000e-01
