#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9217974928e+01    8.5435884145e+02   -5.7699428193e+01    2.8481453265e+01    1.2121451787e+01    3.4507764032e+00   -7.3271656383e+01    1.2800000000e+03    1.9792214036e-02    5.9926757813e-01
         1   -2.9250500412e+01    8.5629779616e+02   -5.7150167958e+01    2.7899667545e+01    1.2129647657e+01    3.4507764032e+00   -7.2730592018e+01    1.2800000000e+03    2.3238852620e-02    5.9881835938e-01
         2   -2.9197032249e+01    8.5315703280e+02   -5.7732270690e+01    2.8535238442e+01    1.2263850248e+01    3.4507764032e+00   -7.3446897341e+01    1.2800000000e+03    2.5473847985e-02    5.9523437500e-01
         3   -2.9272731683e+01    8.5759997089e+02   -5.9604317747e+01    3.0331586064e+01    1.2089072526e+01    3.4507764032e+00   -7.5144166677e+01    1.2800000000e+03    1.9873499870e-02    5.9949218750e-01
         4   -2.9265239287e+01    8.5712356410e+02   -5.7585526715e+01    2.8320287428e+01    1.2180506259e+01    3.4507764032e+00   -7.3216809378e+01    1.2800000000e+03    1.9670024514e-02    5.9686523438e-01
         5   -2.9223467721e+01    8.5475667012e+02   -5.7376861897e+01    2.8153394177e+01    1.2218521822e+01    3.4507764032e+00   -7.3046160122e+01    1.2800000000e+03    1.9660189748e-02    5.9538085938e-01
         6   -2.9261990079e+01    8.5696501940e+02   -5.7168409208e+01    2.7906419129e+01    1.2144646799e+01    3.4507764032e+00   -7.2763832410e+01    1.2800000000e+03    1.9649595022e-02    5.9632812500e-01
         7   -2.9198318714e+01    8.5326454456e+02   -5.9522913682e+01    3.0324594968e+01    1.2242576018e+01    3.4507764032e+00   -7.5216266104e+01    1.2800000000e+03    1.9737198949e-02    5.9573242187e-01
         8   -2.9279595194e+01    8.5799053012e+02   -5.9755765637e+01    3.0476170443e+01    1.2329779875e+01    3.4507764032e+00   -7.5536321916e+01    1.2800000000e+03    1.9706398249e-02    5.9825195312e-01
         9   -2.9295499862e+01    8.5886348098e+02   -5.6516192949e+01    2.7220693087e+01    1.2130841841e+01    3.4507764032e+00   -7.2097811193e+01    1.2800000000e+03    1.9680097699e-02    5.9829101563e-01
        10   -2.9294894559e+01    8.5884915023e+02   -5.7750868980e+01    2.8455974420e+01    1.2204464937e+01    3.4507764032e+00   -7.3406110319e+01    1.2800000000e+03    1.9694313407e-02    5.9854492188e-01
        11   -2.9282263351e+01    8.5815472159e+02   -5.7069864768e+01    2.7787601416e+01    1.2264901330e+01    3.4507764032e+00   -7.2785542501e+01    1.2800000000e+03    1.9680500031e-02    5.9766601562e-01
        12   -2.9289308242e+01    8.5855400300e+02   -5.9673481473e+01    3.0384173231e+01    1.2279551734e+01    3.4507764032e+00   -7.5403809611e+01    1.2800000000e+03    1.9741192460e-02    5.9974609375e-01
        13   -2.9255190673e+01    8.5658982935e+02   -5.7388157325e+01    2.8132966652e+01    1.2329107732e+01    3.4507764032e+00   -7.3168041461e+01    1.2800000000e+03    1.9668787718e-02    5.9575195312e-01
        14   -2.9242230385e+01    8.5586610255e+02   -5.7954725996e+01    2.8712495610e+01    1.2208514089e+01    3.4507764032e+00   -7.3614016488e+01    1.2800000000e+03    1.9690170884e-02    5.9860351563e-01
        15   -2.9263261155e+01    8.5701144948e+02   -5.6063566393e+01    2.6800305238e+01    1.2026232626e+01    3.4507764032e+00   -7.1540575422e+01    1.2800000000e+03    1.9675880671e-02    5.9854492188e-01
        16   -2.9285255125e+01    8.5836985252e+02   -5.9036937688e+01    2.9751682563e+01    1.2098981986e+01    3.4507764032e+00   -7.4586696077e+01    1.2800000000e+03    1.9650936127e-02    5.9547851562e-01
        17   -2.9305767216e+01    8.5950883133e+02   -5.8641987391e+01    2.9336220174e+01    1.1986174353e+01    3.4507764032e+00   -7.4078938147e+01    1.2800000000e+03    2.1649926901e-02    5.9592773438e-01
        18   -2.9297231325e+01    8.5906751796e+02   -5.8526796696e+01    2.9229565372e+01    1.2155056780e+01    3.4507764032e+00   -7.4132629880e+01    1.2800000000e+03    2.1477594972e-02    5.9848632812e-01
        19   -2.9241041620e+01    8.5574904115e+02   -5.7719344293e+01    2.8478302673e+01    1.2361880025e+01    3.4507764032e+00   -7.3532000721e+01    1.2800000000e+03    2.0417049527e-02    5.9757812500e-01
