#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9269968914e+01    8.5718874654e+02   -5.7784598768e+01    2.8514629854e+01    1.2084494884e+01    3.4507764032e+00   -7.3319870056e+01    1.2800000000e+03    3.4908384085e-02    5.9742187500e-01
         1   -2.9288989569e+01    8.5831190909e+02   -5.8834395227e+01    2.9545405659e+01    1.2222659010e+01    3.4507764032e+00   -7.4507830641e+01    1.2800000000e+03    3.1526997685e-02    5.9776367188e-01
         2   -2.9301192551e+01    8.5901494585e+02   -5.7660535054e+01    2.8359342503e+01    1.2144101808e+01    3.4507764032e+00   -7.3255413265e+01    1.2800000000e+03    3.5019174218e-02    5.9709960938e-01
         3   -2.9281218603e+01    8.5786799901e+02   -6.0639039939e+01    3.1357821336e+01    1.2235496162e+01    3.4507764032e+00   -7.6325312504e+01    1.2800000000e+03    3.2219395041e-02    5.9875000000e-01
         4   -2.9252150277e+01    8.5621565723e+02   -5.9329650637e+01    3.0077500360e+01    1.2056795926e+01    3.4507764032e+00   -7.4837222966e+01    1.2800000000e+03    3.1087502837e-02    5.9625976562e-01
         5   -2.9291722428e+01    8.5849915702e+02   -5.7033452534e+01    2.7741730106e+01    1.1980561342e+01    3.4507764032e+00   -7.2464790279e+01    1.2800000000e+03    3.1298324466e-02    5.9784179688e-01
         6   -2.9299098018e+01    8.5887170051e+02   -6.0733419950e+01    3.1434321931e+01    1.2005625687e+01    3.4507764032e+00   -7.6189822040e+01    1.2800000000e+03    3.1746536493e-02    5.9642578125e-01
         7   -2.9259957948e+01    8.5663776228e+02   -5.8303598801e+01    2.9043640853e+01    1.1967490293e+01    3.4507764032e+00   -7.3721865497e+01    1.2800000000e+03    3.1151294708e-02    5.9728515625e-01
         8   -2.9288071911e+01    8.5826544207e+02   -5.8154108071e+01    2.8866036160e+01    1.2281490081e+01    3.4507764032e+00   -7.3886374555e+01    1.2800000000e+03    3.1755596399e-02    5.9860351563e-01
         9   -2.9285589498e+01    8.5813510874e+02   -5.7801902811e+01    2.8516313313e+01    1.2145841608e+01    3.4507764032e+00   -7.3398520822e+01    1.2800000000e+03    3.2220184803e-02    5.9732421875e-01
        10   -2.9251677828e+01    8.5611963589e+02   -5.7960152964e+01    2.8708475136e+01    1.2151964715e+01    3.4507764032e+00   -7.3562894082e+01    1.2800000000e+03    3.1301751733e-02    5.9634765625e-01
        11   -2.9318878962e+01    8.6003109061e+02   -5.7485157122e+01    2.8166278161e+01    1.2126858697e+01    3.4507764032e+00   -7.3062792223e+01    1.2800000000e+03    3.1659066677e-02    5.9727539062e-01
        12   -2.9288102103e+01    8.5826225653e+02   -5.7571165946e+01    2.8283063843e+01    1.2035131647e+01    3.4507764032e+00   -7.3057073997e+01    1.2800000000e+03    3.1196430326e-02    5.9727539063e-01
        13   -2.9283131895e+01    8.5794450101e+02   -5.8902846116e+01    2.9619714221e+01    1.2146583440e+01    3.4507764032e+00   -7.4500205959e+01    1.2800000000e+03    3.1336113811e-02    5.9944335938e-01
        14   -2.9224065834e+01    8.5453163596e+02   -5.7435655643e+01    2.8211589809e+01    1.2069673328e+01    3.4507764032e+00   -7.2956105374e+01    1.2800000000e+03    3.1213209033e-02    5.9833007813e-01
        15   -2.9273647488e+01    8.5745298121e+02   -5.9791373213e+01    3.0517725726e+01    1.2202992728e+01    3.4507764032e+00   -7.5445142345e+01    1.2800000000e+03    3.2390430570e-02    5.9597656250e-01
        16   -2.9289137820e+01    8.5831862588e+02   -5.7748062366e+01    2.8458924546e+01    1.2060706959e+01    3.4507764032e+00   -7.3259545728e+01    1.2800000000e+03    3.1489357352e-02    5.9803710937e-01
        17   -2.9283752210e+01    8.5800228467e+02   -5.5704658713e+01    2.6420906504e+01    1.2136244912e+01    3.4507764032e+00   -7.1291680028e+01    1.2800000000e+03    3.3423393965e-02    5.9841796875e-01
        18   -2.9271069000e+01    8.5730053480e+02   -5.7110881466e+01    2.7839812467e+01    1.2119509981e+01    3.4507764032e+00   -7.2681167850e+01    1.2800000000e+03    3.1586214900e-02    5.9803710937e-01
        19   -2.9274054162e+01    8.5743394887e+02   -6.0957251018e+01    3.1683196856e+01    1.2067479155e+01    3.4507764032e+00   -7.6475506577e+01    1.2800000000e+03    3.1303137541e-02    5.9845703125e-01
