#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9288717040e+01    8.5827506041e+02   -5.8901400609e+01    2.9612683569e+01    1.2045697412e+01    3.4507764032e+00   -7.4397874424e+01    1.2800000000e+03    3.5492911935e-02    5.9815429687e-01
         1   -2.9278257628e+01    8.5769838192e+02   -5.9504363649e+01    3.0226106021e+01    1.2158522888e+01    3.4507764032e+00   -7.5113662940e+01    1.2800000000e+03    4.0286347270e-02    5.9382812500e-01
         2   -2.9281163104e+01    8.5787065031e+02   -5.8116615430e+01    2.8835452327e+01    1.2265555261e+01    3.4507764032e+00   -7.3832947095e+01    1.2800000000e+03    3.1550049782e-02    5.9630859375e-01
         3   -2.9296526230e+01    8.5878263532e+02   -5.8208024684e+01    2.8911498454e+01    1.2119766511e+01    3.4507764032e+00   -7.3778567598e+01    1.2800000000e+03    3.1201377511e-02    5.9850585938e-01
         4   -2.9266652450e+01    8.5701296360e+02   -5.6583271042e+01    2.7316618592e+01    1.2439420765e+01    3.4507764032e+00   -7.2473468210e+01    1.2800000000e+03    3.1736940145e-02    5.9671875000e-01
         5   -2.9218461679e+01    8.5419053090e+02   -5.7434037520e+01    2.8215575841e+01    1.2171750198e+01    3.4507764032e+00   -7.3056564121e+01    1.2800000000e+03    3.1739264727e-02    5.9980468750e-01
         6   -2.9291469425e+01    8.5841965561e+02   -5.6493165706e+01    2.7201696281e+01    1.2061228950e+01    3.4507764032e+00   -7.2005171059e+01    1.2800000000e+03    3.1379163265e-02    5.9774414062e-01
         7   -2.9249341492e+01    8.5604107279e+02   -6.0951868146e+01    3.1702526655e+01    1.2332443159e+01    3.4507764032e+00   -7.6735087708e+01    1.2800000000e+03    3.1338840723e-02    5.9490234375e-01
         8   -2.9288039536e+01    8.5823284562e+02   -5.9001920593e+01    2.9713881057e+01    1.2281674067e+01    3.4507764032e+00   -7.4734371063e+01    1.2800000000e+03    3.1577602029e-02    5.9703125000e-01
         9   -2.9245487011e+01    8.5577679643e+02   -6.0165768091e+01    3.0920281080e+01    1.2279742972e+01    3.4507764032e+00   -7.5896287467e+01    1.2800000000e+03    3.1428426504e-02    5.9753906250e-01
        10   -2.9271057243e+01    8.5725612563e+02   -5.9965805727e+01    3.0694748483e+01    1.2216159353e+01    3.4507764032e+00   -7.5632741483e+01    1.2800000000e+03    3.1452909112e-02    5.9767578125e-01
        11   -2.9326348654e+01    8.6045174612e+02   -5.8599503547e+01    2.9273154892e+01    1.2269492759e+01    3.4507764032e+00   -7.4319772708e+01    1.2800000000e+03    3.1520023942e-02    5.9731445312e-01
        12   -2.9232958378e+01    8.5507139534e+02   -6.1775196460e+01    3.2542238082e+01    1.2161492708e+01    3.4507764032e+00   -7.7387465571e+01    1.2800000000e+03    3.1691491604e-02    5.9339843750e-01
        13   -2.9294076474e+01    8.5863097282e+02   -5.8314728112e+01    2.9020651639e+01    1.2190504018e+01    3.4507764032e+00   -7.3956008534e+01    1.2800000000e+03    3.1463384628e-02    5.9563476563e-01
        14   -2.9297251990e+01    8.5878320959e+02   -5.8359538181e+01    2.9062286191e+01    1.2182796980e+01    3.4507764032e+00   -7.3993111564e+01    1.2800000000e+03    3.1850203872e-02    6.0155273438e-01
        15   -2.9286918437e+01    8.5815893129e+02   -5.9148556402e+01    2.9861637965e+01    1.2279992742e+01    3.4507764032e+00   -7.4879325547e+01    1.2800000000e+03    3.1391799450e-02    5.9806640625e-01
        16   -2.9275336641e+01    8.5749838077e+02   -5.8061569302e+01    2.8786232661e+01    1.2298066664e+01    3.4507764032e+00   -7.3810412370e+01    1.2800000000e+03    3.1498938799e-02    5.9613281250e-01
        17   -2.9278051164e+01    8.5765742261e+02   -5.8948471136e+01    2.9670419972e+01    1.2149136020e+01    3.4507764032e+00   -7.4548383559e+01    1.2800000000e+03    3.1544581056e-02    5.9918945313e-01
        18   -2.9276605519e+01    8.5759479673e+02   -5.9380404684e+01    3.0103799165e+01    1.2119194453e+01    3.4507764032e+00   -7.4950375540e+01    1.2800000000e+03    3.1174466014e-02    5.9788085938e-01
        19   -2.9285987762e+01    8.5809030429e+02   -5.8535215828e+01    2.9249228066e+01    1.2110294487e+01    3.4507764032e+00   -7.4096286718e+01    1.2800000000e+03    3.1204923987e-02    5.9628906250e-01
