#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9235417519e+01    8.5523290713e+02   -5.7378096784e+01    2.8142679266e+01    1.2256181715e+01    3.4507764032e+00   -7.3085054903e+01    1.2800000000e+03    2.7412071824e-02    5.9623046875e-01
         1   -2.9239588204e+01    8.5539933424e+02   -5.9735859514e+01    3.0496271310e+01    1.2187638820e+01    3.4507764032e+00   -7.5374274737e+01    1.2800000000e+03    2.8548479080e-02    5.9671875000e-01
         2   -2.9283749099e+01    8.5797372715e+02   -5.7616290151e+01    2.8332541051e+01    1.2274693282e+01    3.4507764032e+00   -7.3341759836e+01    1.2800000000e+03    2.3561134934e-02    5.9727539063e-01
         3   -2.9291507488e+01    8.5842964866e+02   -5.7681837337e+01    2.8390329849e+01    1.2045924633e+01    3.4507764032e+00   -7.3178538374e+01    1.2800000000e+03    2.3572340608e-02    6.0075195313e-01
         4   -2.9297536746e+01    8.5882605120e+02   -5.9070142736e+01    2.9772605990e+01    1.2198488121e+01    3.4507764032e+00   -7.4719407260e+01    1.2800000000e+03    2.3422598839e-02    5.9776367188e-01
         5   -2.9275720697e+01    8.5751985829e+02   -5.9126248608e+01    2.9850527911e+01    1.2100117610e+01    3.4507764032e+00   -7.4677142621e+01    1.2800000000e+03    2.5119617581e-02    5.9550781250e-01
         6   -2.9301371017e+01    8.5899934227e+02   -5.8174762972e+01    2.8873391954e+01    1.2260102053e+01    3.4507764032e+00   -7.3885641427e+01    1.2800000000e+03    2.7263537049e-02    5.9914062500e-01
         7   -2.9227693122e+01    8.5471077130e+02   -5.6612178836e+01    2.7384485713e+01    1.2174295961e+01    3.4507764032e+00   -7.2237251200e+01    1.2800000000e+03    2.4829506874e-02    5.9855468750e-01
         8   -2.9267164861e+01    8.5703189996e+02   -5.9350885288e+01    3.0083720427e+01    1.2163444012e+01    3.4507764032e+00   -7.4965105703e+01    1.2800000000e+03    2.4860784411e-02    6.0087890625e-01
         9   -2.9273893251e+01    8.5740265778e+02   -5.6998611611e+01    2.7724718360e+01    1.2302888380e+01    3.4507764032e+00   -7.2752276395e+01    1.2800000000e+03    2.2895827889e-02    6.0024414062e-01
        10   -2.9286246898e+01    8.5810048350e+02   -5.8880711573e+01    2.9594464674e+01    1.2155735736e+01    3.4507764032e+00   -7.4487223711e+01    1.2800000000e+03    2.3397430778e-02    5.9710937500e-01
        11   -2.9269776747e+01    8.5719059315e+02   -5.7082992068e+01    2.7813215320e+01    1.2220794703e+01    3.4507764032e+00   -7.2754563174e+01    1.2800000000e+03    2.3433640599e-02    5.9871093750e-01
        12   -2.9312163783e+01    8.5964376257e+02   -5.6663650830e+01    2.7351487047e+01    1.1996484040e+01    3.4507764032e+00   -7.2110911274e+01    1.2800000000e+03    2.3390918970e-02    5.9743164062e-01
        13   -2.9302098027e+01    8.5901656935e+02   -5.9322666878e+01    3.0020568851e+01    1.2256868884e+01    3.4507764032e+00   -7.5030312165e+01    1.2800000000e+03    2.3350566626e-02    5.9410156250e-01
        14   -2.9263196290e+01    8.5674406583e+02   -5.8654394344e+01    2.9391198054e+01    1.2186743463e+01    3.4507764032e+00   -7.4291914210e+01    1.2800000000e+03    2.3408263922e-02    5.9741210938e-01
        15   -2.9279761856e+01    8.5773680195e+02   -5.9041597575e+01    2.9761835719e+01    1.2160500867e+01    3.4507764032e+00   -7.4652874846e+01    1.2800000000e+03    2.3420363665e-02    5.9755859375e-01
        16   -2.9246624738e+01    8.5578445355e+02   -5.7453767026e+01    2.8207142289e+01    1.1920215910e+01    3.4507764032e+00   -7.2824759340e+01    1.2800000000e+03    2.3792609572e-02    5.9996093750e-01
        17   -2.9273883789e+01    8.5738144230e+02   -5.8976250131e+01    2.9702366342e+01    1.2169858619e+01    3.4507764032e+00   -7.4596885153e+01    1.2800000000e+03    2.3654431105e-02    5.9521484375e-01
        18   -2.9234623950e+01    8.5513694455e+02   -5.8641936520e+01    2.9407312570e+01    1.2274805847e+01    3.4507764032e+00   -7.4367518771e+01    1.2800000000e+03    2.3581013083e-02    5.9865234375e-01
        19   -2.9243555993e+01    8.5564616927e+02   -5.9132015953e+01    2.9888459960e+01    1.2213987519e+01    3.4507764032e+00   -7.4796779875e+01    1.2800000000e+03    2.3570522666e-02    5.9590820313e-01
