#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9292692533e+01    8.5828277395e+02   -5.8862052272e+01    2.9569359739e+01    1.2183642937e+01    3.4507764032e+00   -7.4496471612e+01    3.2767200000e+05    2.5790280402e+00    9.9663723661e-01
         1   -2.9301832467e+01    8.5881454381e+02   -5.8689081976e+01    2.9387249509e+01    1.2166076288e+01    3.4507764032e+00   -7.4305934667e+01    3.2902200000e+05    1.9550358057e+00    9.9667457120e-01
         2   -2.9304565520e+01    8.5897491873e+02   -5.8843265134e+01    2.9538699614e+01    1.2179201364e+01    3.4507764032e+00   -7.4473242901e+01    3.3070600000e+05    2.0156584382e+00    9.9672592602e-01
         3   -2.9308139794e+01    8.5917739261e+02   -5.8739788782e+01    2.9431648988e+01    1.2137080465e+01    3.4507764032e+00   -7.4327645650e+01    3.2921500000e+05    1.9686443061e+00    9.9665635456e-01
         4   -2.9307230674e+01    8.5913274374e+02   -5.8549851900e+01    2.9242621226e+01    1.2142703679e+01    3.4507764032e+00   -7.4143331982e+01    3.2733700000e+05    1.9748748094e+00    9.9670035895e-01
         5   -2.9307470690e+01    8.5914217401e+02   -5.8747821166e+01    2.9440350475e+01    1.2162121237e+01    3.4507764032e+00   -7.4360718806e+01    3.2891700000e+05    1.9181343913e+00    9.9665170551e-01
         6   -2.9303844265e+01    8.5892753087e+02   -5.8361447021e+01    2.9057602756e+01    1.2142849138e+01    3.4507764032e+00   -7.3955072562e+01    3.2741200000e+05    1.9387929887e+00    9.9671972165e-01
         7   -2.9311752313e+01    8.5939441652e+02   -5.8438638555e+01    2.9126886241e+01    1.2122972378e+01    3.4507764032e+00   -7.4012387336e+01    3.2474700000e+05    1.9412665665e+00    9.9670504770e-01
         8   -2.9315398638e+01    8.5960383592e+02   -5.8415837686e+01    2.9100439048e+01    1.2108240959e+01    3.4507764032e+00   -7.3974855048e+01    3.2248600000e+05    1.8977330029e+00    9.9670685481e-01
         9   -2.9307310257e+01    8.5913423939e+02   -5.8402195894e+01    2.9094885637e+01    1.2126331760e+01    3.4507764032e+00   -7.3979304057e+01    3.2353300000e+05    2.2183575779e+00    9.9659587064e-01
