#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9292759718e+01    8.5830130743e+02   -5.9697825876e+01    3.0405066158e+01    1.2253427295e+01    3.4507764032e+00   -7.5402029574e+01    1.2800000000e+03    4.0792196989e-02    5.9558593750e-01
         1   -2.9259215523e+01    8.5633422073e+02   -5.8259653645e+01    2.9000438122e+01    1.2157597396e+01    3.4507764032e+00   -7.3868027445e+01    1.2800000000e+03    3.7297904491e-02    5.9783203125e-01
         2   -2.9297311002e+01    8.5854685742e+02   -5.6694311304e+01    2.7397000302e+01    1.1923917359e+01    3.4507764032e+00   -7.2069005066e+01    1.2800000000e+03    3.5599678755e-02    5.9821289063e-01
         3   -2.9253597774e+01    8.5600641297e+02   -5.8592001322e+01    2.9338403549e+01    1.2327519393e+01    3.4507764032e+00   -7.4370297118e+01    1.2800000000e+03    3.5718426108e-02    5.9636718750e-01
         4   -2.9290917915e+01    8.5819224979e+02   -5.8764825696e+01    2.9473907780e+01    1.2114123112e+01    3.4507764032e+00   -7.4329725211e+01    1.2800000000e+03    3.5296201706e-02    5.9786132813e-01
         5   -2.9297906582e+01    8.5859639233e+02   -5.7477923046e+01    2.8180016464e+01    1.2268764080e+01    3.4507764032e+00   -7.3197463530e+01    1.2800000000e+03    3.5852551460e-02    6.0012695312e-01
         6   -2.9292495813e+01    8.5826616157e+02   -5.8324504709e+01    2.9032008897e+01    1.2017412708e+01    3.4507764032e+00   -7.3792693820e+01    1.2800000000e+03    3.5164237022e-02    5.9656250000e-01
         7   -2.9288949239e+01    8.5806174877e+02   -5.7211467858e+01    2.7922518619e+01    1.2385647857e+01    3.4507764032e+00   -7.3047892119e+01    1.2800000000e+03    3.6024227738e-02    5.9675781250e-01
         8   -2.9265813171e+01    8.5668656966e+02   -5.7386084138e+01    2.8120270967e+01    1.2097091554e+01    3.4507764032e+00   -7.2933952095e+01    1.2800000000e+03    3.5867705941e-02    5.9949218750e-01
         9   -2.9260933544e+01    8.5641416221e+02   -5.9014115351e+01    2.9753181807e+01    1.2197602824e+01    3.4507764032e+00   -7.4662494578e+01    1.2800000000e+03    3.5073950887e-02    5.9525390625e-01
        10   -2.9267311382e+01    8.5681030151e+02   -5.8405090305e+01    2.9137778923e+01    1.2179956611e+01    3.4507764032e+00   -7.4035823319e+01    1.2800000000e+03    3.5441637039e-02    5.9705078125e-01
        11   -2.9245338547e+01    8.5552841799e+02   -5.8655551744e+01    2.9410213197e+01    1.2259298140e+01    3.4507764032e+00   -7.4365626287e+01    1.2800000000e+03    3.5559013486e-02    5.9702148438e-01
        12   -2.9245521472e+01    8.5552338820e+02   -5.8439886759e+01    2.9194365287e+01    1.2241954803e+01    3.4507764032e+00   -7.4132617965e+01    1.2800000000e+03    3.5776853561e-02    5.9926757812e-01
        13   -2.9292964626e+01    8.5832230845e+02   -5.8758262450e+01    2.9465297824e+01    1.2322571126e+01    3.4507764032e+00   -7.4531609980e+01    1.2800000000e+03    3.5379260778e-02    5.9599609375e-01
        14   -2.9251164809e+01    8.5587604417e+02   -5.9331576067e+01    3.0080411257e+01    1.2270171385e+01    3.4507764032e+00   -7.5052523854e+01    1.2800000000e+03    3.6061301827e-02    5.9644531250e-01
        15   -2.9286450626e+01    8.5794082017e+02   -5.7371769700e+01    2.8085319073e+01    1.2188039676e+01    3.4507764032e+00   -7.3010585779e+01    1.2800000000e+03    3.5656467080e-02    5.9910156250e-01
        16   -2.9294387104e+01    8.5838803647e+02   -5.9445290331e+01    3.0150903227e+01    1.2076203745e+01    3.4507764032e+00   -7.4972270479e+01    1.2800000000e+03    3.5534605384e-02    5.9687500000e-01
        17   -2.9283299766e+01    8.5772605967e+02   -5.8743674985e+01    2.9460375220e+01    1.2253853297e+01    3.4507764032e+00   -7.4448304686e+01    1.2800000000e+03    3.5483285785e-02    5.9610351562e-01
        18   -2.9281317872e+01    8.5762165679e+02   -6.0162572868e+01    3.0881254996e+01    1.2176915727e+01    3.4507764032e+00   -7.5790264998e+01    1.2800000000e+03    3.5615131259e-02    5.9501953125e-01
        19   -2.9280283540e+01    8.5753288978e+02   -5.9066897283e+01    2.9786613744e+01    1.2103382164e+01    3.4507764032e+00   -7.4621055850e+01    1.2800000000e+03    3.5476282239e-02    5.9650390625e-01
