#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9286964117e+01    8.5792234393e+02   -5.8733085973e+01    2.9446121856e+01    1.2180305723e+01    3.4507764032e+00   -7.4364168099e+01    3.2767200000e+05    6.9239483625e+00    9.9661398539e-01
         1   -2.9289869023e+01    8.5808673111e+02   -5.7996476660e+01    2.8706607637e+01    1.2114610979e+01    3.4507764032e+00   -7.3561864042e+01    3.2800800000e+05    6.6630727202e+00    9.9672561216e-01
         2   -2.9295815238e+01    8.5843506787e+02   -5.8466474272e+01    2.9170659033e+01    1.2130695499e+01    3.4507764032e+00   -7.4047946174e+01    3.2931900000e+05    6.3574437350e+00    9.9670476794e-01
         3   -2.9299906913e+01    8.5867488231e+02   -5.8473015485e+01    2.9173108573e+01    1.2131863764e+01    3.4507764032e+00   -7.4055655652e+01    3.2895200000e+05    6.3744989336e+00    9.9671148987e-01
         4   -2.9301606320e+01    8.5877928544e+02   -5.8809807358e+01    2.9508201039e+01    1.2143037026e+01    3.4507764032e+00   -7.4403620788e+01    3.2810300000e+05    4.7451671958e+00    9.9660572087e-01
         5   -2.9299580767e+01    8.5865522575e+02   -5.8632025335e+01    2.9332444568e+01    1.2116860654e+01    3.4507764032e+00   -7.4199662392e+01    3.2722500000e+05    2.0041182339e+00    9.9668579732e-01
         6   -2.9297440673e+01    8.5853168443e+02   -5.8327105400e+01    2.9029664726e+01    1.2132992154e+01    3.4507764032e+00   -7.3910873956e+01    3.2485000000e+05    1.9220490456e+00    9.9664090997e-01
         7   -2.9309526681e+01    8.5923854028e+02   -5.8905862921e+01    2.9596336241e+01    1.2162873463e+01    3.4507764032e+00   -7.4519512787e+01    3.2551600000e+05    2.1594766229e+00    9.9665613355e-01
         8   -2.9311901240e+01    8.5937944001e+02   -5.8781223720e+01    2.9469322480e+01    1.2143401622e+01    3.4507764032e+00   -7.4375401746e+01    3.2697700000e+05    2.0527780801e+00    9.9669505813e-01
         9   -2.9308741453e+01    8.5918979706e+02   -5.8442800737e+01    2.9134059284e+01    1.2127661977e+01    3.4507764032e+00   -7.4021239117e+01    3.2658400000e+05    1.9690577537e+00    9.9661670787e-01
        10   -2.9309605267e+01    8.5924170181e+02   -5.8571151364e+01    2.9261546097e+01    1.2179702753e+01    3.4507764032e+00   -7.4201630520e+01    3.2882800000e+05    1.9311638772e+00    9.9667236482e-01
        11   -2.9308648407e+01    8.5918536625e+02   -5.8668439465e+01    2.9359791058e+01    1.2224739575e+01    3.4507764032e+00   -7.4343955443e+01    3.2912300000e+05    1.9322244674e+00    9.9662929457e-01
        12   -2.9310200463e+01    8.5928456422e+02   -5.8609270587e+01    2.9299070125e+01    1.2194765975e+01    3.4507764032e+00   -7.4254812965e+01    3.3063900000e+05    1.9602974355e+00    9.9665397809e-01
        13   -2.9311146805e+01    8.5933409931e+02   -5.8757434460e+01    2.9446287655e+01    1.2154696671e+01    3.4507764032e+00   -7.4362907534e+01    3.3054800000e+05    1.9221204817e+00    9.9669140086e-01
        14   -2.9318924366e+01    8.5979099194e+02   -5.8591664318e+01    2.9272739952e+01    1.2184065295e+01    3.4507764032e+00   -7.4226506016e+01    3.2956900000e+05    1.9279315174e+00    9.9669753720e-01
        15   -2.9320334734e+01    8.5987314682e+02   -5.8465039509e+01    2.9144704775e+01    1.2144046008e+01    3.4507764032e+00   -7.4059861920e+01    3.3076500000e+05    2.1260299087e+00    9.9669295722e-01
