#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9252287903e+01    8.5590294241e+02   -5.7717300228e+01    2.8465012325e+01    1.2063270799e+01    3.4507764032e+00   -7.3231347431e+01    1.2800000000e+03    3.9886593819e-02    5.9974609375e-01
         1   -2.9286373550e+01    8.5789763040e+02   -5.8865574369e+01    2.9579200819e+01    1.2286419428e+01    3.4507764032e+00   -7.4602770200e+01    1.2800000000e+03    4.0756732225e-02    5.9754882813e-01
         2   -2.9269477212e+01    8.5690577930e+02   -5.6451545047e+01    2.7182067835e+01    1.2028209631e+01    3.4507764032e+00   -7.1930531082e+01    1.2800000000e+03    3.5474255681e-02    5.9679687500e-01
         3   -2.9296906104e+01    8.5853822826e+02   -5.8522511799e+01    2.9225605695e+01    1.2332217638e+01    3.4507764032e+00   -7.4305505841e+01    1.2800000000e+03    3.5495713353e-02    5.9893554688e-01
         4   -2.9253158075e+01    8.5596535198e+02   -5.6743542863e+01    2.7490384788e+01    1.1889293047e+01    3.4507764032e+00   -7.2083612312e+01    1.2800000000e+03    3.4865379333e-02    5.9878906250e-01
         5   -2.9251665793e+01    8.5586481558e+02   -5.8372459332e+01    2.9120793539e+01    1.2273173301e+01    3.4507764032e+00   -7.4096409037e+01    1.2800000000e+03    3.5093903542e-02    5.9553710938e-01
         6   -2.9287004540e+01    8.5791644401e+02   -5.7626002102e+01    2.8338997561e+01    1.2114879271e+01    3.4507764032e+00   -7.3191657776e+01    1.2800000000e+03    3.5163879395e-02    5.9976562500e-01
         7   -2.9272082147e+01    8.5707012920e+02   -5.9900687269e+01    3.0628605122e+01    1.2085012816e+01    3.4507764032e+00   -7.5436476488e+01    1.2800000000e+03    3.4871742129e-02    5.9687500000e-01
         8   -2.9288910704e+01    8.5804027045e+02   -5.8767831109e+01    2.9478920405e+01    1.2164209079e+01    3.4507764032e+00   -7.4382816591e+01    1.2800000000e+03    3.5461187363e-02    6.0012695312e-01
         9   -2.9281614038e+01    8.5760433262e+02   -5.5764381117e+01    2.6482767079e+01    1.1869073069e+01    3.4507764032e+00   -7.1084230589e+01    1.2800000000e+03    3.5152167082e-02    5.9935546875e-01
        10   -2.9299404762e+01    8.5867420827e+02   -5.8998685238e+01    2.9699280476e+01    1.2367041330e+01    3.4507764032e+00   -7.4816502971e+01    1.2800000000e+03    3.5310342908e-02    5.9663085938e-01
        11   -2.9312474934e+01    8.5942017139e+02   -5.6350419103e+01    2.7037944170e+01    1.2135478826e+01    3.4507764032e+00   -7.1936674332e+01    1.2800000000e+03    3.5471647978e-02    5.9873046875e-01
        12   -2.9284200610e+01    8.5777584166e+02   -5.7657143752e+01    2.8372943142e+01    1.2264299559e+01    3.4507764032e+00   -7.3372219715e+01    1.2800000000e+03    3.5218641162e-02    5.9684570313e-01
        13   -2.9290269377e+01    8.5812396309e+02   -5.7053621388e+01    2.7763352010e+01    1.2218585680e+01    3.4507764032e+00   -7.2722983471e+01    1.2800000000e+03    3.5265415907e-02    6.0081054688e-01
        14   -2.9279996487e+01    8.5754188934e+02   -5.7164031902e+01    2.7884035415e+01    1.2038070687e+01    3.4507764032e+00   -7.2652878992e+01    1.2800000000e+03    3.5036459565e-02    5.9819335937e-01
        15   -2.9281463642e+01    8.5762679920e+02   -5.6326476725e+01    2.7045013083e+01    1.2164690132e+01    3.4507764032e+00   -7.1941943260e+01    1.2800000000e+03    3.5248741508e-02    5.9744140625e-01
        16   -2.9250923294e+01    8.5581965184e+02   -5.9525621194e+01    3.0274697900e+01    1.2153244155e+01    3.4507764032e+00   -7.5129641752e+01    1.2800000000e+03    3.5494670272e-02    5.9825195313e-01
        17   -2.9280422543e+01    8.5757227066e+02   -5.6293971563e+01    2.7013549020e+01    1.2192394646e+01    3.4507764032e+00   -7.1937142613e+01    1.2800000000e+03    3.5494476557e-02    5.9905273437e-01
        18   -2.9294531262e+01    8.5836428412e+02   -5.7313282695e+01    2.8018751433e+01    1.2076045490e+01    3.4507764032e+00   -7.2840104588e+01    1.2800000000e+03    3.5134166479e-02    5.9786132813e-01
        19   -2.9280787623e+01    8.5756443403e+02   -5.9234291947e+01    2.9953504324e+01    1.2010629223e+01    3.4507764032e+00   -7.4695697573e+01    1.2800000000e+03    3.5023957491e-02    5.9973632813e-01
