#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9286856494e+01    8.5793983639e+02   -5.8332271716e+01    2.9045415222e+01    1.2147736205e+01    3.4507764032e+00   -7.3930784324e+01    3.2768900000e+05    2.3937512040e+00    9.9669089983e-01
         1   -2.9291726977e+01    8.5822815711e+02   -5.8786996861e+01    2.9495269884e+01    1.2175347065e+01    3.4507764032e+00   -7.4413120329e+01    3.2788600000e+05    2.1284237504e+00    9.9671443493e-01
         2   -2.9302583335e+01    8.5886414061e+02   -5.8565097177e+01    2.9262513842e+01    1.2185394058e+01    3.4507764032e+00   -7.4201267638e+01    3.2875500000e+05    2.0215712637e+00    9.9665818609e-01
         3   -2.9305702349e+01    8.5904584544e+02   -5.8505801334e+01    2.9200098985e+01    1.2163294694e+01    3.4507764032e+00   -7.4119872431e+01    3.2905700000e+05    2.0000382662e+00    9.9673119336e-01
         4   -2.9307018776e+01    8.5912179468e+02   -5.8406752293e+01    2.9099733517e+01    1.2147259561e+01    3.4507764032e+00   -7.4004788258e+01    3.2815800000e+05    2.5094365478e+00    9.9670239076e-01
         5   -2.9311270417e+01    8.5936846647e+02   -5.8711064748e+01    2.9399794331e+01    1.2161250477e+01    3.4507764032e+00   -7.4323091628e+01    3.2830800000e+05    1.9833754301e+00    9.9669262664e-01
         6   -2.9310373689e+01    8.5931884070e+02   -5.8741093952e+01    2.9430720262e+01    1.2174738419e+01    3.4507764032e+00   -7.4366608773e+01    3.2738800000e+05    1.9697088748e+00    9.9669242172e-01
         7   -2.9308952242e+01    8.5923640057e+02   -5.8603795889e+01    2.9294843647e+01    1.2168068299e+01    3.4507764032e+00   -7.4222640591e+01    3.2703500000e+05    2.4399796277e+00    9.9663375756e-01
         8   -2.9305991290e+01    8.5905376663e+02   -5.8832925471e+01    2.9526934181e+01    1.2194583389e+01    3.4507764032e+00   -7.4478285264e+01    3.2741400000e+05    2.1738268882e+00    9.9672029060e-01
         9   -2.9313441199e+01    8.5950110383e+02   -5.8595808637e+01    2.9282367438e+01    1.2171169122e+01    3.4507764032e+00   -7.4217754162e+01    3.2684600000e+05    3.5327639729e+00    9.9662228444e-01
