#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9305334898e+01    8.5910449746e+02   -5.9097593168e+01    2.9792258270e+01    1.2263863558e+01    3.4507764032e+00   -7.4812233130e+01    1.2800000000e+03    4.0630459785e-02    5.9606445312e-01
         1   -2.9305306913e+01    8.5901959355e+02   -5.6579204679e+01    2.7273897766e+01    1.2173207609e+01    3.4507764032e+00   -7.2203188691e+01    1.2800000000e+03    3.6239162087e-02    5.9931640625e-01
         2   -2.9270604581e+01    8.5699904449e+02   -5.8156281096e+01    2.8885676514e+01    1.1951176977e+01    3.4507764032e+00   -7.3558234476e+01    1.2800000000e+03    3.5471379757e-02    5.9782226563e-01
         3   -2.9282937910e+01    8.5772166183e+02   -5.8469150034e+01    2.9186212124e+01    1.2310271811e+01    3.4507764032e+00   -7.4230198247e+01    1.2800000000e+03    3.5705029964e-02    5.9847656250e-01
         4   -2.9265042530e+01    8.5669619117e+02   -5.9029800840e+01    2.9764758310e+01    1.2308957484e+01    3.4507764032e+00   -7.4789534726e+01    1.2800000000e+03    3.5455390811e-02    5.9606445313e-01
         5   -2.9270022203e+01    8.5696625406e+02   -5.8543489701e+01    2.9273467498e+01    1.2274321101e+01    3.4507764032e+00   -7.4268587206e+01    1.2800000000e+03    3.5844534636e-02    5.9875000000e-01
         6   -2.9288151563e+01    8.5802200589e+02   -5.8707347675e+01    2.9419196111e+01    1.1962276608e+01    3.4507764032e+00   -7.4120400686e+01    1.2800000000e+03    3.5591468215e-02    6.0049804688e-01
         7   -2.9268450479e+01    8.5689193007e+02   -5.7643478220e+01    2.8375027740e+01    1.2358798538e+01    3.4507764032e+00   -7.3453053160e+01    1.2800000000e+03    3.5551771522e-02    5.9430664062e-01
         8   -2.9309028662e+01    8.5922270387e+02   -5.7337655820e+01    2.8028627158e+01    1.2205271282e+01    3.4507764032e+00   -7.2993703505e+01    1.2800000000e+03    3.5673111677e-02    5.9784179688e-01
         9   -2.9247095715e+01    8.5563369673e+02   -5.6849139661e+01    2.7602043945e+01    1.1971143119e+01    3.4507764032e+00   -7.2271059183e+01    1.2800000000e+03    3.5193130374e-02    5.9898437500e-01
        10   -2.9249013592e+01    8.5573545718e+02   -6.0177580194e+01    3.0928566602e+01    1.2228530717e+01    3.4507764032e+00   -7.5856887314e+01    1.2800000000e+03    3.5288199782e-02    5.9666015625e-01
        11   -2.9281157461e+01    8.5762037061e+02   -5.8123797104e+01    2.8842639644e+01    1.2266810045e+01    3.4507764032e+00   -7.3841383553e+01    1.2800000000e+03    3.5620525479e-02    5.9887695312e-01
        12   -2.9285748349e+01    8.5789143997e+02   -5.8305896693e+01    2.9020148344e+01    1.2231155432e+01    3.4507764032e+00   -7.3987828528e+01    1.2800000000e+03    3.5537347198e-02    5.9801757813e-01
        13   -2.9289654119e+01    8.5810516084e+02   -6.2849187733e+01    3.3559533613e+01    1.2305296164e+01    3.4507764032e+00   -7.8605260300e+01    1.2800000000e+03    3.5587042570e-02    5.9594726562e-01
        14   -2.9250680130e+01    8.5582128044e+02   -5.7985808462e+01    2.8735128332e+01    1.2104209273e+01    3.4507764032e+00   -7.3540794139e+01    1.2800000000e+03    3.5326436162e-02    5.9701171875e-01
        15   -2.9288170624e+01    8.5808448832e+02   -5.7801217367e+01    2.8513046743e+01    1.2102714513e+01    3.4507764032e+00   -7.3354708283e+01    1.2800000000e+03    3.5555228591e-02    5.9781250000e-01
        16   -2.9295678568e+01    8.5846748469e+02   -5.9345797533e+01    3.0050118965e+01    1.2206057869e+01    3.4507764032e+00   -7.5002631805e+01    1.2800000000e+03    3.5268455744e-02    5.9462890625e-01
        17   -2.9291106098e+01    8.5819677397e+02   -5.8015073935e+01    2.8723967837e+01    1.2121734297e+01    3.4507764032e+00   -7.3587584635e+01    1.2800000000e+03    3.5620704293e-02    5.9882812500e-01
        18   -2.9279839699e+01    8.5754430806e+02   -5.7705187219e+01    2.8425347520e+01    1.2102558474e+01    3.4507764032e+00   -7.3258522096e+01    1.2800000000e+03    3.5209327936e-02    5.9589843750e-01
        19   -2.9264545728e+01    8.5664147236e+02   -5.7592691763e+01    2.8328146035e+01    1.2436511301e+01    3.4507764032e+00   -7.3479979467e+01    1.2800000000e+03    3.5861253738e-02    5.9593750000e-01
