#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9161030516e+01    8.5068568372e+02   -6.1421224540e+01    3.2260194024e+01    1.2542538231e+01    3.4507764032e+00   -7.7414539175e+01    1.6000000000e+02    1.4327466488e-03    6.0494791667e-01
         1   -2.9381674935e+01    8.6370589884e+02   -6.5245375590e+01    3.5863700655e+01    1.2450994659e+01    3.4507764032e+00   -8.1147146653e+01    1.6000000000e+02    3.4920126200e-03    5.9270833333e-01
         2   -2.9318928303e+01    8.5983785939e+02   -4.9545858694e+01    2.0226930391e+01    1.2017142311e+01    3.4507764032e+00   -6.5013777408e+01    1.6000000000e+02    1.9145607948e-03    6.1067708333e-01
         3   -2.9195266682e+01    8.5262651542e+02   -5.2903029492e+01    2.3707762810e+01    1.1706615890e+01    3.4507764032e+00   -6.8060421785e+01    1.6000000000e+02    4.1674077511e-03    6.1328125000e-01
         4   -2.9120578021e+01    8.4825982436e+02   -4.9831911601e+01    2.0711333580e+01    1.1405927676e+01    3.4507764032e+00   -6.4688615680e+01    1.6000000000e+02    1.7922520638e-03    6.1848958333e-01
         5   -2.9216806508e+01    8.5388318197e+02   -5.0775030674e+01    2.1558224166e+01    1.1978810911e+01    3.4507764032e+00   -6.6204617988e+01    1.6000000000e+02    4.8066526651e-03    6.0937500000e-01
         6   -2.9260691775e+01    8.5641034543e+02   -5.4739667045e+01    2.5478975271e+01    1.2402624711e+01    3.4507764032e+00   -7.0593068160e+01    1.6000000000e+02    2.0232945681e-03    5.9218750000e-01
         7   -2.9187432484e+01    8.5213414470e+02   -5.5899613818e+01    2.6712181333e+01    1.1668560664e+01    3.4507764032e+00   -7.1018950885e+01    1.6000000000e+02    5.1788836718e-03    6.1640625000e-01
         8   -2.9287703000e+01    8.5804882206e+02   -5.4701224257e+01    2.5413521257e+01    1.1977617954e+01    3.4507764032e+00   -7.0129618614e+01    1.6000000000e+02    1.8596500158e-03    6.0156250000e-01
         9   -2.9305312884e+01    8.5904043396e+02   -5.1160963360e+01    2.1855650476e+01    1.1792521594e+01    3.4507764032e+00   -6.6404261357e+01    1.6000000000e+02    2.4208128452e-03    6.1302083333e-01
        10   -2.9198279421e+01    8.5285153319e+02   -5.2556146687e+01    2.3357867267e+01    1.2611965226e+01    3.4507764032e+00   -6.8618888317e+01    1.6000000000e+02    2.8506666422e-03    6.1875000000e-01
        11   -2.9222553914e+01    8.5424929063e+02   -6.6107829882e+01    3.6885275968e+01    1.2883865253e+01    3.4507764032e+00   -8.2442471538e+01    1.6000000000e+02    2.2245198488e-03    5.9687500000e-01
        12   -2.9328918857e+01    8.6052672681e+02   -6.3110608716e+01    3.3781689859e+01    1.2375766566e+01    3.4507764032e+00   -7.8937151686e+01    1.6000000000e+02    2.0010918379e-03    5.9921875000e-01
        13   -2.9337476550e+01    8.6091009014e+02   -5.5383033191e+01    2.6045556641e+01    1.2049648036e+01    3.4507764032e+00   -7.0883457630e+01    1.6000000000e+02    1.9738227129e-03    6.1197916667e-01
        14   -2.9188061328e+01    8.5228528865e+02   -6.9941614852e+01    4.0753553524e+01    1.3237907270e+01    3.4507764032e+00   -8.6630298525e+01    1.6000000000e+02    1.9271671772e-03    5.9322916667e-01
        15   -2.9279403215e+01    8.5762640744e+02   -7.1160450732e+01    4.1881047517e+01    1.2505293135e+01    3.4507764032e+00   -8.7116520270e+01    1.6000000000e+02    1.9688755274e-03    5.9192708333e-01
        16   -2.9303639955e+01    8.5899323611e+02   -5.8919279713e+01    2.9615639757e+01    1.1779845688e+01    3.4507764032e+00   -7.4149901804e+01    1.6000000000e+02    1.9841641188e-03    6.1015625000e-01
        17   -2.9343223689e+01    8.6132286913e+02   -6.3159259427e+01    3.3816035738e+01    1.2969323145e+01    3.4507764032e+00   -7.9579358975e+01    1.6000000000e+02    1.9574165344e-03    5.9531250000e-01
        18   -2.9293785061e+01    8.5844107207e+02   -5.2587259190e+01    2.3293474129e+01    1.1538566782e+01    3.4507764032e+00   -6.7576602376e+01    1.6000000000e+02    2.0477622747e-03    6.0937500000e-01
