#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9264767205e+01    8.5673534858e+02   -5.9935930254e+01    3.0671163049e+01    1.2099732699e+01    3.4507764032e+00   -7.5486439357e+01    1.2800000000e+03    6.6905438900e-02    5.9492187500e-01
         1   -2.9276701771e+01    8.5739374268e+02   -5.8386229457e+01    2.9109527686e+01    1.2155443627e+01    3.4507764032e+00   -7.3992449487e+01    1.2800000000e+03    6.0375228524e-02    5.9585937500e-01
         2   -2.9297909952e+01    8.5865544048e+02   -5.9377139925e+01    3.0079229973e+01    1.2177822747e+01    3.4507764032e+00   -7.5005739075e+01    1.2800000000e+03    6.2281638384e-02    5.9677734375e-01
         3   -2.9264786219e+01    8.5670455082e+02   -5.9429183924e+01    3.0164397704e+01    1.2270251285e+01    3.4507764032e+00   -7.5150211612e+01    1.2800000000e+03    6.1277389526e-02    5.9745117187e-01
         4   -2.9276423502e+01    8.5737613590e+02   -5.8080969531e+01    2.8804546029e+01    1.2101787794e+01    3.4507764032e+00   -7.3633533728e+01    1.2800000000e+03    5.9319719672e-02    5.9915039062e-01
         5   -2.9261614739e+01    8.5649179514e+02   -5.9443157856e+01    3.0181543117e+01    1.1924408052e+01    3.4507764032e+00   -7.4818342312e+01    1.2800000000e+03    6.1821520329e-02    6.0197265625e-01
         6   -2.9270076664e+01    8.5699255709e+02   -5.6565079130e+01    2.7295002466e+01    1.2114373974e+01    3.4507764032e+00   -7.2130229507e+01    1.2800000000e+03    6.1072766781e-02    5.9915039062e-01
         7   -2.9275029481e+01    8.5729402936e+02   -5.9428570801e+01    3.0153541320e+01    1.2038482106e+01    3.4507764032e+00   -7.4917829310e+01    1.2800000000e+03    6.1200782657e-02    5.9670898437e-01
         8   -2.9224706033e+01    8.5437094931e+02   -5.9702575976e+01    3.0477869943e+01    1.2252648580e+01    3.4507764032e+00   -7.5406000959e+01    1.2800000000e+03    6.1233758926e-02    5.9297851563e-01
         9   -2.9285163822e+01    8.5791183306e+02   -5.6822673342e+01    2.7537509520e+01    1.2181219660e+01    3.4507764032e+00   -7.2454669405e+01    1.2800000000e+03    6.0474455357e-02    5.9757812500e-01
        10   -2.9247998536e+01    8.5573061930e+02   -5.9453632301e+01    3.0205633765e+01    1.2323115552e+01    3.4507764032e+00   -7.5227524256e+01    1.2800000000e+03    5.9573903680e-02    5.9667968750e-01
        11   -2.9276427222e+01    8.5736631742e+02   -5.7010119602e+01    2.7733692379e+01    1.2097061315e+01    3.4507764032e+00   -7.2557957320e+01    1.2800000000e+03    6.2370121479e-02    6.0234375000e-01
        12   -2.9263266666e+01    8.5663393673e+02   -5.9302625770e+01    3.0039359103e+01    1.2053580544e+01    3.4507764032e+00   -7.4806982717e+01    1.2800000000e+03    6.1755895615e-02    5.9558593750e-01
        13   -2.9275618526e+01    8.5731567964e+02   -5.8423859176e+01    2.9148240650e+01    1.2337525521e+01    3.4507764032e+00   -7.4212161100e+01    1.2800000000e+03    6.3786521554e-02    5.9721679687e-01
        14   -2.9284090179e+01    8.5782062047e+02   -5.7242664171e+01    2.7958573993e+01    1.2119148954e+01    3.4507764032e+00   -7.2812589529e+01    1.2800000000e+03    6.2927007675e-02    6.0210937500e-01
        15   -2.9312694171e+01    8.5950605317e+02   -5.7228868094e+01    2.7916173923e+01    1.2094423705e+01    3.4507764032e+00   -7.2774068202e+01    1.2800000000e+03    6.1222940683e-02    5.9867187500e-01
        16   -2.9254505627e+01    8.5610981214e+02   -5.7404489311e+01    2.8149983684e+01    1.2128003705e+01    3.4507764032e+00   -7.2983269419e+01    1.2800000000e+03    6.1583906412e-02    5.9752929688e-01
        17   -2.9276428227e+01    8.5737554757e+02   -5.9143623462e+01    2.9867195235e+01    1.2370444545e+01    3.4507764032e+00   -7.4964844411e+01    1.2800000000e+03    6.3128978014e-02    5.9860351563e-01
        18   -2.9265419396e+01    8.5675493799e+02   -5.6646268682e+01    2.7380849286e+01    1.2023649231e+01    3.4507764032e+00   -7.2120694317e+01    1.2800000000e+03    6.2212288380e-02    5.9907226563e-01
        19   -2.9284990814e+01    8.5788266862e+02   -5.7061442321e+01    2.7776451507e+01    1.2201470368e+01    3.4507764032e+00   -7.2713689092e+01    1.2800000000e+03    6.3517242670e-02    5.9672851562e-01
