#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9310560933e+01    8.5938918545e+02   -5.8646323466e+01    2.9335762533e+01    1.2012854379e+01    3.4507764032e+00   -7.4109954248e+01    1.2800000000e+03    3.9775952697e-02    5.9890625000e-01
         1   -2.9266507822e+01    8.5682843136e+02   -5.7976136341e+01    2.8709628519e+01    1.2173616167e+01    3.4507764032e+00   -7.3600528911e+01    1.2800000000e+03    3.2752290368e-02    5.9920898438e-01
         2   -2.9290769358e+01    8.5821485468e+02   -5.7323200028e+01    2.8032430670e+01    1.2195030007e+01    3.4507764032e+00   -7.2969006438e+01    1.2800000000e+03    3.3739537001e-02    5.9896484375e-01
         3   -2.9261165509e+01    8.5649360241e+02   -5.7431022503e+01    2.8169856994e+01    1.2081145002e+01    3.4507764032e+00   -7.2962943908e+01    1.2800000000e+03    3.3981323242e-02    6.0061523437e-01
         4   -2.9273332837e+01    8.5722900144e+02   -5.8163496122e+01    2.8890163285e+01    1.2294229108e+01    3.4507764032e+00   -7.3908501634e+01    1.2800000000e+03    3.3463731408e-02    5.9781250000e-01
         5   -2.9294440558e+01    8.5846389224e+02   -6.0180992515e+01    3.0886551957e+01    1.2187757696e+01    3.4507764032e+00   -7.5819526615e+01    1.2800000000e+03    3.3081099391e-02    5.9625976562e-01
         6   -2.9306880327e+01    8.5921652084e+02   -5.8605650580e+01    2.9298770252e+01    1.2025861288e+01    3.4507764032e+00   -7.4082288271e+01    1.2800000000e+03    3.3343300223e-02    5.9812500000e-01
         7   -2.9216537346e+01    8.5390401736e+02   -6.2395808390e+01    3.3179271044e+01    1.2099562792e+01    3.4507764032e+00   -7.7946147585e+01    1.2800000000e+03    3.3223733306e-02    5.9722656250e-01
         8   -2.9274362514e+01    8.5726184044e+02   -5.9082009633e+01    2.9807647119e+01    1.2307640640e+01    3.4507764032e+00   -7.4840426676e+01    1.2800000000e+03    3.3170700073e-02    5.9850585938e-01
         9   -2.9291328018e+01    8.5828252179e+02   -5.8275658102e+01    2.8984330084e+01    1.2084734908e+01    3.4507764032e+00   -7.3811169413e+01    1.2800000000e+03    3.2735690475e-02    5.9571289062e-01
        10   -2.9258000356e+01    8.5635080840e+02   -5.7650404641e+01    2.8392404285e+01    1.2076378866e+01    3.4507764032e+00   -7.3177559910e+01    1.2800000000e+03    3.3837169409e-02    5.9944335937e-01
        11   -2.9289370729e+01    8.5816322366e+02   -5.6652266511e+01    2.7362895782e+01    1.2216180520e+01    3.4507764032e+00   -7.2319223434e+01    1.2800000000e+03    3.4392997622e-02    5.9668945312e-01
        12   -2.9254038872e+01    8.5611412144e+02   -5.8831718111e+01    2.9577679240e+01    1.2115327779e+01    3.4507764032e+00   -7.4397822294e+01    1.2800000000e+03    3.2972007990e-02    5.9534179687e-01
        13   -2.9253310918e+01    8.5608028272e+02   -6.7613619835e+01    3.8360308917e+01    1.2034345265e+01    3.4507764032e+00   -8.3098741503e+01    1.2800000000e+03    3.2735630870e-02    5.9736328125e-01
        14   -2.9296068224e+01    8.5856446292e+02   -5.8263182175e+01    2.8967113952e+01    1.2215600559e+01    3.4507764032e+00   -7.3929559138e+01    1.2800000000e+03    3.3623144031e-02    5.9958007813e-01
        15   -2.9271980409e+01    8.5715787020e+02   -5.9166730827e+01    2.9894750418e+01    1.2033893421e+01    3.4507764032e+00   -7.4651400651e+01    1.2800000000e+03    3.3313944936e-02    5.9630859375e-01
        16   -2.9265157517e+01    8.5673609462e+02   -5.9949345098e+01    3.0684187581e+01    1.2128733640e+01    3.4507764032e+00   -7.5528855142e+01    1.2800000000e+03    3.3537372947e-02    5.9746093750e-01
        17   -2.9237059265e+01    8.5511160097e+02   -5.9778033684e+01    3.0540974419e+01    1.2149382739e+01    3.4507764032e+00   -7.5378192827e+01    1.2800000000e+03    3.3303558826e-02    5.9713867188e-01
        18   -2.9278959357e+01    8.5756745015e+02   -5.8501853287e+01    2.9222893930e+01    1.2050809201e+01    3.4507764032e+00   -7.4003438891e+01    1.2800000000e+03    3.2776713371e-02    5.9580078125e-01
        19   -2.9292034111e+01    8.5832653426e+02   -5.7882063487e+01    2.8590029377e+01    1.1997761047e+01    3.4507764032e+00   -7.3330600938e+01    1.2800000000e+03    3.2998025417e-02    5.9561523437e-01
