#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9281713087e+01    8.5786413986e+02   -5.8444215646e+01    2.9162502560e+01    1.2205865420e+01    3.4507764032e+00   -7.4100857469e+01    1.2800000000e+03    2.2921487689e-02    5.9791015625e-01
         1   -2.9289122602e+01    8.5836378300e+02   -5.8553868280e+01    2.9264745678e+01    1.2118387713e+01    3.4507764032e+00   -7.4123032396e+01    1.2800000000e+03    2.3027926683e-02    5.9811523438e-01
         2   -2.9260412169e+01    8.5661883363e+02   -5.7007708433e+01    2.7747296264e+01    1.2144185162e+01    3.4507764032e+00   -7.2602669999e+01    1.2800000000e+03    2.6055067778e-02    5.9639648438e-01
         3   -2.9279964331e+01    8.5783987908e+02   -5.9995467157e+01    3.0715502826e+01    1.2279934711e+01    3.4507764032e+00   -7.5726178272e+01    1.2800000000e+03    2.1408244967e-02    5.9956054688e-01
         4   -2.9257379239e+01    8.5645399281e+02   -5.8845940045e+01    2.9588560805e+01    1.2107352414e+01    3.4507764032e+00   -7.4404068862e+01    1.2800000000e+03    2.1246209741e-02    5.9892578125e-01
         5   -2.9261610179e+01    8.5672586776e+02   -6.0957952661e+01    3.1696342482e+01    1.2107584629e+01    3.4507764032e+00   -7.6516313693e+01    1.2800000000e+03    2.1351009607e-02    5.9672851562e-01
         6   -2.9264162987e+01    8.5682796191e+02   -5.8825426485e+01    2.9561263498e+01    1.2181155804e+01    3.4507764032e+00   -7.4457358692e+01    1.2800000000e+03    2.1310880780e-02    6.0079101563e-01
         7   -2.9227551087e+01    8.5475450892e+02   -5.8694940283e+01    2.9467389196e+01    1.2215159177e+01    3.4507764032e+00   -7.4360875863e+01    1.2800000000e+03    2.1179527044e-02    5.9521484375e-01
         8   -2.9261369649e+01    8.5672429411e+02   -5.7388100319e+01    2.8126730670e+01    1.2131695768e+01    3.4507764032e+00   -7.2970572490e+01    1.2800000000e+03    2.1263465285e-02    5.9956054688e-01
         9   -2.9257880064e+01    8.5654088150e+02   -6.0677216364e+01    3.1419336300e+01    1.2317086744e+01    3.4507764032e+00   -7.6445079511e+01    1.2800000000e+03    2.1229445934e-02    5.9763671875e-01
        10   -2.9270506758e+01    8.5725056898e+02   -5.8460955661e+01    2.9190448903e+01    1.2098589531e+01    3.4507764032e+00   -7.4010321596e+01    1.2800000000e+03    2.1229490638e-02    5.9632812500e-01
        11   -2.9277436287e+01    8.5764567426e+02   -5.7008157916e+01    2.7730721629e+01    1.2120328269e+01    3.4507764032e+00   -7.2579262588e+01    1.2800000000e+03    2.1276220679e-02    5.9917968750e-01
        12   -2.9252873034e+01    8.5621071380e+02   -5.6643925184e+01    2.7391052151e+01    1.2080525880e+01    3.4507764032e+00   -7.2175227468e+01    1.2800000000e+03    2.1244794130e-02    5.9894531250e-01
        13   -2.9272954088e+01    8.5735216216e+02   -5.8784247902e+01    2.9511293814e+01    1.2104376479e+01    3.4507764032e+00   -7.4339400785e+01    1.2800000000e+03    2.1233782172e-02    5.9864257812e-01
        14   -2.9256043258e+01    8.5639571119e+02   -5.9371952431e+01    3.0115909173e+01    1.2340632920e+01    3.4507764032e+00   -7.5163361755e+01    1.2800000000e+03    2.1238788962e-02    5.9969726563e-01
        15   -2.9257065731e+01    8.5647712452e+02   -5.8380705561e+01    2.9123639830e+01    1.2233666638e+01    3.4507764032e+00   -7.4065148601e+01    1.2800000000e+03    2.1602511406e-02    5.9863281250e-01
        16   -2.9279925167e+01    8.5783252211e+02   -5.8751795784e+01    2.9471870617e+01    1.2029667627e+01    3.4507764032e+00   -7.4232239814e+01    1.2800000000e+03    2.1256238222e-02    5.9908203125e-01
        17   -2.9272251164e+01    8.5738383518e+02   -6.0500857209e+01    3.1228606046e+01    1.2046286326e+01    3.4507764032e+00   -7.5997919938e+01    1.2800000000e+03    2.1167129278e-02    5.9378906250e-01
        18   -2.9279379196e+01    8.5773385029e+02   -5.9301947597e+01    3.0022568401e+01    1.2117747991e+01    3.4507764032e+00   -7.4870471991e+01    1.2800000000e+03    2.1255686879e-02    6.0046875000e-01
        19   -2.9300140471e+01    8.5899921024e+02   -5.7709753831e+01    2.8409613359e+01    1.2097197004e+01    3.4507764032e+00   -7.3257727238e+01    1.2800000000e+03    2.1204173565e-02    5.9779296875e-01
