#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9207154547e+01    8.5337995321e+02   -5.8241637738e+01    2.9034483191e+01    1.2366537643e+01    3.4507764181e+00   -7.4058951799e+01    1.6000000000e+02    1.5204399824e-03    6.0104166667e-01
         1   -2.9384740687e+01    8.6387413231e+02   -6.1967044424e+01    3.2582303736e+01    1.2573533488e+01    3.4507764181e+00   -7.7991354330e+01    1.6000000000e+02    3.9971023798e-03    6.0078125000e-01
         2   -2.9237346078e+01    8.5508575784e+02   -5.7965865974e+01    2.8728519895e+01    1.2336792276e+01    3.4507764181e+00   -7.3753434668e+01    1.6000000000e+02    1.9994080067e-03    6.0234375000e-01
         3   -2.9296683590e+01    8.5854234922e+02   -5.6301794767e+01    2.7005111176e+01    1.1373095316e+01    3.4507764181e+00   -7.1125666501e+01    1.6000000000e+02    4.1713565588e-03    6.1614583333e-01
         4   -2.9177973490e+01    8.5156850798e+02   -5.2408075914e+01    2.3230102424e+01    1.1620002520e+01    3.4507764181e+00   -6.7478854852e+01    1.6000000000e+02    1.7883777618e-03    6.1875000000e-01
         5   -2.9172494848e+01    8.5127876277e+02   -5.9015724007e+01    2.9843229160e+01    1.2214007846e+01    3.4507764181e+00   -7.4680508272e+01    1.6000000000e+02    4.7980844975e-03    5.9687500000e-01
         6   -2.9336769147e+01    8.6086625781e+02   -6.0415817580e+01    3.1079048432e+01    1.2500905243e+01    3.4507764181e+00   -7.6367499241e+01    1.6000000000e+02    1.9973069429e-03    5.8359375000e-01
         7   -2.9175169869e+01    8.5144201530e+02   -6.0165195238e+01    3.0990025368e+01    1.1796327451e+01    3.4507764181e+00   -7.5412299106e+01    1.6000000000e+02    3.1786113977e-03    6.0416666667e-01
         8   -2.9170112697e+01    8.5122340513e+02   -6.6154524941e+01    3.6984412244e+01    1.2487576758e+01    3.4507764181e+00   -8.2092878117e+01    1.6000000000e+02    1.7535537481e-03    5.9791666667e-01
         9   -2.9186205390e+01    8.5210266252e+02   -6.4264221275e+01    3.5078015886e+01    1.2286711205e+01    3.4507764181e+00   -8.0001708898e+01    1.6000000000e+02    5.7634413242e-03    6.0182291667e-01
        10   -2.9203996226e+01    8.5317823265e+02   -6.0488881031e+01    3.1284884805e+01    1.2851978215e+01    3.4507764181e+00   -7.6791635664e+01    1.6000000000e+02    2.0083785057e-03    6.0494791667e-01
        11   -2.9346026217e+01    8.6137430889e+02   -5.9595485376e+01    3.0249459159e+01    1.2683161209e+01    3.4507764181e+00   -7.5729423003e+01    1.6000000000e+02    1.9488483667e-03    6.1302083333e-01
        12   -2.9229177355e+01    8.5462741203e+02   -5.9398335511e+01    3.0169158156e+01    1.2347148175e+01    3.4507764181e+00   -7.5196260104e+01    1.6000000000e+02    1.9622892141e-03    6.1458333333e-01
        13   -2.9319102887e+01    8.5987662669e+02   -5.7617796491e+01    2.8298693604e+01    1.2563914591e+01    3.4507764181e+00   -7.3632487501e+01    1.6000000000e+02    2.1957755089e-03    6.0182291667e-01
        14   -2.9273995764e+01    8.5732270906e+02   -6.7867816105e+01    3.8593820341e+01    1.3257636314e+01    3.4507764181e+00   -8.4576228837e+01    1.6000000000e+02    1.9595175982e-03    5.9791666667e-01
        15   -2.9323498250e+01    8.6010611677e+02   -6.4779745475e+01    3.5456247224e+01    1.2188864029e+01    3.4507764181e+00   -8.0419385921e+01    1.6000000000e+02    1.9550770521e-03    6.1145833333e-01
        16   -2.9214897430e+01    8.5375793014e+02   -6.1726350211e+01    3.2511452781e+01    1.1862298174e+01    3.4507764181e+00   -7.7039424803e+01    1.6000000000e+02    1.9424259663e-03    6.1015625000e-01
        17   -2.9258338813e+01    8.5641342223e+02   -6.0337874281e+01    3.1079535468e+01    1.2629253265e+01    3.4507764181e+00   -7.6417903964e+01    1.6000000000e+02    1.9671916962e-03    5.9817708333e-01
        18   -2.9275221410e+01    8.5722493764e+02   -5.3487494263e+01    2.4212272853e+01    1.2245323798e+01    3.4507764181e+00   -6.9183594480e+01    1.6000000000e+02    1.9180923700e-03    6.0130208333e-01
        19   -2.9351988111e+01    8.6179440293e+02   -5.4706724172e+01    2.5354736061e+01    1.1258543538e+01    3.4507764181e+00   -6.9416044129e+01    1.6000000000e+02    1.8950551748e-03    6.0468750000e-01
        20   -2.9319502484e+01    8.5990403693e+02   -6.1303683707e+01    3.1984181224e+01    1.2630372759e+01    3.4507764181e+00   -7.7384832884e+01    1.6000000000e+02    1.9495338202e-03    5.9635416667e-01
        21   -2.9415714664e+01    8.6561969693e+02   -6.6337594119e+01    3.6921879454e+01    1.2193839095e+01    3.4507764181e+00   -8.1982209632e+01    1.6000000000e+02    1.9256472588e-03    5.9661458333e-01
        22   -2.9057564340e+01    8.4464619315e+02   -7.1409772223e+01    4.2352207883e+01    1.2603236779e+01    3.4507764181e+00   -8.7463785420e+01    1.6000000000e+02    1.9552260637e-03    5.8906250000e-01
        23   -2.9182824072e+01    8.5191805633e+02   -6.0573875317e+01    3.1391051245e+01    1.2276329152e+01    3.4507764181e+00   -7.6300980887e+01    1.6000000000e+02    1.9276142120e-03    6.0052083333e-01
