# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.9273974014e+01    4.9889172983e-01    1.0230000000e+03    1.0240000000e+03    0.0000000000e+00   -2.9262685500e+01    9.6771530047e-01    9.9707031250e-01
         1   -2.9282846702e+01    5.0110535279e-01    1.0249927423e+03    1.0240000000e+03    0.0000000000e+00   -2.9176270050e+01    9.6253046130e-01    9.9218750000e-01
         2   -2.9276957402e+01    5.1954452616e-01    1.0238338054e+03    1.0200000000e+03    2.5000000000e-01   -2.8891456770e+01    9.6157411539e-01    9.9803921569e-01
         3   -2.9338192581e+01    5.0577904310e-01    1.0241898197e+03    1.0210000000e+03    1.2500000000e-01   -2.8983558658e+01    9.5382254457e-01    9.9902056807e-01
         4   -2.9329171914e+01    5.2401208142e-01    1.0240412610e+03    1.0260000000e+03    2.5000000000e-01   -2.9533314594e+01    9.6345964715e-01    9.9805068226e-01
         5   -2.9323196372e+01    4.9002910001e-01    1.0240385861e+03    1.0260000000e+03    6.2500000000e-02   -2.9524293927e+01    9.6535548532e-01    9.9902534113e-01
         6   -2.9282890515e+01    5.1632733450e-01    1.0238609538e+03    1.0260000000e+03    6.2500000000e-02   -2.9518318385e+01    9.6592745049e-01    9.9220272904e-01
         7   -2.9302758697e+01    4.8955423058e-01    1.0239170691e+03    1.0190000000e+03    2.5000000000e-01   -2.8793413277e+01    9.6046383034e-01    9.9901864573e-01
         8   -2.9308183060e+01    4.9707516292e-01    1.0238747140e+03    1.0200000000e+03    1.2500000000e-01   -2.8911368765e+01    9.5901081658e-01    9.9901960784e-01
         9   -2.9298597971e+01    5.4075348870e-01    1.0239576020e+03    1.0240000000e+03    2.5000000000e-01   -2.9308183060e+01    9.6307118788e-01    1.0000000000e+00
        10   -2.9313494467e+01    5.1159407195e-01    1.0240964213e+03    1.0250000000e+03    6.2500000000e-02   -2.9396206568e+01    9.5984030600e-01    9.9512195122e-01
        11   -2.9299245763e+01    5.0125053060e-01    1.0238224457e+03    1.0210000000e+03    3.1250000000e-01   -2.9020095724e+01    9.6248801419e-01    9.9902056807e-01
        12   -2.9330908456e+01    4.9511916517e-01    1.0241911053e+03    1.0250000000e+03    2.5000000000e-01   -2.9396854361e+01    9.6147802719e-01    9.9804878049e-01
        13   -2.9285716232e+01    4.7453391609e-01    1.0237724915e+03    1.0240000000e+03    6.2500000000e-02   -2.9330908456e+01    9.6366931901e-01    9.9902343750e-01
        14   -2.9298017720e+01    4.9307785842e-01    1.0240908962e+03    1.0250000000e+03    6.2500000000e-02   -2.9383324830e+01    9.6166911547e-01    9.9902439024e-01
        15   -2.9317904362e+01    5.3851090862e-01    1.0241231373e+03    1.0250000000e+03    6.2500000000e-02   -2.9395626317e+01    9.6291776969e-01    9.9512195122e-01
        16   -2.9279123343e+01    4.9531213297e-01    1.0237597501e+03    1.0230000000e+03    1.2500000000e-01   -2.9220200398e+01    9.6262078493e-01    9.9902248289e-01
        17   -2.9303986665e+01    4.8788238334e-01    1.0242020438e+03    1.0260000000e+03    1.8750000000e-01   -2.9474245356e+01    9.6304477219e-01    9.9610136452e-01
        18   -2.9295309512e+01    4.9905108760e-01    1.0239953762e+03    1.0250000000e+03    1.8750000000e-01   -2.9401595263e+01    9.5985951600e-01    9.9707317073e-01
        19   -2.9272829080e+01    4.7641588348e-01    1.0238062305e+03    1.0220000000e+03    1.8750000000e-01   -2.9099806028e+01    9.6533500548e-01    9.9902152642e-01
        20   -2.9267585679e+01    4.6343973241e-01    1.0239799567e+03    1.0240000000e+03    1.2500000000e-01   -2.9272829080e+01    9.5982702127e-01    9.9707031250e-01
        21   -2.9278588436e+01    4.7678274552e-01    1.0239392295e+03    1.0210000000e+03    1.8750000000e-01   -2.8974186935e+01    9.5632461605e-01    9.9804113614e-01
        22   -2.9267714615e+01    4.7557684168e-01    1.0238295115e+03    1.0210000000e+03    1.2500000000e-01   -2.8985189693e+01    9.6431002575e-01    1.0000000000e+00
        23   -2.9271095099e+01    4.7108686052e-01    1.0240449284e+03    1.0250000000e+03    1.8750000000e-01   -2.9365323213e+01    9.6186119940e-01    9.9902439024e-01
