#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9229704574e+01    8.5900171435e+02   -5.8617920921e+01    2.9388216347e+01    1.2384435760e+01    3.4507764181e+00   -7.4453133099e+01    3.0743000000e+04    9.9834561348e-02    9.7883482559e-01
         1   -2.9251747185e+01    8.6063845172e+02   -5.8352135517e+01    2.9100388332e+01    1.2356534235e+01    3.4507764181e+00   -7.4159446170e+01    3.0742000000e+04    9.5443978906e-02    9.7899198087e-01
         2   -2.9255413325e+01    8.6080907205e+02   -5.8432190081e+01    2.9176776756e+01    1.2366425984e+01    3.4507764181e+00   -7.4249392483e+01    3.0674000000e+04    9.4809293747e-02    9.7883993653e-01
         3   -2.9269529006e+01    8.6165949976e+02   -5.9095506057e+01    2.9825977050e+01    1.2358062206e+01    3.4507764181e+00   -7.4904344681e+01    3.1009000000e+04    3.5901787877e-01    9.7860591143e-01
         4   -2.9304096546e+01    8.6356611715e+02   -5.8561708387e+01    2.9257611841e+01    1.2239912322e+01    3.4507764181e+00   -7.4252397127e+01    3.0517000000e+04    9.4943538308e-02    9.7893812896e-01
         5   -2.9258119645e+01    8.6117138532e+02   -5.7628228008e+01    2.8370108363e+01    1.2253742944e+01    3.4507764181e+00   -7.3332747370e+01    2.9644000000e+04    1.0017761588e-01    9.7932149929e-01
         6   -2.9293535462e+01    8.6268977006e+02   -5.7566719759e+01    2.8273184297e+01    1.2226606679e+01    3.4507764181e+00   -7.3244102856e+01    2.9140000000e+04    9.0959087014e-02    9.7927070075e-01
         7   -2.9301037498e+01    8.6309163191e+02   -5.8184469752e+01    2.8883432253e+01    1.2221778738e+01    3.4507764181e+00   -7.3857024907e+01    2.9897000000e+04    9.6001148224e-02    9.7867117205e-01
         8   -2.9281592422e+01    8.6194287900e+02   -5.7973518067e+01    2.8691925646e+01    1.2244840768e+01    3.4507764181e+00   -7.3669135253e+01    3.0006000000e+04    9.4538599253e-02    9.7916083292e-01
         9   -2.9307233315e+01    8.6383371486e+02   -5.7815787833e+01    2.8508554517e+01    1.2223110693e+01    3.4507764181e+00   -7.3489674944e+01    2.9374000000e+04    9.0806812048e-02    9.7924577926e-01
        10   -2.9328425451e+01    8.6522951191e+02   -5.8591509086e+01    2.9263083634e+01    1.2243534606e+01    3.4507764181e+00   -7.4285820110e+01    2.9496000000e+04    9.9893301725e-02    9.7892915952e-01
        11   -2.9286407436e+01    8.6267530339e+02   -5.9005999698e+01    2.9719592262e+01    1.2335879538e+01    3.4507764181e+00   -7.4792655654e+01    2.9650000000e+04    9.3385651708e-02    9.7829280020e-01
        12   -2.9322521443e+01    8.6462948466e+02   -5.7979689801e+01    2.8657168359e+01    1.2245081038e+01    3.4507764181e+00   -7.3675547257e+01    2.9599000000e+04    1.2083183229e-01    9.7906817398e-01
        13   -2.9310840520e+01    8.6410938811e+02   -5.8790094748e+01    2.9479254229e+01    1.2327944152e+01    3.4507764181e+00   -7.4568815318e+01    2.9921000000e+04    9.1811507940e-02    9.7901955696e-01
        14   -2.9350322056e+01    8.6626340949e+02   -5.8978659561e+01    2.9628337505e+01    1.2269094641e+01    3.4507764181e+00   -7.4698530620e+01    3.0264000000e+04    9.5039680600e-02    9.7905178330e-01
        15   -2.9271940899e+01    8.6177428558e+02   -5.8600589717e+01    2.9328648818e+01    1.2329295230e+01    3.4507764181e+00   -7.4380661366e+01    3.0104000000e+04    9.9327802658e-02    9.7904358081e-01
        16   -2.9290973086e+01    8.6509400555e+02   -5.9004757174e+01    2.9713784088e+01    1.2266347747e+01    3.4507764181e+00   -7.4721881339e+01    3.0628000000e+04    1.0925978422e-01    9.7859195984e-01
        17   -2.9331080341e+01    8.6514502451e+02   -5.8655156785e+01    2.9324076445e+01    1.2243256814e+01    3.4507764181e+00   -7.4349190017e+01    3.1239000000e+04    1.0040658712e-01    9.7869262238e-01
        18   -2.9291117114e+01    8.6373080796e+02   -5.8224075792e+01    2.8932958678e+01    1.2300936009e+01    3.4507764181e+00   -7.3975788219e+01    3.0978000000e+04    9.8028406501e-02    9.7878127172e-01
        19   -2.9302260122e+01    8.6413578338e+02   -5.8489248702e+01    2.9186988579e+01    1.2235127000e+01    3.4507764181e+00   -7.4175152120e+01    3.0354000000e+04    9.5929577947e-02    9.7858643364e-01
        20   -2.9356090332e+01    8.6619789825e+02   -5.7284211937e+01    2.7928121605e+01    1.2135058281e+01    3.4507764181e+00   -7.2870046637e+01    3.1033000000e+04    9.5818281174e-02    9.7939529854e-01
        21   -2.9320136341e+01    8.6432203318e+02   -5.9087317711e+01    2.9767181370e+01    1.2297326487e+01    3.4507764181e+00   -7.4835420616e+01    3.1421000000e+04    1.0388167202e-01    9.7935509343e-01
        22   -2.9323960817e+01    8.6493997814e+02   -5.8772228924e+01    2.9448268107e+01    1.2215932155e+01    3.4507764181e+00   -7.4438937496e+01    3.0703000000e+04    9.9013730884e-02    9.7909283896e-01
        23   -2.9319771203e+01    8.6437723559e+02   -5.8331294643e+01    2.9011523440e+01    1.2201182688e+01    3.4507764181e+00   -7.3983253749e+01    3.0489000000e+04    9.4086617231e-02    9.7915928193e-01
        24   -2.9271930736e+01    8.6196275908e+02   -5.8559013532e+01    2.9287082797e+01    1.2290430125e+01    3.4507764181e+00   -7.4300220075e+01    3.0023000000e+04    9.4347834587e-02    9.7879960368e-01
        25   -2.9344493193e+01    8.6585755814e+02   -5.8550551687e+01    2.9206058494e+01    1.2226200523e+01    3.4507764181e+00   -7.4227528628e+01    3.0218000000e+04    1.0181796551e-01    9.7870194281e-01
        26   -2.9332570200e+01    8.6495808430e+02   -5.8683144726e+01    2.9350574527e+01    1.2186936415e+01    3.4507764181e+00   -7.4320857559e+01    3.0880000000e+04    9.6878618002e-02    9.7913804135e-01
        27   -2.9375517614e+01    8.6760002133e+02   -5.9090720226e+01    2.9715202612e+01    1.2224810708e+01    3.4507764181e+00   -7.4766307352e+01    3.1607000000e+04    1.0104876757e-01    9.7907561920e-01
        28   -2.9317093295e+01    8.6472979029e+02   -5.9018139501e+01    2.9701046206e+01    1.2278444668e+01    3.4507764181e+00   -7.4747360588e+01    3.2376000000e+04    9.9651575089e-02    9.7874445203e-01
        29   -2.9323996956e+01    8.6438511041e+02   -5.8502213024e+01    2.9178216068e+01    1.2274572138e+01    3.4507764181e+00   -7.4227561580e+01    3.2335000000e+04    1.0009923577e-01    9.7891329078e-01
        30   -2.9339079971e+01    8.6561006565e+02   -5.8335817765e+01    2.8996737794e+01    1.2256912601e+01    3.4507764181e+00   -7.4043506785e+01    3.2456000000e+04    1.1225706339e-01    9.7934089411e-01
        31   -2.9328381375e+01    8.6486528581e+02   -5.8918375526e+01    2.9589994152e+01    1.2314545937e+01    3.4507764181e+00   -7.4683697882e+01    3.2737000000e+04    1.0268010199e-01    9.7891991005e-01
        32   -2.9304599612e+01    8.6352729690e+02   -5.8293825632e+01    2.8989226020e+01    1.2296610801e+01    3.4507764181e+00   -7.4041212850e+01    3.2672000000e+04    1.0326230526e-01    9.7932343345e-01
        33   -2.9284142167e+01    8.6269021411e+02   -5.8452528070e+01    2.9168385903e+01    1.2301360706e+01    3.4507764181e+00   -7.4204665195e+01    3.2357000000e+04    1.0071647167e-01    9.7862445269e-01
        34   -2.9314755767e+01    8.6402843978e+02   -5.9023080278e+01    2.9708324511e+01    1.2309524926e+01    3.4507764181e+00   -7.4783381622e+01    3.2173000000e+04    9.8744034767e-02    9.7886876632e-01
        35   -2.9322991058e+01    8.6592659166e+02   -5.8222392057e+01    2.8899400999e+01    1.2251836183e+01    3.4507764181e+00   -7.3925004658e+01    3.2327000000e+04    1.0517559946e-01    9.7923183026e-01
        36   -2.9356201940e+01    8.6651793440e+02   -5.7822868803e+01    2.8466666863e+01    1.2143622522e+01    3.4507764181e+00   -7.3417267743e+01    3.2005000000e+04    9.9549263716e-02    9.7894447250e-01
        37   -2.9366869496e+01    8.6711089359e+02   -5.8804360837e+01    2.9437491342e+01    1.2209403377e+01    3.4507764181e+00   -7.4464540632e+01    3.2278000000e+04    1.0112130642e-01    9.7878116605e-01
        38   -2.9340812640e+01    8.6566656703e+02   -5.7729481995e+01    2.8388669355e+01    1.2179296344e+01    3.4507764181e+00   -7.3359554757e+01    3.2257000000e+04    1.0363775492e-01    9.7964155671e-01
        39   -2.9336090289e+01    8.6545147184e+02   -5.7894112746e+01    2.8558022457e+01    1.2219597145e+01    3.4507764181e+00   -7.3564486309e+01    3.2457000000e+04    1.0077324510e-01    9.7924057004e-01
        40   -2.9327894547e+01    8.6515266884e+02   -5.8116298206e+01    2.8788403659e+01    1.2237534255e+01    3.4507764181e+00   -7.3804608879e+01    3.2456000000e+04    1.0091809928e-01    9.7931006982e-01
        41   -2.9354627452e+01    8.6761867040e+02   -5.8894291201e+01    2.9539663749e+01    1.2237214605e+01    3.4507764181e+00   -7.4582282224e+01    3.1917000000e+04    1.0094814003e-01    9.7900399524e-01
        42   -2.9331482618e+01    8.6495687014e+02   -5.8331479574e+01    2.8999996956e+01    1.2240791376e+01    3.4507764181e+00   -7.4023047369e+01    3.1344000000e+04    1.2033230066e-01    9.7906295169e-01
        43   -2.9317098054e+01    8.6400888545e+02   -5.8281899479e+01    2.8964801425e+01    1.2311998561e+01    3.4507764181e+00   -7.4044674458e+01    3.1241000000e+04    9.8509296775e-02    9.7948616133e-01
