# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.9300511970e+01    2.6405698576e-01    1.0250000000e+03    1.0240000000e+03    0.0000000000e+00   -2.9290450737e+01    9.9132015223e-01    9.9902343750e-01
         1   -2.9301417794e+01    2.7331734430e-01    1.0230484119e+03    1.0240000000e+03    0.0000000000e+00   -2.9690946359e+01    9.9399123011e-01    9.9707031250e-01
         2   -2.9304637317e+01    2.6287257527e-01    1.0239925149e+03    1.0220000000e+03    1.8750000000e-01   -2.8519403859e+01    9.9159084382e-01    1.0000000000e+00
         3   -2.9308619593e+01    2.4670685679e-01    1.0240044964e+03    1.0240000000e+03    1.2500000000e-01   -2.9304637317e+01    9.9105707277e-01    1.0000000000e+00
         4   -2.9300218033e+01    2.6346858324e-01    1.0239886406e+03    1.0240000000e+03    0.0000000000e+00   -2.9308619593e+01    9.9397984179e-01    9.9902343750e-01
         5   -2.9320902785e+01    2.7008949416e-01    1.0240182811e+03    1.0230000000e+03    0.0000000000e+00   -2.8909402174e+01    9.9577213282e-01    1.0000000000e+00
         6   -2.9318303291e+01    2.5976012145e-01    1.0239889231e+03    1.0230000000e+03    0.0000000000e+00   -2.8930086926e+01    9.9449788805e-01    1.0000000000e+00
         7   -2.9317389226e+01    2.5631125318e-01    1.0239913047e+03    1.0230000000e+03    0.0000000000e+00   -2.8927487432e+01    9.9221585095e-01    1.0000000000e+00
         8   -2.9308590301e+01    2.6388705110e-01    1.0239811673e+03    1.0230000000e+03    0.0000000000e+00   -2.8926573366e+01    9.9384394652e-01    1.0000000000e+00
         9   -2.9283805756e+01    2.5505014490e-01    1.0239751696e+03    1.0250000000e+03    6.2500000000e-02   -2.9699024690e+01    9.9448052713e-01    9.9902439024e-01
        10   -2.9301190329e+01    2.5452646871e-01    1.0240212304e+03    1.0240000000e+03    6.2500000000e-02   -2.9283805756e+01    9.9379519421e-01    1.0000000000e+00
        11   -2.9302567944e+01    2.2732220186e-01    1.0240085321e+03    1.0250000000e+03    6.2500000000e-02   -2.9691624718e+01    9.9246322434e-01    1.0000000000e+00
        12   -2.9317270116e+01    2.6581864138e-01    1.0240247792e+03    1.0250000000e+03    0.0000000000e+00   -2.9693002333e+01    9.9175275565e-01    1.0000000000e+00
        13   -2.9309672318e+01    2.5434990784e-01    1.0239965263e+03    1.0250000000e+03    0.0000000000e+00   -2.9707704506e+01    9.9320797790e-01    1.0000000000e+00
        14   -2.9310480251e+01    2.5714967443e-01    1.0240071806e+03    1.0250000000e+03    0.0000000000e+00   -2.9700106708e+01    9.9459974367e-01    1.0000000000e+00
        15   -2.9318339070e+01    2.6542640873e-01    1.0240160518e+03    1.0250000000e+03    0.0000000000e+00   -2.9700914640e+01    9.9342637283e-01    9.9707317073e-01
        16   -2.9308174536e+01    2.4973417144e-01    1.0239745955e+03    1.0220000000e+03    1.2500000000e-01   -2.8536325135e+01    9.9470293647e-01    1.0000000000e+00
        17   -2.9301173493e+01    2.6953725342e-01    1.0239920690e+03    1.0240000000e+03    6.2500000000e-02   -2.9308174536e+01    9.9440157022e-01    9.9902343750e-01
        18   -2.9319011379e+01    2.5964944569e-01    1.0240157025e+03    1.0230000000e+03    6.2500000000e-02   -2.8910357634e+01    9.9311275577e-01    1.0000000000e+00
        19   -2.9302408286e+01    2.4910984097e-01    1.0239715710e+03    1.0230000000e+03    0.0000000000e+00   -2.8928195520e+01    9.9519712953e-01    1.0000000000e+00
        20   -2.9293424326e+01    2.5779536925e-01    1.0239880580e+03    1.0240000000e+03    6.2500000000e-02   -2.9302408286e+01    9.9361855575e-01    1.0000000000e+00
        21   -2.9285634207e+01    2.7225181899e-01    1.0239893870e+03    1.0240000000e+03    0.0000000000e+00   -2.9293424326e+01    9.9404030671e-01    1.0000000000e+00
        22   -2.9285185120e+01    2.7271580357e-01    1.0239987001e+03    1.0240000000e+03    0.0000000000e+00   -2.9285634207e+01    9.9526297746e-01    1.0000000000e+00
        23   -2.9296856079e+01    2.8437502767e-01    1.0240140846e+03    1.0240000000e+03    0.0000000000e+00   -2.9285185120e+01    9.9398321707e-01    9.9902343750e-01
        24   -2.9313598892e+01    2.6446210565e-01    1.0240163293e+03    1.0230000000e+03    6.2500000000e-02   -2.8906040220e+01    9.9461412352e-01    1.0000000000e+00
        25   -2.9303265533e+01    2.6712674979e-01    1.0239867748e+03    1.0240000000e+03    6.2500000000e-02   -2.9313598892e+01    9.9552323172e-01    9.9804687500e-01
        26   -2.9311382281e+01    2.5403974077e-01    1.0239980817e+03    1.0220000000e+03    1.2500000000e-01   -2.8521251598e+01    9.9496835929e-01    1.0000000000e+00
        27   -2.9285533098e+01    2.6058786629e-01    1.0239602635e+03    1.0230000000e+03    6.2500000000e-02   -2.8920566422e+01    9.9471663773e-01    1.0000000000e+00
        28   -2.9282123328e+01    2.6492206065e-01    1.0239948765e+03    1.0240000000e+03    0.0000000000e+00   -2.9285533098e+01    9.9506965951e-01    9.9902343750e-01
        29   -2.9292075331e+01    2.3988137113e-01    1.0240134851e+03    1.0240000000e+03    6.2500000000e-02   -2.9282123328e+01    9.9617769767e-01    1.0000000000e+00
        30   -2.9302773935e+01    2.4799522651e-01    1.0240194717e+03    1.0250000000e+03    6.2500000000e-02   -2.9682509720e+01    9.9407578617e-01    1.0000000000e+00
        31   -2.9315496905e+01    2.4723503363e-01    1.0240284633e+03    1.0260000000e+03    6.2500000000e-02   -3.0083261987e+01    9.9468085291e-01    9.9610136452e-01
        32   -2.9294618766e+01    2.3767317057e-01    1.0239626967e+03    1.0220000000e+03    1.2500000000e-01   -2.8533482970e+01    9.9602270016e-01    9.9902152642e-01
        33   -2.9298332597e+01    2.4251763474e-01    1.0240182555e+03    1.0260000000e+03    3.1250000000e-01   -3.0075106818e+01    9.9432428219e-01    1.0000000000e+00
        34   -2.9313313700e+01    2.4937958639e-01    1.0240303583e+03    1.0260000000e+03    0.0000000000e+00   -3.0078820649e+01    9.9380106834e-01    9.9805068226e-01
        35   -2.9299659844e+01    2.6062377267e-01    1.0239821085e+03    1.0240000000e+03    1.2500000000e-01   -2.9313313700e+01    9.9392877192e-01    1.0000000000e+00
        36   -2.9301351017e+01    2.4290509802e-01    1.0240083930e+03    1.0250000000e+03    6.2500000000e-02   -2.9690094233e+01    9.9510584642e-01    9.9804878049e-01
        37   -2.9294339441e+01    2.3179793804e-01    1.0239859458e+03    1.0230000000e+03    6.2500000000e-02   -2.8910535158e+01    9.9154845514e-01    1.0000000000e+00
        38   -2.9307145805e+01    2.4778941407e-01    1.0240096172e+03    1.0230000000e+03    0.0000000000e+00   -2.8903523581e+01    9.9423984925e-01    1.0000000000e+00
        39   -2.9298261754e+01    2.4354426072e-01    1.0239820159e+03    1.0230000000e+03    0.0000000000e+00   -2.8916329946e+01    9.9399000065e-01    1.0000000000e+00
        40   -2.9299091439e+01    2.3782163425e-01    1.0239943745e+03    1.0230000000e+03    0.0000000000e+00   -2.8907445895e+01    9.9437619968e-01    1.0000000000e+00
        41   -2.9310993406e+01    2.5261180469e-01    1.0240274524e+03    1.0260000000e+03    1.2500000000e-01   -3.0079579492e+01    9.9585824047e-01    9.9902534113e-01
        42   -2.9296428460e+01    2.5447176220e-01    1.0239864570e+03    1.0250000000e+03    6.2500000000e-02   -2.9701427795e+01    9.9578028149e-01    1.0000000000e+00
        43   -2.9285607283e+01    2.4542898753e-01    1.0239983824e+03    1.0260000000e+03    6.2500000000e-02   -3.0076916512e+01    9.9331328633e-01    9.9707602339e-01
        44   -2.9294581930e+01    2.4004251769e-01    1.0240060215e+03    1.0230000000e+03    1.8750000000e-01   -2.8894791424e+01    9.9499300278e-01    1.0000000000e+00
        45   -2.9277147551e+01    2.5165278921e-01    1.0239712285e+03    1.0230000000e+03    0.0000000000e+00   -2.8903766071e+01    9.9458222105e-01    1.0000000000e+00
        46   -2.9282388398e+01    2.6313995482e-01    1.0240000678e+03    1.0230000000e+03    0.0000000000e+00   -2.8886331692e+01    9.9268291134e-01    1.0000000000e+00
        47   -2.9287776648e+01    2.5164224934e-01    1.0240183088e+03    1.0260000000e+03    1.8750000000e-01   -3.0062876451e+01    9.9432742924e-01    9.9902534113e-01
        48   -2.9301280350e+01    2.4802418252e-01    1.0240224267e+03    1.0250000000e+03    6.2500000000e-02   -2.9678211037e+01    9.9254014466e-01    1.0000000000e+00
        49   -2.9269439687e+01    2.5833899774e-01    1.0239721444e+03    1.0260000000e+03    6.2500000000e-02   -3.0081768402e+01    9.9421813603e-01    9.9902534113e-01
        50   -2.9282293895e+01    2.7630709546e-01    1.0240224226e+03    1.0250000000e+03    6.2500000000e-02   -2.9659874076e+01    9.9470937538e-01    1.0000000000e+00
        51   -2.9283571834e+01    2.7213870104e-01    1.0250311494e+03    1.0250000000e+03    0.0000000000e+00   -2.9270415773e+01    9.9450515582e-01    1.0000000000e+00
        52   -2.9277833048e+01    2.5011978832e-01    1.0250091113e+03    1.0250000000e+03    0.0000000000e+00   -2.9276842877e+01    9.9321006105e-01    1.0000000000e+00
        53   -2.9273884029e+01    2.5876441847e-01    1.0259886192e+03    1.0260000000e+03    6.2500000000e-02   -2.9280386359e+01    9.9411130700e-01    9.9902534113e-01
        54   -2.9307519499e+01    2.8056611308e-01    1.0260272551e+03    1.0260000000e+03    6.2500000000e-02   -2.9280235836e+01    9.9321036696e-01    9.9902534113e-01
        55   -2.9294616794e+01    2.5618608567e-01    1.0250593274e+03    1.0250000000e+03    6.2500000000e-02   -2.9278380585e+01    9.9507041557e-01    9.9902439024e-01
        56   -2.9288656367e+01    2.6758298690e-01    1.0250222446e+03    1.0250000000e+03    6.2500000000e-02   -2.9283399751e+01    9.9277208147e-01    9.9902439024e-01
        57   -2.9283737222e+01    2.6503434987e-01    1.0260008073e+03    1.0260000000e+03    1.2500000000e-01   -2.9286116761e+01    9.9419923884e-01    1.0000000000e+00
        58   -2.9280039422e+01    2.6511185120e-01    1.0259870629e+03    1.0260000000e+03    0.0000000000e+00   -2.9286678114e+01    9.9459459130e-01    9.9805068226e-01
        59   -2.9290187075e+01    2.7659154286e-01    1.0240011563e+03    1.0240000000e+03    1.2500000000e-01   -2.9284616931e+01    9.9323198684e-01    1.0000000000e+00
        60   -2.9288060802e+01    2.8141986024e-01    1.0250097234e+03    1.0250000000e+03    6.2500000000e-02   -2.9285135266e+01    9.9412765674e-01    1.0000000000e+00
        61   -2.9293779575e+01    2.6134486588e-01    1.0250125859e+03    1.0250000000e+03    0.0000000000e+00   -2.9285683256e+01    9.9439568724e-01    1.0000000000e+00
        62   -2.9287220690e+01    2.5173695299e-01    1.0260089623e+03    1.0260000000e+03    6.2500000000e-02   -2.9286937860e+01    9.9450467115e-01    9.9902534113e-01
        63   -2.9300312754e+01    2.6972172876e-01    1.0250181086e+03    1.0250000000e+03    6.2500000000e-02   -2.9286639105e+01    9.9316718765e-01    1.0000000000e+00
        64   -2.9285387160e+01    2.5732388049e-01    1.0250148188e+03    1.0250000000e+03    0.0000000000e+00   -2.9286750367e+01    9.9028640115e-01    1.0000000000e+00
        65   -2.9303426891e+01    2.8547230388e-01    1.0260144201e+03    1.0260000000e+03    6.2500000000e-02   -2.9288694733e+01    9.9406200798e-01    9.9902534113e-01
        66   -2.9295189236e+01    3.2228986391e-01    1.0250296631e+03    1.0250000000e+03    6.2500000000e-02   -2.9287634827e+01    9.9556711902e-01    9.9902439024e-01
        67   -2.9311543639e+01    2.6568855546e-01    1.0250370921e+03    1.0250000000e+03    6.2500000000e-02   -2.9288621189e+01    9.9469493872e-01    1.0000000000e+00
        68   -2.9295972830e+01    2.6947561801e-01    1.0250367499e+03    1.0250000000e+03    0.0000000000e+00   -2.9289040307e+01    9.9458659676e-01    9.9804878049e-01
        69   -2.9300123977e+01    2.4440970285e-01    1.0230264864e+03    1.0230000000e+03    6.2500000000e-02   -2.9288322940e+01    9.9400461789e-01    9.9902248289e-01
