#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9297969695e+01    8.5863021055e+02   -5.8449699409e+01    2.9151729714e+01    1.2151549512e+01    3.4507764181e+00   -7.4052025340e+01    8.1915000000e+04    7.2102628648e-01    9.9672206084e-01
         1   -2.9310547391e+01    8.5937118814e+02   -5.8521529141e+01    2.9210981749e+01    1.2195557153e+01    3.4507764181e+00   -7.4167862712e+01    8.2008000000e+04    4.9154525995e-01    9.9667404008e-01
         2   -2.9300732375e+01    8.5880089093e+02   -5.8570955119e+01    2.9270222744e+01    1.2171504214e+01    3.4507764181e+00   -7.4193235752e+01    8.2565000000e+04    5.6253932416e-01    9.9682428803e-01
         3   -2.9300141697e+01    8.5875333381e+02   -5.7983527858e+01    2.8683386161e+01    1.2164703467e+01    3.4507764181e+00   -7.3599007743e+01    8.2615000000e+04    5.5702264607e-01    9.9676163935e-01
         4   -2.9303141165e+01    8.5893399357e+02   -5.8806962872e+01    2.9503821707e+01    1.2199511958e+01    3.4507764181e+00   -7.4457251248e+01    8.2098000000e+04    6.9228088856e-01    9.9656965705e-01
         5   -2.9314020729e+01    8.5957411547e+02   -5.8617068038e+01    2.9303047309e+01    1.2218800853e+01    3.4507764181e+00   -7.4286645310e+01    8.2223000000e+04    1.0158455223e+00    9.9675354204e-01
         6   -2.9308883905e+01    8.5926938000e+02   -5.8386902486e+01    2.9078018581e+01    1.2114125016e+01    3.4507764181e+00   -7.3951803920e+01    8.3535000000e+04    5.7854358852e-01    9.9664888512e-01
         7   -2.9308294950e+01    8.5924440655e+02   -5.8496088711e+01    2.9187793761e+01    1.2195707579e+01    3.4507764181e+00   -7.4142572708e+01    8.4505000000e+04    7.8796453774e-01    9.9666296650e-01
         8   -2.9302667497e+01    8.5890061257e+02   -5.8181749418e+01    2.8879081922e+01    1.2195610671e+01    3.4507764181e+00   -7.3828136508e+01    8.4563000000e+04    6.1151435971e-01    9.9674347724e-01
         9   -2.9307660390e+01    8.5919921832e+02   -5.8770991744e+01    2.9463331354e+01    1.2219264808e+01    3.4507764181e+00   -7.4441032971e+01    8.4116000000e+04    5.8047559857e-01    9.9668074155e-01
        10   -2.9311832301e+01    8.5942968372e+02   -5.8742237922e+01    2.9430405621e+01    1.2157987463e+01    3.4507764181e+00   -7.4351001803e+01    8.4505000000e+04    5.3372769058e-01    9.9664818915e-01
        11   -2.9311134765e+01    8.5939118717e+02   -5.8488173692e+01    2.9177038927e+01    1.2073128442e+01    3.4507764181e+00   -7.4012078552e+01    8.3691000000e+04    5.5624918640e-01    9.9666155181e-01
        12   -2.9313691767e+01    8.5954443422e+02   -5.8606613678e+01    2.9292921911e+01    1.2091867334e+01    3.4507764181e+00   -7.4149257429e+01    8.3459000000e+04    6.1815865338e-01    9.9674139457e-01
        13   -2.9322241156e+01    8.6004772110e+02   -5.8435437455e+01    2.9113196299e+01    1.2172819836e+01    3.4507764181e+00   -7.4059033710e+01    8.3164000000e+04    5.2396336198e-01    9.9669606776e-01
        14   -2.9314043447e+01    8.5957646956e+02   -5.8215427846e+01    2.8901384399e+01    1.2130141528e+01    3.4507764181e+00   -7.3796345792e+01    8.2981000000e+04    5.0433816016e-01    9.9677023793e-01
        15   -2.9303155612e+01    8.5892867144e+02   -5.7881399773e+01    2.8578244161e+01    1.2061657195e+01    3.4507764181e+00   -7.3393833386e+01    8.2463000000e+04    6.3170950115e-01    9.9675948412e-01
        16   -2.9318207913e+01    8.5981734175e+02   -5.9324112373e+01    3.0005904460e+01    1.2153469749e+01    3.4507764181e+00   -7.4928358540e+01    8.1185000000e+04    4.4898226857e-01    9.9663631523e-01
        17   -2.9323343524e+01    8.6011985799e+02   -5.8405674956e+01    2.9082331432e+01    1.2130344055e+01    3.4507764181e+00   -7.3986795429e+01    8.1062000000e+04    4.7339928150e-01    9.9677286481e-01
        18   -2.9323058027e+01    8.6009741919e+02   -5.8970060425e+01    2.9647002398e+01    1.2146294969e+01    3.4507764181e+00   -7.4567131812e+01    8.0719000000e+04    4.8330153525e-01    9.9657629975e-01
        19   -2.9315968857e+01    8.5968181822e+02   -5.8602134318e+01    2.9286165461e+01    1.2186995310e+01    3.4507764181e+00   -7.4239906047e+01    8.0540000000e+04    4.6233204007e-01    9.9649754996e-01
        20   -2.9314105455e+01    8.5956456343e+02   -5.8216294329e+01    2.8902188874e+01    1.2129146655e+01    3.4507764181e+00   -7.3796217402e+01    7.9922000000e+04    4.9306014180e-01    9.9662730969e-01
        21   -2.9320046084e+01    8.5991406675e+02   -5.9293998629e+01    2.9973952545e+01    1.2253990158e+01    3.4507764181e+00   -7.4998765205e+01    8.1086000000e+04    5.2963393927e-01    9.9661718298e-01
        22   -2.9317208293e+01    8.5974713073e+02   -5.8923857781e+01    2.9606649488e+01    1.2248426393e+01    3.4507764181e+00   -7.4623060592e+01    8.1497000000e+04    5.4681229591e-01    9.9664876026e-01
        23   -2.9310940117e+01    8.5938754784e+02   -5.8725614122e+01    2.9414674005e+01    1.2251753888e+01    3.4507764181e+00   -7.4428144429e+01    8.1114000000e+04    4.8313385248e-01    9.9671672125e-01
        24   -2.9318916525e+01    8.5985057653e+02   -5.8193203897e+01    2.8874287372e+01    1.2139471981e+01    3.4507764181e+00   -7.3783452296e+01    8.0198000000e+04    4.4539001584e-01    9.9673059386e-01
        25   -2.9312513219e+01    8.5948850232e+02   -5.8669689491e+01    2.9357176271e+01    1.2262960766e+01    3.4507764181e+00   -7.4383426675e+01    7.9923000000e+04    5.0103494525e-01    9.9668598814e-01
        26   -2.9303380588e+01    8.5895050443e+02   -5.9240579708e+01    2.9937199120e+01    1.2257066961e+01    3.4507764181e+00   -7.4948423087e+01    7.9490000000e+04    5.1980602741e-01    9.9666991826e-01
        27   -2.9321217084e+01    8.5998279881e+02   -5.9075636434e+01    2.9754419350e+01    1.2189770167e+01    3.4507764181e+00   -7.4716183018e+01    7.9225000000e+04    4.7591936588e-01    9.9661155413e-01
        28   -2.9320464123e+01    8.5993990315e+02   -5.8702967635e+01    2.9382503512e+01    1.2151673285e+01    3.4507764181e+00   -7.4305417339e+01    7.8855000000e+04    1.2319778949e+00    9.9669967283e-01
        29   -2.9330421704e+01    8.6052266952e+02   -5.8461390172e+01    2.9130968468e+01    1.2169899713e+01    3.4507764181e+00   -7.4082066303e+01    7.9307000000e+04    1.4529130310e+00    9.9665047915e-01
        30   -2.9323181411e+01    8.6009509782e+02   -5.8487812985e+01    2.9164631574e+01    1.2158705760e+01    3.4507764181e+00   -7.4097295163e+01    8.0142000000e+04    1.2854855210e+00    9.9672806307e-01
        31   -2.9319071494e+01    8.5985335071e+02   -5.9086971254e+01    2.9767899760e+01    1.2222672231e+01    3.4507764181e+00   -7.4760419902e+01    8.0571000000e+04    1.2204185128e+00    9.9656454778e-01
        32   -2.9319292364e+01    8.5986879655e+02   -5.8040223162e+01    2.8720930798e+01    1.2093392963e+01    3.4507764181e+00   -7.3584392543e+01    8.0904000000e+04    1.1886564791e+00    9.9678772573e-01
        33   -2.9323832795e+01    8.6013304439e+02   -5.8494818112e+01    2.9170985318e+01    1.2156771980e+01    3.4507764181e+00   -7.4102366510e+01    8.1415000000e+04    1.2344632745e+00    9.9660175358e-01
        34   -2.9313240100e+01    8.5953571047e+02   -5.8914837596e+01    2.9601597496e+01    1.2188085480e+01    3.4507764181e+00   -7.4553699494e+01    8.1093000000e+04    8.2546828687e-01    9.9671163077e-01
        35   -2.9321431171e+01    8.6000047607e+02   -5.7994524210e+01    2.8673093039e+01    1.2114775227e+01    3.4507764181e+00   -7.3560075855e+01    8.1016000000e+04    7.7074171603e-01    9.9669177515e-01
        36   -2.9322980471e+01    8.6008876219e+02   -5.7469495885e+01    2.8146515413e+01    1.1983962543e+01    3.4507764181e+00   -7.2904234846e+01    8.0931000000e+04    6.2795734406e-01    9.9682945800e-01
        37   -2.9330857197e+01    8.6055161853e+02   -5.8018535043e+01    2.8687677846e+01    1.2051126576e+01    3.4507764181e+00   -7.3520438037e+01    8.0356000000e+04    4.8183499277e-01    9.9657946803e-01
        38   -2.9323134339e+01    8.6009836920e+02   -5.8929745445e+01    2.9606611105e+01    1.2126846447e+01    3.4507764181e+00   -7.4507368309e+01    8.0653000000e+04    7.3217032850e-01    9.9670141020e-01
        39   -2.9323264125e+01    8.6012061372e+02   -5.9021075775e+01    2.9697811650e+01    1.2124982759e+01    3.4507764181e+00   -7.4596834952e+01    8.0816000000e+04    5.9119948745e-01    9.9653986554e-01
        40   -2.9317440271e+01    8.5977899880e+02   -5.8719287571e+01    2.9401847300e+01    1.2172448358e+01    3.4507764181e+00   -7.4342512347e+01    8.0390000000e+04    7.7683140337e-01    9.9665224271e-01
        41   -2.9316226472e+01    8.5970993275e+02   -5.7862449011e+01    2.8546222539e+01    1.2052439256e+01    3.4507764181e+00   -7.3365664685e+01    8.1015000000e+04    4.9089910090e-01    9.9675506380e-01
        42   -2.9303362087e+01    8.5896469596e+02   -5.8257894608e+01    2.8954532521e+01    1.2019078898e+01    3.4507764181e+00   -7.3727749924e+01    8.1988000000e+04    4.9500127137e-01    9.9669570296e-01
        43   -2.9315949021e+01    8.5967073152e+02   -5.7882683114e+01    2.8566734093e+01    1.2045535268e+01    3.4507764181e+00   -7.3378994801e+01    8.1627000000e+04    6.2608163059e-01    9.9669992830e-01
        44   -2.9330214757e+01    8.6051582280e+02   -5.8142829515e+01    2.8812614758e+01    1.2035826879e+01    3.4507764181e+00   -7.3629432811e+01    8.2744000000e+04    7.6062786579e-01    9.9677078029e-01
        45   -2.9309445725e+01    8.5930110756e+02   -5.8587980552e+01    2.9278534828e+01    1.2080476700e+01    3.4507764181e+00   -7.4119233670e+01    8.2402000000e+04    5.0451026857e-01    9.9679081601e-01
        46   -2.9314232602e+01    8.5957349690e+02   -5.9258995596e+01    2.9944762994e+01    1.2061083986e+01    3.4507764181e+00   -7.4770856000e+01    8.1808000000e+04    4.5452924073e-01    9.9651343636e-01
        47   -2.9303719374e+01    8.5897593711e+02   -5.9087556545e+01    2.9783837171e+01    1.2186761739e+01    3.4507764181e+00   -7.4725094702e+01    8.1306000000e+04    4.7017462552e-01    9.9671252838e-01
        48   -2.9309996160e+01    8.5933625098e+02   -5.8612000533e+01    2.9302004373e+01    1.2133127710e+01    3.4507764181e+00   -7.4195904661e+01    8.0920000000e+04    4.5257276297e-01    9.9661408651e-01
        49   -2.9304762019e+01    8.5903065082e+02   -5.8033770846e+01    2.8729008827e+01    1.2049202913e+01    3.4507764181e+00   -7.3533750177e+01    8.0601000000e+04    4.7276836634e-01    9.9669656976e-01
        50   -2.9312743826e+01    8.5949425214e+02   -5.7850872754e+01    2.8538128928e+01    1.2002787426e+01    3.4507764181e+00   -7.3304436599e+01    8.1088000000e+04    4.8536925018e-01    9.9675199211e-01
        51   -2.9310062707e+01    8.5933776090e+02   -5.8153731408e+01    2.8843668701e+01    1.1948651064e+01    3.4507764181e+00   -7.3553158890e+01    8.0707000000e+04    4.5368795097e-01    9.9659141437e-01
        52   -2.9313052968e+01    8.5951326338e+02   -5.8253565348e+01    2.8940512380e+01    1.1965563477e+01    3.4507764181e+00   -7.3669905243e+01    8.0294000000e+04    4.4930787385e-01    9.9673091608e-01
        53   -2.9317937332e+01    8.5979393962e+02   -5.7987519636e+01    2.8669582304e+01    1.1968833297e+01    3.4507764181e+00   -7.3407129351e+01    8.0639000000e+04    4.5120523870e-01    9.9667262149e-01
        54   -2.9313068816e+01    8.5950714968e+02   -5.8552724807e+01    2.9239655991e+01    1.1948733939e+01    3.4507764181e+00   -7.3952235165e+01    8.0592000000e+04    4.6858781576e-01    9.9669919430e-01
        55   -2.9317632770e+01    8.5977346813e+02   -5.8481424064e+01    2.9163791294e+01    1.2036836335e+01    3.4507764181e+00   -7.3969036817e+01    8.0882000000e+04    4.5731593668e-01    9.9657835056e-01
        56   -2.9304413703e+01    8.5899147140e+02   -5.7522533877e+01    2.8218120174e+01    1.1980541814e+01    3.4507764181e+00   -7.2953852109e+01    8.1263000000e+04    5.8557628095e-01    9.9672890688e-01
        57   -2.9320620481e+01    8.5995475584e+02   -5.8075214178e+01    2.8754593697e+01    1.2041418016e+01    3.4507764181e+00   -7.3567408612e+01    8.1975000000e+04    5.4509887099e-01    9.9675805950e-01
        58   -2.9316613956e+01    8.5972821856e+02   -5.8627506773e+01    2.9310892816e+01    1.2079855538e+01    3.4507764181e+00   -7.4158138729e+01    8.2551000000e+04    5.0507342815e-01    9.9658908327e-01
        59   -2.9332988065e+01    8.6070304436e+02   -5.9560923025e+01    3.0227934960e+01    1.2193428845e+01    3.4507764181e+00   -7.5205128288e+01    8.3321000000e+04    4.6922445297e-01    9.9656839206e-01
        60   -2.9315968864e+01    8.5968625180e+02   -5.9232610689e+01    2.9916641825e+01    1.2168949735e+01    3.4507764181e+00   -7.4852336842e+01    8.4163000000e+04    6.6515272856e-01    9.9665392314e-01
        61   -2.9318885120e+01    8.5984821512e+02   -5.8424031472e+01    2.9105146353e+01    1.2162151751e+01    3.4507764181e+00   -7.4036959642e+01    8.3724000000e+04    5.4909473658e-01    9.9668001005e-01
        62   -2.9323800620e+01    8.6014448941e+02   -5.8511542030e+01    2.9187741410e+01    1.2133976114e+01    3.4507764181e+00   -7.4096294562e+01    8.3765000000e+04    4.8706126213e-01    9.9663570260e-01
        63   -2.9308816667e+01    8.5927069546e+02   -5.8785442798e+01    2.9476626131e+01    1.2133449495e+01    3.4507764181e+00   -7.4369668711e+01    8.3615000000e+04    5.1300936937e-01    9.9659368947e-01
        64   -2.9305569752e+01    8.5909112917e+02   -5.8694901975e+01    2.9389332223e+01    1.2107882450e+01    3.4507764181e+00   -7.4253560843e+01    8.2979000000e+04    4.6600793302e-01    9.9665879727e-01
        65   -2.9316177117e+01    8.5970110709e+02   -5.8496148139e+01    2.9179971022e+01    1.2097231986e+01    3.4507764181e+00   -7.4044156543e+01    8.2453000000e+04    4.8259676993e-01    9.9677287330e-01
        66   -2.9323546629e+01    8.6011331781e+02   -5.8131975705e+01    2.8808429076e+01    1.2057169977e+01    3.4507764181e+00   -7.3639922100e+01    8.1988000000e+04    7.7692127228e-01    9.9669358411e-01
        67   -2.9322106918e+01    8.6003621133e+02   -5.8625480509e+01    2.9303373592e+01    1.2103767927e+01    3.4507764181e+00   -7.4180024854e+01    8.1291000000e+04    4.8720277846e-01    9.9662457403e-01
        68   -2.9319094035e+01    8.5986275411e+02   -5.7962558264e+01    2.8643464229e+01    1.2105572343e+01    3.4507764181e+00   -7.3518907025e+01    8.1206000000e+04    5.2233530581e-01    9.9667142458e-01
        69   -2.9328182170e+01    8.6039821984e+02   -5.8150256137e+01    2.8822073968e+01    1.2075167543e+01    3.4507764181e+00   -7.3676200099e+01    8.2459000000e+04    4.8824223876e-01    9.9672353674e-01
        70   -2.9333791330e+01    8.6072103577e+02   -5.8234333279e+01    2.8900541949e+01    1.2067421886e+01    3.4507764181e+00   -7.3752531583e+01    8.3123000000e+04    4.6740214527e-01    9.9676635990e-01
        71   -2.9330438361e+01    8.6053320442e+02   -5.7680506221e+01    2.8350067860e+01    1.2019320919e+01    3.4507764181e+00   -7.3150603558e+01    8.2999000000e+04    4.8650039732e-01    9.9659154887e-01
        72   -2.9323775705e+01    8.6015293425e+02   -5.8594556803e+01    2.9270781099e+01    1.2051871241e+01    3.4507764181e+00   -7.4097204462e+01    8.2686000000e+04    4.8592112958e-01    9.9671823203e-01
        73   -2.9322976961e+01    8.6010035874e+02   -5.9001146842e+01    2.9678169880e+01    1.2134969162e+01    3.4507764181e+00   -7.4586892422e+01    8.2531000000e+04    4.6300099790e-01    9.9665327748e-01
        74   -2.9312432945e+01    8.5947967534e+02   -5.9075631554e+01    2.9763198609e+01    1.2156193823e+01    3.4507764181e+00   -7.4682601795e+01    8.2300000000e+04    4.6364778280e-01    9.9658719598e-01
        75   -2.9309921401e+01    8.5932537801e+02   -5.8729771901e+01    2.9419850500e+01    1.2169413928e+01    3.4507764181e+00   -7.4349962246e+01    8.1516000000e+04    4.5639508963e-01    9.9653600056e-01
