# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.9202116823e+01    2.3686280095e-01    1.2798719422e+02    1.2800000000e+02    0.0000000000e+00   -2.9207154547e+01    9.5166791712e-01    1.0000000000e+00
         1   -2.9226811961e+01    2.4440258523e-01    1.2800775870e+02    1.2800000000e+02    0.0000000000e+00   -2.9207154547e+01    9.7146303508e-01    1.0000000000e+00
         2   -2.9254915868e+01    2.8098362064e-01    1.2903864686e+02    1.2900000000e+02    6.2500000000e-02   -2.9212417825e+01    9.5862742539e-01    9.9224806202e-01
         3   -2.9271649235e+01    2.6299939728e-01    1.2806399697e+02    1.2800000000e+02    0.0000000000e+00   -2.9212027777e+01    9.8068935120e-01    1.0000000000e+00
         4   -2.9286402109e+01    2.9320847724e-01    1.2806823733e+02    1.2800000000e+02    0.0000000000e+00   -2.9222749800e+01    9.5088340775e-01    1.0000000000e+00
         5   -2.9280282791e+01    2.6588499833e-01    1.2806135308e+02    1.2800000000e+02    0.0000000000e+00   -2.9232529687e+01    9.5991631808e-01    9.8437500000e-01
         6   -2.9266646189e+01    2.7910875471e-01    1.2606074910e+02    1.2600000000e+02    1.2500000000e-01   -2.9225760067e+01    9.4750656898e-01    1.0000000000e+00
         7   -2.9316694401e+01    2.7467921012e-01    1.2607174141e+02    1.2600000000e+02    0.0000000000e+00   -2.9231299262e+01    9.7228109481e-01    1.0000000000e+00
         8   -2.9290463442e+01    2.4900097733e-01    1.2608334052e+02    1.2600000000e+02    0.0000000000e+00   -2.9233749083e+01    9.5111724679e-01    1.0000000000e+00
         9   -2.9258729875e+01    1.8820730860e-01    1.2603927120e+02    1.2600000000e+02    0.0000000000e+00   -2.9241215412e+01    9.6884329753e-01    1.0000000000e+00
        10   -2.9276511205e+01    2.6780885273e-01    1.2602691475e+02    1.2600000000e+02    0.0000000000e+00   -2.9244565380e+01    9.7455983123e-01    1.0000000000e+00
        11   -2.9234052131e+01    2.4482164164e-01    1.2601215090e+02    1.2600000000e+02    0.0000000000e+00   -2.9244421392e+01    9.7009697390e-01    1.0000000000e+00
        12   -2.9238521427e+01    2.0651106510e-01    1.2598743083e+02    1.2600000000e+02    0.0000000000e+00   -2.9245783180e+01    9.6683242926e-01    9.9206349206e-01
        13   -2.9294451913e+01    2.2512293053e-01    1.2603048051e+02    1.2600000000e+02    6.2500000000e-02   -2.9243669380e+01    9.5432107330e-01    1.0000000000e+00
        14   -2.9246553572e+01    2.5070583986e-01    1.2603335748e+02    1.2600000000e+02    0.0000000000e+00   -2.9242176786e+01    9.5680764161e-01    1.0000000000e+00
        15   -2.9207922429e+01    2.3368239027e-01    1.2597778452e+02    1.2600000000e+02    0.0000000000e+00   -2.9244611904e+01    9.6827658516e-01    1.0000000000e+00
        16   -2.9256330671e+01    2.7748002248e-01    1.2697836835e+02    1.2700000000e+02    6.2500000000e-02   -2.9251654166e+01    9.5747422246e-01    9.9212598425e-01
        17   -2.9267906104e+01    2.8968323676e-01    1.2602608668e+02    1.2600000000e+02    6.2500000000e-02   -2.9240715168e+01    9.5283724081e-01    1.0000000000e+00
        18   -2.9275269180e+01    3.1746774303e-01    1.2603601723e+02    1.2600000000e+02    0.0000000000e+00   -2.9240707787e+01    9.6078756573e-01    1.0000000000e+00
        19   -2.9242661703e+01    3.2911200954e-01    1.2601980313e+02    1.2600000000e+02    0.0000000000e+00   -2.9241310416e+01    9.6458080894e-01    1.0000000000e+00
        20   -2.9190351480e+01    3.0067785093e-01    1.2795466231e+02    1.2800000000e+02    1.2500000000e-01   -2.9257969294e+01    9.4712819595e-01    1.0000000000e+00
        21   -2.9229712309e+01    2.5762393779e-01    1.2794055365e+02    1.2800000000e+02    0.0000000000e+00   -2.9257240361e+01    9.6729455854e-01    1.0000000000e+00
        22   -2.9202051746e+01    2.2748521893e-01    1.2795168064e+02    1.2800000000e+02    0.0000000000e+00   -2.9254199957e+01    9.5885343866e-01    1.0000000000e+00
        23   -2.9286946297e+01    2.4813748085e-01    1.2798836820e+02    1.2800000000e+02    0.0000000000e+00   -2.9253135277e+01    9.6176109900e-01    1.0000000000e+00
        24   -2.9268758705e+01    2.3584943979e-01    1.2803197569e+02    1.2800000000e+02    0.0000000000e+00   -2.9251006796e+01    9.7390690017e-01    1.0000000000e+00
        25   -2.9317715065e+01    2.1158479205e-01    1.2804927672e+02    1.2800000000e+02    0.0000000000e+00   -2.9252444376e+01    9.7029266046e-01    9.9218750000e-01
