#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9297678627e+01    8.5859751808e+02   -5.8326675377e+01    2.9028996749e+01    1.1995861584e+01    3.4507764181e+00   -7.3773313379e+01    2.0239000000e+04    1.2105257809e-01    9.7943718073e-01
         1   -2.9338327209e+01    8.6099866740e+02   -5.8265728264e+01    2.8927401055e+01    1.1941595548e+01    3.4507764181e+00   -7.3658100230e+01    2.1607000000e+04    1.3566496968e-01    9.7892518190e-01
         2   -2.9320837254e+01    8.5996956064e+02   -5.8039664127e+01    2.8718826873e+01    1.1956359727e+01    3.4507764181e+00   -7.3446800272e+01    2.0958000000e+04    1.3255088031e-01    9.7891857489e-01
         3   -2.9306751894e+01    8.5914984547e+02   -5.8537396754e+01    2.9230644860e+01    1.2081130488e+01    3.4507764181e+00   -7.4069303660e+01    2.1173000000e+04    1.3913941383e-01    9.7864004160e-01
         4   -2.9324342779e+01    8.6017886764e+02   -6.0075827942e+01    3.0751485163e+01    1.2260426617e+01    3.4507764181e+00   -7.5787030977e+01    2.1149000000e+04    1.5012483299e-01    9.7842557381e-01
         5   -2.9344230947e+01    8.6134143911e+02   -5.9521320705e+01    3.0177089758e+01    1.2512293927e+01    3.4507764181e+00   -7.5484391050e+01    2.0758000000e+04    1.3953559101e-01    9.7869652470e-01
         6   -2.9352756351e+01    8.6183324131e+02   -5.8574825215e+01    2.9222068863e+01    1.2232302358e+01    3.4507764181e+00   -7.4257903991e+01    2.2299000000e+04    1.6946399212e-01    9.7909156375e-01
         7   -2.9355331519e+01    8.6197962583e+02   -5.9094657743e+01    2.9739326224e+01    1.2312231608e+01    3.4507764181e+00   -7.4857665769e+01    2.1251000000e+04    1.4092811942e-01    9.7861267146e-01
         8   -2.9320007725e+01    8.5993189419e+02   -5.9055103685e+01    2.9735095961e+01    1.2364549394e+01    3.4507764181e+00   -7.4870429497e+01    2.0621000000e+04    1.4587649703e-01    9.7859988661e-01
         9   -2.9339096910e+01    8.6104029555e+02   -5.9415387592e+01    3.0076290682e+01    1.2344251270e+01    3.4507764181e+00   -7.5210415280e+01    2.0729000000e+04    1.2616680562e-01    9.7826498188e-01
