#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9295947617e+01    8.5862704276e+02   -6.0104341081e+01    3.0808393464e+01    1.2470035566e+01    3.4507764181e+00   -7.6025153064e+01    3.2000000000e+02    3.0719339848e-03    6.0091145833e-01
         1   -2.9267014834e+01    8.5681405353e+02   -5.7133830370e+01    2.7866815536e+01    1.1854943796e+01    3.4507764181e+00   -7.2439550585e+01    3.2000000000e+02    4.7575384378e-03    6.0924479167e-01
         2   -2.9175234169e+01    8.5142363537e+02   -5.5711899961e+01    2.6536665792e+01    1.1917005183e+01    3.4507764181e+00   -7.1079681562e+01    3.2000000000e+02    4.9753636122e-03    6.0781250000e-01
         3   -2.9255969508e+01    8.5615413656e+02   -6.0290506409e+01    3.1034536900e+01    1.2148616347e+01    3.4507764181e+00   -7.5889899173e+01    3.2000000000e+02    5.9866607189e-03    5.9388020833e-01
         4   -2.9178159043e+01    8.5166303383e+02   -6.5209373108e+01    3.6031214065e+01    1.2387143981e+01    3.4507764181e+00   -8.1047293508e+01    3.2000000000e+02    6.5673589706e-03    5.9986979167e-01
         5   -2.9275011221e+01    8.5727627077e+02   -6.0042183203e+01    3.0767171982e+01    1.2767569712e+01    3.4507764181e+00   -7.6260529333e+01    3.2000000000e+02    3.2732784748e-03    6.0898437500e-01
         6   -2.9274140121e+01    8.5725201936e+02   -5.8508066001e+01    2.9233925880e+01    1.2455531383e+01    3.4507764181e+00   -7.4414373802e+01    3.2000000000e+02    4.4955611229e-03    6.0820312500e-01
         7   -2.9298747007e+01    8.5871441291e+02   -6.6323780790e+01    3.7025033783e+01    1.2723250171e+01    3.4507764181e+00   -8.2497807379e+01    3.2000000000e+02    3.2940059900e-03    6.0468750000e-01
         8   -2.9236618121e+01    8.5508567619e+02   -6.1032112246e+01    3.1795494125e+01    1.2245775719e+01    3.4507764181e+00   -7.6728664384e+01    3.2000000000e+02    3.2487958670e-03    6.0416666667e-01
         9   -2.9313604761e+01    8.5950967028e+02   -5.4097109218e+01    2.4783504457e+01    1.1751933668e+01    3.4507764181e+00   -6.9299819304e+01    3.2000000000e+02    3.3300220966e-03    6.0299479167e-01
        10   -2.9367608574e+01    8.6276186693e+02   -6.3820638913e+01    3.4453030339e+01    1.2412105927e+01    3.4507764181e+00   -7.9683521258e+01    3.2000000000e+02    3.2324492931e-03    5.9648437500e-01
        11   -2.9120194206e+01    8.4828212474e+02   -6.5991823770e+01    3.6871629564e+01    1.2439782966e+01    3.4507764181e+00   -8.1882383154e+01    3.2000000000e+02    3.2446384430e-03    5.9479166667e-01
        12   -2.9175279991e+01    8.5141067881e+02   -6.0740767212e+01    3.1565487221e+01    1.1916511279e+01    3.4507764181e+00   -7.6108054909e+01    3.2000000000e+02    3.2299309969e-03    6.2148437500e-01
