#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9264474152e+01    8.5693548645e+02   -5.8099167431e+01    2.8834693278e+01    1.2170440747e+01    3.4507764181e+00   -7.3720384595e+01    1.2800000000e+03    4.0987432003e-02    5.9825195313e-01
         1   -2.9279249948e+01    8.5779465979e+02   -6.0450675460e+01    3.1171425512e+01    1.2093977018e+01    3.4507764181e+00   -7.5995428896e+01    1.2800000000e+03    3.3863678575e-02    5.9674804688e-01
         2   -2.9252782563e+01    8.5621659611e+02   -5.7507991025e+01    2.8255208463e+01    1.2254143811e+01    3.4507764181e+00   -7.3212911255e+01    1.2800000000e+03    3.3471301198e-02    5.9596679688e-01
         3   -2.9269114316e+01    8.5718237763e+02   -5.8701287087e+01    2.9432172771e+01    1.2294022667e+01    3.4507764181e+00   -7.4446086172e+01    1.2800000000e+03    3.3550322056e-02    5.9708007813e-01
         4   -2.9265591967e+01    8.5696010374e+02   -5.5986039117e+01    2.6720447150e+01    1.2047119858e+01    3.4507764181e+00   -7.1483935393e+01    1.2800000000e+03    3.3503115177e-02    5.9828125000e-01
         5   -2.9253016429e+01    8.5624415520e+02   -5.8206909685e+01    2.8953893256e+01    1.2256783946e+01    3.4507764181e+00   -7.3914470049e+01    1.2800000000e+03    3.3630177379e-02    5.9977539063e-01
         6   -2.9245806398e+01    8.5577554133e+02   -5.6717676863e+01    2.7471870465e+01    1.2035014116e+01    3.4507764181e+00   -7.2203467397e+01    1.2800000000e+03    3.2957434654e-02    5.9698242188e-01
         7   -2.9288022348e+01    8.5825706252e+02   -5.6762649740e+01    2.7474627392e+01    1.1842903840e+01    3.4507764181e+00   -7.2056329998e+01    1.2800000000e+03    3.3297970891e-02    5.9858398438e-01
         8   -2.9299896571e+01    8.5896325204e+02   -5.7610926995e+01    2.8311030424e+01    1.2104483307e+01    3.4507764181e+00   -7.3166186720e+01    1.2800000000e+03    3.3478319645e-02    5.9800781250e-01
         9   -2.9298025735e+01    8.5885740747e+02   -5.9224356101e+01    2.9926330366e+01    1.2246422873e+01    3.4507764181e+00   -7.4921555391e+01    1.2800000000e+03    3.3409744501e-02    5.9716796875e-01
        10   -2.9253463510e+01    8.5628644424e+02   -6.0927786657e+01    3.1674323147e+01    1.2147400944e+01    3.4507764181e+00   -7.6525964019e+01    1.2800000000e+03    3.3327102661e-02    5.9795898437e-01
        11   -2.9285836110e+01    8.5814680390e+02   -5.7028692348e+01    2.7742856238e+01    1.2149301053e+01    3.4507764181e+00   -7.2628769819e+01    1.2800000000e+03    3.3808931708e-02    5.9803710938e-01
        12   -2.9253337029e+01    8.5623651525e+02   -6.0019637765e+01    3.0766300736e+01    1.2096489849e+01    3.4507764181e+00   -7.5566904031e+01    1.2800000000e+03    3.3715665340e-02    5.9474609375e-01
        13   -2.9255885022e+01    8.5641693575e+02   -5.8944600950e+01    2.9688715929e+01    1.2200998933e+01    3.4507764181e+00   -7.4596376302e+01    1.2800000000e+03    3.3904179931e-02    6.0081054688e-01
        14   -2.9281418296e+01    8.5791327669e+02   -5.8106417532e+01    2.8824999236e+01    1.2216543050e+01    3.4507764181e+00   -7.3773737000e+01    1.2800000000e+03    3.4250155091e-02    5.9901367187e-01
        15   -2.9268267855e+01    8.5715983883e+02   -5.9224438582e+01    2.9956170727e+01    1.2298967468e+01    3.4507764181e+00   -7.4974182469e+01    1.2800000000e+03    3.4376323223e-02    5.9583007813e-01
        16   -2.9278221298e+01    8.5769851252e+02   -5.6917639184e+01    2.7639417886e+01    1.2121778987e+01    3.4507764181e+00   -7.2490194589e+01    1.2800000000e+03    3.4243449569e-02    5.9886718750e-01
        17   -2.9291713700e+01    8.5849566381e+02   -5.7803931041e+01    2.8512217341e+01    1.1996809983e+01    3.4507764181e+00   -7.3251517442e+01    1.2800000000e+03    3.3683672547e-02    5.9528320313e-01
        18   -2.9264626436e+01    8.5689676478e+02   -5.8552862450e+01    2.9288236014e+01    1.2174066607e+01    3.4507764181e+00   -7.4177705476e+01    1.2800000000e+03    3.4277796745e-02    5.9768554687e-01
        19   -2.9239308612e+01    8.5542238925e+02   -5.8422336631e+01    2.9183028020e+01    1.2096068895e+01    3.4507764181e+00   -7.3969181944e+01    1.2800000000e+03    3.3729627728e-02    5.9626953125e-01
