#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9234645834e+01    8.5508726954e+02   -5.8185547219e+01    2.8950901385e+01    1.2035663596e+01    3.4507764181e+00   -7.3671987233e+01    3.2000000000e+02    2.3461282253e-03    7.7513020833e-01
         1   -2.9245518944e+01    8.5570644011e+02   -5.9522073148e+01    3.0276554205e+01    1.2311211038e+01    3.4507764181e+00   -7.5284060604e+01    3.2000000000e+02    2.7965009212e-03    7.7604166667e-01
         2   -2.9211673729e+01    8.5376029153e+02   -5.5709951114e+01    2.6498277385e+01    1.2357460695e+01    3.4507764181e+00   -7.1518188227e+01    3.2000000000e+02    6.1971247196e-03    7.7864583333e-01
         3   -2.9248311761e+01    8.5592595152e+02   -5.4589092942e+01    2.5340781180e+01    1.2125031459e+01    3.4507764181e+00   -7.0164900818e+01    3.2000000000e+02    6.1760097742e-03    7.8893229167e-01
         4   -2.9283534757e+01    8.5813411616e+02   -5.7101961790e+01    2.7818427033e+01    1.2290953719e+01    3.4507764181e+00   -7.2843691927e+01    3.2000000000e+02    5.2700787783e-03    7.7578125000e-01
         5   -2.9231475282e+01    8.5504156246e+02   -5.9531557404e+01    3.0300082122e+01    1.2282765937e+01    3.4507764181e+00   -7.5265099759e+01    3.2000000000e+02    2.6955902576e-03    7.7656250000e-01
         6   -2.9206861909e+01    8.5347132652e+02   -5.5986991721e+01    2.6780129812e+01    1.2307154552e+01    3.4507764181e+00   -7.1744922691e+01    3.2000000000e+02    4.0645897388e-03    7.8346354167e-01
         7   -2.9297323759e+01    8.5887880613e+02   -6.5490299558e+01    3.6192975798e+01    1.2617582625e+01    3.4507764181e+00   -8.1558658601e+01    3.2000000000e+02    5.0204545259e-03    7.6888020833e-01
         8   -2.9327507743e+01    8.6056227854e+02   -5.7847178923e+01    2.8519671181e+01    1.2360591670e+01    3.4507764181e+00   -7.3658547012e+01    3.2000000000e+02    3.0487924814e-03    7.8437500000e-01
         9   -2.9271563396e+01    8.5731550360e+02   -5.5982262276e+01    2.6710698880e+01    1.2276868752e+01    3.4507764181e+00   -7.1709907446e+01    3.2000000000e+02    2.9848664999e-03    7.8763020833e-01
