#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.8678124634e+01    8.4319494414e+02   -6.4932440479e+01    3.6254315846e+01    1.3843137254e+01    3.4507764181e+00   -8.2226354152e+01    1.6000000000e+02    1.8841177225e-03    7.5937500000e-01
         1   -2.9168102908e+01    8.5953868464e+02   -6.6715266703e+01    3.7547163794e+01    1.2877974416e+01    3.4507764181e+00   -8.3044017537e+01    1.6000000000e+02    1.1874735355e-03    7.6588541667e-01
         2   -2.9085979121e+01    8.5210499006e+02   -5.5623922275e+01    2.6537943154e+01    1.2527925132e+01    3.4507764181e+00   -7.1602623826e+01    1.6000000000e+02    2.6176124811e-03    7.8125000000e-01
         3   -2.9308074136e+01    8.6353546997e+02   -5.6075918326e+01    2.6767844190e+01    1.2362140945e+01    3.4507764181e+00   -7.1888835690e+01    1.6000000000e+02    8.9216232300e-04    7.7994791667e-01
         4   -2.8825594968e+01    8.4275127093e+02   -5.8097123862e+01    2.9271528894e+01    1.3010284250e+01    3.4507764181e+00   -7.4558184530e+01    1.6000000000e+02    8.6656212807e-04    7.7630208333e-01
         5   -2.9219216540e+01    8.5855434505e+02   -6.3383916155e+01    3.4164699615e+01    1.2735004522e+01    3.4507764181e+00   -7.9569697095e+01    1.6000000000e+02    8.6347758770e-04    7.7109375000e-01
         6   -2.9132858232e+01    8.5388709748e+02   -5.7149553322e+01    2.8016695089e+01    1.2725109876e+01    3.4507764181e+00   -7.3325439616e+01    1.6000000000e+02    9.3033909798e-04    7.8020833333e-01
         7   -2.8928143785e+01    8.4289851627e+02   -5.5184010405e+01    2.6255866620e+01    1.2507070618e+01    3.4507764181e+00   -7.1141857441e+01    1.6000000000e+02    8.9162588120e-04    7.8046875000e-01
         8   -2.9205887056e+01    8.5770809271e+02   -5.8171844323e+01    2.8965957267e+01    1.2709083458e+01    3.4507764181e+00   -7.4331704199e+01    1.6000000000e+02    8.7034702301e-04    7.8359375000e-01
         9   -2.8932365625e+01    8.4554401230e+02   -5.6934217996e+01    2.8001852371e+01    1.2680461653e+01    3.4507764181e+00   -7.3065456067e+01    1.6000000000e+02    3.1294077635e-03    7.8906250000e-01
        10   -2.9222566534e+01    8.5870527097e+02   -6.0455489666e+01    3.1232923132e+01    1.2399801079e+01    3.4507764181e+00   -7.6306067163e+01    1.6000000000e+02    9.3333423138e-04    7.7447916667e-01
        11   -2.8870961385e+01    8.3860844627e+02   -5.9020583704e+01    3.0149622318e+01    1.2855197182e+01    3.4507764181e+00   -7.5326557304e+01    1.6000000000e+02    8.6735188961e-04    7.7526041667e-01
        12   -2.7842501645e+01    8.8450302780e+02   -6.3163474039e+01    3.5320972394e+01    1.2401470398e+01    3.4507764181e+00   -7.9015720855e+01    1.6000000000e+02    9.0144574642e-04    7.8593750000e-01
        13   -2.8928124092e+01    8.4295432076e+02   -5.4429870783e+01    2.5501746691e+01    1.2382783093e+01    3.4507764181e+00   -7.0263430294e+01    1.6000000000e+02    4.1469186544e-03    7.8307291667e-01
        14   -2.9212540916e+01    8.5814024689e+02   -5.3209599943e+01    2.3997059027e+01    1.2232240730e+01    3.4507764181e+00   -6.8892617090e+01    1.6000000000e+02    1.0898709297e-03    7.9401041667e-01
        15   -2.8634343520e+01    8.2667586119e+02   -6.4247340398e+01    3.5612996878e+01    1.3109529529e+01    3.4507764181e+00   -8.0807646346e+01    1.6000000000e+02    1.0511875153e-03    7.7187500000e-01
        16   -2.9226412848e+01    8.6732182567e+02   -7.2982095729e+01    4.3755682881e+01    1.3283596063e+01    3.4507764181e+00   -8.9716468210e+01    1.6000000000e+02    3.7880986929e-03    7.7500000000e-01
        17   -2.8668652332e+01    8.4865278989e+02   -6.3293030926e+01    3.4624378594e+01    1.3536986335e+01    3.4507764181e+00   -8.0280793679e+01    1.6000000000e+02    9.7446143627e-04    7.6015625000e-01
        18   -2.9512782636e+01    8.7466478511e+02   -5.5718917067e+01    2.6206134431e+01    1.2096716806e+01    3.4507764181e+00   -7.1266410292e+01    1.6000000000e+02    9.6829235554e-04    7.9348958333e-01
        19   -2.9343653522e+01    8.6529554003e+02   -6.4188984480e+01    3.4845330959e+01    1.2914439233e+01    3.4507764181e+00   -8.0554200131e+01    1.6000000000e+02    1.2470483780e-03    7.7161458333e-01
        20   -2.8826780399e+01    8.3801500020e+02   -5.7417186258e+01    2.8590405859e+01    1.3175717982e+01    3.4507764181e+00   -7.4043680659e+01    1.6000000000e+02    1.0315477848e-03    7.7291666667e-01
        21   -2.9280599075e+01    8.6060857243e+02   -5.5032481563e+01    2.5751882488e+01    1.1867461874e+01    3.4507764181e+00   -7.0350719855e+01    1.6000000000e+02    1.0401606560e-03    7.9010416667e-01
        22   -2.8664811642e+01    8.3469850679e+02   -6.1791612940e+01    3.3126801297e+01    1.2426173739e+01    3.4507764181e+00   -7.7668563096e+01    1.6000000000e+02    1.0403245687e-03    7.6380208333e-01
        23   -2.8804596493e+01    8.3787324948e+02   -5.4366702496e+01    2.5562106004e+01    1.2252787065e+01    3.4507764181e+00   -7.0070265979e+01    1.6000000000e+02    1.6656219959e-03    7.8489583333e-01
        24   -2.8773278841e+01    8.3783834746e+02   -6.0377138389e+01    3.1603859548e+01    1.2760289399e+01    3.4507764181e+00   -7.6588204206e+01    1.6000000000e+02    1.0980814695e-03    7.8671875000e-01
        25   -2.9083991757e+01    8.5670740965e+02   -6.9197590170e+01    4.0113598412e+01    1.2626547137e+01    3.4507764181e+00   -8.5274913724e+01    1.6000000000e+02    1.0362118483e-03    7.7630208333e-01
        26   -2.9388433067e+01    8.6957021474e+02   -6.1395652026e+01    3.2007218959e+01    1.2179495255e+01    3.4507764181e+00   -7.7025923699e+01    1.6000000000e+02    1.0604113340e-03    7.8463541667e-01
        27   -2.8949299391e+01    8.4585712244e+02   -6.2447329374e+01    3.3498029983e+01    1.2615816394e+01    3.4507764181e+00   -7.8513922186e+01    1.6000000000e+02    1.0418742895e-03    7.6796875000e-01
        28   -2.9075007895e+01    8.5510596344e+02   -5.7008601667e+01    2.7933593772e+01    1.2515881854e+01    3.4507764181e+00   -7.2975259939e+01    1.6000000000e+02    1.0301321745e-03    7.6484375000e-01
        29   -2.9026413397e+01    8.4639816597e+02   -4.9400830597e+01    2.0374417199e+01    1.2096938705e+01    3.4507764181e+00   -6.4948545720e+01    1.6000000000e+02    1.0386556387e-03    7.8437500000e-01
        30   -2.8770820448e+01    8.3710096663e+02   -5.5234683434e+01    2.6463862987e+01    1.2671170020e+01    3.4507764181e+00   -7.1356629872e+01    1.6000000000e+02    1.0405778885e-03    7.8932291667e-01
        31   -2.9320785053e+01    8.6401854240e+02   -5.6704619515e+01    2.7383834462e+01    1.2596353552e+01    3.4507764181e+00   -7.2751749485e+01    1.6000000000e+02    1.0522902012e-03    7.7968750000e-01
        32   -2.9291893641e+01    8.6252879340e+02   -5.7501695873e+01    2.8209802231e+01    1.2656779168e+01    3.4507764181e+00   -7.3609251459e+01    1.6000000000e+02    1.0325759649e-03    7.6406250000e-01
        33   -2.9156924730e+01    8.5649957462e+02   -5.6859285050e+01    2.7702360320e+01    1.2917370127e+01    3.4507764181e+00   -7.3227431596e+01    1.6000000000e+02    1.0338127613e-03    7.7161458333e-01
        34   -2.9445644320e+01    8.7119087080e+02   -5.9107973222e+01    2.9662328902e+01    1.2662740771e+01    3.4507764181e+00   -7.5221490411e+01    1.6000000000e+02    1.0486990213e-03    7.7421875000e-01
        35   -2.9234515368e+01    8.5970966749e+02   -6.1186120046e+01    3.1951604677e+01    1.2454651267e+01    3.4507764181e+00   -7.7091547731e+01    1.6000000000e+02    1.0348111391e-03    7.7447916667e-01
        36   -2.9073729397e+01    8.6340401468e+02   -6.5131886215e+01    3.6058156818e+01    1.2660210995e+01    3.4507764181e+00   -8.1242873628e+01    1.6000000000e+02    1.0327100754e-03    7.7317708333e-01
        37   -2.9405432571e+01    8.6788712864e+02   -5.7563594046e+01    2.8158161475e+01    1.2315407662e+01    3.4507764181e+00   -7.3329778126e+01    1.6000000000e+02    1.0576397181e-03    7.8359375000e-01
        38   -2.9056504701e+01    8.4943606654e+02   -5.5459789910e+01    2.6403285209e+01    1.2259436244e+01    3.4507764181e+00   -7.1170002572e+01    1.6000000000e+02    1.0410994291e-03    7.8645833333e-01
        39   -2.9192127028e+01    8.5725253936e+02   -5.8577004914e+01    2.9384877886e+01    1.2158449690e+01    3.4507764181e+00   -7.4186231022e+01    1.6000000000e+02    1.0399222374e-03    7.8385416667e-01
        40   -2.8761742565e+01    8.3210166631e+02   -5.4260876789e+01    2.5499134223e+01    1.2323077650e+01    3.4507764181e+00   -7.0034730857e+01    1.6000000000e+02    1.0501295328e-03    7.8567708333e-01
        41   -2.8972539425e+01    8.4358466195e+02   -6.2295670324e+01    3.3323130899e+01    1.2484960028e+01    3.4507764181e+00   -7.8231406770e+01    1.6000000000e+02    1.0329931974e-03    7.6848958333e-01
        42   -2.9089175304e+01    8.5759790521e+02   -6.3978335155e+01    3.4889159851e+01    1.2781370554e+01    3.4507764181e+00   -8.0210482127e+01    1.6000000000e+02    1.0343492031e-03    7.7890625000e-01
        43   -2.9647523562e+01    8.8832853875e+02   -6.1281666797e+01    3.1634143235e+01    1.2271578459e+01    3.4507764181e+00   -7.7004021675e+01    1.6000000000e+02    1.0682791471e-03    7.8125000000e-01
        44   -2.8573632815e+01    8.4668796968e+02   -5.7570856235e+01    2.8997223420e+01    1.3063756130e+01    3.4507764181e+00   -7.4085388783e+01    1.6000000000e+02    1.0493248701e-03    7.8385416667e-01
        45   -2.9715918907e+01    8.8763455250e+02   -6.3271413637e+01    3.3555494730e+01    1.1928712531e+01    3.4507764181e+00   -7.8650902586e+01    1.6000000000e+02    1.0332018137e-03    7.7447916667e-01
        46   -2.7796921554e+01    8.4860825669e+02   -6.4766771642e+01    3.6969850088e+01    1.2567795194e+01    3.4507764181e+00   -8.0785343254e+01    1.6000000000e+02    1.0386407375e-03    7.9348958333e-01
        47   -2.8221574545e+01    8.1165217654e+02   -6.3501206904e+01    3.5279632360e+01    1.3306661718e+01    3.4507764181e+00   -8.0258645040e+01    1.6000000000e+02    1.0358244181e-03    7.7604166667e-01
        48   -2.9168894356e+01    8.5569705582e+02   -5.9422905509e+01    3.0254011153e+01    1.2455228090e+01    3.4507764181e+00   -7.5328910017e+01    1.6000000000e+02    1.0350793600e-03    7.8125000000e-01
        49   -2.8852620642e+01    8.4281723954e+02   -6.0402598542e+01    3.1549977899e+01    1.2199053622e+01    3.4507764181e+00   -7.6052428582e+01    1.6000000000e+02    1.0699182749e-03    7.8619791667e-01
        50   -2.9201122375e+01    8.5771022726e+02   -5.9969791328e+01    3.0768668952e+01    1.2505895136e+01    3.4507764181e+00   -7.5926462882e+01    1.6000000000e+02    1.0373890400e-03    7.6875000000e-01
        51   -2.9065978462e+01    8.5226416218e+02   -5.9209897101e+01    3.0143918639e+01    1.2056387084e+01    3.4507764181e+00   -7.4717060603e+01    1.6000000000e+02    1.0348111391e-03    7.7838541667e-01
        52   -2.9106684118e+01    8.5284576817e+02   -5.8281476880e+01    2.9174792762e+01    1.2272936869e+01    3.4507764181e+00   -7.4005190166e+01    1.6000000000e+02    1.0353922844e-03    7.7812500000e-01
        53   -2.9280761610e+01    8.6317347589e+02   -5.8943531174e+01    2.9662769564e+01    1.2208621139e+01    3.4507764181e+00   -7.4602928731e+01    1.6000000000e+02    1.0607093573e-03    7.7760416667e-01
        54   -2.9279870818e+01    8.6297660221e+02   -5.5714368245e+01    2.6434497427e+01    1.2354851145e+01    3.4507764181e+00   -7.1519995808e+01    1.6000000000e+02    1.0580569506e-03    7.9140625000e-01
        55   -2.9385530603e+01    8.6910632581e+02   -5.4594457633e+01    2.5208927029e+01    1.1918491916e+01    3.4507764181e+00   -6.9963725967e+01    1.6000000000e+02    1.0390728712e-03    7.8489583333e-01
        56   -2.9113579122e+01    8.5282395674e+02   -5.6457737495e+01    2.7344158373e+01    1.2463898891e+01    3.4507764181e+00   -7.2372412804e+01    1.6000000000e+02    1.1536478996e-03    8.0312500000e-01
        57   -2.9548815112e+01    8.7706952472e+02   -5.9325712745e+01    2.9776897633e+01    1.2212401624e+01    3.4507764181e+00   -7.4988890787e+01    1.6000000000e+02    1.0396987200e-03    7.7552083333e-01
        58   -2.9344198842e+01    8.6399427474e+02   -5.6958195095e+01    2.7613996253e+01    1.2092658000e+01    3.4507764181e+00   -7.2501629513e+01    1.6000000000e+02    1.0489821434e-03    7.8906250000e-01
        59   -2.9579148818e+01    8.9051993069e+02   -6.5846704547e+01    3.6267555729e+01    1.2814560205e+01    3.4507764181e+00   -8.2112041170e+01    1.6000000000e+02    1.0502934456e-03    7.6171875000e-01
        60   -2.9114855553e+01    8.7729625185e+02   -6.4532441622e+01    3.5417586069e+01    1.3004296616e+01    3.4507764181e+00   -8.0987514655e+01    1.6000000000e+02    1.0352283716e-03    7.7526041667e-01
        61   -2.9246439548e+01    8.6035354217e+02   -6.3177674903e+01    3.3931235354e+01    1.2228830288e+01    3.4507764181e+00   -7.8857281609e+01    1.6000000000e+02    1.0379999876e-03    7.6770833333e-01
        62   -2.9037726853e+01    8.4841961849e+02   -5.8935342322e+01    2.9897615469e+01    1.2736243571e+01    3.4507764181e+00   -7.5122362311e+01    1.6000000000e+02    1.0325312614e-03    7.7812500000e-01
        63   -2.9140196348e+01    8.5254012321e+02   -5.2650921426e+01    2.3510725078e+01    1.1708814326e+01    3.4507764181e+00   -6.7810512170e+01    1.6000000000e+02    1.0550320148e-03    8.0156250000e-01
        64   -2.9023293307e+01    8.4904318254e+02   -5.6906302901e+01    2.7883009594e+01    1.2513850456e+01    3.4507764181e+00   -7.2870929776e+01    1.6000000000e+02    1.0545551777e-03    7.7812500000e-01
        65   -2.8812285647e+01    8.5253708858e+02   -6.4310124829e+01    3.5497839182e+01    1.2615323686e+01    3.4507764181e+00   -8.0376224933e+01    1.6000000000e+02    1.0378062725e-03    7.7213541667e-01
        66   -2.9478016235e+01    8.7171964371e+02   -5.5058104926e+01    2.5580088690e+01    1.1617513033e+01    3.4507764181e+00   -7.0126394377e+01    1.6000000000e+02    1.0397732258e-03    7.9036458333e-01
        67   -2.9188853307e+01    8.5413020063e+02   -5.4623145093e+01    2.5434291785e+01    1.2421330045e+01    3.4507764181e+00   -7.0495251555e+01    1.6000000000e+02    1.1190176010e-03    7.7734375000e-01
        68   -2.8942542980e+01    8.4637544928e+02   -6.3074263338e+01    3.4131720357e+01    1.2320038884e+01    3.4507764181e+00   -7.8845078639e+01    1.6000000000e+02    1.0589361191e-03    7.8776041667e-01
        69   -2.9007861644e+01    8.4791111614e+02   -5.6663069112e+01    2.7655207468e+01    1.2614745054e+01    3.4507764181e+00   -7.2728590585e+01    1.6000000000e+02    1.0687857866e-03    7.8281250000e-01
        70   -2.9418915105e+01    8.6923772387e+02   -6.1631062158e+01    3.2212147053e+01    1.2249741017e+01    3.4507764181e+00   -7.7331579594e+01    1.6000000000e+02    1.0326057673e-03    7.6692708333e-01
        71   -2.9401885805e+01    8.6749257953e+02   -5.8141931635e+01    2.8740045830e+01    1.2176468093e+01    3.4507764181e+00   -7.3769176146e+01    1.6000000000e+02    1.0330080986e-03    7.7369791667e-01
        72   -2.9438539900e+01    8.7454280685e+02   -5.6565019366e+01    2.7126479466e+01    1.2634278681e+01    3.4507764181e+00   -7.2650074465e+01    1.6000000000e+02    1.0674744844e-03    7.6848958333e-01
        73   -2.9444171432e+01    8.7190149688e+02   -6.3140432759e+01    3.3696261327e+01    1.2586623047e+01    3.4507764181e+00   -7.9177832224e+01    1.6000000000e+02    1.0405629873e-03    7.7083333333e-01
        74   -2.9303638097e+01    8.7055933589e+02   -6.4661728538e+01    3.5358090441e+01    1.2436706219e+01    3.4507764181e+00   -8.0549211175e+01    1.6000000000e+02    1.0642707348e-03    7.7994791667e-01
        75   -2.8933753970e+01    8.4148102646e+02   -5.8594112464e+01    2.9660358494e+01    1.2413443207e+01    3.4507764181e+00   -7.4458332089e+01    1.6000000000e+02    1.0407716036e-03    7.6822916667e-01
        76   -2.8991443156e+01    8.4621923469e+02   -5.6072151381e+01    2.7080708225e+01    1.2537403895e+01    3.4507764181e+00   -7.2060331694e+01    1.6000000000e+02    1.0357499123e-03    7.8020833333e-01
        77   -2.9465384481e+01    8.7109806074e+02   -5.5052447751e+01    2.5587063270e+01    1.1529250571e+01    3.4507764181e+00   -7.0032474741e+01    1.6000000000e+02    1.0333955288e-03    7.7604166667e-01
        78   -3.0621957427e+01    1.2560876850e+03   -6.3347261971e+01    3.2725304544e+01    1.1790481783e+01    3.4507764181e+00   -7.8588520172e+01    1.6000000000e+02    1.0420531034e-03    7.7578125000e-01
        79   -2.9401264047e+01    8.6805628958e+02   -5.8440979124e+01    2.9039715077e+01    1.2054872448e+01    3.4507764181e+00   -7.3946627990e+01    1.6000000000e+02    1.0395944118e-03    7.8880208333e-01
        80   -2.8916921957e+01    8.4192913216e+02   -6.0191779660e+01    3.1274857702e+01    1.2595106922e+01    3.4507764181e+00   -7.6237663000e+01    1.6000000000e+02    1.0624080896e-03    7.7656250000e-01
        81   -2.8644130754e+01    8.3179462114e+02   -6.2033596043e+01    3.3389465289e+01    1.3367539723e+01    3.4507764181e+00   -7.8851912184e+01    1.6000000000e+02    1.0401606560e-03    7.6015625000e-01
        82   -2.8834335723e+01    8.3577133208e+02   -5.6383719144e+01    2.7549383420e+01    1.2839346941e+01    3.4507764181e+00   -7.2673842503e+01    1.6000000000e+02    1.0329633951e-03    7.7526041667e-01
        83   -2.9134136127e+01    8.5686294587e+02   -5.5023535655e+01    2.5889399529e+01    1.2567652020e+01    3.4507764181e+00   -7.1041964094e+01    1.6000000000e+02    1.0350793600e-03    7.8255208333e-01
        84   -2.9001337478e+01    8.4611204894e+02   -5.8948600658e+01    2.9947263180e+01    1.3175116433e+01    3.4507764181e+00   -7.5574493509e+01    1.6000000000e+02    1.0543912649e-03    7.6562500000e-01
        85   -2.9166720514e+01    8.5344719293e+02   -5.3765139017e+01    2.4598418502e+01    1.2737409901e+01    3.4507764181e+00   -6.9953325336e+01    1.6000000000e+02    1.0600090027e-03    7.9062500000e-01
        86   -2.8571543043e+01    8.2262083493e+02   -6.0989228570e+01    3.2417685527e+01    1.2505994301e+01    3.4507764181e+00   -7.6945999289e+01    1.6000000000e+02    1.0353177786e-03    7.8072916667e-01
        87   -2.9145504165e+01    8.5314550746e+02   -5.2879513011e+01    2.3734008846e+01    1.1885358256e+01    3.4507764181e+00   -6.8215647685e+01    1.6000000000e+02    1.0706633329e-03    7.8750000000e-01
        88   -2.9245351265e+01    8.5816022569e+02   -5.4288674226e+01    2.5043322961e+01    1.2374005496e+01    3.4507764181e+00   -7.0113456140e+01    1.6000000000e+02    1.0464787483e-03    7.9322916667e-01
        89   -2.9386125221e+01    8.6559143489e+02   -5.4434552641e+01    2.5048427419e+01    1.1879417291e+01    3.4507764181e+00   -6.9764746349e+01    1.6000000000e+02    1.0403692722e-03    7.8932291667e-01
        90   -2.9110820719e+01    8.5335352303e+02   -6.7223016571e+01    3.8112195852e+01    1.3082973319e+01    3.4507764181e+00   -8.3756766308e+01    1.6000000000e+02    1.0578334332e-03    7.5937500000e-01
        91   -2.9241504108e+01    8.6030567495e+02   -6.7300600877e+01    3.8059096769e+01    1.3069203882e+01    3.4507764181e+00   -8.3820581177e+01    1.6000000000e+02    1.0271817446e-03    7.5572916667e-01
        92   -2.8436476902e+01    8.1668075663e+02   -6.2839357325e+01    3.4402880423e+01    1.3173539947e+01    3.4507764181e+00   -7.9463673690e+01    1.6000000000e+02    1.0317265987e-03    7.7369791667e-01
        93   -2.9013404630e+01    8.4956660204e+02   -5.9176124228e+01    3.0162719598e+01    1.2978329606e+01    3.4507764181e+00   -7.5605230252e+01    1.6000000000e+02    1.0547339916e-03    7.7968750000e-01
        94   -2.9091845203e+01    8.5244341494e+02   -6.1532090422e+01    3.2440245218e+01    1.2567821832e+01    3.4507764181e+00   -7.7550688672e+01    1.6000000000e+02    1.0359287262e-03    7.8229166667e-01
        95   -2.9119106509e+01    8.5277563034e+02   -5.7749906316e+01    2.8630799807e+01    1.2849899826e+01    3.4507764181e+00   -7.4050582560e+01    1.6000000000e+02    1.0345727205e-03    7.7473958333e-01
        96   -2.8870935330e+01    8.4351917333e+02   -5.8191892926e+01    2.9320957595e+01    1.2807891792e+01    3.4507764181e+00   -7.4450561136e+01    1.6000000000e+02    1.0514855385e-03    7.7109375000e-01
        97   -2.9065620155e+01    8.4989603743e+02   -5.3396459089e+01    2.4330838934e+01    1.2314484379e+01    3.4507764181e+00   -6.9161719886e+01    1.6000000000e+02    1.0349005461e-03    7.7291666667e-01
        98   -2.9086803058e+01    8.5262509712e+02   -5.3462581995e+01    2.4375778936e+01    1.2451508518e+01    3.4507764181e+00   -6.9364866931e+01    1.6000000000e+02    1.0377764702e-03    7.8567708333e-01
        99   -2.9009619271e+01    8.4671738417e+02   -5.4247992322e+01    2.5238373050e+01    1.2509319345e+01    3.4507764181e+00   -7.0208088084e+01    1.6000000000e+02    1.0406970978e-03    7.7786458333e-01
