#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.8688492481e+01    8.4378791501e+02   -6.4919013812e+01    3.6230521330e+01    1.3842550871e+01    3.4507764181e+00   -8.2212341101e+01    1.6000000000e+02    3.8499683142e-03    7.5937500000e-01
         1   -2.9200283946e+01    8.5940493178e+02   -6.5160720301e+01    3.5960436355e+01    1.2841236904e+01    3.4507764181e+00   -8.1452733622e+01    1.6000000000e+02    1.5671253204e-03    7.7005208333e-01
         2   -2.8921986320e+01    8.4264830014e+02   -5.5857536329e+01    2.6935550009e+01    1.2526916777e+01    3.4507764181e+00   -7.1835229524e+01    1.6000000000e+02    2.9462724924e-03    7.8151041667e-01
         3   -2.9221175730e+01    8.5769641897e+02   -5.6074711337e+01    2.6853535607e+01    1.2361955633e+01    3.4507764181e+00   -7.1887443388e+01    1.6000000000e+02    1.0934919119e-03    7.7994791667e-01
         4   -2.8782109543e+01    8.4011846891e+02   -5.8101601645e+01    2.9319492102e+01    1.3010329377e+01    3.4507764181e+00   -7.4562707441e+01    1.6000000000e+02    1.0769218206e-03    7.7630208333e-01
         5   -2.9176859531e+01    8.5537725206e+02   -6.3386067447e+01    3.4209207916e+01    1.2734808808e+01    3.4507764181e+00   -7.9571652673e+01    1.6000000000e+02    2.5555789471e-03    7.7109375000e-01
         6   -2.9021923770e+01    8.4727268680e+02   -5.7149521634e+01    2.8127597863e+01    1.2724982262e+01    3.4507764181e+00   -7.3325280314e+01    1.6000000000e+02    1.0860562325e-03    7.8020833333e-01
         7   -2.9001481769e+01    8.4517576481e+02   -5.5183078397e+01    2.6181596628e+01    1.2506974037e+01    3.4507764181e+00   -7.1140828851e+01    1.6000000000e+02    1.0351240635e-03    7.8046875000e-01
         8   -2.9234853258e+01    8.5718686617e+02   -5.8184232486e+01    2.8949379228e+01    1.2708764532e+01    3.4507764181e+00   -7.4343773436e+01    1.6000000000e+02    2.5625079870e-03    7.8359375000e-01
         9   -2.8862687459e+01    8.4161698095e+02   -5.6935897791e+01    2.8073210332e+01    1.2679804397e+01    3.4507764181e+00   -7.3066478606e+01    1.6000000000e+02    1.0776072741e-03    7.8906250000e-01
        10   -2.9196362751e+01    8.5629045908e+02   -6.0449493138e+01    3.1253130387e+01    1.2400154855e+01    3.4507764181e+00   -7.6300424412e+01    1.6000000000e+02    1.0328590870e-03    7.7447916667e-01
        11   -2.8988250309e+01    8.4509517969e+02   -5.9007789194e+01    3.0019538886e+01    1.2855430218e+01    3.4507764181e+00   -7.5313995830e+01    1.6000000000e+02    1.0647624731e-03    7.7526041667e-01
        12   -2.9104800573e+01    8.5393281376e+02   -6.3159874294e+01    3.4055073722e+01    1.2401707706e+01    3.4507764181e+00   -7.9012358418e+01    1.6000000000e+02    1.1152178049e-03    7.8593750000e-01
        13   -2.9026420527e+01    8.4849694450e+02   -5.4429923655e+01    2.5403503128e+01    1.2382606156e+01    3.4507764181e+00   -7.0263306229e+01    1.6000000000e+02    1.0706931353e-03    7.8307291667e-01
        14   -2.9314549985e+01    8.6369854605e+02   -5.3210512621e+01    2.3895962636e+01    1.2232037197e+01    3.4507764181e+00   -6.8893326236e+01    1.6000000000e+02    1.0221153498e-03    7.9401041667e-01
        15   -2.8974515300e+01    8.4428762750e+02   -6.4422589357e+01    3.5448074057e+01    1.3114943044e+01    3.4507764181e+00   -8.0988308819e+01    1.6000000000e+02    1.0219812393e-03    7.7161458333e-01
        16   -2.9198351615e+01    8.5866993627e+02   -7.2657262513e+01    4.3458910898e+01    1.3322406338e+01    3.4507764181e+00   -8.9430445269e+01    1.6000000000e+02    1.0440647602e-03    7.7473958333e-01
        17   -2.8773524205e+01    8.4874965366e+02   -6.3116082619e+01    3.4342558413e+01    1.3516365948e+01    3.4507764181e+00   -8.0083224985e+01    1.6000000000e+02    1.0224431753e-03    7.5989583333e-01
        18   -2.9376442340e+01    8.6584204440e+02   -5.5723103841e+01    2.6346661500e+01    1.2099288912e+01    3.4507764181e+00   -7.1273169171e+01    1.6000000000e+02    1.1195838451e-03    7.9322916667e-01
        19   -2.9290855421e+01    8.6134432233e+02   -6.4181418241e+01    3.4890562820e+01    1.2912699109e+01    3.4507764181e+00   -8.0544893768e+01    1.6000000000e+02    1.1230409145e-03    7.7161458333e-01
        20   -2.8819138368e+01    8.3747672738e+02   -5.7364300116e+01    2.8545161748e+01    1.3175862457e+01    3.4507764181e+00   -7.3990938991e+01    1.6000000000e+02    1.1628866196e-03    7.7291666667e-01
        21   -2.9304027296e+01    8.6173601892e+02   -5.5046205458e+01    2.5742178162e+01    1.1868397724e+01    3.4507764181e+00   -7.0365379600e+01    1.6000000000e+02    1.2246519327e-03    7.9010416667e-01
        22   -2.9013519981e+01    8.4945149987e+02   -6.1811566118e+01    3.2798046137e+01    1.2424913222e+01    3.4507764181e+00   -7.7687255757e+01    1.6000000000e+02    1.1910647154e-03    7.6380208333e-01
        23   -2.8883422446e+01    8.4192746798e+02   -5.4374486472e+01    2.5491064026e+01    1.2252673896e+01    3.4507764181e+00   -7.0077936786e+01    1.6000000000e+02    2.3304522038e-03    7.8489583333e-01
        24   -2.9057447098e+01    8.5353964230e+02   -6.0377001049e+01    3.1319553951e+01    1.2760088384e+01    3.4507764181e+00   -7.6587865850e+01    1.6000000000e+02    1.1427402496e-03    7.8671875000e-01
        25   -2.9202310410e+01    8.5820812661e+02   -6.9192899546e+01    3.9990589136e+01    1.2625477272e+01    3.4507764181e+00   -8.5269153236e+01    1.6000000000e+02    1.1345744133e-03    7.7630208333e-01
        26   -2.9230072207e+01    8.5728622438e+02   -6.1397631509e+01    3.2167559301e+01    1.2179177724e+01    3.4507764181e+00   -7.7027585650e+01    1.6000000000e+02    1.1724233627e-03    7.8463541667e-01
        27   -2.9015826227e+01    8.4843230962e+02   -6.2442889402e+01    3.3427063175e+01    1.2615153639e+01    3.4507764181e+00   -7.8508819459e+01    1.6000000000e+02    1.2141764164e-03    7.6796875000e-01
        28   -2.9141452100e+01    8.5895964988e+02   -5.7009074070e+01    2.7867621971e+01    1.2515822252e+01    3.4507764181e+00   -7.2975672740e+01    1.6000000000e+02    1.1933445930e-03    7.6484375000e-01
        29   -2.8983808796e+01    8.4383512760e+02   -4.9399628694e+01    2.0415819897e+01    1.2096929616e+01    3.4507764181e+00   -6.4947334728e+01    1.6000000000e+02    1.2185126543e-03    7.8437500000e-01
        30   -2.8780934089e+01    8.3757272558e+02   -5.5234761876e+01    2.6453827787e+01    1.2671303655e+01    3.4507764181e+00   -7.1356841949e+01    1.6000000000e+02    1.2127906084e-03    7.8932291667e-01
        31   -2.9248013001e+01    8.5933071116e+02   -5.6465253998e+01    2.7217240997e+01    1.2586709004e+01    3.4507764181e+00   -7.2502739419e+01    1.6000000000e+02    1.2101233006e-03    7.8020833333e-01
        32   -2.9333993403e+01    8.6478035431e+02   -5.7236803023e+01    2.7902809620e+01    1.2655036059e+01    3.4507764181e+00   -7.3342615500e+01    1.6000000000e+02    1.1961013079e-03    7.6536458333e-01
        33   -2.9187331493e+01    8.5787527306e+02   -5.6661578154e+01    2.7474246661e+01    1.2848542264e+01    3.4507764181e+00   -7.2960896836e+01    1.6000000000e+02    1.4525800943e-03    7.7265625000e-01
        34   -2.9370443024e+01    8.6606901304e+02   -5.9096501091e+01    2.9726058066e+01    1.2649962858e+01    3.4507764181e+00   -7.5197240367e+01    1.6000000000e+02    1.2066513300e-03    7.7421875000e-01
        35   -2.9175456672e+01    8.5635568728e+02   -6.1175741377e+01    3.2000284705e+01    1.2446008818e+01    3.4507764181e+00   -7.7072526613e+01    1.6000000000e+02    1.1960864067e-03    7.7447916667e-01
        36   -2.8625761337e+01    8.3083422845e+02   -6.5097725449e+01    3.6471964112e+01    1.2654688834e+01    3.4507764181e+00   -8.1203190701e+01    1.6000000000e+02    1.2161284685e-03    7.7317708333e-01
        37   -2.9374154643e+01    8.6550806407e+02   -5.7563163982e+01    2.8189009338e+01    1.2313552293e+01    3.4507764181e+00   -7.3327492693e+01    1.6000000000e+02    1.1993646622e-03    7.8359375000e-01
        38   -2.8981824106e+01    8.4465761746e+02   -5.5459107785e+01    2.6477283680e+01    1.2258719258e+01    3.4507764181e+00   -7.1168603461e+01    1.6000000000e+02    1.2122839689e-03    7.8645833333e-01
