#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9328179053e+01    8.6054349290e+02   -6.0440268470e+01    3.1112089418e+01    1.2356342344e+01    3.4507764181e+00   -7.6247387232e+01    1.2800000000e+03    5.6618273258e-02    5.8919921875e-01
         1   -2.9338074644e+01    8.6103823726e+02   -5.8022396019e+01    2.8684321374e+01    1.2161348233e+01    3.4507764181e+00   -7.3634520670e+01    1.2800000000e+03    5.5223345757e-02    5.9414062500e-01
         2   -2.9310270176e+01    8.5938448731e+02   -5.8949127054e+01    2.9638856878e+01    1.2163033094e+01    3.4507764181e+00   -7.4562936565e+01    1.2800000000e+03    5.1678270102e-02    5.9333984375e-01
         3   -2.9327917920e+01    8.6044941829e+02   -5.8091158660e+01    2.8763240740e+01    1.2198572505e+01    3.4507764181e+00   -7.3740507584e+01    1.2800000000e+03    5.1384478807e-02    5.9226562500e-01
         4   -2.9330459259e+01    8.6057943814e+02   -5.9412963156e+01    3.0082503896e+01    1.2156583370e+01    3.4507764181e+00   -7.5020322944e+01    1.2800000000e+03    5.1351845264e-02    5.9148437500e-01
         5   -2.9320593134e+01    8.6002890108e+02   -6.3836453988e+01    3.4515860854e+01    1.2037811005e+01    3.4507764181e+00   -7.9325041411e+01    1.2800000000e+03    5.1462739706e-02    5.8970703125e-01
         6   -2.9347035483e+01    8.6154341564e+02   -5.8582505994e+01    2.9235470511e+01    1.2201599410e+01    3.4507764181e+00   -7.4234881822e+01    1.2800000000e+03    5.1578402519e-02    5.9272460938e-01
         7   -2.9298507554e+01    8.5870661179e+02   -5.7399616765e+01    2.8101109211e+01    1.2220236404e+01    3.4507764181e+00   -7.3070629587e+01    1.2800000000e+03    5.1454946399e-02    5.9004882813e-01
         8   -2.9336929578e+01    8.6099133459e+02   -5.9146147640e+01    2.9809218062e+01    1.2123112922e+01    3.4507764181e+00   -7.4720036981e+01    1.2800000000e+03    5.1374554634e-02    5.9084960937e-01
         9   -2.9314230544e+01    8.5974820480e+02   -5.6392710323e+01    2.7078479780e+01    1.1995666696e+01    3.4507764181e+00   -7.1839153437e+01    1.2800000000e+03    5.1393970847e-02    5.9625976563e-01
        10   -2.9299483736e+01    8.5878838056e+02   -5.9001948801e+01    2.9702465065e+01    1.2168778716e+01    3.4507764181e+00   -7.4621503936e+01    1.2800000000e+03    5.1367446780e-02    5.9201171875e-01
        11   -2.9300666025e+01    8.5882964421e+02   -5.6971256254e+01    2.7670590229e+01    1.1938940905e+01    3.4507764181e+00   -7.2360973578e+01    1.2800000000e+03    5.1610872149e-02    5.9304687500e-01
        12   -2.9285770741e+01    8.5800577417e+02   -5.8555702339e+01    2.9269931598e+01    1.2195716834e+01    3.4507764181e+00   -7.4202195591e+01    1.2800000000e+03    5.1319569349e-02    5.8956054687e-01
        13   -2.9357923393e+01    8.6226262957e+02   -6.1868134614e+01    3.2510211221e+01    1.2280421559e+01    3.4507764181e+00   -7.7599332591e+01    1.2800000000e+03    5.1330953836e-02    5.9060546875e-01
        14   -2.9320373616e+01    8.6000302838e+02   -5.8626763561e+01    2.9306389945e+01    1.2148891803e+01    3.4507764181e+00   -7.4226431782e+01    1.2800000000e+03    5.1332443953e-02    5.9390625000e-01
        15   -2.9321914233e+01    8.6011271213e+02   -5.8144520895e+01    2.8822606663e+01    1.2227907614e+01    3.4507764181e+00   -7.3823204928e+01    1.2800000000e+03    5.1385834813e-02    5.9625000000e-01
        16   -2.9302549042e+01    8.5894157204e+02   -5.9265229617e+01    2.9962680575e+01    1.2302448250e+01    3.4507764181e+00   -7.5018454286e+01    1.2800000000e+03    5.1365569234e-02    5.9242187500e-01
        17   -2.9335067569e+01    8.6087086208e+02   -5.8763035951e+01    2.9427968382e+01    1.2180639505e+01    3.4507764181e+00   -7.4394451874e+01    1.2800000000e+03    5.1555410028e-02    5.8992187500e-01
        18   -2.9322511716e+01    8.6012297707e+02   -5.7973298134e+01    2.8650786417e+01    1.2137465596e+01    3.4507764181e+00   -7.3561540148e+01    1.2800000000e+03    5.1487922668e-02    5.9584960938e-01
        19   -2.9337008580e+01    8.6098380441e+02   -5.8643572840e+01    2.9306564260e+01    1.2265191129e+01    3.4507764181e+00   -7.4359540387e+01    1.2800000000e+03    5.1328405738e-02    5.9072265625e-01
