# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.0047938126e+00    2.0440680973e-02    2.0480000000e+03    2.0480000000e+03    0.0000000000e+00   -1.0023628739e+00    9.9611585735e-01    9.9902343750e-01
         1   -1.0050919293e+00    1.6255267405e-02    2.0480081990e+03    2.0480000000e+03    0.0000000000e+00   -1.0047938126e+00    9.9719241129e-01    9.9853515625e-01
         2   -1.0058848667e+00    1.6392950694e-02    2.0480492838e+03    2.0480000000e+03    1.8750000000e-01   -1.0050919293e+00    9.9384823727e-01    9.9853515625e-01
         3   -1.0064500084e+00    1.7255480591e-02    2.0480361324e+03    2.0470000000e+03    1.8750000000e-01   -9.9367485420e-01    9.9511462524e-01    9.9853444064e-01
         4   -1.0093771402e+00    1.9777154394e-02    2.0481011335e+03    2.0440000000e+03    1.8750000000e-01   -9.5757413755e-01    9.9342006282e-01    1.0000000000e+00
         5   -1.0075928508e+00    2.4035520981e-02    2.0479373776e+03    2.0500000000e+03    1.2500000000e-01   -1.0337792896e+00    9.9703078052e-01    9.9951219512e-01
         6   -1.0063213598e+00    2.2860442403e-02    2.0479486093e+03    2.0520000000e+03    1.2500000000e-01   -1.0563733540e+00    9.9877231690e-01    9.9853801170e-01
         7   -1.0035406754e+00    2.7788784565e-02    2.0478870525e+03    2.0500000000e+03    1.2500000000e-01   -1.0307235092e+00    9.9690612264e-01    9.9756097561e-01
         8   -1.0043266161e+00    2.6232297447e-02    2.0480137260e+03    2.0480000000e+03    2.5000000000e-01   -1.0035406754e+00    9.9643567233e-01    9.9853515625e-01
         9   -1.0009371964e+00    1.9092131072e-02    2.0478492713e+03    2.0460000000e+03    1.2500000000e-01   -9.7990062492e-01    9.9894933130e-01    1.0000000000e+00
        10   -1.0016370866e+00    2.2033657999e-02    2.0480511466e+03    2.0520000000e+03    3.1250000000e-01   -1.0497176997e+00    9.9550390027e-01    9.9756335283e-01
