#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0022087708e+00    1.0250707934e+00   -1.3597860673e+00    3.5757729651e-01    2.7872033757e-01   -1.8924564799e+00    2.5395007504e-01    8.1933000000e+04    1.5245981514e-01    9.9985354399e-01
         1   -1.0052556894e+00    1.0283025774e+00   -1.3610913059e+00    3.5583561656e-01    2.8124033873e-01   -1.8851799541e+00    2.4284830939e-01    8.1916000000e+04    4.6656084061e-01    9.9991453643e-01
         2   -1.0077836512e+00    1.0322563622e+00   -1.3595493217e+00    3.5176567042e-01    2.8043516444e-01   -1.8806764367e+00    2.4069195064e-01    8.1917000000e+04    3.6566469073e-01    9.9991455545e-01
         3   -1.0056517395e+00    1.0296431912e+00   -1.3600237655e+00    3.5437202601e-01    2.7841610713e-01   -1.8876021731e+00    2.4916230042e-01    8.1924000000e+04    1.3707938790e-01    9.9990849720e-01
         4   -1.0095270281e+00    1.0378678775e+00   -1.3726655966e+00    3.6313856850e-01    2.7600462529e-01   -1.8868302191e+00    2.3815999722e-01    8.1914000000e+04    1.3265803456e-01    9.9987793921e-01
         5   -1.0106325941e+00    1.0428810611e+00   -1.3652909405e+00    3.5465834646e-01    2.7613359278e-01   -1.8811305195e+00    2.3970598623e-01    8.1921000000e+04    1.3329200447e-01    9.9989013069e-01
         6   -1.0112668591e+00    1.0447867594e+00   -1.3646813560e+00    3.5341449682e-01    2.7732045322e-01   -1.8890962002e+00    2.4709439103e-01    8.1922000000e+04    1.3301618397e-01    9.9987793679e-01
         7   -1.0090300263e+00    1.0407296877e+00   -1.3643582077e+00    3.5532818141e-01    2.8058244208e-01   -1.8993656529e+00    2.5442500311e-01    8.1935000000e+04    1.3369645178e-01    9.9989625334e-01
         8   -1.0065718001e+00    1.0351914658e+00   -1.3655729511e+00    3.5900115096e-01    2.8056553388e-01   -1.8996106026e+00    2.5347211759e-01    8.1919000000e+04    1.3209629059e-01    9.9992065544e-01
         9   -1.0080121349e+00    1.0422112540e+00   -1.3587230474e+00    3.5071091254e-01    2.8104679132e-01   -1.9230755079e+00    2.8330566912e-01    8.1925000000e+04    1.3237434626e-01    9.9989017704e-01
        10   -1.0083343468e+00    1.0389735851e+00   -1.3657815372e+00    3.5744719043e-01    2.8365194693e-01   -1.9214502382e+00    2.7201675409e-01    8.1930000000e+04    1.3505984843e-01    9.9981692307e-01
        11   -1.0104363407e+00    1.0396951414e+00   -1.3763687366e+00    3.6593239590e-01    2.8592497331e-01   -1.9038687382e+00    2.4157502827e-01    8.1930000000e+04    1.3797479868e-01    9.9988406168e-01
        12   -1.0066211309e+00    1.0324408470e+00   -1.3774531791e+00    3.7083204821e-01    2.8704784211e-01   -1.8984381968e+00    2.3393717557e-01    8.1928000000e+04    1.3233782351e-01    9.9988404388e-01
        13   -1.0062073134e+00    1.0354891450e+00   -1.3796994235e+00    3.7349211007e-01    2.8561656282e-01   -1.9157088196e+00    2.5039283334e-01    8.1918000000e+04    1.3331690431e-01    9.9989013309e-01
        14   -1.0036144371e+00    1.0305784623e+00   -1.3662147586e+00    3.6260032155e-01    2.8483255023e-01   -1.9347986715e+00    2.8375136261e-01    8.1925000000e+04    1.3698767126e-01    9.9990845437e-01
        15   -1.0059494860e+00    1.0355725237e+00   -1.3603703846e+00    3.5442089866e-01    2.8662177591e-01   -1.9253225873e+00    2.7833042671e-01    8.1909000000e+04    1.3454331458e-01    9.9985351562e-01
        16   -1.0084091187e+00    1.0378048360e+00   -1.3636689219e+00    3.5525980315e-01    2.8764477827e-01   -1.9193129739e+00    2.6799927379e-01    8.1917000000e+04    1.3394877315e-01    9.9990844723e-01
        17   -1.0086218227e+00    1.0431670162e+00   -1.3559002755e+00    3.4727845276e-01    2.9065380909e-01   -1.9336887172e+00    2.8713463262e-01    8.1927000000e+04    1.3557836413e-01    9.9986575239e-01
        18   -1.0051981264e+00    1.0380771544e+00   -1.3662680997e+00    3.6106997333e-01    2.9059909953e-01   -1.9242809039e+00    2.6741370465e-01    8.1916000000e+04    1.3490080833e-01    9.9991455911e-01
        19   -1.0051733079e+00    1.0296641905e+00   -1.3710395327e+00    3.6586622480e-01    2.8687416666e-01   -1.9138215950e+00    2.5590789562e-01    8.1918000000e+04    1.4588065445e-01    9.9985962147e-01
        20   -1.0057331612e+00    1.0324435931e+00   -1.3756838001e+00    3.6995063893e-01    2.8396066782e-01   -1.9047745770e+00    2.4513010909e-01    8.1923000000e+04    1.4222136140e-01    9.9987794633e-01
        21   -1.0010286508e+00    1.0222693544e+00   -1.3694344532e+00    3.6840580236e-01    2.8579536415e-01   -1.9042790715e+00    2.4904925415e-01    8.1908000000e+04    7.0938023925e-01    9.9992064109e-01
        22   -1.0043351873e+00    1.0279822033e+00   -1.3750628420e+00    3.7072765473e-01    2.8668458745e-01   -1.9059286424e+00    2.4418121297e-01    8.1924000000e+04    1.3374346495e-01    9.9990230435e-01
        23   -1.0058819649e+00    1.0273726771e+00   -1.3746107455e+00    3.6872878058e-01    2.8639483757e-01   -1.9033044886e+00    2.4229890555e-01    8.1921000000e+04    1.3209839165e-01    9.9990237104e-01
        24   -1.0037788952e+00    1.0264632172e+00   -1.3672320218e+00    3.6345312663e-01    2.8568677664e-01   -1.8990793903e+00    2.4616059186e-01    8.1913000000e+04    1.3249690831e-01    9.9984747148e-01
        25   -1.0037128290e+00    1.0296346330e+00   -1.3597660660e+00    3.5605323702e-01    2.8512148741e-01   -1.8859686888e+00    2.4108113533e-01    8.1924000000e+04    1.3362741470e-01    9.9987791892e-01
        26   -1.0064731543e+00    1.0318613486e+00   -1.3764196413e+00    3.6994648698e-01    2.8251044460e-01   -1.8727514515e+00    2.1382136563e-01    8.1913000000e+04    1.3340041041e-01    9.9990843039e-01
        27   -1.0073001870e+00    1.0319438655e+00   -1.3719998811e+00    3.6469969411e-01    2.8199523706e-01   -1.8759940965e+00    2.2199897830e-01    8.1918000000e+04    3.9809934795e-01    9.9991456626e-01
        28   -1.0058131960e+00    1.0289473980e+00   -1.3717152343e+00    3.6590203828e-01    2.7897857676e-01   -1.8833420907e+00    2.3264827967e-01    8.1922000000e+04    1.3350832462e-01    9.9993287916e-01
        29   -1.0025118037e+00    1.0212427672e+00   -1.3679563291e+00    3.6544452535e-01    2.7725429999e-01   -1.8776518415e+00    2.3244121243e-01    8.1925000000e+04    1.3918206096e-01    9.9983520732e-01
        30   -1.0056864188e+00    1.0297648434e+00   -1.3759463747e+00    3.7025995592e-01    2.7796112853e-01   -1.8719966682e+00    2.1808916490e-01    8.1927000000e+04    1.3951365650e-01    9.9991454361e-01
        31   -1.0060026685e+00    1.0293761857e+00   -1.3723780340e+00    3.6637536555e-01    2.8074840364e-01   -1.8913271726e+00    2.3820073491e-01    8.1916000000e+04    1.3324561715e-01    9.9986573799e-01
        32   -1.0048897525e+00    1.0281436429e+00   -1.3624987197e+00    3.5760896722e-01    2.8351919387e-01   -1.9088006628e+00    2.6278274922e-01    8.1927000000e+04    1.3404783607e-01    9.9987183798e-01
        33   -1.0053705281e+00    1.0316956087e+00   -1.3521309156e+00    3.4676038757e-01    2.8468896738e-01   -1.9126121789e+00    2.7579229592e-01    8.1907000000e+04    1.3524872065e-01    9.9990845319e-01
        34   -1.0050545132e+00    1.0384946095e+00   -1.3448718144e+00    3.3981730127e-01    2.8601820797e-01   -1.9198972883e+00    2.8900726593e-01    8.1910000000e+04    1.3354316354e-01    9.9985958808e-01
        35   -1.0036260329e+00    1.0290002763e+00   -1.3544070886e+00    3.5078105563e-01    2.8426589542e-01   -1.9268985652e+00    2.8822558126e-01    8.1906000000e+04    7.0818600059e-01    9.9992069357e-01
        36   -1.0046026090e+00    1.0302832015e+00   -1.3651339663e+00    3.6053135724e-01    2.8203244219e-01   -1.9047035001e+00    2.5753709158e-01    8.1925000000e+04    1.9120362401e-01    9.9988403082e-01
        37   -1.0064093141e+00    1.0321831408e+00   -1.3593823117e+00    3.5297299762e-01    2.8267395641e-01   -1.9092100610e+00    2.6715379288e-01    8.1920000000e+04    1.3242606819e-01    9.9989623785e-01
        38   -1.0034960285e+00    1.0288053664e+00   -1.3509494537e+00    3.4745342523e-01    2.8383336268e-01   -1.9131334901e+00    2.7835067374e-01    8.1924000000e+04    1.3091024756e-01    9.9993288273e-01
        39   -1.0034909395e+00    1.0254288706e+00   -1.3600846420e+00    3.5659370252e-01    2.8778070568e-01   -1.9029036410e+00    2.5503829330e-01    8.1917000000e+04    1.3206288218e-01    9.9989015458e-01
        40   -9.9962248266e-01    1.0186400526e+00   -1.3673548351e+00    3.6773235244e-01    2.8558090198e-01   -1.9038317419e+00    2.5089600484e-01    8.1898000000e+04    1.3344383240e-01    9.9987176871e-01
        41   -1.0041492367e+00    1.0256637498e+00   -1.3729065467e+00    3.6875731004e-01    2.8392481227e-01   -1.8946784002e+00    2.3784704125e-01    8.1790000000e+04    1.3263769448e-01    9.9990824703e-01
        42   -1.0049166178e+00    1.0284533632e+00   -1.3677075114e+00    3.6279089352e-01    2.8219664858e-01   -1.8949635101e+00    2.4505935012e-01    8.1697000000e+04    1.3252162933e-01    9.9987153813e-01
        43   -1.0068819880e+00    1.0306371021e+00   -1.3721564203e+00    3.6527443226e-01    2.8082368755e-01   -1.8875045673e+00    2.3452445944e-01    8.1626000000e+04    1.3295064867e-01    9.9985911849e-01
        44   -1.0071816949e+00    1.0309306214e+00   -1.3767625287e+00    3.6958083374e-01    2.8150476220e-01   -1.8757700702e+00    2.1750277930e-01    8.1476000000e+04    1.4077119529e-01    9.9992017144e-01
        45   -1.0079868422e+00    1.0366184103e+00   -1.3607374688e+00    3.5275062661e-01    2.8369906595e-01   -1.8780169937e+00    2.3358045897e-01    8.1390000000e+04    1.3178823888e-01    9.9995700876e-01
        46   -1.0048144034e+00    1.0309923843e+00   -1.3578766481e+00    3.5306224465e-01    2.8302763391e-01   -1.8836095796e+00    2.4270529764e-01    8.1339000000e+04    1.9389773905e-01    9.9988935965e-01
        47   -1.0045018947e+00    1.0319096329e+00   -1.3571286754e+00    3.5262678071e-01    2.8394323519e-01   -1.8927151476e+00    2.5164323702e-01    8.1600000000e+04    1.3403035700e-01    9.9988993807e-01
        48   -1.0026799010e+00    1.0275653169e+00   -1.3584656335e+00    3.5578573244e-01    2.8439277066e-01   -1.9044015681e+00    2.6154316399e-01    8.1791000000e+04    1.3309773803e-01    9.9990837164e-01
        49   -1.0083152965e+00    1.0382103141e+00   -1.3601462527e+00    3.5183095622e-01    2.8430271311e-01   -1.9185867053e+00    2.7413773949e-01    8.1694000000e+04    7.2005109489e-01    9.9992026999e-01
        50   -1.0066437235e+00    1.0329181616e+00   -1.3642628668e+00    3.5761914336e-01    2.8432109927e-01   -1.9067671177e+00    2.5818315164e-01    8.1658000000e+04    1.3239505887e-01    9.9986521614e-01
        51   -1.0049551522e+00    1.0285569155e+00   -1.3628975446e+00    3.5794239239e-01    2.8234499858e-01   -1.9019757307e+00    2.5673318753e-01    8.1693000000e+04    1.3306866586e-01    9.9994491107e-01
        52   -1.0030427897e+00    1.0366964205e+00   -1.3586221016e+00    3.5557931193e-01    2.8195230474e-01   -1.8995170158e+00    2.5894260941e-01    8.1697000000e+04    1.3446909189e-01    9.9992054408e-01
        53   -1.0060203877e+00    1.0317683717e+00   -1.3664279832e+00    3.6040759554e-01    2.7955253991e-01   -1.8846028514e+00    2.3862232824e-01    8.1883000000e+04    1.3290472329e-01    9.9985957587e-01
        54   -1.0047191058e+00    1.0291006545e+00   -1.3679861083e+00    3.6326700253e-01    2.7894158290e-01   -1.8882140531e+00    2.4128636185e-01    8.1976000000e+04    1.3952696323e-01    9.9991455078e-01
        55   -1.0062850592e+00    1.0336861756e+00   -1.3644760943e+00    3.5819103507e-01    2.8139663527e-01   -1.8848826032e+00    2.3900987368e-01    8.2139000000e+04    1.3650579751e-01    9.9990861560e-01
        56   -1.0055043499e+00    1.0316080542e+00   -1.3675649388e+00    3.6206058888e-01    2.8392108205e-01   -1.8919990384e+00    2.4051301754e-01    8.2191000000e+04    1.3221982121e-01    9.9990878109e-01
        57   -1.0070085142e+00    1.0305879547e+00   -1.3683859937e+00    3.6137747951e-01    2.8632854072e-01   -1.9027228486e+00    2.4800831421e-01    8.2320000000e+04    1.3848175108e-01    9.9991493230e-01
        58   -1.0048519164e+00    1.0301307448e+00   -1.3834974877e+00    3.7864557130e-01    2.8588543084e-01   -1.9010060045e+00    2.3162308597e-01    8.2248000000e+04    1.3997292519e-01    9.9990263732e-01
        59   -1.0061035203e+00    1.0300714823e+00   -1.3925274432e+00    3.8642392295e-01    2.8110629254e-01   -1.8834298365e+00    2.0979610072e-01    8.2172000000e+04    1.3653539121e-01    9.9991476054e-01
        60   -1.0072117702e+00    1.0311364168e+00   -1.3920454256e+00    3.8483365546e-01    2.7990710984e-01   -1.8793301311e+00    2.0737759566e-01    8.2200000000e+04    1.3496759534e-01    9.9982967164e-01
        61   -1.0089159428e+00    1.0351954775e+00   -1.3832221203e+00    3.7430617751e-01    2.8089054400e-01   -1.8790598961e+00    2.1494723185e-01    8.2371000000e+04    1.3429696858e-01    9.9992718387e-01
        62   -1.0113467127e+00    1.0430134806e+00   -1.3771289834e+00    3.6578227072e-01    2.7738485347e-01   -1.8754425587e+00    2.2092872182e-01    8.2527000000e+04    1.7685712874e-01    9.9994546479e-01
        63   -1.0083707818e+00    1.0384053030e+00   -1.3697080010e+00    3.6133721916e-01    2.7763582178e-01   -1.8858482742e+00    2.3850445146e-01    8.2459000000e+04    1.3360911608e-01    9.9986665860e-01
        64   -1.0088313402e+00    1.0365273323e+00   -1.3753160469e+00    3.6648470665e-01    2.7690265082e-01   -1.8745075742e+00    2.2228887651e-01    8.2186000000e+04    1.3487473130e-01    9.9989649269e-01
        65   -1.0079281811e+00    1.0358933025e+00   -1.3724421206e+00    3.6451393949e-01    2.7533369397e-01   -1.8902153413e+00    2.4243952677e-01    8.1910000000e+04    1.3408888876e-01    9.9992065658e-01
        66   -1.0076721555e+00    1.0374265257e+00   -1.3737813620e+00    3.6610920650e-01    2.7749167778e-01   -1.8985208794e+00    2.4724783969e-01    8.2050000000e+04    1.4773751795e-01    9.9987812074e-01
        67   -1.0032915447e+00    1.0290802070e+00   -1.3619740553e+00    3.5868251059e-01    2.7902491126e-01   -1.9025187227e+00    2.6151975616e-01    8.2356000000e+04    1.3407091796e-01    9.9987248455e-01
        68   -1.0034213640e+00    1.0269894088e+00   -1.3610092235e+00    3.5758785949e-01    2.7892735964e-01   -1.9000763912e+00    2.6013980810e-01    8.2178000000e+04    1.4034244418e-01    9.9990882311e-01
        69   -1.0033204143e+00    1.0282128982e+00   -1.3687146761e+00    3.6539426178e-01    2.7932348359e-01   -1.8980105661e+00    2.4997240645e-01    8.2002000000e+04    1.3222961128e-01    9.9991467765e-01
