#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0012512273e+00    1.0186431883e+00   -1.3760877862e+00    3.7483655893e-01    2.9000082050e-01   -1.9172170658e+00    2.5112845911e-01    4.0000000000e+03    2.4740278721e-02    6.9790000000e-01
         1   -1.0037437654e+00    1.0249813522e+00   -1.3638094185e+00    3.6006565305e-01    2.8918949923e-01   -1.9052593975e+00    2.5226047974e-01    4.0000000000e+03    3.1326323748e-02    6.9490000000e-01
         2   -1.0008677198e+00    1.0178107182e+00   -1.3758944116e+00    3.7502669179e-01    2.9091946448e-01   -1.8977650321e+00    2.3095115602e-01    4.0000000000e+03    2.0699590445e-02    6.9665000000e-01
         3   -1.0070433837e+00    1.0306371974e+00   -1.3659314776e+00    3.5888809387e-01    2.8688974520e-01   -1.9103241071e+00    2.5750288428e-01    4.0000000000e+03    2.2060140967e-02    7.0435000000e-01
         4   -1.0042135583e+00    1.0271289403e+00   -1.3755318242e+00    3.7131826588e-01    2.8494286778e-01   -1.9260173189e+00    2.6554262691e-01    4.0000000000e+03    2.3220866919e-02    6.9855000000e-01
         5   -1.0025328027e+00    1.0219041357e+00   -1.3642844039e+00    3.6175160127e-01    2.8859554296e-01   -1.9200422740e+00    2.6716232713e-01    4.0000000000e+03    2.1001577377e-02    7.0340000000e-01
         6   -9.9634875734e-01    1.0123232508e+00   -1.3475235353e+00    3.5117477799e-01    2.8527892822e-01   -1.8921534109e+00    2.5935094735e-01    4.0000000000e+03    2.1806389093e-02    6.9490000000e-01
         7   -1.0011344513e+00    1.0210556361e+00   -1.3680476478e+00    3.6691319644e-01    2.8404875833e-01   -1.9088553698e+00    2.5675896374e-01    4.0000000000e+03    2.0913884044e-02    6.9397500000e-01
         8   -9.9805136018e-01    1.0125498841e+00   -1.3538193645e+00    3.5576800434e-01    2.8314151303e-01   -1.9001861673e+00    2.6322528974e-01    4.0000000000e+03    2.4261176586e-02    7.0172500000e-01
         9   -1.0018550576e+00    1.0224024115e+00   -1.3765624409e+00    3.7470738337e-01    2.8976194884e-01   -1.9238929866e+00    2.5756859684e-01    4.0000000000e+03    2.1648123860e-02    6.9682500000e-01
        10   -1.0008804406e+00    1.0181866788e+00   -1.3659123745e+00    3.6503193390e-01    2.8471905761e-01   -1.9007157535e+00    2.5008432143e-01    4.0000000000e+03    2.4363979697e-02    6.9925000000e-01
        11   -1.0029182171e+00    1.0272769763e+00   -1.3611483887e+00    3.5823017160e-01    2.8511728639e-01   -1.9015761339e+00    2.5531045879e-01    4.0000000000e+03    2.5160565972e-02    6.9535000000e-01
        12   -1.0007363812e+00    1.0192143275e+00   -1.3770591815e+00    3.7632280035e-01    2.8895958594e-01   -1.9110257434e+00    2.4500697593e-01    4.0000000000e+03    2.3409277201e-02    6.9767500000e-01
        13   -1.0032740449e+00    1.0266775163e+00   -1.3660933204e+00    3.6281927556e-01    2.8696132512e-01   -1.9121388056e+00    2.5908416004e-01    4.0000000000e+03    2.5197178125e-02    6.9822500000e-01
        14   -1.0038923898e+00    1.0254727697e+00   -1.3706780483e+00    3.6678565850e-01    2.8329350568e-01   -1.8859095873e+00    2.3193803329e-01    4.0000000000e+03    2.3421391845e-02    7.0005000000e-01
        15   -1.0036975933e+00    1.0221099834e+00   -1.3610569958e+00    3.5735940256e-01    2.8237018287e-01   -1.8831037764e+00    2.3967659766e-01    4.0000000000e+03    2.4551674724e-02    6.9847500000e-01
        16   -1.0053375032e+00    1.0299686222e+00   -1.3633275191e+00    3.5799001588e-01    2.8345127171e-01   -1.9051197518e+00    2.5834096095e-01    4.0000000000e+03    2.3982182145e-02    6.9892500000e-01
        17   -1.0035185238e+00    1.0243595415e+00   -1.3506481529e+00    3.4712962918e-01    2.8506015394e-01   -1.8719633825e+00    2.3625507565e-01    4.0000000000e+03    2.1965265274e-02    7.0077500000e-01
        18   -1.0010133285e+00    1.0205640928e+00   -1.3618098128e+00    3.6079648424e-01    2.8659543717e-01   -1.8958669077e+00    2.4746165772e-01    4.0000000000e+03    2.4692893028e-02    6.9900000000e-01
        19   -1.0046822870e+00    1.0280562848e+00   -1.3556117250e+00    3.5092943801e-01    2.7909182237e-01   -1.8873342023e+00    2.5263065487e-01    4.0000000000e+03    2.0434945822e-02    6.9780000000e-01
        20   -1.0017643392e+00    1.0251196609e+00   -1.3627135476e+00    3.6094920841e-01    2.8333871176e-01   -1.8785415938e+00    2.3248933441e-01    4.0000000000e+03    2.2924795747e-02    6.9712500000e-01
        21   -1.0038247569e+00    1.0253907459e+00   -1.3645658137e+00    3.6074105677e-01    2.8859864070e-01   -1.9068260680e+00    2.5366161359e-01    4.0000000000e+03    2.5523528457e-02    6.9950000000e-01
        22   -9.9977090726e-01    1.0192555876e+00   -1.3649302625e+00    3.6515935523e-01    2.8553193549e-01   -1.9087741596e+00    2.5831196162e-01    4.0000000000e+03    2.1829798818e-02    7.0052500000e-01
        23   -9.9969457438e-01    1.0160465122e+00   -1.3682034967e+00    3.6850892234e-01    2.8901963355e-01   -1.9133484724e+00    2.5612534216e-01    4.0000000000e+03    2.4892315269e-02    7.0222500000e-01
        24   -9.9785230299e-01    1.0132044851e+00   -1.3524270087e+00    3.5457470574e-01    2.7928402697e-01   -1.8847990688e+00    2.5308803305e-01    4.0000000000e+03    2.2881790996e-02    7.0135000000e-01
        25   -1.0043737883e+00    1.0247839513e+00   -1.3724806247e+00    3.6810683637e-01    2.8582712653e-01   -1.9289014886e+00    2.7059373737e-01    4.0000000000e+03    2.4493232369e-02    7.0187500000e-01
        26   -1.0008639824e+00    1.0178319559e+00   -1.3597144298e+00    3.5885044743e-01    2.8680599993e-01   -1.9009220361e+00    2.5440160633e-01    4.0000000000e+03    2.2507235408e-02    7.0207500000e-01
        27   -1.0049978927e+00    1.0277215916e+00   -1.3422642134e+00    3.3726632065e-01    2.8039196492e-01   -1.8678865536e+00    2.4523037533e-01    4.0000000000e+03    2.4366006255e-02    6.9362500000e-01
        28   -1.0005544225e+00    1.0197622269e+00   -1.3466339137e+00    3.4607949115e-01    2.8800624600e-01   -1.8942674174e+00    2.5962725776e-01    4.0000000000e+03    2.3086056113e-02    6.9982500000e-01
        29   -9.9946841364e-01    1.0180902279e+00   -1.3473340572e+00    3.4786564353e-01    2.8733396375e-01   -1.8960036800e+00    2.6133565907e-01    4.0000000000e+03    2.2662758827e-02    6.9925000000e-01
        30   -1.0038657506e+00    1.0292120329e+00   -1.3772508492e+00    3.7338509869e-01    2.8929635007e-01   -1.9342568462e+00    2.6770964687e-01    4.0000000000e+03    2.3350641131e-02    7.0245000000e-01
        31   -9.9951139905e-01    1.0160484540e+00   -1.3645612835e+00    3.6504988448e-01    2.8430794297e-01   -1.8803591473e+00    2.3148992082e-01    4.0000000000e+03    2.0156070590e-02    7.0035000000e-01
        32   -1.0017480009e+00    1.0227457127e+00   -1.3698450815e+00    3.6809708058e-01    2.8533259567e-01   -1.9010042037e+00    2.4582652655e-01    4.0000000000e+03    2.3473203182e-02    7.0057500000e-01
        33   -1.0010989591e+00    1.0179982821e+00   -1.3614238752e+00    3.6032491604e-01    2.8068419151e-01   -1.9021348372e+00    2.6002677051e-01    4.0000000000e+03    2.2713094950e-02    7.0267500000e-01
        34   -1.0032117643e+00    1.0228857800e+00   -1.3744440218e+00    3.7123225754e-01    2.8633908753e-01   -1.9009837628e+00    2.4020065350e-01    4.0000000000e+03    2.3232936859e-02    6.9482500000e-01
        35   -1.0033638144e+00    1.0234582091e+00   -1.3644811135e+00    3.6111729910e-01    2.8754805698e-01   -1.9191098275e+00    2.6708065697e-01    4.0000000000e+03    2.1251559258e-02    6.9510000000e-01
        36   -9.9804144150e-01    1.0169495564e+00   -1.3716737706e+00    3.7363232910e-01    2.8281865747e-01   -1.9062677395e+00    2.5177531146e-01    4.0000000000e+03    2.3278400302e-02    6.9905000000e-01
        37   -9.9985859317e-01    1.0175070130e+00   -1.3544866624e+00    3.5462806923e-01    2.8614904293e-01   -1.8848847664e+00    2.4424906106e-01    4.0000000000e+03    2.3986503482e-02    6.9950000000e-01
        38   -9.9793928442e-01    1.0166160680e+00   -1.3612191939e+00    3.6327990952e-01    2.8884340130e-01   -1.8903199531e+00    2.4025735790e-01    4.0000000000e+03    2.3458257318e-02    6.9925000000e-01
        39   -1.0013121978e+00    1.0219282234e+00   -1.3573048028e+00    3.5599260495e-01    2.9043299632e-01   -1.9302834785e+00    2.8254567944e-01    4.0000000000e+03    2.0997896791e-02    6.9765000000e-01
