#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.738570872319e-02       1.266376377876e+01
1.921000000000e-02       1.502177161617e-01       1.265229956023e+01
3.621000000000e-02       2.790098449358e-01       1.262268383008e+01
5.321000000000e-02       4.009195919822e-01       1.257504503538e+01
7.021000000000e-02       5.139230091061e-01       1.250958782877e+01
8.721000000000e-02       6.168168189512e-01       1.242659253372e+01
1.042100000000e-01       7.091466881174e-01       1.232641321755e+01
1.212100000000e-01       7.910791424040e-01       1.220947508555e+01
1.382100000000e-01       8.632401872505e-01       1.207627154521e+01
1.552100000000e-01       9.265435622109e-01       1.192736071267e+01
1.722100000000e-01       9.820298119579e-01       1.176336149171e+01
1.892100000000e-01       1.030732200543e+00       1.158494935839e+01
2.062100000000e-01       1.073579251934e+00       1.139285165048e+01
2.232100000000e-01       1.111337090523e+00       1.118784269540e+01
2.402100000000e-01       1.144589047676e+00       1.097073859831e+01
2.572100000000e-01       1.173745629899e+00       1.074239182248e+01
2.742100000000e-01       1.199075471811e+00       1.050368568961e+01
2.912100000000e-01       1.220747455081e+00       1.025552865261e+01
3.082100000000e-01       1.238874926106e+00       9.998848624807e+00
3.252100000000e-01       1.253555140779e+00       9.734587235824e+00
3.422100000000e-01       1.264899476480e+00       9.463694130764e+00
3.592100000000e-01       1.273052531590e+00       9.187121415590e+00
3.762100000000e-01       1.278200320769e+00       8.905818149730e+00
3.932100000000e-01       1.280569347737e+00       8.620725096926e+00
4.102100000000e-01       1.280419117022e+00       8.332769645668e+00
4.272100000000e-01       1.278030897499e+00       8.042860985129e+00
4.442100000000e-01       1.273695272220e+00       7.751885602707e+00
4.612100000000e-01       1.267700439011e+00       7.460703041793e+00
4.782100000000e-01       1.260322551366e+00       7.170142048439e+00
4.952100000000e-01       1.251818721511e+00       6.880997049299e+00
5.122100000000e-01       1.242422763392e+00       6.594025008436e+00
5.292100000000e-01       1.232343358002e+00       6.309942689337e+00
5.462100000000e-01       1.221764136371e+00       6.029424286417e+00
5.632100000000e-01       1.210845065654e+00       5.753099478089e+00
5.802100000000e-01       1.199724598057e+00       5.481551865114e+00
5.972100000000e-01       1.188522119498e+00       5.215317805297e+00
6.142100000000e-01       1.177340364139e+00       4.954885636909e+00
6.312100000000e-01       1.166267603226e+00       4.700695271144e+00
6.482100000000e-01       1.155379497699e+00       4.453138146525e+00
6.652100000000e-01       1.144740607115e+00       4.212557523399e+00
6.822100000000e-01       1.134405584446e+00       3.979249102140e+00
6.992100000000e-01       1.124420114304e+00       3.753461935361e+00
7.162100000000e-01       1.114821668638e+00       3.535399624262e+00
7.332100000000e-01       1.105640135425e+00       3.325221756220e+00
7.502100000000e-01       1.096898377680e+00       3.123045571994e+00
7.672100000000e-01       1.088612758574e+00       2.928947831586e+00
7.842100000000e-01       1.080793655536e+00       2.742966840454e+00
8.012100000000e-01       1.073445980840e+00       2.565104633019e+00
8.182100000000e-01       1.066569708241e+00       2.395329257311e+00
8.352100000000e-01       1.060160407976e+00       2.233577157289e+00
8.522100000000e-01       1.054209783573e+00       2.079755619503e+00
8.692100000000e-01       1.048706202671e+00       1.933745248639e+00
8.862100000000e-01       1.043635216827e+00       1.795402474259e+00
9.032100000000e-01       1.038980060526e+00       1.664562036611e+00
9.202100000000e-01       1.034722125198e+00       1.541039454672e+00
9.372100000000e-01       1.030841402343e+00       1.424633449451e+00
9.542100000000e-01       1.027316891774e+00       1.315128296938e+00
9.712100000000e-01       1.024126973009e+00       1.212296117302e+00
9.882100000000e-01       1.021249737588e+00       1.115899061999e+00
1.005210000000e+00       1.018663282233e+00       1.025691406844e+00
1.022210000000e+00       1.016345962925e+00       9.414215344498e-01
1.039210000000e+00       1.014276611158e+00       8.628337924910e-01
1.056210000000e+00       1.012434713652e+00       7.896702372003e-01
1.073210000000e+00       1.010800558084e+00       7.216722402614e-01
1.090210000000e+00       1.009355346879e+00       6.585819698615e-01
1.107210000000e+00       1.008081281860e+00       6.001437396192e-01
1.124210000000e+00       1.006961622957e+00       5.461052223425e-01
1.141210000000e+00       1.005980723124e+00       4.962185390424e-01
1.158210000000e+00       1.005124043297e+00       4.502412155839e-01
1.175210000000e+00       1.004378149527e+00       4.079370181864e-01
1.192210000000e+00       1.003730695275e+00       3.690766691516e-01
1.209210000000e+00       1.003170391780e+00       3.334384467509e-01
1.226210000000e+00       1.002686968151e+00       3.008086789706e-01
1.243210000000e+00       1.002271124275e+00       2.709821330618e-01
1.260210000000e+00       1.001914477854e+00       2.437623106938e-01
1.277210000000e+00       1.001609507587e+00       2.189616542528e-01
1.294210000000e+00       1.001349494273e+00       1.964016714102e-01
1.311210000000e+00       1.001128460594e+00       1.759129856585e-01
1.328210000000e+00       1.000941111366e+00       1.573353194947e-01
1.345210000000e+00       1.000782774685e+00       1.405174175264e-01
1.362210000000e+00       1.000649344892e+00       1.253169161500e-01
1.379210000000e+00       1.000537228110e+00       1.116001671685e-01
1.396210000000e+00       1.000443290389e+00       9.924202047216e-02
1.413210000000e+00       1.000364809206e+00       8.812557349562e-02
1.430210000000e+00       1.000299428201e+00       7.814189190014e-02
1.447210000000e+00       1.000245115351e+00       6.918970726401e-02
1.464210000000e+00       1.000200124695e+00       6.117509768305e-02
1.481210000000e+00       1.000162961337e+00       5.401115392897e-02
1.498210000000e+00       1.000132349876e+00       4.761763774103e-02
1.515210000000e+00       1.000107205945e+00       4.192063422388e-02
1.532210000000e+00       1.000086610748e+00       3.685220240483e-02
1.549210000000e+00       1.000069788447e+00       3.235002781697e-02
1.566210000000e+00       1.000056086101e+00       2.835707781296e-02
1.583210000000e+00       1.000044956043e+00       2.482126422667e-02
1.600210000000e+00       1.000035940418e+00       2.169511356999e-02
1.617210000000e+00       1.000028657704e+00       1.893544705313e-02
1.634210000000e+00       1.000022791032e+00       1.650307243918e-02
1.651210000000e+00       1.000018078060e+00       1.436248719466e-02
1.668210000000e+00       1.000014302301e+00       1.248159565262e-02
1.685210000000e+00       1.000011285666e+00       1.083143934185e-02
1.702210000000e+00       1.000008882118e+00       9.385941405961e-03
1.719210000000e+00       1.000006972281e+00       8.121665789758e-03
1.736210000000e+00       1.000005458873e+00       7.017590056345e-03
1.753210000000e+00       1.000004262867e+00       6.054893118995e-03
1.770210000000e+00       1.000003320259e+00       5.216756628439e-03
1.787210000000e+00       1.000002579374e+00       4.488180091004e-03
1.804210000000e+00       1.000001998618e+00       3.855809622458e-03
1.821210000000e+00       1.000001544610e+00       3.307779073373e-03
1.838210000000e+00       1.000001190645e+00       2.833563920107e-03
1.855210000000e+00       1.000000915422e+00       2.423846661119e-03
1.872210000000e+00       1.000000701998e+00       2.070393386329e-03
1.889210000000e+00       1.000000536941e+00       1.765941090990e-03
1.906210000000e+00       1.000000409633e+00       1.504094615595e-03
1.923210000000e+00       1.000000311703e+00       1.279233155723e-03
1.940210000000e+00       1.000000236573e+00       1.086425292390e-03
1.957210000000e+00       1.000000179089e+00       9.213520976160e-04
1.974210000000e+00       1.000000135223e+00       7.802378275228e-04
1.991210000000e+00       1.000000101839e+00       6.597873404714e-04
2.008210000000e+00       1.000000076499e+00       5.571300205684e-04
2.025210000000e+00       1.000000057317e+00       4.697694323367e-04
2.042210000000e+00       1.000000042834e+00       3.955383036681e-04
2.059210000000e+00       1.000000031928e+00       3.325584232598e-04
2.076210000000e+00       1.000000023738e+00       2.792048517100e-04
2.093210000000e+00       1.000000017604e+00       2.340742146105e-04
2.110210000000e+00       1.000000013021e+00       1.959565573977e-04
2.127210000000e+00       1.000000009606e+00       1.638104581088e-04
2.144210000000e+00       1.000000007069e+00       1.367410981761e-04
2.161210000000e+00       1.000000005189e+00       1.139809057006e-04
2.178210000000e+00       1.000000003799e+00       9.487258838469e-05
2.195210000000e+00       1.000000002774e+00       7.885423244759e-05
2.212210000000e+00       1.000000002020e+00       6.544626454813e-05
2.229210000000e+00       1.000000001468e+00       5.424008169705e-05
2.246210000000e+00       1.000000001064e+00       4.488811899305e-05
2.263210000000e+00       1.000000000769e+00       3.709523140449e-05
2.280210000000e+00       1.000000000554e+00       3.061120156264e-05
2.297210000000e+00       1.000000000399e+00       2.522425003182e-05
2.314210000000e+00       1.000000000286e+00       2.075543152298e-05
2.331210000000e+00       1.000000000205e+00       1.705378843469e-05
2.348210000000e+00       1.000000000146e+00       1.399218633389e-05
2.365210000000e+00       1.000000000104e+00       1.145196128187e-05
2.382210000000e+00       1.000000000074e+00       0.000000000000e+00
