# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.9936257876e+00    3.3502762992e-02    1.0230000000e+03    1.0240000000e+03    0.0000000000e+00   -1.9988666101e+00    1.0000000000e+00    9.9902343750e-01
         1   -1.9919550621e+00    3.5383797405e-02    1.0249605275e+03    1.0240000000e+03    0.0000000000e+00   -1.8959218228e+00    9.9850136586e-01    1.0000000000e+00
         2   -1.9958665228e+00    3.8451011965e-02    1.0240182085e+03    1.0250000000e+03    6.2500000000e-02   -2.0895636594e+00    1.0000000000e+00    9.9804878049e-01
         3   -1.9949708376e+00    3.4964741591e-02    1.0239932803e+03    1.0230000000e+03    1.2500000000e-01   -1.8981625580e+00    9.9975424585e-01    1.0000000000e+00
         4   -1.9937028588e+00    4.0394871301e-02    1.0239913178e+03    1.0230000000e+03    0.0000000000e+00   -1.8972668728e+00    9.9961124127e-01    9.9902248289e-01
         5   -1.9963763230e+00    3.7381371799e-02    1.0240141727e+03    1.0230000000e+03    6.2500000000e-02   -1.8959988940e+00    9.9936515530e-01    1.0000000000e+00
         6   -1.9959390205e+00    3.7101638331e-02    1.0239954422e+03    1.0230000000e+03    0.0000000000e+00   -1.8986723582e+00    9.9898335621e-01    1.0000000000e+00
         7   -2.0007771407e+00    3.9988635373e-02    1.0240235128e+03    1.0240000000e+03    6.2500000000e-02   -1.9959390205e+00    9.9973769408e-01    9.9902343750e-01
         8   -1.9998014228e+00    3.8783609981e-02    1.0239927717e+03    1.0230000000e+03    6.2500000000e-02   -1.9030731759e+00    9.9930696388e-01    1.0000000000e+00
         9   -1.9930862995e+00    4.2569614052e-02    1.0239631689e+03    1.0230000000e+03    0.0000000000e+00   -1.9020974580e+00    9.9845075094e-01    9.9902248289e-01
        10   -1.9946319924e+00    3.5209559069e-02    1.0240113598e+03    1.0220000000e+03    6.2500000000e-02   -1.7975828159e+00    9.9887855294e-01    1.0000000000e+00
        11   -1.9940527525e+00    3.3825915570e-02    1.0239985123e+03    1.0260000000e+03    1.8750000000e-01   -2.1897540055e+00    9.9877568396e-01    9.9707602339e-01
        12   -1.9974653968e+00    3.3542089554e-02    1.0240193456e+03    1.0240000000e+03    1.2500000000e-01   -1.9940527525e+00    9.9943406883e-01    9.9804687500e-01
        13   -1.9997720598e+00    3.4112953395e-02    1.0240166105e+03    1.0240000000e+03    6.2500000000e-02   -1.9974653968e+00    1.0000000000e+00    9.9902343750e-01
        14   -2.0038577762e+00    3.2752758068e-02    1.0240191216e+03    1.0230000000e+03    6.2500000000e-02   -1.9020680951e+00    9.9881935458e-01    9.9902248289e-01
        15   -2.0075415065e+00    3.3620184285e-02    1.0240194076e+03    1.0240000000e+03    1.2500000000e-01   -2.0038577762e+00    9.9886643499e-01    9.9902343750e-01
        16   -2.0111393645e+00    3.4572054346e-02    1.0240174064e+03    1.0230000000e+03    6.2500000000e-02   -1.9098375417e+00    9.9942397150e-01    1.0000000000e+00
        17   -2.0044868755e+00    4.3041677679e-02    1.0239644584e+03    1.0240000000e+03    6.2500000000e-02   -2.0111393645e+00    9.9917671797e-01    1.0000000000e+00
        18   -2.0084384560e+00    3.9351232347e-02    1.0240183240e+03    1.0240000000e+03    0.0000000000e+00   -2.0044868755e+00    9.9923731041e-01    1.0000000000e+00
        19   -2.0037941825e+00    3.5308948266e-02    1.0239759011e+03    1.0250000000e+03    6.2500000000e-02   -2.1060470533e+00    1.0000000000e+00    9.9902439024e-01
        20   -2.0058732942e+00    3.8494647802e-02    1.0240091311e+03    1.0240000000e+03    6.2500000000e-02   -2.0037941825e+00    9.9973883245e-01    1.0000000000e+00
        21   -2.0039755797e+00    3.4725391369e-02    1.0239909529e+03    1.0260000000e+03    6.2500000000e-02   -2.2009953073e+00    9.9986991703e-01    9.9610136452e-01
        22   -2.0013762720e+00    4.2038889069e-02    1.0239884731e+03    1.0220000000e+03    1.2500000000e-01   -1.8084720962e+00    9.9989201230e-01    1.0000000000e+00
        23   -2.0060809462e+00    3.1310667722e-02    1.0240238962e+03    1.0240000000e+03    1.2500000000e-01   -2.0013762720e+00    9.9885580248e-01    1.0000000000e+00
        24   -2.0058879777e+00    3.2717536418e-02    1.0240018793e+03    1.0260000000e+03    1.2500000000e-01   -2.2012029593e+00    1.0000000000e+00    9.9805068226e-01
        25   -2.0067327042e+00    3.5772188771e-02    1.0240052633e+03    1.0240000000e+03    6.2500000000e-02   -2.0058879777e+00    9.9918390668e-01    9.9707031250e-01
        26   -2.0112647677e+00    3.5227008609e-02    1.0240246679e+03    1.0210000000e+03    1.2500000000e-01   -1.7133339607e+00    9.9804038203e-01    1.0000000000e+00
        27   -2.0073776352e+00    4.0092028448e-02    1.0239809854e+03    1.0250000000e+03    2.5000000000e-01   -2.1088733650e+00    9.9842807854e-01    9.9804878049e-01
        28   -2.0011569251e+00    1.3562840905e-01    1.0239661604e+03    1.0230000000e+03    6.2500000000e-02   -1.9096736704e+00    9.9967474809e-01    1.0000000000e+00
        29   -2.0063632992e+00    5.4430084502e-02    1.0240243290e+03    1.0240000000e+03    6.2500000000e-02   -2.0011569251e+00    9.9960412395e-01    9.9902343750e-01
        30   -2.0188807516e+00    3.8297727846e-02    1.0240617866e+03    1.0230000000e+03    6.2500000000e-02   -1.9086593344e+00    1.0000000000e+00    9.9902248289e-01
        31   -2.0200334672e+00    3.9505918011e-02    1.0240046554e+03    1.0230000000e+03    6.2500000000e-02   -1.9211767869e+00    1.0000000000e+00    1.0000000000e+00
        32   -2.0116581135e+00    3.9644211644e-02    1.0239546116e+03    1.0230000000e+03    0.0000000000e+00   -1.9223295024e+00    9.9942019060e-01    1.0000000000e+00
        33   -2.0122918381e+00    3.8391663859e-02    1.0240007306e+03    1.0230000000e+03    0.0000000000e+00   -1.9139541488e+00    9.9946760070e-01    1.0000000000e+00
        34   -2.0122166274e+00    3.4741291637e-02    1.0239990239e+03    1.0250000000e+03    6.2500000000e-02   -2.1099004354e+00    9.9974804308e-01    9.9804878049e-01
        35   -2.0104798870e+00    3.6795102310e-02    1.0239948048e+03    1.0240000000e+03    0.0000000000e+00   -2.0122166274e+00    9.9936978896e-01    1.0000000000e+00
        36   -2.0105034650e+00    3.9498965347e-02    1.0239983415e+03    1.0240000000e+03    0.0000000000e+00   -2.0104798870e+00    9.9976487082e-01    1.0000000000e+00
        37   -2.0049685827e+00    4.2172999588e-02    1.0239725121e+03    1.0260000000e+03    6.2500000000e-02   -2.2056254782e+00    1.0000000000e+00    9.9512670565e-01
        38   -2.0047999149e+00    4.6334283048e-02    1.0239995313e+03    1.0210000000e+03    1.8750000000e-01   -1.7115698392e+00    9.9954822994e-01    1.0000000000e+00
        39   -2.0051098624e+00    4.6061837012e-02    1.0240030471e+03    1.0260000000e+03    1.8750000000e-01   -2.1999219281e+00    9.9917205239e-01    1.0000000000e+00
        40   -2.0059393177e+00    4.2753090562e-02    1.0240032527e+03    1.0260000000e+03    0.0000000000e+00   -2.2002318755e+00    9.9866294857e-01    9.9805068226e-01
        41   -2.0065172086e+00    4.3234939210e-02    1.0240027384e+03    1.0240000000e+03    1.2500000000e-01   -2.0059393177e+00    9.9986163126e-01    1.0000000000e+00
        42   -2.0112773327e+00    4.3333879890e-02    1.0240245121e+03    1.0250000000e+03    6.2500000000e-02   -2.1041258059e+00    9.9879383090e-01    1.0000000000e+00
        43   -2.0091744555e+00    4.4199676608e-02    1.0239877363e+03    1.0250000000e+03    0.0000000000e+00   -2.1088859300e+00    1.0000000000e+00    9.9902439024e-01
        44   -2.0097435751e+00    4.3812380976e-02    1.0240031703e+03    1.0250000000e+03    6.2500000000e-02   -2.1067830528e+00    9.9986587270e-01    1.0000000000e+00
        45   -2.0075235747e+00    4.7605072064e-02    1.0239870823e+03    1.0250000000e+03    0.0000000000e+00   -2.1073521724e+00    9.9954453806e-01    1.0000000000e+00
        46   -2.0077846754e+00    4.2090725424e-02    1.0239997030e+03    1.0250000000e+03    0.0000000000e+00   -2.1051321720e+00    9.9884493913e-01    9.9804878049e-01
