#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.0150558822e+00    4.1030128670e+00   -2.8387000523e+00    8.2364417013e-01    1.3568070452e+00    8.6269410453e-01   -5.5193882203e+00    4.6118701830e-01    8.1925000000e+04    3.3150267601e-01    9.9993896298e-01
         1   -2.0105426065e+00    4.0772100271e+00   -2.8383617428e+00    8.2781913637e-01    1.3576425854e+00    8.6269410453e-01   -5.5233633217e+00    4.6466488894e-01    8.1930000000e+04    3.5325084627e-01    9.9991759471e-01
         2   -2.0128097768e+00    4.0894103579e+00   -2.8355843540e+00    8.2277457724e-01    1.3571733221e+00    8.6269410453e-01   -5.4992024363e+00    4.4375065567e-01    8.1924000000e+04    3.3412340283e-01    9.9992675422e-01
         3   -2.0141144111e+00    4.0926684963e+00   -2.8290258870e+00    8.1491147582e-01    1.3578941453e+00    8.6269410453e-01   -5.5088632769e+00    4.5924914007e-01    8.1907000000e+04    3.2942642272e-01    9.9991759533e-01
         4   -2.0156654153e+00    4.0988376480e+00   -2.8333520056e+00    8.1768659034e-01    1.3606182540e+00    8.6269410453e-01   -5.5202228292e+00    4.6355846497e-01    8.1903000000e+04    3.3386132121e-01    9.9992066020e-01
         5   -2.0173839928e+00    4.1099711468e+00   -2.8292159200e+00    8.1183192719e-01    1.3608174902e+00    8.6269410453e-01   -5.5217795427e+00    4.6905202789e-01    8.1925000000e+04    3.3833688498e-01    9.9992368696e-01
         6   -2.0200635725e+00    4.1225944376e+00   -2.8350252105e+00    8.1496163807e-01    1.3595458020e+00    8.6269410453e-01   -5.5018850775e+00    4.4461996040e-01    8.1918000000e+04    3.3180062473e-01    9.9989623654e-01
         7   -2.0175428258e+00    4.1081275090e+00   -2.8385665939e+00    8.2102376815e-01    1.3574304666e+00    8.6269410453e-01   -5.5099964839e+00    4.5130531884e-01    8.1912000000e+04    3.3634981513e-01    9.9992063516e-01
         8   -2.0167856911e+00    4.1064736491e+00   -2.8432530125e+00    8.2646732135e-01    1.3555202908e+00    8.6269410453e-01   -5.5165711829e+00    4.5510377515e-01    8.1913000000e+04    3.8450889289e-01    9.9991757800e-01
         9   -2.0175691927e+00    4.1140751602e+00   -2.8245521284e+00    8.0698293566e-01    1.3601457868e+00    8.6269410453e-01   -5.5362958743e+00    4.8890385456e-01    8.1920000000e+04    3.2982940972e-01    9.9989622649e-01
        10   -2.0136997504e+00    4.0988455760e+00   -2.8137753191e+00    8.0007556868e-01    1.3659181918e+00    8.6269410453e-01   -5.5693039358e+00    5.2691632032e-01    8.1924000000e+04    3.5636664927e-01    9.9993590951e-01
        11   -2.0132373016e+00    4.0960122374e+00   -2.8304863488e+00    8.1724904718e-01    1.3735799350e+00    8.6269410453e-01   -5.5629384086e+00    4.9617802030e-01    8.1916000000e+04    3.3797708154e-01    9.9992066491e-01
        12   -2.0140885646e+00    4.1045612073e+00   -2.8314592534e+00    8.1737068883e-01    1.3692225811e+00    8.6269410453e-01   -5.5396044043e+00    4.7622846528e-01    8.1931000000e+04    3.3290082216e-01    9.9991455255e-01
        13   -2.0141706749e+00    4.0954237785e+00   -2.8482702234e+00    8.3409954845e-01    1.3652580364e+00    8.6269410453e-01   -5.5275401990e+00    4.5131783460e-01    8.1930000000e+04    3.3266878128e-01    9.9989013184e-01
        14   -2.0162455370e+00    4.1029607493e+00   -2.8471030380e+00    8.3085750107e-01    1.3627673850e+00    8.6269410453e-01   -5.5357008581e+00    4.6313633050e-01    8.1920000000e+04    3.3625325561e-01    9.9991761205e-01
        15   -2.0162728876e+00    4.1050165613e+00   -2.8522094839e+00    8.3593659624e-01    1.3647052839e+00    8.6269410453e-01   -5.5302707056e+00    4.5066183329e-01    8.1913000000e+04    3.4162291884e-01    9.9992061006e-01
        16   -2.0134698245e+00    4.0917952841e+00   -2.8450093589e+00    8.3153953441e-01    1.3628125836e+00    8.6269410453e-01   -5.5209077939e+00    4.5039174680e-01    8.1932000000e+04    3.4132415056e-01    9.9992067324e-01
        17   -2.0158621724e+00    4.1056156481e+00   -2.8270981461e+00    8.1123597367e-01    1.3611008931e+00    8.6269410453e-01   -5.5078649815e+00    4.5697183781e-01    8.1927000000e+04    3.4045691788e-01    9.9990844900e-01
        18   -2.0089736721e+00    4.0903652864e+00   -2.8149592416e+00    8.0598556946e-01    1.3624146299e+00    8.6269410453e-01   -5.4990890013e+00    4.5902102531e-01    8.1910000000e+04    3.3048582077e-01    9.9991757861e-01
        19   -2.0139710638e+00    4.1016669649e+00   -2.8045846681e+00    7.9061360432e-01    1.3642981083e+00    8.6269410453e-01   -5.5097043357e+00    4.7812745480e-01    8.1918000000e+04    3.4983928502e-01    9.9993287319e-01
        20   -2.0109769108e+00    4.0933459960e+00   -2.8077028372e+00    7.9672592640e-01    1.3662099987e+00    8.6269410453e-01   -5.5376381582e+00    5.0103121780e-01    8.1916000000e+04    3.3048117161e-01    9.9990232692e-01
        21   -2.0103901553e+00    4.0870040455e+00   -2.8133106459e+00    8.0292049056e-01    1.3664293966e+00    8.6269410453e-01   -5.5285787841e+00    4.8614463707e-01    8.1925000000e+04    3.2384398580e-01    9.9990234851e-01
        22   -2.0145105710e+00    4.1100059329e+00   -2.8191603759e+00    8.0464980492e-01    1.3640201118e+00    8.6269410453e-01   -5.5362420329e+00    4.9036744066e-01    8.1918000000e+04    3.2357172668e-01    9.9993899517e-01
        23   -2.0167165682e+00    4.1170913361e+00   -2.8173483392e+00    8.0063177095e-01    1.3658429299e+00    8.6269410453e-01   -5.5538279757e+00    5.0794260218e-01    8.1920000000e+04    3.2364417613e-01    9.9991455255e-01
