#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9915499619e+00    4.0020453909e+00   -2.8048833622e+00    8.1333340031e-01    1.3872806419e+00    8.6269410453e-01   -5.4922161788e+00    4.3735807021e-01    1.2800000000e+03    1.2977376580e-02    8.5572265625e-01
         1   -1.9834551814e+00    4.0079274607e+00   -2.7845691381e+00    8.0111395676e-01    1.4037203207e+00    8.6269410453e-01   -5.4815053620e+00    4.3052179866e-01    1.2800000000e+03    1.2950569391e-02    8.5857421875e-01
         2   -1.9966983110e+00    4.0181416858e+00   -2.8049792293e+00    8.0828091826e-01    1.3584131350e+00    8.6269410453e-01   -5.4926116737e+00    4.6652520491e-01    1.2800000000e+03    1.7740130424e-02    8.5412109375e-01
         3   -2.0014511531e+00    4.0417877105e+00   -2.8473079608e+00    8.4585680773e-01    1.4235590330e+00    8.6269410453e-01   -5.5966344405e+00    4.6307334220e-01    1.2800000000e+03    1.8609464169e-02    8.5779296875e-01
         4   -1.9929512651e+00    4.0003500001e+00   -2.7501376350e+00    7.5718636990e-01    1.3597195555e+00    8.6269410453e-01   -5.4778508607e+00    5.0529956562e-01    1.2800000000e+03    1.1929169297e-02    8.5445312500e-01
         5   -1.9885018508e+00    3.9852251388e+00   -2.7579834015e+00    7.6948155067e-01    1.3919418110e+00    8.6269410453e-01   -5.4970148282e+00    4.8439551119e-01    1.2800000000e+03    1.2170687318e-02    8.5769531250e-01
         6   -1.9853890076e+00    3.9889356219e+00   -2.7470540361e+00    7.6166502855e-01    1.3789328739e+00    8.6269410453e-01   -5.4748786802e+00    4.8619766559e-01    1.2800000000e+03    1.2989014387e-02    8.5695312500e-01
         7   -1.9964520897e+00    4.0261902529e+00   -2.7271506273e+00    7.3069853760e-01    1.3569043246e+00    8.6269410453e-01   -5.4396418723e+00    4.9289281587e-01    1.2800000000e+03    1.2900501490e-02    8.5705078125e-01
         8   -1.9894895032e+00    3.9941870151e+00   -2.7491401415e+00    7.5965063823e-01    1.3849645873e+00    8.6269410453e-01   -5.4440090308e+00    4.4721019751e-01    1.2800000000e+03    1.2963041663e-02    8.5408203125e-01
         9   -1.9810349250e+00    3.9883986139e+00   -2.7781456638e+00    7.9711073876e-01    1.4078444060e+00    8.6269410453e-01   -5.4575545476e+00    4.0887037331e-01    1.2800000000e+03    1.2880161405e-02    8.5697265625e-01
        10   -1.9950592182e+00    4.0116770280e+00   -2.7327107668e+00    7.3765154862e-01    1.3453788836e+00    8.6269410453e-01   -5.3545850534e+00    4.1380129844e-01    1.2800000000e+03    1.2824714184e-02    8.5453125000e-01
        11   -1.9948695671e+00    4.0003561689e+00   -2.7422126273e+00    7.4734306024e-01    1.3505649525e+00    8.6269410453e-01   -5.3945496491e+00    4.3907796477e-01    1.2800000000e+03    1.2869775295e-02    8.5542968750e-01
        12   -2.0150510357e+00    4.0962844778e+00   -2.7745395948e+00    7.5948855915e-01    1.3820508616e+00    8.6269410453e-01   -5.5407529535e+00    5.2146839256e-01    1.2800000000e+03    1.2944936752e-02    8.5742187500e-01
        13   -1.9874213796e+00    3.9854414356e+00   -2.7995915627e+00    8.1217018302e-01    1.4382953659e+00    8.6269410453e-01   -5.6094674906e+00    5.0888645745e-01    1.2800000000e+03    1.3034686446e-02    8.5550781250e-01
        14   -1.9869791711e+00    3.9788224745e+00   -2.7647264928e+00    7.7774732167e-01    1.3679621601e+00    8.6269410453e-01   -5.4508590888e+00    4.5547633140e-01    1.2800000000e+03    1.2922897935e-02    8.5732421875e-01
        15   -1.9926195181e+00    4.0107759190e+00   -2.8534736812e+00    8.6085416306e-01    1.3856189529e+00    8.6269410453e-01   -5.5284183321e+00    4.2663159347e-01    1.2800000000e+03    1.2965857983e-02    8.5792968750e-01
        16   -1.9888221492e+00    3.9805261871e+00   -2.8057663681e+00    8.1694421884e-01    1.3968618651e+00    8.6269410453e-01   -5.4898530375e+00    4.2453069980e-01    1.2800000000e+03    1.3005211949e-02    8.5626953125e-01
        17   -2.0045202749e+00    4.0532262594e+00   -2.8236879464e+00    8.1916767151e-01    1.3697679056e+00    8.6269410453e-01   -5.4705291220e+00    4.1437916552e-01    1.2800000000e+03    1.2922748923e-02    8.5322265625e-01
        18   -1.9943865329e+00    4.0008168423e+00   -2.7862321594e+00    7.9184562647e-01    1.3735043212e+00    8.6269410453e-01   -5.4846851887e+00    4.6225460358e-01    1.2800000000e+03    1.2916401029e-02    8.5597656250e-01
        19   -1.9713862371e+00    3.9814722035e+00   -2.8083638344e+00    8.3697759730e-01    1.4131899287e+00    8.6269410453e-01   -5.4540687917e+00    3.6982092408e-01    1.2800000000e+03    1.2924551964e-02    8.5597656250e-01
