#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9232628326e+00    3.8305250050e+00   -2.7046764944e+00    7.8141366182e-01    1.5598239307e+00    8.6269410453e-01   -5.5595525859e+00    4.3235805634e-01    3.2000000000e+02    1.6526579857e-03    9.9270833333e-01
         1   -1.8973508641e+00    3.7067266330e+00   -2.6929444297e+00    7.9559356564e-01    1.5415930731e+00    8.6269410453e-01   -5.4387967320e+00    3.4156512471e-01    3.2000000000e+02    4.1569918394e-03    9.9427083333e-01
         2   -1.9224387914e+00    3.7715659225e+00   -2.6649524869e+00    7.4251369547e-01    1.5779141020e+00    8.6269410453e-01   -5.5366564796e+00    4.3109578618e-01    3.2000000000e+02    1.3826191425e-03    9.8984375000e-01
         3   -1.9052153543e+00    3.7614623658e+00   -2.6849123914e+00    7.7969703712e-01    1.6010899422e+00    8.6269410453e-01   -5.5679914175e+00    4.1929497928e-01    3.2000000000e+02    1.4110207558e-03    9.9244791667e-01
         4   -1.9656620634e+00    3.9427674759e+00   -2.7351816585e+00    7.6951959507e-01    1.5274262264e+00    8.6269410453e-01   -5.6496970238e+00    5.2439503443e-01    3.2000000000e+02    1.4690458775e-03    9.8984375000e-01
         5   -1.8545347920e+00    3.6104684419e+00   -2.5342513002e+00    6.7971650815e-01    1.5168951306e+00    8.6269410453e-01   -5.4880365033e+00    5.7419596804e-01    3.2000000000e+02    5.0387233496e-03    9.9244791667e-01
         6   -1.8941532781e+00    3.7243222993e+00   -2.6294538819e+00    7.3530060386e-01    1.5047304513e+00    8.6269410453e-01   -5.4452029372e+00    4.4832449944e-01    3.2000000000e+02    1.3945102692e-03    9.9218750000e-01
         7   -1.8874138948e+00    3.9619371263e+00   -2.6396326526e+00    7.5221875777e-01    1.5438270917e+00    8.6269410453e-01   -5.5219941431e+00    4.7584029427e-01    3.2000000000e+02    4.1340440512e-03    9.9036458333e-01
         8   -1.8262529446e+00    3.5473085260e+00   -2.5922996800e+00    7.6604673534e-01    1.5951007078e+00    8.6269410453e-01   -5.5064996658e+00    4.5640517348e-01    3.2000000000e+02    1.3696104288e-03    9.9114583333e-01
         9   -1.8310024920e+00    3.5242833931e+00   -2.6126498866e+00    7.8164739460e-01    1.6142408093e+00    8.6269410453e-01   -5.5213605370e+00    4.3177573666e-01    3.2000000000e+02    1.4045685530e-03    9.9114583333e-01
        10   -1.8668725970e+00    3.6165005659e+00   -2.6755702311e+00    8.0869763411e-01    1.5980555050e+00    8.6269410453e-01   -5.5710154843e+00    4.3469564375e-01    3.2000000000e+02    5.1114708185e-03    9.9270833333e-01
        11   -1.9043193243e+00    3.7316210861e+00   -2.6168602562e+00    7.1254093191e-01    1.4875481188e+00    8.6269410453e-01   -5.4167173650e+00    4.4961488545e-01    3.2000000000e+02    2.0077675581e-03    9.9296875000e-01
        12   -1.8250767647e+00    3.5193679043e+00   -2.6776836220e+00    8.5260685721e-01    1.6039260174e+00    8.6269410453e-01   -5.4550050624e+00    3.1070131855e-01    3.2000000000e+02    1.5715807676e-03    9.9427083333e-01
        13   -1.9220248406e+00    3.8712607515e+00   -2.6596098260e+00    7.3758498535e-01    1.5111738645e+00    8.6269410453e-01   -5.5661065927e+00    5.3262879772e-01    3.2000000000e+02    1.5260726213e-03    9.9218750000e-01
        14   -1.9541164459e+00    3.9457319799e+00   -2.6333196452e+00    6.7920319927e-01    1.4209502179e+00    8.6269410453e-01   -5.3513287203e+00    4.3436475265e-01    3.2000000000e+02    1.4879256487e-03    9.9166666667e-01
        15   -1.9310649829e+00    3.8978613980e+00   -2.6627093996e+00    7.3164441669e-01    1.5178849814e+00    8.6269410453e-01   -5.5029238397e+00    4.5963535417e-01    3.2000000000e+02    1.5064626932e-03    9.9348958333e-01
        16   -1.9116618434e+00    3.7995040711e+00   -2.7826644250e+00    8.7100258162e-01    1.5901695096e+00    8.6269410453e-01   -5.4841205819e+00    2.4859254269e-01    3.2000000000e+02    1.5656799078e-03    9.9010416667e-01
        17   -1.9089090388e+00    3.7816302155e+00   -2.7281979242e+00    8.1928888533e-01    1.5552070530e+00    8.6269410453e-01   -5.6643836705e+00    5.1828458877e-01    3.2000000000e+02    1.5423595905e-03    9.9140625000e-01
        18   -1.8001988813e+00    3.4559880372e+00   -2.6578136460e+00    8.5761476473e-01    1.6389366642e+00    8.6269410453e-01   -5.5928389350e+00    4.3339452028e-01    3.2000000000e+02    1.8537491560e-03    9.9270833333e-01
        19   -1.8343495542e+00    3.5133806534e+00   -2.5152146744e+00    6.8086512013e-01    1.5714232285e+00    8.6269410453e-01   -5.3286873152e+00    3.7935530775e-01    3.2000000000e+02    2.2360831499e-03    9.9322916667e-01
        20   -1.9110709213e+00    3.7404050429e+00   -2.6309637714e+00    7.1989285003e-01    1.5314091680e+00    8.6269410453e-01   -5.4861339580e+00    4.6106691410e-01    3.2000000000e+02    1.5163719654e-03    9.9010416667e-01
        21   -1.8593745640e+00    3.6647231627e+00   -2.5809911962e+00    7.2161663225e-01    1.5192032810e+00    8.6269410453e-01   -5.4083044554e+00    4.4541587360e-01    3.2000000000e+02    1.5151649714e-03    9.9036458333e-01
        22   -1.8781638192e+00    3.6140646757e+00   -2.6190927897e+00    7.4092897051e-01    1.5536891138e+00    8.6269410453e-01   -5.5784362883e+00    5.4296028034e-01    3.2000000000e+02    1.5603452921e-03    9.9062500000e-01
        23   -1.9791863217e+00    3.9667258955e+00   -2.6652698842e+00    6.8608356252e-01    1.4554796667e+00    8.6269410453e-01   -5.6327685334e+00    6.4932487785e-01    3.2000000000e+02    1.5370845795e-03    9.9088541667e-01
        24   -1.8668750325e+00    3.5993723420e+00   -2.6067632986e+00    7.3988826607e-01    1.5632074324e+00    8.6269410453e-01   -5.2865756272e+00    2.5391079172e-01    3.2000000000e+02    1.5078783035e-03    9.9166666667e-01
        25   -1.8429460668e+00    3.5130714859e+00   -2.5527119335e+00    7.0976586666e-01    1.5649274634e+00    8.6269410453e-01   -5.2357318344e+00    2.5539833302e-01    3.2000000000e+02    1.5012472868e-03    9.9348958333e-01
        26   -1.9618909892e+00    3.8909668016e+00   -2.7762333446e+00    8.1434235542e-01    1.4981537513e+00    8.6269410453e-01   -5.5039502093e+00    3.6686900891e-01    3.2000000000e+02    1.5553385019e-03    9.9192708333e-01
        27   -1.9739092182e+00    3.9909272824e+00   -2.7652303794e+00    7.9132116122e-01    1.4685960872e+00    8.6269410453e-01   -5.5231602331e+00    4.2663966189e-01    3.2000000000e+02    1.5297830105e-03    9.9036458333e-01
        28   -1.9087310714e+00    3.7361754073e+00   -2.4830261578e+00    5.7429508641e-01    1.4181216521e+00    8.6269410453e-01   -5.2727991195e+00    5.0895720511e-01    3.2000000000e+02    1.4810413122e-03    9.9114583333e-01
        29   -1.9749080186e+00    3.9743324405e+00   -2.5918513554e+00    6.1694333678e-01    1.4062295304e+00    8.6269410453e-01   -5.3041335192e+00    4.4335852892e-01    3.2000000000e+02    1.4838129282e-03    9.9296875000e-01
        30   -1.9460726070e+00    3.9018810981e+00   -2.7637436195e+00    8.1767101255e-01    1.4948956450e+00    8.6269410453e-01   -5.5793576505e+00    4.5802428138e-01    3.2000000000e+02    1.5587359667e-03    9.9166666667e-01
        31   -1.9895076463e+00    4.0333568879e+00   -2.9096793598e+00    9.2017171351e-01    1.5511254629e+00    8.6269410453e-01   -5.7693378905e+00    4.4583896323e-01    3.2000000000e+02    1.5831440687e-03    9.9270833333e-01
        32   -1.8766592483e+00    3.6554826437e+00   -2.6265995436e+00    7.4994029529e-01    1.5131467604e+00    8.6269410453e-01   -5.3647989890e+00    3.6235858046e-01    3.2000000000e+02    1.5227496624e-03    9.9088541667e-01
        33   -1.8065227447e+00    3.5248761702e+00   -2.6039002199e+00    7.9737747526e-01    1.6185659478e+00    8.6269410453e-01   -5.4454705578e+00    3.6031028554e-01    3.2000000000e+02    1.5069693327e-03    9.9375000000e-01
        34   -1.9396157383e+00    3.9458387808e+00   -2.6086186790e+00    6.6900294065e-01    1.5322202307e+00    8.6269410453e-01   -5.6656714103e+00    6.6213839613e-01    3.2000000000e+02    1.5288740396e-03    9.9453125000e-01
        35   -1.9389305354e+00    3.8640313186e+00   -2.6191485526e+00    6.8021801726e-01    1.4587410310e+00    8.6269410453e-01   -5.4613747805e+00    5.2079109235e-01    3.2000000000e+02    1.5148073435e-03    9.9322916667e-01
        36   -1.9574383424e+00    3.8840036253e+00   -2.6399492120e+00    6.8251086955e-01    1.4232217340e+00    8.6269410453e-01   -5.3214104001e+00    3.9554534948e-01    3.2000000000e+02    1.4995932579e-03    9.9479166667e-01
        37   -1.8080983369e+00    3.6436291242e+00   -2.3343712159e+00    5.2627287900e-01    1.5394855538e+00    8.6269410453e-01   -5.1440991251e+00    4.0754825087e-01    3.2000000000e+02    1.4357715845e-03    9.9322916667e-01
        38   -1.9215530930e+00    3.8018427325e+00   -2.4935645034e+00    5.7201141044e-01    1.4013360502e+00    8.6269410453e-01   -5.1913134628e+00    4.3371880469e-01    3.2000000000e+02    1.4682263136e-03    9.9375000000e-01
        39   -1.8984626305e+00    3.8815586517e+00   -2.6560650734e+00    7.5760244281e-01    1.5510346532e+00    8.6269410453e-01   -5.4403904915e+00    3.7059666034e-01    3.2000000000e+02    1.5116631985e-03    9.9244791667e-01
        40   -1.9730532800e+00    3.9783427073e+00   -2.8626962475e+00    8.8964296746e-01    1.5886142564e+00    8.6269410453e-01   -5.8740386341e+00    5.6003402570e-01    3.2000000000e+02    1.5782415867e-03    9.9036458333e-01
        41   -1.8872195928e+00    3.7751353793e+00   -2.6809555814e+00    7.9373598862e-01    1.6140035679e+00    8.6269410453e-01   -5.6827007612e+00    5.2504750737e-01    3.2000000000e+02    1.5618950129e-03    9.9166666667e-01
        42   -1.8921686317e+00    3.7254229561e+00   -2.8171168590e+00    9.2494822730e-01    1.6082894044e+00    8.6269410453e-01   -5.7550193500e+00    4.6691898221e-01    3.2000000000e+02    1.5539824963e-03    9.8828125000e-01
        43   -1.9390957970e+00    3.8675864857e+00   -2.5621971591e+00    6.2310136217e-01    1.4462987732e+00    8.6269410453e-01   -5.2026443159e+00    3.3145427901e-01    3.2000000000e+02    1.4545619488e-03    9.9088541667e-01
        44   -1.8433387143e+00    3.6112293546e+00   -2.5522196278e+00    7.0888091356e-01    1.5115515014e+00    8.6269410453e-01   -5.3514191006e+00    4.2495386681e-01    3.2000000000e+02    1.5045851469e-03    9.9270833333e-01
        45   -1.9015393396e+00    3.7234398389e+00   -2.6077466013e+00    7.0620726167e-01    1.5211657391e+00    8.6269410453e-01   -5.5141434470e+00    5.2253700203e-01    3.2000000000e+02    1.5330314636e-03    9.9192708333e-01
        46   -1.9748725595e+00    3.9971408091e+00   -2.7361248043e+00    7.6125224487e-01    1.5556218905e+00    8.6269410453e-01   -5.8744049054e+00    7.1996410604e-01    3.2000000000e+02    1.5872418880e-03    9.9244791667e-01
        47   -1.9530022739e+00    3.9034301424e+00   -2.7374767834e+00    7.8447450943e-01    1.5065455702e+00    8.6269410453e-01   -5.6354736168e+00    5.2875715865e-01    3.2000000000e+02    1.5425682068e-03    9.9036458333e-01
        48   -2.0024486167e+00    4.1207338334e+00   -2.8207396526e+00    8.1829103589e-01    1.5164112922e+00    8.6269410453e-01   -5.7373491099e+00    5.3750406065e-01    3.2000000000e+02    1.5596002340e-03    9.9244791667e-01
        49   -2.0112639450e+00    4.1040225609e+00   -2.6790463872e+00    6.6778244226e-01    1.4134298826e+00    8.6269410453e-01   -5.3730637615e+00    4.1789338710e-01    3.2000000000e+02    1.4971345663e-03    9.9166666667e-01
        50   -1.9368673516e+00    3.8429625139e+00   -2.6704532609e+00    7.3358590934e-01    1.4883360012e+00    8.6269410453e-01   -5.3939021025e+00    3.7241873588e-01    3.2000000000e+02    1.4827549458e-03    9.9140625000e-01
        51   -1.9098413216e+00    3.7488586537e+00   -2.8063724959e+00    8.9653117430e-01    1.6396148150e+00    8.6269410453e-01   -5.7634718677e+00    4.5479045226e-01    3.2000000000e+02    1.6979426146e-03    9.9166666667e-01
        52   -1.9204034512e+00    3.7738489389e+00   -2.7555843572e+00    8.3518090600e-01    1.5540103231e+00    8.6269410453e-01   -5.8357206458e+00    6.6343186096e-01    3.2000000000e+02    1.5745162964e-03    9.9010416667e-01
        53   -1.9359482709e+00    3.8935779188e+00   -2.7626259309e+00    8.2667766005e-01    1.5393541876e+00    8.6269410453e-01   -5.7353836551e+00    5.7070943209e-01    3.2000000000e+02    1.5528202057e-03    9.9140625000e-01
        54   -1.9408911364e+00    3.8657196081e+00   -2.6737321913e+00    7.3284105488e-01    1.3870720256e+00    8.6269410453e-01   -5.2874190765e+00    3.6392075503e-01    3.2000000000e+02    1.4947056770e-03    9.9244791667e-01
        55   -1.9122340129e+00    3.8022104470e+00   -2.6633229622e+00    7.5108894928e-01    1.5013862240e+00    8.6269410453e-01   -5.5589586445e+00    5.3155535377e-01    3.2000000000e+02    1.5266537666e-03    9.8958333333e-01
        56   -1.9473217413e+00    3.8594328229e+00   -2.6091052864e+00    6.6178354517e-01    1.4332896859e+00    8.6269410453e-01   -5.4046726291e+00    4.9958355217e-01    3.2000000000e+02    1.5186071396e-03    9.8984375000e-01
        57   -1.9741092410e+00    3.9637366314e+00   -2.7698260678e+00    7.9571682689e-01    1.4437091291e+00    8.6269410453e-01   -5.6109074950e+00    5.3467819351e-01    3.2000000000e+02    1.5585720539e-03    9.9427083333e-01
        58   -1.8621529123e+00    3.6016223242e+00   -2.6034336112e+00    7.4128069892e-01    1.5049882556e+00    8.6269410453e-01   -5.3914545478e+00    4.2033857645e-01    3.2000000000e+02    1.5001893044e-03    9.9270833333e-01
        59   -1.9173872689e+00    3.8091830528e+00   -2.4783282635e+00    5.6094099454e-01    1.3897725849e+00    8.6269410453e-01   -5.3113996891e+00    5.8060473622e-01    3.2000000000e+02    1.4977157116e-03    9.9192708333e-01
        60   -1.9497401733e+00    4.0072206064e+00   -2.7812827229e+00    8.3154254955e-01    1.5022497681e+00    8.6269410453e-01   -5.5151820528e+00    3.6895545729e-01    3.2000000000e+02    1.5302002430e-03    9.8958333333e-01
        61   -1.8391523765e+00    3.5647822491e+00   -2.6848873259e+00    8.4573494942e-01    1.6940196271e+00    8.6269410453e-01   -5.6410322105e+00    3.9943115292e-01    3.2000000000e+02    1.5530288219e-03    9.9322916667e-01
        62   -1.8584811296e+00    3.6051864505e+00   -2.6495394972e+00    7.9105836765e-01    1.5922956010e+00    8.6269410453e-01   -5.4651941083e+00    3.6066490552e-01    3.2000000000e+02    1.5091300011e-03    9.9322916667e-01
        63   -1.8998942325e+00    3.7687292126e+00   -2.5983927397e+00    6.9849850721e-01    1.5029441222e+00    8.6269410453e-01   -5.4488963554e+00    4.8486538899e-01    3.2000000000e+02    1.5273243189e-03    9.9062500000e-01
        64   -1.9053005486e+00    3.8281134237e+00   -2.6395716546e+00    7.3427110603e-01    1.4816111862e+00    8.6269410453e-01   -5.3870648752e+00    4.0318792987e-01    3.2000000000e+02    1.5253722668e-03    9.9296875000e-01
        65   -1.9013701954e+00    3.8181481943e+00   -2.6893959812e+00    7.8802578588e-01    1.5072541899e+00    8.6269410453e-01   -5.5824241658e+00    5.2307989005e-01    3.2000000000e+02    1.5432387590e-03    9.9140625000e-01
        66   -1.9206255641e+00    3.7985825321e+00   -2.7335485431e+00    8.1292297901e-01    1.6191120464e+00    8.6269410453e-01   -5.8292919357e+00    6.1393724167e-01    3.2000000000e+02    1.5625655651e-03    9.9166666667e-01
        67   -1.8627102324e+00    3.6425929710e+00   -2.7314281896e+00    8.6871795723e-01    1.6138774884e+00    8.6269410453e-01   -5.8100585661e+00    6.0205878362e-01    3.2000000000e+02    1.5829503536e-03    9.9062500000e-01
        68   -1.9248776410e+00    3.7967159819e+00   -2.6194861480e+00    6.9460850700e-01    1.4505821323e+00    8.6269410453e-01   -5.2763053074e+00    3.4354292258e-01    3.2000000000e+02    1.5044957399e-03    9.9114583333e-01
        69   -1.9086706072e+00    3.7549513567e+00   -2.6213939695e+00    7.1272336223e-01    1.5481884935e+00    8.6269410453e-01   -5.4366726461e+00    4.0439607861e-01    3.2000000000e+02    1.5043467283e-03    9.9062500000e-01
        70   -1.8670405947e+00    3.6210419568e+00   -2.6614370845e+00    7.9439648978e-01    1.5615170825e+00    8.6269410453e-01   -5.3400363685e+00    2.5438809692e-01    3.2000000000e+02    1.4985501766e-03    9.8880208333e-01
        71   -1.9446751888e+00    3.8712326595e+00   -2.7158099706e+00    7.7113478181e-01    1.4767803896e+00    8.6269410453e-01   -5.4950889109e+00    4.3980444612e-01    3.2000000000e+02    1.5473216772e-03    9.9401041667e-01
        72   -1.8877837804e+00    3.7267871656e+00   -2.6144293004e+00    7.2664552002e-01    1.5384626955e+00    8.6269410453e-01   -5.5960438787e+00    5.8045777822e-01    3.2000000000e+02    1.5207827091e-03    9.9296875000e-01
        73   -1.8996966787e+00    3.9209566643e+00   -2.7667343808e+00    8.6703770211e-01    1.5628485500e+00    8.6269410453e-01   -5.7834593526e+00    5.9118231723e-01    3.2000000000e+02    1.5601664782e-03    9.9270833333e-01
        74   -1.9006419846e+00    3.7720636251e+00   -2.7775460783e+00    8.7690409377e-01    1.5958727056e+00    8.6269410453e-01   -5.5969368005e+00    3.6082391201e-01    3.2000000000e+02    1.5584677458e-03    9.9062500000e-01
        75   -1.9525856457e+00    3.8967973522e+00   -2.7989406548e+00    8.4635500917e-01    1.5504333071e+00    8.6269410453e-01   -5.5848907124e+00    3.7282264591e-01    3.2000000000e+02    1.5547424555e-03    9.9348958333e-01
        76   -1.9031464510e+00    4.2088643738e+00   -2.7674482875e+00    8.6430183656e-01    1.6501584832e+00    8.6269410453e-01   -5.7525859867e+00    4.7228511140e-01    3.2000000000e+02    1.5728324652e-03    9.9401041667e-01
        77   -1.8483967762e+00    3.6084946012e+00   -2.5985621787e+00    7.5016540251e-01    1.6783167641e+00    8.6269410453e-01   -5.8085421833e+00    6.6896913593e-01    3.2000000000e+02    1.5684068203e-03    9.8906250000e-01
