##Distance        DFT                    DMC
0.9         -31.6369401430597   -31.626501 +/- 0.002410 
1.0         -31.8363478674671   -31.828625 +/- 0.000875 
1.1         -31.918890732189   -31.905119 +/- 0.000987 
1.208         -31.9408872913332   -31.927373 +/- 0.001183 
1.3         -31.93189364751   -31.914509 +/- 0.000832 
1.4         -31.9081060481714   -31.890182 +/- 0.001044 
1.6         -31.8453871241791   -31.828341 +/- 0.001111 
2.0         -31.7305317718641   -31.733530 +/- 0.001029 
2.2         -31.688703331397   -31.706738 +/- 0.001138 
2.4         -31.6570229429338   -31.690869 +/- 0.001444 
2.6         -31.6336540915715   -31.687243 +/- 0.001205 
2.8         -31.6166971137642   -31.680811 +/- 0.001176 
3.0         -31.6045103522581   -31.680678 +/- 0.001145 
