#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5941969256e+01    2.5418032445e+02   -2.7979253482e+01    1.2037284226e+01    1.0458999776e+01   -3.9732688273e+01    1.2944350148e+00    1.6000000000e+01    1.0546743870e-03    6.1562500000e-01
         1   -1.5842720629e+01    2.5126682709e+02   -2.7099999900e+01    1.1257279271e+01    9.7778666597e+00   -3.9284851986e+01    2.4069854264e+00    1.6000000000e+01    1.1297315359e-03    6.2118055556e-01
         2   -1.5777583928e+01    2.4915325192e+02   -2.7978225831e+01    1.2200641902e+01    1.0152522539e+01   -3.7973280544e+01   -1.5746782620e-01    1.6000000000e+01    1.1437833309e-03    6.2881944444e-01
         3   -1.5753613118e+01    2.4823848905e+02   -2.6758449155e+01    1.1004836037e+01    1.0681428634e+01   -3.8602797965e+01    1.1629201758e+00    1.6000000000e+01    1.1831820011e-03    6.3993055556e-01
         4   -1.5772340183e+01    2.4887570203e+02   -2.7419747495e+01    1.1647407312e+01    1.0622045320e+01   -3.8829309665e+01    7.8751685044e-01    1.6000000000e+01    1.1394321918e-03    6.2222222222e-01
         5   -1.5855883345e+01    2.5152014093e+02   -3.1203039066e+01    1.5347155721e+01    1.1974582969e+01   -4.7228127423e+01    4.0505053880e+00    1.6000000000e+01    1.2186318636e-03    6.1736111111e-01
         6   -1.5754834420e+01    2.4831554417e+02   -2.8766112830e+01    1.3011278410e+01    1.0527496271e+01   -3.9837155029e+01    5.4354592793e-01    1.6000000000e+01    1.1390298605e-03    6.2013888889e-01
         7   -1.5908460019e+01    2.5316785475e+02   -2.5890461579e+01    9.9820015607e+00    9.7723552001e+00   -3.6457570052e+01    7.9475327240e-01    1.6000000000e+01    1.1272132397e-03    6.2187500000e-01
         8   -1.5824460788e+01    2.5053681228e+02   -2.9300433617e+01    1.3475972829e+01    1.0878893422e+01   -4.3031885725e+01    2.8525586865e+00    1.6000000000e+01    1.1252909899e-03    6.0694444444e-01
         9   -1.5822656300e+01    2.5043786161e+02   -2.5861066389e+01    1.0038410088e+01    1.0204084152e+01   -3.6903845420e+01    8.3869487948e-01    1.6000000000e+01    1.2837350368e-03    6.2708333333e-01
        10   -1.5633820968e+01    2.4465135914e+02   -2.8362515985e+01    1.2728695017e+01    1.0290180933e+01   -4.0059722011e+01    1.4070250934e+00    1.6000000000e+01    1.1392682791e-03    6.3333333333e-01
