# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.5486872476e+01    1.2177549183e+00    4.0840000000e+03    4.0960000000e+03    0.0000000000e+00   -1.5860015870e+01    9.8354715870e-01    9.9658203125e-01
         1   -1.5595902694e+01    1.3046744020e+00    4.0907570075e+03    4.0960000000e+03    0.0000000000e+00   -1.5193473733e+01    9.8600898275e-01    9.9536132812e-01
         2   -1.5687410361e+01    3.9399683690e-01    4.0976613706e+03    4.0900000000e+03    7.5000000000e-01   -1.5449310926e+01    9.8367317157e-01    9.9926650367e-01
         3   -1.5713757151e+01    3.8522933925e-01    4.0965013275e+03    4.0960000000e+03    3.7500000000e-01   -1.5687410361e+01    9.8418589988e-01    9.9804687500e-01
         4   -1.5756528904e+01    3.6023391901e-01    4.0968236201e+03    4.0950000000e+03    3.7500000000e-01   -1.5689340108e+01    9.8613028384e-01    9.9902319902e-01
         5   -1.5767347290e+01    2.8666662868e-01    4.0961991648e+03    4.0970000000e+03    3.7500000000e-01   -1.5780939987e+01    9.8586393901e-01    9.9853551379e-01
         6   -1.5773722113e+01    3.3517563745e-01    4.0961687659e+03    4.0980000000e+03    3.1250000000e-01   -1.5816163498e+01    9.8439339343e-01    9.9780380673e-01
         7   -1.5776598726e+01    3.1432191759e-01    4.0960157748e+03    4.0930000000e+03    3.7500000000e-01   -1.5700453090e+01    9.8715140987e-01    9.9926704129e-01
         8   -1.5788860290e+01    2.5113817266e-01    4.0963571076e+03    4.1020000000e+03    3.7500000000e-01   -1.5922975917e+01    9.8701066599e-01    9.9707459776e-01
         9   -1.5801312969e+01    2.0956233603e-01    4.0961871722e+03    4.0920000000e+03    4.3750000000e-01   -1.5691156325e+01    9.8387731520e-01    9.9902248289e-01
        10   -1.5806899472e+01    2.1193926386e-01    4.0960998572e+03    4.0950000000e+03    2.5000000000e-01   -1.5776895925e+01    9.8749138396e-01    9.9951159951e-01
        11   -1.5806451224e+01    2.2859651083e-01    4.0959782985e+03    4.0970000000e+03    1.8750000000e-01   -1.5831310554e+01    9.8594341708e-01    9.9951183793e-01
        12   -1.5810955037e+01    1.8897933771e-01    4.0961420335e+03    4.1010000000e+03    2.5000000000e-01   -1.5928447092e+01    9.8593500254e-01    9.9756157035e-01
        13   -1.5818664432e+01    2.2786267669e-01    4.0961455154e+03    4.0940000000e+03    4.3750000000e-01   -1.5762114987e+01    9.8535510611e-01    9.9902296043e-01
        14   -1.5820557561e+01    1.9567057976e-01    4.0959598995e+03    4.0910000000e+03    2.5000000000e-01   -1.5696519553e+01    9.8614373943e-01    9.9951112198e-01
        15   -1.5825361335e+01    2.5281059100e-01    4.0961431262e+03    4.1000000000e+03    3.7500000000e-01   -1.5918166158e+01    9.8610904493e-01    9.9756097561e-01
        16   -1.5834242134e+01    1.9981609567e-01    4.0962113207e+03    4.0970000000e+03    3.7500000000e-01   -1.5849772418e+01    9.8549252864e-01    9.9853551379e-01
        17   -1.5825860417e+01    1.9776263638e-01    4.0958461071e+03    4.0970000000e+03    2.5000000000e-01   -1.5858653217e+01    9.8681715070e-01    9.9926775690e-01
        18   -1.5823482475e+01    2.0252178677e-01    4.0959597821e+03    4.0980000000e+03    1.8750000000e-01   -1.5874676625e+01    9.8670035765e-01    9.9926793558e-01
        19   -1.5829218641e+01    2.0838375217e-01    4.0961382454e+03    4.0990000000e+03    1.8750000000e-01   -1.5896697854e+01    9.8573344292e-01    9.9853622835e-01
        20   -1.5829878154e+01    2.2784632231e-01    4.0960031266e+03    4.0960000000e+03    2.5000000000e-01   -1.5829218641e+01    9.8755241193e-01    9.9951171875e-01
        21   -1.5823425307e+01    1.8970904730e-01    4.0959246656e+03    4.1000000000e+03    1.8750000000e-01   -1.5927486751e+01    9.8864533526e-01    9.9658536585e-01
        22   -1.5826711230e+01    2.0134811007e-01    4.0959779153e+03    4.0890000000e+03    3.1250000000e-01   -1.5652380672e+01    9.8467541275e-01    9.9902176571e-01
        23   -1.5830244662e+01    2.1426853640e-01    4.0960691535e+03    4.0970000000e+03    3.7500000000e-01   -1.5851122313e+01    9.8672403078e-01    9.9804735172e-01
        24   -1.5841023397e+01    2.0390548091e-01    4.0962141705e+03    4.0950000000e+03    3.7500000000e-01   -1.5805827619e+01    9.8620679701e-01    9.9853479853e-01
        25   -1.5844815017e+01    2.1859993590e-01    4.0960796987e+03    4.0960000000e+03    2.5000000000e-01   -1.5841023397e+01    9.8735540398e-01    9.9853515625e-01
        26   -1.5846740318e+01    1.9247681671e-01    4.0960167678e+03    4.0950000000e+03    1.8750000000e-01   -1.5820397974e+01    9.8628103435e-01    9.9877899878e-01
        27   -1.5847312553e+01    1.9689122242e-01    4.0959421759e+03    4.0920000000e+03    3.1250000000e-01   -1.5749036353e+01    9.8598340476e-01    9.9902248289e-01
        28   -1.5848055663e+01    3.2253157193e-01    4.0961017951e+03    4.1010000000e+03    5.0000000000e-01   -1.5969308421e+01    9.8659291857e-01    9.9756157035e-01
        29   -1.5847721238e+01    1.9333211763e-01    4.0959535497e+03    4.0940000000e+03    3.7500000000e-01   -1.5799215613e+01    9.8681030000e-01    9.9951148021e-01
        30   -1.5846335387e+01    1.9586983472e-01    4.0960506252e+03    4.1020000000e+03    5.0000000000e-01   -1.5994098429e+01    9.8571698007e-01    9.9804973184e-01
        31   -1.5832155091e+01    1.8124915775e-01    4.0957262649e+03    4.0970000000e+03    3.7500000000e-01   -1.5870746470e+01    9.8757870355e-01    9.9853551379e-01
        32   -1.5841898912e+01    2.4441152336e-01    4.0962422009e+03    4.0990000000e+03    4.3750000000e-01   -1.5905370470e+01    9.8700877608e-01    9.9878019029e-01
        33   -1.5857059658e+01    2.9904235039e-01    4.0963268632e+03    4.0980000000e+03    2.5000000000e-01   -1.5890715120e+01    9.8829495324e-01    9.9902391410e-01
        34   -1.5858584126e+01    2.1896905449e-01    4.0960215651e+03    4.0970000000e+03    1.8750000000e-01   -1.5881470741e+01    9.8491499198e-01    9.9951183793e-01
        35   -1.5852445325e+01    2.0886253765e-01    4.0958616389e+03    4.0970000000e+03    6.2500000000e-02   -1.5882995209e+01    9.8708555665e-01    9.9853551379e-01
        36   -1.5853877015e+01    2.1631976517e-01    4.0960191092e+03    4.0960000000e+03    1.8750000000e-01   -1.5852445325e+01    9.8552098731e-01    9.9804687500e-01
        37   -1.5848582187e+01    1.9912505188e-01    4.0958394223e+03    4.0910000000e+03    3.7500000000e-01   -1.5731732136e+01    9.8564574774e-01    9.9926668296e-01
        38   -1.5852511820e+01    1.8912780718e-01    4.0961146654e+03    4.0980000000e+03    3.7500000000e-01   -1.5897398395e+01    9.8537733086e-01    9.9926793558e-01
        39   -1.5845349258e+01    1.7323719863e-01    4.0958976297e+03    4.1000000000e+03    2.5000000000e-01   -1.5950120418e+01    9.8763840526e-01    9.9658536585e-01
        40   -1.5846923446e+01    2.0049668779e-01    4.0959578973e+03    4.0880000000e+03    4.3750000000e-01   -1.5649845774e+01    9.8717659967e-01    9.9902152642e-01
        41   -1.5849915102e+01    1.9618748765e-01    4.0960196837e+03    4.0930000000e+03    3.1250000000e-01   -1.5773654424e+01    9.8666903649e-01    9.9804544344e-01
        42   -1.5845865299e+01    2.3233277790e-01    4.0958613214e+03    4.0910000000e+03    3.7500000000e-01   -1.5727770223e+01    9.8716444067e-01    9.9975556099e-01
        43   -1.5841513479e+01    2.4937116421e-01    4.0959446074e+03    4.1000000000e+03    3.7500000000e-01   -1.5943473896e+01    9.8694571736e-01    9.9853658537e-01
