#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5846239563e+01    2.5133708745e+02   -2.7764153393e+01    1.1917913830e+01    1.0407453881e+01   -3.9422947623e+01    1.2513403494e+00    4.0000000000e+03    4.7584176064e-02    3.4844166667e-01
         1   -1.5850176943e+01    2.5143023402e+02   -2.7996084750e+01    1.2145907807e+01    1.0384242278e+01   -3.9596157533e+01    1.2158305052e+00    4.0000000000e+03    4.8114657402e-02    3.4789166667e-01
         2   -1.5838756593e+01    2.5112570105e+02   -2.8217095478e+01    1.2378338885e+01    1.0404913241e+01   -3.9983168444e+01    1.3611597257e+00    4.0000000000e+03    4.8420831561e-02    3.4909166667e-01
         3   -1.5844768747e+01    2.5127196793e+02   -2.7809259372e+01    1.1964490625e+01    1.0326798484e+01   -3.9335657888e+01    1.1996000321e+00    4.0000000000e+03    4.6732231975e-02    3.4641666667e-01
         4   -1.5838139339e+01    2.5107366070e+02   -2.8226848423e+01    1.2388709083e+01    1.0496064193e+01   -4.0059332613e+01    1.3364199976e+00    4.0000000000e+03    4.5437216759e-02    3.4712500000e-01
         5   -1.5851048088e+01    2.5152954093e+02   -2.8001463705e+01    1.2150415617e+01    1.0299488704e+01   -3.9416456282e+01    1.1155038726e+00    4.0000000000e+03    4.6893864870e-02    3.4994166667e-01
         6   -1.5870789863e+01    2.5251684522e+02   -2.7906107702e+01    1.2035317839e+01    1.0349520504e+01   -3.9776368073e+01    1.5207398679e+00    4.0000000000e+03    4.4519618154e-02    3.4682500000e-01
         7   -1.5831136025e+01    2.5080322297e+02   -2.7741239271e+01    1.1910103245e+01    1.0308624625e+01   -3.9441515768e+01    1.3916518725e+00    4.0000000000e+03    4.5895978808e-02    3.4842500000e-01
         8   -1.5864416969e+01    2.5189746464e+02   -2.7860053529e+01    1.1995636559e+01    1.0330396983e+01   -3.9435601713e+01    1.2451512020e+00    4.0000000000e+03    5.2363529801e-02    3.4876666667e-01
         9   -1.5847265820e+01    2.5136202712e+02   -2.8169582430e+01    1.2322316609e+01    1.0398486840e+01   -4.0027506972e+01    1.4594377030e+00    4.0000000000e+03    4.6287760139e-02    3.4713333333e-01
        10   -1.5864517731e+01    2.5190493150e+02   -2.7870149600e+01    1.2005631869e+01    1.0330065126e+01   -3.9448289266e+01    1.2480745406e+00    4.0000000000e+03    4.8315823078e-02    3.4580833333e-01
        11   -1.5851094463e+01    2.5147215488e+02   -2.7946310535e+01    1.2095216072e+01    1.0410570909e+01   -3.9720125450e+01    1.3632440056e+00    4.0000000000e+03    4.6652525663e-02    3.4851666667e-01
        12   -1.5840997259e+01    2.5124072280e+02   -2.7975101244e+01    1.2134103986e+01    1.0475860830e+01   -3.9722738361e+01    1.2717762867e+00    4.0000000000e+03    4.5433998108e-02    3.4952500000e-01
        13   -1.5852641994e+01    2.5154391429e+02   -2.8042662888e+01    1.2190020894e+01    1.0421804461e+01   -3.9889546101e+01    1.4250787511e+00    4.0000000000e+03    4.5300364494e-02    3.4909166667e-01
        14   -1.5852526103e+01    2.5151313029e+02   -2.7760810297e+01    1.1908284194e+01    1.0319788716e+01   -3.9487516467e+01    1.4069174538e+00    4.0000000000e+03    4.5602440834e-02    3.5208333333e-01
        15   -1.5856791580e+01    2.5175347177e+02   -2.7856291580e+01    1.1999499999e+01    1.0392216999e+01   -3.9666194044e+01    1.4176854651e+00    4.0000000000e+03    4.7470942140e-02    3.4851666667e-01
        16   -1.5851798114e+01    2.5150898774e+02   -2.7811868031e+01    1.1960069917e+01    1.0290908815e+01   -3.9406904686e+01    1.3041278404e+00    4.0000000000e+03    4.5301094651e-02    3.5220000000e-01
        17   -1.5845580940e+01    2.5133593985e+02   -2.7948057674e+01    1.2102476735e+01    1.0417087751e+01   -3.9697159785e+01    1.3320143596e+00    4.0000000000e+03    4.3720155954e-02    3.4979166667e-01
        18   -1.5851746463e+01    2.5151944445e+02   -2.7986075124e+01    1.2134328661e+01    1.0406759286e+01   -3.9723014966e+01    1.3301805566e+00    4.0000000000e+03    4.6969890594e-02    3.4963333333e-01
        19   -1.5832220379e+01    2.5091432416e+02   -2.7737735969e+01    1.1905515590e+01    1.0345367477e+01   -3.9430938198e+01    1.3478347521e+00    4.0000000000e+03    4.2449712753e-02    3.5168333333e-01
