#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1893173307e+01    1.0177204541e+03   -5.6150447754e+01    2.4257274447e+01    3.5584127599e+01    1.5770181772e+01   -1.1016898773e+02    2.6642306100e+00    3.0728000000e+04    6.9714683294e-01    9.9200234823e-01
         1   -3.1928645769e+01    1.0200766935e+03   -5.6271507252e+01    2.4342861482e+01    3.5625548133e+01    1.5770181772e+01   -1.1031801205e+02    2.6507748898e+00    3.0698000000e+04    6.8775652349e-01    9.9213495997e-01
         2   -3.1943977067e+01    1.0210422548e+03   -5.6634216402e+01    2.4690239335e+01    3.5651005346e+01    1.5770181772e+01   -1.1054157647e+02    2.4861729521e+00    3.0786000000e+04    6.8684875965e-01    9.9156218942e-01
         3   -3.1940717120e+01    1.0207821306e+03   -5.6503369099e+01    2.4562651979e+01    3.5635693768e+01    1.5770181772e+01   -1.1039525246e+02    2.4860078209e+00    3.1141000000e+04    6.9500246644e-01    9.9189160989e-01
         4   -3.1909782495e+01    1.0187571177e+03   -5.6244946231e+01    2.4335163736e+01    3.5425449517e+01    1.5770181772e+01   -1.1011142291e+02    2.6708453865e+00    3.1033000000e+04    8.5172271729e-01    9.9230914338e-01
         5   -3.1914910924e+01    1.0191620608e+03   -5.6526771512e+01    2.4611860588e+01    3.5541752612e+01    1.5770181772e+01   -1.1020486881e+02    2.3661629092e+00    3.0209000000e+04    6.8131335080e-01    9.9216176123e-01
         6   -3.1934720483e+01    1.0205038774e+03   -5.6770891806e+01    2.4836171323e+01    3.5546240195e+01    1.5770181772e+01   -1.1045260886e+02    2.3652950904e+00    3.0253000000e+04    6.6824799776e-01    9.9191304176e-01
         7   -3.1934258565e+01    1.0204742112e+03   -5.6718358926e+01    2.4784100360e+01    3.5466138680e+01    1.5770181772e+01   -1.1013413583e+02    2.1794564572e+00    3.0161000000e+04    6.7372138798e-01    9.9202821845e-01
         8   -3.1959086913e+01    1.0220157162e+03   -5.6704147901e+01    2.4745060989e+01    3.5444826136e+01    1.5770181772e+01   -1.1036660376e+02    2.4474479539e+00    3.0153000000e+04    6.3678039610e-01    9.9185587948e-01
         9   -3.1938070458e+01    1.0206494838e+03   -5.6813516161e+01    2.4875445703e+01    3.5491098730e+01    1.5770181772e+01   -1.1053193312e+02    2.4571364598e+00    3.0659000000e+04    6.7513948679e-01    9.9150900280e-01
        10   -3.1934250783e+01    1.0204607816e+03   -5.6826553848e+01    2.4892303065e+01    3.5606520291e+01    1.5770181772e+01   -1.1096818007e+02    2.7649241568e+00    3.0336000000e+04    7.4838830531e-01    9.9196859199e-01
        11   -3.1930358494e+01    1.0201071833e+03   -5.6538844129e+01    2.4608485635e+01    3.5544420231e+01    1.5770181772e+01   -1.1063009598e+02    2.7766498447e+00    2.9782000000e+04    6.7356929183e-01    9.9186410969e-01
        12   -3.1932970627e+01    1.0202722096e+03   -5.6386151233e+01    2.4453180606e+01    3.5427993719e+01    1.5770181772e+01   -1.1013725019e+02    2.5529234620e+00    3.0619000000e+04    6.7876872420e-01    9.9234526052e-01
        13   -3.1925848649e+01    1.0198097615e+03   -5.6451029453e+01    2.4525180804e+01    3.5425329093e+01    1.5770181772e+01   -1.1018693713e+02    2.5403968106e+00    3.0667000000e+04    6.8956254423e-01    9.9186347952e-01
        14   -3.1926671583e+01    1.0200084663e+03   -5.6073751634e+01    2.4147080051e+01    3.5343467193e+01    1.5770181772e+01   -1.0984149905e+02    2.6540984548e+00    3.0465000000e+04    7.0316371322e-01    9.9208513014e-01
        15   -3.1919752561e+01    1.0194040148e+03   -5.6221508632e+01    2.4301756071e+01    3.5391284659e+01    1.5770181772e+01   -1.0996654248e+02    2.5835674142e+00    3.0710000000e+04    7.2055542469e-01    9.9172074954e-01
        16   -3.1930729204e+01    1.0201746940e+03   -5.6393864857e+01    2.4463135652e+01    3.5482376851e+01    1.5770181772e+01   -1.1010585778e+02    2.4594343030e+00    3.1017000000e+04    6.7880091071e-01    9.9222965941e-01
        17   -3.1912724585e+01    1.0189688829e+03   -5.6393412514e+01    2.4480687929e+01    3.5402401668e+01    1.5770181772e+01   -1.1008458410e+02    2.5185881482e+00    3.0947000000e+04    6.8047578633e-01    9.9210630282e-01
        18   -3.1919014981e+01    1.0193657739e+03   -5.6233236971e+01    2.4314221990e+01    3.5291481399e+01    1.5770181772e+01   -1.0956893900e+02    2.2740388622e+00    3.1067000000e+04    6.9570390880e-01    9.9223012269e-01
        19   -3.1941880441e+01    1.0209396931e+03   -5.6287466304e+01    2.4345585863e+01    3.5367817518e+01    1.5770181772e+01   -1.0991644558e+02    2.4909799816e+00    3.0648000000e+04    7.2698140144e-01    9.9196183206e-01
        20   -3.1912282945e+01    1.0189513636e+03   -5.6654366135e+01    2.4742083191e+01    3.5332707850e+01    1.5770181772e+01   -1.1031950165e+02    2.5622458956e+00    3.0624000000e+04    6.6491198540e-01    9.9190071803e-01
        21   -3.1953007026e+01    1.0215374342e+03   -5.6362110776e+01    2.4409103749e+01    3.5339699242e+01    1.5770181772e+01   -1.0989944737e+02    2.4274555839e+00    3.0548000000e+04    6.6776892543e-01    9.9187400475e-01
        22   -3.1932989137e+01    1.0202811380e+03   -5.6249347781e+01    2.4316358645e+01    3.5260873286e+01    1.5770181772e+01   -1.0964617101e+02    2.3657681658e+00    3.0709000000e+04    7.0632193983e-01    9.9216982415e-01
        23   -3.1935901783e+01    1.0205052542e+03   -5.6521314266e+01    2.4585412482e+01    3.5402540816e+01    1.5770181772e+01   -1.1021703057e+02    2.5229937198e+00    3.0247000000e+04    6.9302573800e-01    9.9200427218e-01
        24   -3.1920081701e+01    1.0194343018e+03   -5.6249578403e+01    2.4329496702e+01    3.5339894054e+01    1.5770181772e+01   -1.1009096042e+02    2.7313061896e+00    3.0128000000e+04    7.1451644599e-01    9.9180416187e-01
        25   -3.1947689983e+01    1.0211857915e+03   -5.6085975365e+01    2.4138285382e+01    3.5303109344e+01    1.5770181772e+01   -1.0972703559e+02    2.5677691135e+00    3.0199000000e+04    6.8093182147e-01    9.9248073272e-01
        26   -3.1936768221e+01    1.0205393481e+03   -5.5904589683e+01    2.3967821463e+01    3.5351913066e+01    1.5770181772e+01   -1.0946815167e+02    2.4414671484e+00    3.0208000000e+04    6.9167913496e-01    9.9202321058e-01
        27   -3.1921171410e+01    1.0194959281e+03   -5.6267560337e+01    2.4346388927e+01    3.5577174906e+01    1.5770181772e+01   -1.1011603834e+02    2.5011213287e+00    3.0395000000e+04    6.8224325776e-01    9.9228364327e-01
        28   -3.1907447541e+01    1.0186519215e+03   -5.6641972890e+01    2.4734525349e+01    3.5565078306e+01    1.5770181772e+01   -1.1060521535e+02    2.6279823862e+00    3.0293000000e+04    8.5393725336e-01    9.9185152802e-01
        29   -3.1931180268e+01    1.0201460069e+03   -5.6297318730e+01    2.4366138462e+01    3.5470317918e+01    1.5770181772e+01   -1.1026091816e+02    2.7230997444e+00    3.0519000000e+04    7.2311738133e-01    9.9211970320e-01
        30   -3.1935245071e+01    1.0204153291e+03   -5.6305051419e+01    2.4369806348e+01    3.5442756166e+01    1.5770181772e+01   -1.1004827716e+02    2.5302878016e+00    3.0527000000e+04    6.8056952953e-01    9.9220180622e-01
        31   -3.1942804589e+01    1.0209362708e+03   -5.6332180770e+01    2.4389376182e+01    3.5327604809e+01    1.5770181772e+01   -1.0977276891e+02    2.3428015549e+00    3.0570000000e+04    7.0407000184e-01    9.9236445596e-01
        32   -3.1927307428e+01    1.0199241524e+03   -5.6604956177e+01    2.4677648750e+01    3.5323108048e+01    1.5770181772e+01   -1.1020018518e+02    2.5019391828e+00    3.0529000000e+04    7.2107876837e-01    9.9154919423e-01
        33   -3.1926746881e+01    1.0199023148e+03   -5.6423583334e+01    2.4496836453e+01    3.5353647346e+01    1.5770181772e+01   -1.1005798234e+02    2.5105698886e+00    3.0725000000e+04    7.2077292204e-01    9.9195631166e-01
