#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1701924555e+01    1.0095884593e+03   -5.5642736615e+01    2.3940812060e+01    3.6095911130e+01    1.5770181772e+01   -1.1015447025e+02    2.6456407379e+00    3.0759000000e+04    3.0139119923e-01    9.9227076703e-01
         1   -3.1854690047e+01    1.0185763971e+03   -5.5538538816e+01    2.3683848769e+01    3.5905966181e+01    1.5770181772e+01   -1.0999563985e+02    2.7809530770e+00    3.0690000000e+04    2.9803784192e-01    9.9228787847e-01
         2   -3.1865177298e+01    1.0193337492e+03   -5.5850925756e+01    2.3985748458e+01    3.5934134899e+01    1.5770181772e+01   -1.1008947520e+02    2.5342327719e+00    3.0609000000e+04    3.0501595140e-01    9.9216260248e-01
         3   -3.1915377546e+01    1.0226070630e+03   -5.5576154900e+01    2.3660777354e+01    3.5791721241e+01    1.5770181772e+01   -1.0995953290e+02    2.8214749884e+00    3.1644000000e+04    3.0456337333e-01    9.9228419554e-01
         4   -3.1926172265e+01    1.0230142482e+03   -5.5517279523e+01    2.3591107258e+01    3.5742500673e+01    1.5770181772e+01   -1.0977548719e+02    2.7455252194e+00    3.2277000000e+04    3.1183756888e-01    9.9223748535e-01
         5   -3.1917721530e+01    1.0227506462e+03   -5.5903314747e+01    2.3985593217e+01    3.5911014259e+01    1.5770181772e+01   -1.1024685206e+02    2.6623412828e+00    3.2640000000e+04    3.4074056149e-01    9.9231450848e-01
         6   -3.1881711117e+01    1.0204171117e+03   -5.5957792210e+01    2.4076081093e+01    3.5934984042e+01    1.5770181772e+01   -1.1026427373e+02    2.6013157102e+00    3.2249000000e+04    3.2057295740e-01    9.9195378354e-01
         7   -3.1901988543e+01    1.0217981973e+03   -5.5972020277e+01    2.4070031733e+01    3.5904420903e+01    1.5770181772e+01   -1.1027695087e+02    2.6303279208e+00    3.2549000000e+04    3.2901944220e-01    9.9228868154e-01
         8   -3.1954559185e+01    1.0250894390e+03   -5.5913861518e+01    2.3959302333e+01    3.5784271739e+01    1.5770181772e+01   -1.1004705581e+02    2.5787407805e+00    3.3144000000e+04    3.2212032378e-01    9.9246060527e-01
         9   -3.2002014995e+01    1.0277688960e+03   -5.5816126647e+01    2.3814111652e+01    3.5699758290e+01    1.5770181772e+01   -1.0978867840e+02    2.5026116873e+00    3.3565000000e+04    4.8205190897e-01    9.9240371950e-01
        10   -3.1977171967e+01    1.0261478748e+03   -5.6154157376e+01    2.4176985409e+01    3.5841420743e+01    1.5770181772e+01   -1.1027610528e+02    2.5103453871e+00    3.3600000000e+04    3.1926237047e-01    9.9234541930e-01
        11   -3.1879772634e+01    1.0207004876e+03   -5.5990433728e+01    2.4110661094e+01    3.5990449501e+01    1.5770181772e+01   -1.1043013229e+02    2.6790672878e+00    3.2560000000e+04    3.2495515049e-01    9.9226784992e-01
        12   -3.1930817525e+01    1.0233089754e+03   -5.5948960330e+01    2.4018142805e+01    3.5930743571e+01    1.5770181772e+01   -1.1036454399e+02    2.7146583179e+00    3.2242000000e+04    3.1435084343e-01    9.9217583463e-01
        13   -3.1925653640e+01    1.0233192555e+03   -5.6271154842e+01    2.4345501201e+01    3.6011549042e+01    1.5770181772e+01   -1.1088864227e+02    2.8357566184e+00    3.1313000000e+04    3.0555017292e-01    9.9222337825e-01
        14   -3.1948488107e+01    1.0253186208e+03   -5.6303999963e+01    2.4355511856e+01    3.5820776890e+01    1.5770181772e+01   -1.1066708910e+02    2.7721304745e+00    3.0724000000e+04    3.2020057738e-01    9.9184129680e-01
        15   -3.1907122050e+01    1.0220957649e+03   -5.5902864759e+01    2.3995742709e+01    3.5801899013e+01    1.5770181772e+01   -1.1007180704e+02    2.5968614964e+00    3.1072000000e+04    3.0698817968e-01    9.9252783436e-01
        16   -3.1971603453e+01    1.0264536085e+03   -5.5588793143e+01    2.3617189691e+01    3.5640252462e+01    1.5770181772e+01   -1.0973960065e+02    2.7403732774e+00    3.1680000000e+04    3.1081594527e-01    9.9259166721e-01
        17   -3.1911669656e+01    1.0222889840e+03   -5.5712951545e+01    2.3801281889e+01    3.5835042889e+01    1.5770181772e+01   -1.0992484013e+02    2.6066639252e+00    3.1415000000e+04    3.0315448344e-01    9.9223173180e-01
        18   -3.1977218798e+01    1.0262542777e+03   -5.6072210831e+01    2.4094992033e+01    3.5887744329e+01    1.5770181772e+01   -1.1023700085e+02    2.5068639158e+00    3.1772000000e+04    3.1706698239e-01    9.9212529915e-01
        19   -3.1926885715e+01    1.0234490591e+03   -5.6292991676e+01    2.4366105960e+01    3.5942055555e+01    1.5770181772e+01   -1.1057115511e+02    2.5659261029e+00    3.1985000000e+04    3.1157584488e-01    9.9193528702e-01
        20   -3.1939217535e+01    1.0240571805e+03   -5.6163685204e+01    2.4224467668e+01    3.5877358757e+01    1.5770181772e+01   -1.1045040066e+02    2.6391749255e+00    3.1251000000e+04    3.1029857695e-01    9.9207311630e-01
        21   -3.1899839434e+01    1.0217636364e+03   -5.5759374272e+01    2.3859534838e+01    3.5884478728e+01    1.5770181772e+01   -1.1015643847e+02    2.7424036967e+00    3.0238000000e+04    3.0545441806e-01    9.9224536308e-01
        22   -3.1962895655e+01    1.0257052383e+03   -5.5466703156e+01    2.3503807501e+01    3.5650949223e+01    1.5770181772e+01   -1.0949795938e+02    2.6101252285e+00    2.9577000000e+04    2.8580029309e-01    9.9246566830e-01
        23   -3.1973225301e+01    1.0258560149e+03   -5.5984612764e+01    2.4011387463e+01    3.5776821399e+01    1.5770181772e+01   -1.1014453992e+02    2.6129239861e+00    2.9897000000e+04    2.9066412151e-01    9.9231680331e-01
        24   -3.1977610573e+01    1.0262791033e+03   -5.5653602358e+01    2.3675991785e+01    3.5763350296e+01    1.5770181772e+01   -1.1010030444e+02    2.9131700143e+00    3.0978000000e+04    3.3219233155e-01    9.9268598129e-01
