# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.1950453973e+01    6.1300899642e-01    2.0300000000e+03    2.0240000000e+03    0.0000000000e+00   -3.1916544491e+01    9.6284144739e-01    9.9505928854e-01
         1   -3.1931346908e+01    5.6041986989e-01    2.0419298181e+03    2.0240000000e+03    5.0000000000e-01   -3.1509058267e+01    9.6404181869e-01    9.9308300395e-01
         2   -3.1930305969e+01    5.6104182894e-01    2.0477715335e+03    2.0470000000e+03    6.2500000000e-01   -3.1906926883e+01    9.6601784842e-01    9.9609184172e-01
         3   -3.1938763160e+01    5.9437542626e-01    2.0481820697e+03    2.0530000000e+03    5.0000000000e-01   -3.2052227512e+01    9.6760594388e-01    9.9805163176e-01
         4   -3.1926430489e+01    4.9420412420e-01    2.0481100468e+03    2.0580000000e+03    3.1250000000e-01   -3.2182309672e+01    9.6406127243e-01    9.9271137026e-01
         5   -3.1907601580e+01    6.7586860352e-01    2.0475389189e+03    2.0460000000e+03    3.1250000000e-01   -3.1877578506e+01    9.6584043638e-01    9.9462365591e-01
         6   -3.1913568266e+01    5.5535395264e-01    2.0479075722e+03    2.0430000000e+03    3.7500000000e-01   -3.1785382013e+01    9.6338656789e-01    9.9559471366e-01
         7   -3.1932157451e+01    6.8919700267e-01    2.0481419520e+03    2.0450000000e+03    3.7500000000e-01   -3.1840272382e+01    9.6535926915e-01    9.9559902200e-01
         8   -3.1934369356e+01    6.2722001764e-01    2.0476316298e+03    2.0420000000e+03    3.1250000000e-01   -3.1785458079e+01    9.6623104378e-01    9.9657198825e-01
         9   -3.1941655423e+01    5.2967102581e-01    2.0478615576e+03    2.0440000000e+03    3.1250000000e-01   -3.1836617614e+01    9.6652021654e-01    9.9853228963e-01
        10   -3.1937058596e+01    6.3071560111e-01    2.0482259508e+03    2.0570000000e+03    3.7500000000e-01   -3.2160900598e+01    9.6706970070e-01    9.9124939232e-01
        11   -3.1916841279e+01    7.3095611792e-01    2.0475082089e+03    2.0450000000e+03    5.6250000000e-01   -3.1863762712e+01    9.6513812847e-01    9.9559902200e-01
        12   -3.1909865540e+01    7.5419245656e-01    2.0479128611e+03    2.0490000000e+03    3.7500000000e-01   -3.1941249383e+01    9.6998546997e-01    9.9463152757e-01
