#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1932521091e+01    1.0202582247e+03   -5.6339462482e+01    2.4406941392e+01    3.5525554212e+01    1.5770181772e+01   -1.1029077054e+02    2.6555720685e+00    4.0978000000e+04    1.2016229630e+00    9.9199869940e-01
         1   -3.1936215574e+01    1.0205430470e+03   -5.6501470333e+01    2.4565254759e+01    3.5512466063e+01    1.5770181772e+01   -1.1021173559e+02    2.4276174193e+00    4.0962000000e+04    1.1016283333e+00    9.9178055934e-01
         2   -3.1931884781e+01    1.0202386407e+03   -5.6778314185e+01    2.4846429404e+01    3.5578979258e+01    1.5770181772e+01   -1.1044630612e+02    2.3188309098e+00    4.0955000000e+04    1.3417136967e+00    9.9188472405e-01
         3   -3.1929626829e+01    1.0200682855e+03   -5.6734607865e+01    2.4804981036e+01    3.5551168823e+01    1.5770181772e+01   -1.1057556560e+02    2.5196071394e+00    4.0980000000e+04    1.1080756932e+00    9.9183856302e-01
         4   -3.1944932564e+01    1.0210370625e+03   -5.6789308309e+01    2.4844375745e+01    3.5564774200e+01    1.5770181772e+01   -1.1074704238e+02    2.6227780982e+00    4.0984000000e+04    1.3210623413e+00    9.9190492067e-01
         5   -3.1932573459e+01    1.0202375243e+03   -5.6567661119e+01    2.4635087660e+01    3.5634970795e+01    1.5770181772e+01   -1.1060342435e+02    2.6306106651e+00    4.0933000000e+04    1.3545369208e+00    9.9185298118e-01
         6   -3.1931795892e+01    1.0202383527e+03   -5.6290815552e+01    2.4359019660e+01    3.5472479973e+01    1.5770181772e+01   -1.1020167272e+02    2.6681954191e+00    4.0953000000e+04    1.1912888587e+00    9.9193850559e-01
         7   -3.1932070523e+01    1.0202415728e+03   -5.6399532774e+01    2.4467462251e+01    3.5450756502e+01    1.5770181772e+01   -1.1022507247e+02    2.6046014252e+00    4.0937000000e+04    1.1454098821e+00    9.9205497074e-01
         8   -3.1920037210e+01    1.0195272882e+03   -5.6404994405e+01    2.4484957195e+01    3.5424176089e+01    1.5770181772e+01   -1.1016248727e+02    2.5631350065e+00    4.0970000000e+04    1.1417737007e+00    9.9212612606e-01
         9   -3.1922685942e+01    1.0195853641e+03   -5.6261056374e+01    2.4338370432e+01    3.5445777117e+01    1.5770181772e+01   -1.0994903782e+02    2.4720225528e+00    4.0955000000e+04    9.8378832638e-01    9.9217726324e-01
        10   -3.1916658367e+01    1.0192285719e+03   -5.6477496145e+01    2.4560837778e+01    3.5566099196e+01    1.5770181772e+01   -1.1015468215e+02    2.3409050344e+00    4.0945000000e+04    1.1709289700e+00    9.9169002599e-01
        11   -3.1923788433e+01    1.0197175920e+03   -5.6397309828e+01    2.4473521395e+01    3.5430987337e+01    1.5770181772e+01   -1.1003440985e+02    2.4359309129e+00    4.0953000000e+04    1.4067012370e+00    9.9213131060e-01
        12   -3.1944245957e+01    1.0209825957e+03   -5.6377657745e+01    2.4433411788e+01    3.5335832827e+01    1.5770181772e+01   -1.0997034647e+02    2.4866741248e+00    4.0960000000e+04    1.0385624915e+00    9.9208148043e-01
        13   -3.1940046318e+01    1.0207245110e+03   -5.6338656958e+01    2.4398610640e+01    3.5355122115e+01    1.5770181772e+01   -1.0994269911e+02    2.4787382625e+00    4.0964000000e+04    1.0715319961e+00    9.9194874117e-01
        14   -3.1923536858e+01    1.0196892707e+03   -5.6476200104e+01    2.4552663246e+01    3.5433846367e+01    1.5770181772e+01   -1.1019081446e+02    2.5105862186e+00    4.0947000000e+04    1.2035719305e+00    9.9178605380e-01
        15   -3.1941331984e+01    1.0208271850e+03   -5.6625967772e+01    2.4684635788e+01    3.5464430916e+01    1.5770181772e+01   -1.1024322275e+02    2.3826422861e+00    4.0948000000e+04    1.1657107770e+00    9.9221096134e-01
        16   -3.1921592609e+01    1.0196497207e+03   -5.6827142924e+01    2.4905550315e+01    3.5505958304e+01    1.5770181772e+01   -1.1057255330e+02    2.4692702989e+00    4.0963000000e+04    1.2833772749e+00    9.9204845223e-01
        17   -3.1949698215e+01    1.0213803654e+03   -5.6568811569e+01    2.4619113354e+01    3.5500028785e+01    1.5770181772e+01   -1.1042663795e+02    2.5876158233e+00    4.0955000000e+04    1.2497036606e+00    9.9192033790e-01
        18   -3.1910423595e+01    1.0188751622e+03   -5.6609788234e+01    2.4699364638e+01    3.5474711188e+01    1.5770181772e+01   -1.1044317900e+02    2.5884978026e+00    4.0972000000e+04    1.5425190777e+00    9.9185244922e-01
        19   -3.1922372600e+01    1.0195735040e+03   -5.6418728684e+01    2.4496356083e+01    3.5416056356e+01    1.5770181772e+01   -1.1016078662e+02    2.5558198098e+00    4.0945000000e+04    1.0070795417e+00    9.9209770209e-01
        20   -3.1914807793e+01    1.0191334317e+03   -5.6590897151e+01    2.4676089358e+01    3.5484931829e+01    1.5770181772e+01   -1.1044474219e+02    2.5987314353e+00    4.0958000000e+04    9.9395471811e-01    9.9185705245e-01
        21   -3.1916626613e+01    1.0192467418e+03   -5.6551557420e+01    2.4634930807e+01    3.5511667030e+01    1.5770181772e+01   -1.1049737633e+02    2.6639701123e+00    4.0967000000e+04    1.4053694904e+00    9.9205316903e-01
        22   -3.1929282803e+01    1.0200106975e+03   -5.6143389592e+01    2.4214106789e+01    3.5438444151e+01    1.5770181772e+01   -1.0983646053e+02    2.4844450102e+00    4.0965000000e+04    1.2452841848e+00    9.9218993706e-01
        23   -3.1935265668e+01    1.0204289817e+03   -5.6246199932e+01    2.4310934264e+01    3.5471002672e+01    1.5770181772e+01   -1.1010961445e+02    2.6222300752e+00    4.0958000000e+04    1.0394560695e+00    9.9207872692e-01
        24   -3.1938527132e+01    1.0207218733e+03   -5.6430613565e+01    2.4492086433e+01    3.5464782543e+01    1.5770181772e+01   -1.1019380028e+02    2.5282224047e+00    4.0977000000e+04    1.6139683574e+00    9.9206448295e-01
        25   -3.1930268911e+01    1.0207884132e+03   -5.6564918817e+01    2.4634649906e+01    3.5430186524e+01    1.5770181772e+01   -1.1029947348e+02    2.5341863660e+00    4.0939000000e+04    1.3025694638e+00    9.9191901922e-01
        26   -3.1937744867e+01    1.0205596143e+03   -5.6612400044e+01    2.4674655177e+01    3.5432761282e+01    1.5770181772e+01   -1.1022816468e+02    2.4128215818e+00    4.0966000000e+04    1.0287560076e+00    9.9195755685e-01
        27   -3.1914806855e+01    1.0191023683e+03   -5.6325740602e+01    2.4410933748e+01    3.5501629444e+01    1.5770181772e+01   -1.1016176201e+02    2.5642101890e+00    4.0971000000e+04    1.0191044807e+00    9.9196463843e-01
        28   -3.1930679503e+01    1.0201436547e+03   -5.6680538352e+01    2.4749858849e+01    3.5531723818e+01    1.5770181772e+01   -1.1065548258e+02    2.6730386411e+00    4.0988000000e+04    1.5346985459e+00    9.9177731550e-01
        29   -3.1929565771e+01    1.0200791729e+03   -5.6384801359e+01    2.4455235588e+01    3.5481453449e+01    1.5770181772e+01   -1.1019789286e+02    2.5614562804e+00    4.0957000000e+04    1.4141227752e+00    9.9212058050e-01
        30   -3.1929547929e+01    1.0200655164e+03   -5.6525675744e+01    2.4596127815e+01    3.5455107509e+01    1.5770181772e+01   -1.1017528019e+02    2.4243151649e+00    4.0985000000e+04    1.3569602668e+00    9.9183647738e-01
        31   -3.1920268044e+01    1.0194652448e+03   -5.6401656539e+01    2.4481388495e+01    3.5449127576e+01    1.5770181772e+01   -1.1020837455e+02    2.5874086596e+00    4.0958000000e+04    1.0562397093e+00    9.9217450516e-01
        32   -3.1916691680e+01    1.0193002476e+03   -5.6622279131e+01    2.4705587451e+01    3.5538719488e+01    1.5770181772e+01   -1.1036430210e+02    2.4331217143e+00    4.0974000000e+04    1.1021522731e+00    9.9193305303e-01
        33   -3.1945225665e+01    1.0211430783e+03   -5.6760358591e+01    2.4815132926e+01    3.5535665282e+01    1.5770181772e+01   -1.1040732501e+02    2.3411193666e+00    4.0980000000e+04    1.0554798692e+00    9.9157993909e-01
        34   -3.1926565462e+01    1.0199313208e+03   -5.6576330653e+01    2.4649765190e+01    3.5606237850e+01    1.5770181772e+01   -1.1053414692e+02    2.5813966411e+00    4.0958000000e+04    1.0770068467e+00    9.9175909167e-01
        35   -3.1931681411e+01    1.0202114744e+03   -5.6449672684e+01    2.4517991273e+01    3.5597759340e+01    1.5770181772e+01   -1.1041056024e+02    2.5929464416e+00    4.0940000000e+04    1.0907175839e+00    9.9198275274e-01
        36   -3.1913598510e+01    1.0190889655e+03   -5.6627516931e+01    2.4713918421e+01    3.5608784828e+01    1.5770181772e+01   -1.1049575924e+02    2.4892757074e+00    4.0951000000e+04    1.0007382482e+00    9.9199109309e-01
        37   -3.1910048352e+01    1.0187741638e+03   -5.6327915699e+01    2.4417867347e+01    3.5563094938e+01    1.5770181772e+01   -1.1018801311e+02    2.5268207052e+00    4.0940000000e+04    1.1318799555e+00    9.9202905505e-01
        38   -3.1930782426e+01    1.0201717643e+03   -5.6432592035e+01    2.4501809609e+01    3.5472100065e+01    1.5770181772e+01   -1.1032856708e+02    2.6536932102e+00    4.0963000000e+04    9.9915128946e-01    9.9201807303e-01
        39   -3.1930896205e+01    1.0201311270e+03   -5.6604372284e+01    2.4673476078e+01    3.5535526745e+01    1.5770181772e+01   -1.1052655352e+02    2.6164727189e+00    4.0955000000e+04    1.0861477405e+00    9.9197376243e-01
        40   -3.1928555134e+01    1.0200075590e+03   -5.6419911786e+01    2.4491356652e+01    3.5543521105e+01    1.5770181772e+01   -1.1040094494e+02    2.6673302813e+00    4.0656000000e+04    9.8166225851e-01    9.9194147755e-01
        41   -3.1912042163e+01    1.0189719131e+03   -5.6403281713e+01    2.4491239550e+01    3.5535928235e+01    1.5770181772e+01   -1.1030030211e+02    2.5909103894e+00    4.0588000000e+04    1.1541050822e+00    9.9195820746e-01
        42   -3.1923037732e+01    1.0196201120e+03   -5.6325531883e+01    2.4402494151e+01    3.5549301210e+01    1.5770181772e+01   -1.1031023166e+02    2.6652167974e+00    4.0548000000e+04    1.1486787945e+00    9.9189310671e-01
        43   -3.1922744199e+01    1.0196443978e+03   -5.6369487301e+01    2.4446743102e+01    3.5592628452e+01    1.5770181772e+01   -1.1038611941e+02    2.6538218840e+00    4.0317000000e+04    1.4343124032e+00    9.9187340491e-01
        44   -3.1920854432e+01    1.0194773776e+03   -5.6788558079e+01    2.4867703648e+01    3.5622952938e+01    1.5770181772e+01   -1.1098460173e+02    2.8029089425e+00    4.0328000000e+04    1.3367549330e+00    9.9180702358e-01
        45   -3.1927605221e+01    1.0199113370e+03   -5.6518850976e+01    2.4591245755e+01    3.5551286672e+01    1.5770181772e+01   -1.1048480622e+02    2.6444867955e+00    4.0517000000e+04    1.3845831752e+00    9.9212938958e-01
        46   -3.1927138271e+01    1.0198578266e+03   -5.6265616316e+01    2.4338478045e+01    3.5461574263e+01    1.5770181772e+01   -1.1021758369e+02    2.7202113400e+00    4.0569000000e+04    1.0896124989e+00    9.9206212288e-01
        47   -3.1934489338e+01    1.0203504105e+03   -5.6171616424e+01    2.4237127086e+01    3.5456246843e+01    1.5770181772e+01   -1.0992049156e+02    2.5224465192e+00    4.0557000000e+04    1.2806177288e+00    9.9187404877e-01
        48   -3.1913563798e+01    1.0190352523e+03   -5.6297210888e+01    2.4383647090e+01    3.5420395612e+01    1.5770181772e+01   -1.1013954915e+02    2.6517608805e+00    4.0749000000e+04    1.2944380641e+00    9.9199510945e-01
        49   -3.1923995733e+01    1.0196896849e+03   -5.6598376208e+01    2.4674380476e+01    3.5480887105e+01    1.5770181772e+01   -1.1038254328e+02    2.5330981905e+00    4.0795000000e+04    1.0440857559e+00    9.9212357822e-01
        50   -3.1931228368e+01    1.0201459696e+03   -5.6378627637e+01    2.4447399269e+01    3.5496143426e+01    1.5770181772e+01   -1.1030388083e+02    2.6589279929e+00    4.0593000000e+04    1.6709637046e+00    9.9189790394e-01
        51   -3.1926107849e+01    1.0199224751e+03   -5.6492890083e+01    2.4566782234e+01    3.5501655245e+01    1.5770181772e+01   -1.1040831242e+02    2.6435853227e+00    4.0606000000e+04    1.6696904153e+00    9.9195819146e-01
        52   -3.1953052809e+01    1.0215795873e+03   -5.6454304882e+01    2.4501252073e+01    3.5540736364e+01    1.5770181772e+01   -1.1035690629e+02    2.5916832751e+00    4.0701000000e+04    1.1636278182e+00    9.9213444789e-01
        53   -3.1928201198e+01    1.0199622590e+03   -5.6394961195e+01    2.4466759997e+01    3.5541895957e+01    1.5770181772e+01   -1.1033910998e+02    2.6320710569e+00    4.1102000000e+04    1.1663095504e+00    9.9197028132e-01
        54   -3.1910542633e+01    1.0188455331e+03   -5.6560050588e+01    2.4649507955e+01    3.5644346231e+01    1.5770181772e+01   -1.1055676600e+02    2.5821874107e+00    4.1069000000e+04    1.7448887080e+00    9.9184157101e-01
        55   -3.1906262566e+01    1.0185270157e+03   -5.6482503254e+01    2.4576240687e+01    3.5530236407e+01    1.5770181772e+01   -1.1051661924e+02    2.7336978104e+00    4.0791000000e+04    1.6687587798e+00    9.9209553174e-01
        56   -3.1922516585e+01    1.0195941197e+03   -5.6249571744e+01    2.4327055159e+01    3.5473604872e+01    1.5770181772e+01   -1.1010290042e+02    2.6095420285e+00    4.0802000000e+04    1.5482071787e+00    9.9200126865e-01
        57   -3.1917146753e+01    1.0192041686e+03   -5.6372852477e+01    2.4455705724e+01    3.5380973126e+01    1.5770181772e+01   -1.1012766519e+02    2.6036578101e+00    4.1106000000e+04    1.3917419761e+00    9.9177346762e-01
        58   -3.1925838006e+01    1.0197980443e+03   -5.6213828835e+01    2.4287990829e+01    3.5416444002e+01    1.5770181772e+01   -1.1004666042e+02    2.6462058108e+00    4.0947000000e+04    1.1598706841e+00    9.9172286933e-01
        59   -3.1929221165e+01    1.0200163457e+03   -5.6266720144e+01    2.4337498979e+01    3.5424617778e+01    1.5770181772e+01   -1.1001757131e+02    2.5560516152e+00    4.0970000000e+04    1.6015119106e+00    9.9207524328e-01
        60   -3.1912531614e+01    1.0189798649e+03   -5.6144540794e+01    2.4232009180e+01    3.5403014999e+01    1.5770181772e+01   -1.0987127397e+02    2.5535364009e+00    4.0760000000e+04    1.2130108923e+00    9.9204686194e-01
        61   -3.1899605551e+01    1.0181309361e+03   -5.6279080047e+01    2.4379474496e+01    3.5448750199e+01    1.5770181772e+01   -1.1001380519e+02    2.5157931711e+00    4.0904000000e+04    1.5348882228e+00    9.9190859366e-01
        62   -3.1909377559e+01    1.0187791643e+03   -5.6399411496e+01    2.4490033937e+01    3.5485600648e+01    1.5770181772e+01   -1.1007424748e+02    2.4190535616e+00    4.1109000000e+04    1.4306920171e+00    9.9209163851e-01
        63   -3.1928239328e+01    1.0200322145e+03   -5.6543795438e+01    2.4615556111e+01    3.5540990024e+01    1.5770181772e+01   -1.1028468077e+02    2.4297135312e+00    4.1245000000e+04    1.4302563518e+00    9.9192422724e-01
        64   -3.1929090917e+01    1.0200538736e+03   -5.6685219472e+01    2.4756128554e+01    3.5649322090e+01    1.5770181772e+01   -1.1075196187e+02    2.6472385407e+00    4.1191000000e+04    1.2625585794e+00    9.9190230008e-01
        65   -3.1937718083e+01    1.0206146580e+03   -5.6880881871e+01    2.4943163788e+01    3.5591874135e+01    1.5770181772e+01   -1.1064658701e+02    2.4036492282e+00    4.1273000000e+04    1.8048128039e+00    9.9185124702e-01
        66   -3.1929651094e+01    1.0201655463e+03   -5.6592938973e+01    2.4663287879e+01    3.5551368178e+01    1.5770181772e+01   -1.1037842367e+02    2.4639347500e+00    4.1105000000e+04    1.5556590706e+00    9.9210263861e-01
        67   -3.1926022157e+01    1.0198855887e+03   -5.6289141796e+01    2.4363119640e+01    3.5550785184e+01    1.5770181772e+01   -1.1006651046e+02    2.4564017096e+00    4.0889000000e+04    1.3109235615e+00    9.9211097110e-01
        68   -3.1945121440e+01    1.0212491674e+03   -5.6618785268e+01    2.4673663828e+01    3.5558240524e+01    1.5770181772e+01   -1.1040709057e+02    2.4598830064e+00    4.1187000000e+04    1.1713394076e+00    9.9196751169e-01
        69   -3.1929807730e+01    1.0200933477e+03   -5.6703212135e+01    2.4773404405e+01    3.5675176224e+01    1.5770181772e+01   -1.1068320274e+02    2.5346326095e+00    4.1286000000e+04    1.2466952950e+00    9.9189954076e-01
        70   -3.1952010611e+01    1.0214961827e+03   -5.6493031877e+01    2.4541021266e+01    3.5631210907e+01    1.5770181772e+01   -1.1051961971e+02    2.6251951577e+00    4.0952000000e+04    1.5845445395e+00    9.9198632623e-01
        71   -3.1928858048e+01    1.0201239818e+03   -5.6597853731e+01    2.4668995684e+01    3.5590312390e+01    1.5770181772e+01   -1.1042780394e+02    2.4694560482e+00    4.0764000000e+04    1.3509900421e+00    9.9193175122e-01
        72   -3.1938130503e+01    1.0206752886e+03   -5.6569490231e+01    2.4631359727e+01    3.5554953569e+01    1.5770181772e+01   -1.1042479423e+02    2.5301686563e+00    4.0737000000e+04    1.6866834462e+00    9.9201063384e-01
        73   -3.1911853044e+01    1.0189281676e+03   -5.6362815702e+01    2.4450962658e+01    3.5454223364e+01    1.5770181772e+01   -1.1017741112e+02    2.5901902851e+00    4.0813000000e+04    1.2850095183e+00    9.9206960401e-01
        74   -3.1922357044e+01    1.0195685036e+03   -5.6230157581e+01    2.4307800537e+01    3.5417224188e+01    1.5770181772e+01   -1.0999636694e+02    2.5788033957e+00    4.1102000000e+04    1.1029826850e+00    9.9226364098e-01
