#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1881083700e+01    1.0170450304e+03   -5.6230036582e+01    2.4348952882e+01    3.5535953030e+01    1.5770181772e+01   -1.1014673113e+02    2.6105597464e+00    1.2800000000e+04    1.1213003695e+00    6.2864062500e-01
         1   -3.1880287960e+01    1.0169480568e+03   -5.6344272530e+01    2.4463984570e+01    3.5593800066e+01    1.5770181772e+01   -1.1036118288e+02    2.6529285131e+00    1.2800000000e+04    1.1124219149e+00    6.2830598958e-01
         2   -3.1885425365e+01    1.0172871730e+03   -5.6374700218e+01    2.4489274853e+01    3.5533596198e+01    1.5770181772e+01   -1.1030137262e+02    2.6228944289e+00    1.2800000000e+04    1.1331983507e+00    6.2912369792e-01
         3   -3.1878460326e+01    1.0167719124e+03   -5.6216568928e+01    2.4338108602e+01    3.5535042270e+01    1.5770181772e+01   -1.1010948213e+02    2.5876891575e+00    1.2800000000e+04    1.1681030393e+00    6.2940950521e-01
         4   -3.1887419459e+01    1.0173255935e+03   -5.6320401675e+01    2.4432982216e+01    3.5557167418e+01    1.5770181772e+01   -1.1029709607e+02    2.6493452014e+00    1.2800000000e+04    1.1122049838e+00    6.2841601563e-01
         5   -3.1884171842e+01    1.0171228819e+03   -5.6492762893e+01    2.4608591052e+01    3.5488981207e+01    1.5770181772e+01   -1.1023826003e+02    2.4863341551e+00    1.2800000000e+04    1.1044086665e+00    6.2832226563e-01
         6   -3.1888249728e+01    1.0174119010e+03   -5.6468983135e+01    2.4580733407e+01    3.5589044830e+01    1.5770181772e+01   -1.1035466115e+02    2.5264514103e+00    1.2800000000e+04    1.1065903008e+00    6.2929817708e-01
         7   -3.1879598343e+01    1.0169821847e+03   -5.6240227886e+01    2.4360629543e+01    3.5543007302e+01    1.5770181772e+01   -1.1010439909e+02    2.5509821272e+00    1.2800000000e+04    1.0880910158e+00    6.2846940104e-01
         8   -3.1885724208e+01    1.0173002236e+03   -5.6417942900e+01    2.4532218692e+01    3.5592370841e+01    1.5770181772e+01   -1.1047569653e+02    2.6952010205e+00    1.2800000000e+04    1.0870446265e+00    6.2845182292e-01
         9   -3.1866214362e+01    1.0160766211e+03   -5.6238702090e+01    2.4372487728e+01    3.5453302361e+01    1.5770181772e+01   -1.1009869161e+02    2.6365053923e+00    1.2800000000e+04    1.0827691257e+00    6.2895572917e-01
        10   -3.1872592169e+01    1.0163683730e+03   -5.6191251660e+01    2.4318659491e+01    3.5489862211e+01    1.5770181772e+01   -1.1014063814e+02    2.6893424962e+00    1.2800000000e+04    1.0909108073e+00    6.2820572917e-01
        11   -3.1888200076e+01    1.0173998516e+03   -5.6287139930e+01    2.4398939853e+01    3.5476421030e+01    1.5770181772e+01   -1.1013438179e+02    2.6006390594e+00    1.2800000000e+04    1.0986244380e+00    6.2874218750e-01
        12   -3.1887000887e+01    1.0173797772e+03   -5.6233311834e+01    2.4346310948e+01    3.5611759795e+01    1.5770181772e+01   -1.1028688988e+02    2.6716364773e+00    1.2800000000e+04    1.1004873514e+00    6.2917513021e-01
        13   -3.1883489926e+01    1.0171295799e+03   -5.6356412483e+01    2.4472922558e+01    3.5563101778e+01    1.5770181772e+01   -1.1040089162e+02    2.7111955824e+00    1.2800000000e+04    1.0885783434e+00    6.2860026042e-01
        14   -3.1890899473e+01    1.0176040489e+03   -5.6431717131e+01    2.4540817659e+01    3.5581779487e+01    1.5770181772e+01   -1.1046443206e+02    2.6807536728e+00    1.2800000000e+04    1.1073065996e+00    6.2830598958e-01
        15   -3.1884024350e+01    1.0171815652e+03   -5.6270421544e+01    2.4386397194e+01    3.5465817022e+01    1.5770181772e+01   -1.1013535384e+02    2.6289335060e+00    1.2800000000e+04    1.1021541953e+00    6.2936197917e-01
        16   -3.1884198111e+01    1.0171219229e+03   -5.6349561763e+01    2.4465363652e+01    3.5496467103e+01    1.5770181772e+01   -1.1013779734e+02    2.5215866989e+00    1.2800000000e+04    1.1052232236e+00    6.2930598958e-01
        17   -3.1882959663e+01    1.0170566207e+03   -5.6416235059e+01    2.4533275396e+01    3.5503425550e+01    1.5770181772e+01   -1.1031245644e+02    2.6226140554e+00    1.2800000000e+04    1.1297463328e+00    6.2973567708e-01
        18   -3.1879093206e+01    1.0169685452e+03   -5.6252700950e+01    2.4373607744e+01    3.5441872517e+01    1.5770181772e+01   -1.1011707871e+02    2.6523234697e+00    1.2800000000e+04    1.1300778687e+00    6.2864908854e-01
        19   -3.1876816594e+01    1.0167408689e+03   -5.6292960240e+01    2.4416143646e+01    3.5481458002e+01    1.5770181772e+01   -1.1013504809e+02    2.5904480792e+00    1.2800000000e+04    1.1073881686e+00    6.2903190104e-01
