#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1904026358e+01    1.0185046080e+03   -5.6238984651e+01    2.4334958293e+01    3.5401862433e+01    1.5770181772e+01   -1.1066292902e+02    3.2519001634e+00    3.2000000000e+02    2.2771641612e-02    8.7829861111e-01
         1   -3.1890004698e+01    1.0173385573e+03   -5.6364466195e+01    2.4474461497e+01    3.5868983382e+01    1.5770181772e+01   -1.1079577468e+02    2.7921433257e+00    3.2000000000e+02    2.0540684462e-02    8.8480902778e-01
         2   -3.1907197488e+01    1.0185459849e+03   -5.6615128304e+01    2.4707930816e+01    3.5486110999e+01    1.5770181772e+01   -1.1071108566e+02    2.8396645845e+00    3.2000000000e+02    2.5800228119e-02    8.8333333333e-01
         3   -3.1861240503e+01    1.0155727675e+03   -5.6545250652e+01    2.4684010149e+01    3.5790567884e+01    1.5770181772e+01   -1.1072839440e+02    2.6223940949e+00    3.2000000000e+02    2.2082671523e-02    8.8376736111e-01
         4   -3.1941376067e+01    1.0209700558e+03   -5.5426940113e+01    2.3485564046e+01    3.5302007033e+01    1.5770181772e+01   -1.0902987189e+02    2.5307429758e+00    3.2000000000e+02    2.2477984428e-02    8.8298611111e-01
         5   -3.1839857034e+01    1.0143898106e+03   -5.6751521808e+01    2.4911664774e+01    3.5497530815e+01    1.5770181772e+01   -1.1078934199e+02    2.7701075962e+00    3.2000000000e+02    2.6034027338e-02    8.8185763889e-01
         6   -3.1931175890e+01    1.0200865868e+03   -5.7529257927e+01    2.5598082037e+01    3.6305613419e+01    1.5770181772e+01   -1.1201614462e+02    2.4110914975e+00    3.2000000000e+02    2.1136924624e-02    8.8593750000e-01
         7   -3.1951843734e+01    1.0213702689e+03   -5.7538114627e+01    2.5586270893e+01    3.5867261286e+01    1.5770181772e+01   -1.1115706832e+02    1.9815106302e+00    3.2000000000e+02    2.1227583289e-02    8.8645833333e-01
         8   -3.1939966344e+01    1.0207142036e+03   -5.7286966567e+01    2.5347000223e+01    3.6145536784e+01    1.5770181772e+01   -1.1190120535e+02    2.6985202232e+00    3.2000000000e+02    2.4633884430e-02    8.8333333333e-01
         9   -3.1836125085e+01    1.0139236032e+03   -5.6401888229e+01    2.4565763144e+01    3.5791800842e+01    1.5770181772e+01   -1.1107765503e+02    3.1137841867e+00    3.2000000000e+02    2.7093768120e-02    8.8637152778e-01
