#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1836950285e+01    1.0141684652e+03   -5.6973235460e+01    2.5136285175e+01    3.7042064573e+01    1.7318526878e+01   -1.1399129611e+02    2.6574691979e+00    6.4000000000e+02    1.1321559548e-02    3.5010416667e-01
         1   -3.1850189468e+01    1.0152263249e+03   -5.6313784318e+01    2.4463594851e+01    3.6707827513e+01    1.7318526878e+01   -1.1311908158e+02    2.7789428694e+00    6.4000000000e+02    1.2107595801e-02    3.5164062500e-01
         2   -3.1892454207e+01    1.0177673252e+03   -5.7476206220e+01    2.5583752013e+01    3.6981301937e+01    1.7318526878e+01   -1.1384223536e+02    2.0662003245e+00    6.4000000000e+02    1.1644676328e-02    3.4833333333e-01
         3   -3.1857899975e+01    1.0155283376e+03   -5.6751137614e+01    2.4893237639e+01    3.6747403854e+01    1.7318526878e+01   -1.1346848517e+02    2.6514168278e+00    6.4000000000e+02    1.1348932981e-02    3.5171875000e-01
         4   -3.1884285496e+01    1.0173075623e+03   -5.6510211597e+01    2.4625926102e+01    3.6909379940e+01    1.7318526878e+01   -1.1341854084e+02    2.6804224262e+00    6.4000000000e+02    1.1314347386e-02    3.4627604167e-01
         5   -3.1891787498e+01    1.0176775910e+03   -5.6444432980e+01    2.4552645483e+01    3.6888140350e+01    1.7318526878e+01   -1.1288001049e+02    2.2289102802e+00    6.4000000000e+02    1.1593550444e-02    3.5291666667e-01
         6   -3.1808219537e+01    1.0122621593e+03   -5.7131336750e+01    2.5323117213e+01    3.6996217971e+01    1.7318526878e+01   -1.1332144763e+02    1.8753660306e+00    6.4000000000e+02    1.1443868279e-02    3.5601562500e-01
         7   -3.1828080664e+01    1.0135924287e+03   -5.6562530010e+01    2.4734449347e+01    3.6605809408e+01    1.7318526878e+01   -1.1289633664e+02    2.4094703451e+00    6.4000000000e+02    1.1312961578e-02    3.5265625000e-01
         8   -3.1820012462e+01    1.0130477182e+03   -5.9106007870e+01    2.7285995408e+01    3.7529685153e+01    1.7318526878e+01   -1.1607234397e+02    2.1181240701e+00    6.4000000000e+02    1.1364907026e-02    3.4585937500e-01
         9   -3.1887634610e+01    1.0175151211e+03   -5.7328988572e+01    2.5441353962e+01    3.6981935753e+01    1.7318526878e+01   -1.1441600533e+02    2.7865541251e+00    6.4000000000e+02    1.1531099677e-02    3.4739583333e-01
        10   -3.1902660109e+01    1.0185777184e+03   -5.6881385518e+01    2.4978725409e+01    3.6938933809e+01    1.7318526878e+01   -1.1402369732e+02    2.8848511198e+00    6.4000000000e+02    1.1381536722e-02    3.5197916667e-01
        11   -3.1849487307e+01    1.0150226882e+03   -5.7171266664e+01    2.5321779357e+01    3.6945547344e+01    1.7318526878e+01   -1.1387232366e+02    2.4369827690e+00    6.4000000000e+02    1.1539220810e-02    3.5445312500e-01
        12   -3.1797139968e+01    1.0116288670e+03   -5.6802791886e+01    2.5005651918e+01    3.6872666247e+01    1.7318526878e+01   -1.1389182867e+02    2.8978436606e+00    6.4000000000e+02    1.1365890503e-02    3.4937500000e-01
        13   -3.1822627146e+01    1.0132938525e+03   -5.7171693604e+01    2.5349066458e+01    3.7129707925e+01    1.7318526878e+01   -1.1400396483e+02    2.3840364259e+00    6.4000000000e+02    1.1344924569e-02    3.4536458333e-01
        14   -3.1859791274e+01    1.0156068100e+03   -5.6985787519e+01    2.5125996245e+01    3.7316923576e+01    1.7318526878e+01   -1.1398422462e+02    2.3629866436e+00    6.4000000000e+02    1.1311486363e-02    3.4950520833e-01
        15   -3.1870470451e+01    1.0163853557e+03   -5.7755648746e+01    2.5885178295e+01    3.6918738760e+01    1.7318526878e+01   -1.1493046350e+02    2.9375491157e+00    6.4000000000e+02    1.1319339275e-02    3.4382812500e-01
        16   -3.1789998421e+01    1.0113342097e+03   -5.6747455453e+01    2.4957457033e+01    3.6959385648e+01    1.7318526878e+01   -1.1364041212e+02    2.6150441438e+00    6.4000000000e+02    1.1253178120e-02    3.4804687500e-01
        17   -3.1859710724e+01    1.0157138758e+03   -5.7130830111e+01    2.5271119387e+01    3.6750650725e+01    1.7318526878e+01   -1.1366919420e+02    2.4691864849e+00    6.4000000000e+02    1.1337414384e-02    3.5046875000e-01
        18   -3.1840597146e+01    1.0143058183e+03   -5.6259791507e+01    2.4419194361e+01    3.6338518519e+01    1.7318526878e+01   -1.1218818332e+02    2.2713464132e+00    6.4000000000e+02    1.1145740747e-02    3.5140625000e-01
        19   -3.1863953967e+01    1.0159653588e+03   -5.7064531771e+01    2.5200577804e+01    3.6454258107e+01    1.7318526878e+01   -1.1351980453e+02    2.6824877707e+00    6.4000000000e+02    1.1297196150e-02    3.5109375000e-01
        20   -3.1868121990e+01    1.0161647930e+03   -5.5832278018e+01    2.3964156028e+01    3.6458884461e+01    1.7318526878e+01   -1.1229611071e+02    2.6864213497e+00    6.4000000000e+02    1.1216521263e-02    3.5018229167e-01
        21   -3.1833511417e+01    1.0141922422e+03   -5.6701587225e+01    2.4868075808e+01    3.7142992770e+01    1.7318526878e+01   -1.1349065734e+02    2.3275504628e+00    6.4000000000e+02    1.1234790087e-02    3.5208333333e-01
        22   -3.1882387855e+01    1.0171207484e+03   -5.7198041653e+01    2.5315653798e+01    3.6965339657e+01    1.7318526878e+01   -1.1384645537e+02    2.3645471787e+00    6.4000000000e+02    1.0926216841e-02    3.4742187500e-01
        23   -3.1772967059e+01    1.0099992619e+03   -5.7212142920e+01    2.5439175862e+01    3.6908867704e+01    1.7318526878e+01   -1.1410042809e+02    2.6608905906e+00    6.4000000000e+02    1.1018499732e-02    3.4460937500e-01
        24   -3.1853659577e+01    1.0154898620e+03   -5.6287795546e+01    2.4434135969e+01    3.6837990599e+01    1.7318526878e+01   -1.1300668236e+02    2.5623693352e+00    6.4000000000e+02    1.0961055756e-02    3.5013020833e-01
        25   -3.1852972733e+01    1.0150565397e+03   -5.6816796446e+01    2.4963823713e+01    3.6650013211e+01    1.7318526878e+01   -1.1367528743e+02    2.8899508912e+00    6.4000000000e+02    1.1118695140e-02    3.4992187500e-01
        26   -3.1839402739e+01    1.0144296237e+03   -5.6288197365e+01    2.4448794626e+01    3.6364063297e+01    1.7318526878e+01   -1.1271931611e+02    2.7485285707e+00    6.4000000000e+02    1.1397585273e-02    3.5059895833e-01
        27   -3.1863985896e+01    1.0159161657e+03   -5.7211084435e+01    2.5347098539e+01    3.7053639839e+01    1.7318526878e+01   -1.1473008609e+02    3.1468349353e+00    6.4000000000e+02    1.1328250170e-02    3.4661458333e-01
        28   -3.1862638132e+01    1.0160209952e+03   -5.6743071047e+01    2.4880432914e+01    3.6747620996e+01    1.7318526878e+01   -1.1343399610e+02    2.6247771782e+00    6.4000000000e+02    1.1563792825e-02    3.5466145833e-01
        29   -3.1856172997e+01    1.0153293443e+03   -5.6860604676e+01    2.5004431679e+01    3.6773121366e+01    1.7318526878e+01   -1.1355614140e+02    2.6038884802e+00    6.4000000000e+02    1.1316210032e-02    3.5575520833e-01
        30   -3.1820460748e+01    1.0130698452e+03   -5.7323022623e+01    2.5502561874e+01    3.7215915235e+01    1.7318526878e+01   -1.1401154644e+02    2.1540817030e+00    6.4000000000e+02    1.1499732733e-02    3.5351562500e-01
        31   -3.1817910804e+01    1.0131467056e+03   -5.8978027201e+01    2.7160116397e+01    3.7116585677e+01    1.7318526878e+01   -1.1666968829e+02    3.2565485362e+00    6.4000000000e+02    1.1384546757e-02    3.4973958333e-01
        32   -3.1845219567e+01    1.0148013349e+03   -5.6755166933e+01    2.4909947365e+01    3.6463552553e+01    1.7318526878e+01   -1.1309368756e+02    2.5564411951e+00    6.4000000000e+02    1.3000443578e-02    3.5244791667e-01
        33   -3.1866191471e+01    1.0160878015e+03   -5.8243934713e+01    2.6377743242e+01    3.7259571096e+01    1.7318526878e+01   -1.1535536853e+02    2.5333358447e+00    6.4000000000e+02    1.3240575790e-02    3.4359375000e-01
        34   -3.1878690431e+01    1.0169452805e+03   -5.6923598005e+01    2.5044907574e+01    3.6919180167e+01    1.7318526878e+01   -1.1358472925e+02    2.4234242026e+00    6.4000000000e+02    1.1686503887e-02    3.5117187500e-01
        35   -3.1842661528e+01    1.0144637989e+03   -5.6271501852e+01    2.4428840324e+01    3.6531625553e+01    1.7318526878e+01   -1.1272287933e+02    2.6012250450e+00    6.4000000000e+02    1.1593550444e-02    3.5325520833e-01
        36   -3.1884142173e+01    1.0171679851e+03   -5.6482259076e+01    2.4598116903e+01    3.6717031833e+01    1.7318526878e+01   -1.1284774137e+02    2.3299235839e+00    6.4000000000e+02    1.1775285006e-02    3.5263020833e-01
        37   -3.1856290283e+01    1.0154713515e+03   -5.7153875921e+01    2.5297585638e+01    3.6883670451e+01    1.7318526878e+01   -1.1406396138e+02    2.7078881339e+00    6.4000000000e+02    1.1655628681e-02    3.5424479167e-01
        38   -3.1804513172e+01    1.0121960456e+03   -5.7000629494e+01    2.5196116322e+01    3.6865222561e+01    1.7318526878e+01   -1.1378732187e+02    2.6029429340e+00    6.4000000000e+02    1.1699274182e-02    3.5161458333e-01
        39   -3.1863709014e+01    1.0158807673e+03   -5.6229128490e+01    2.4365419476e+01    3.6730939113e+01    1.7318526878e+01   -1.1297142163e+02    2.6928271536e+00    6.4000000000e+02    1.1790856719e-02    3.4833333333e-01
