#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1811854668e+01    1.0126060806e+03   -5.5864188882e+01    2.4052334214e+01    3.3225086880e+01    1.3607414018e+01   -1.0580329951e+02    3.1066097306e+00    3.2000000000e+02    8.4088742733e-03    8.8689236111e-01
         1   -3.1801310254e+01    1.0119602250e+03   -5.4851641568e+01    2.3050331313e+01    3.3186556029e+01    1.3607414018e+01   -1.0358215094e+02    1.9365393248e+00    3.2000000000e+02    9.1265588999e-03    8.8984375000e-01
         2   -3.1816902560e+01    1.0129475996e+03   -5.6455400580e+01    2.4638498020e+01    3.3873393270e+01    1.3607414018e+01   -1.0721474851e+02    3.2785406401e+00    3.2000000000e+02    9.3578100204e-03    8.8428819444e-01
         3   -3.1763987565e+01    1.0099484289e+03   -5.6664533023e+01    2.4900545457e+01    3.3917156890e+01    1.3607414018e+01   -1.0690344952e+02    2.7143455932e+00    3.2000000000e+02    9.4451308250e-03    8.8671875000e-01
         4   -3.1740121154e+01    1.0081807385e+03   -5.5731722855e+01    2.3991601701e+01    3.4234912582e+01    1.3607414018e+01   -1.0654446118e+02    2.9704117200e+00    3.2000000000e+02    9.4667375088e-03    8.8671875000e-01
         5   -3.1835627085e+01    1.0140640746e+03   -5.6266697097e+01    2.4431070012e+01    3.4481047247e+01    1.3607414018e+01   -1.0665549004e+02    2.3003316814e+00    3.2000000000e+02    9.3511343002e-03    8.8932291667e-01
         6   -3.1811468549e+01    1.0127467808e+03   -5.4716884767e+01    2.2905416219e+01    3.3382765556e+01    1.3607414018e+01   -1.0391269247e+02    2.2056281326e+00    3.2000000000e+02    9.1907382011e-03    8.9435763889e-01
         7   -3.1680106976e+01    1.0042881721e+03   -5.5475201861e+01    2.3795094885e+01    3.3721630012e+01    1.3607414018e+01   -1.0491507877e+02    2.1108328838e+00    3.2000000000e+02    9.3730241060e-03    8.8281250000e-01
         8   -3.1820818719e+01    1.0132308482e+03   -5.5594660669e+01    2.3773841950e+01    3.4103272962e+01    1.3607414018e+01   -1.0608974181e+02    2.7843941591e+00    3.2000000000e+02    9.3125551939e-03    8.8732638889e-01
         9   -3.1828690961e+01    1.0136504073e+03   -5.4923934245e+01    2.3095243284e+01    3.3850842821e+01    1.3607414018e+01   -1.0587304002e+02    3.4908489319e+00    3.2000000000e+02    9.4017833471e-03    8.8281250000e-01
        10   -3.1681644221e+01    1.0046416470e+03   -5.5004433610e+01    2.3322789389e+01    3.3753757304e+01    1.3607414018e+01   -1.0488079453e+02    2.5151895975e+00    3.2000000000e+02    9.2417448759e-03    8.8428819444e-01
        11   -3.1883040279e+01    1.0174535989e+03   -5.6975391455e+01    2.5092351176e+01    3.4139421863e+01    1.3607414018e+01   -1.0662601270e+02    1.9037853667e+00    3.2000000000e+02    9.4047933817e-03    8.8602430556e-01
        12   -3.1831891791e+01    1.0141017024e+03   -5.4456500981e+01    2.2624609190e+01    3.3461549060e+01    1.3607414018e+01   -1.0347083766e+02    1.9453735963e+00    3.2000000000e+02    9.1959983110e-03    8.8984375000e-01
        13   -3.1831575343e+01    1.0138034778e+03   -5.6024271350e+01    2.4192696007e+01    3.3484770911e+01    1.3607414018e+01   -1.0558647107e+02    2.4700147955e+00    3.2000000000e+02    9.2216730118e-03    8.8767361111e-01
