# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.1786154043e+01    6.3773792674e-01    2.0470000000e+03    2.0480000000e+03    0.0000000000e+00   -3.1807151830e+01    9.8816489862e-01    9.9707031250e-01
         1   -3.1787996075e+01    7.7304898307e-01    2.0486272575e+03    2.0480000000e+03    0.0000000000e+00   -3.1737313994e+01    9.8722481763e-01    9.9804687500e-01
         2   -3.1792544344e+01    1.0119956620e+00    2.0482077087e+03    2.0620000000e+03    5.0000000000e-01   -3.2469263916e+01    9.8505433642e-01    9.9272550921e-01
         3   -3.1808152971e+01    8.3060394059e-01    2.0481563757e+03    2.0490000000e+03    4.3750000000e-01   -3.1841360552e+01    9.8603045172e-01    9.9902391410e-01
         4   -3.1806679580e+01    7.4114437807e-01    2.0480002043e+03    2.0510000000e+03    2.5000000000e-01   -3.1954530162e+01    9.8553312707e-01    9.9609946368e-01
         5   -3.1818547427e+01    7.7706629369e-01    2.0481115070e+03    2.0480000000e+03    3.1250000000e-01   -3.1806679580e+01    9.8624881319e-01    9.9511718750e-01
         6   -3.1834942315e+01    7.2467338324e-01    2.0480398405e+03    2.0390000000e+03    3.1250000000e-01   -3.1378125869e+01    9.8547133753e-01    9.9901912702e-01
         7   -3.1819027258e+01    1.9625595610e+00    2.0478631686e+03    2.0510000000e+03    3.1250000000e-01   -3.1981319506e+01    9.8626544865e-01    9.9756216480e-01
         8   -3.1817315330e+01    6.7748551760e-01    2.0479717331e+03    2.0510000000e+03    1.8750000000e-01   -3.1965404449e+01    9.8485587547e-01    9.9853729888e-01
         9   -3.1828505269e+01    8.5396847903e-01    2.0481081153e+03    2.0510000000e+03    1.2500000000e-01   -3.1963692521e+01    9.8791251067e-01    9.9756216480e-01
        10   -3.1837162097e+01    7.3095713259e-01    2.0480549940e+03    2.0480000000e+03    2.5000000000e-01   -3.1828505269e+01    9.8647298900e-01    9.9804687500e-01
        11   -3.1818894200e+01    7.5805765614e-01    2.0478454373e+03    2.0500000000e+03    2.5000000000e-01   -3.1934770694e+01    9.8619189291e-01    9.9853658537e-01
        12   -3.1828059004e+01    7.4548847064e-01    2.0481531840e+03    2.0530000000e+03    3.1250000000e-01   -3.2062737286e+01    9.8685304159e-01    9.9707744764e-01
        13   -3.1836065208e+01    6.8597512384e-01    2.0481041574e+03    2.0500000000e+03    3.1250000000e-01   -3.1925667601e+01    9.8822888088e-01    9.9853658537e-01
        14   -3.1840575061e+01    6.4630018753e-01    2.0481540299e+03    2.0540000000e+03    1.8750000000e-01   -3.2128605641e+01    9.8629456966e-01    9.9659201558e-01
        15   -3.1820525482e+01    6.9047642047e-01    2.0478001729e+03    2.0490000000e+03    3.1250000000e-01   -3.1889391269e+01    9.8709728316e-01    9.9609565642e-01
        16   -3.1837956080e+01    8.3847727453e-01    2.0480875098e+03    2.0420000000e+03    3.1250000000e-01   -3.1527126739e+01    9.8727340584e-01    9.9804113614e-01
        17   -3.1851966251e+01    7.2049739589e-01    2.0481387272e+03    2.0470000000e+03    3.1250000000e-01   -3.1789116030e+01    9.8569649887e-01    9.9609184172e-01
        18   -3.1865047845e+01    8.9957800406e-01    2.0481711886e+03    2.0470000000e+03    3.1250000000e-01   -3.1803126201e+01    9.8781207509e-01    9.9902296043e-01
        19   -3.1843987690e+01    6.4681226254e-01    2.0477784675e+03    2.0480000000e+03    1.8750000000e-01   -3.1865047845e+01    9.8646199770e-01    9.9951171875e-01
        20   -3.1841454152e+01    6.1704135637e-01    2.0480383973e+03    2.0530000000e+03    2.5000000000e-01   -3.2087830776e+01    9.8524875089e-01    9.9659035558e-01
        21   -3.1836699730e+01    6.6218634162e-01    2.0479503620e+03    2.0480000000e+03    3.1250000000e-01   -3.1841454152e+01    9.8429423730e-01    9.9658203125e-01
        22   -3.1849810734e+01    7.3335582414e-01    2.0481914159e+03    2.0500000000e+03    2.5000000000e-01   -3.1934308328e+01    9.8703898839e-01    9.9560975610e-01
        23   -3.1850292504e+01    6.2079101577e-01    2.0479979061e+03    2.0460000000e+03    3.7500000000e-01   -3.1752106769e+01    9.8625281026e-01    9.9804496579e-01
        24   -3.1865047652e+01    5.9990643591e-01    2.0480825345e+03    2.0450000000e+03    1.8750000000e-01   -3.1703700735e+01    9.8586190973e-01    9.9902200489e-01
        25   -3.1851521739e+01    6.5633331478e-01    2.0478490317e+03    2.0480000000e+03    2.5000000000e-01   -3.1865047652e+01    9.8730435809e-01    9.9755859375e-01
        26   -3.1852833103e+01    6.1869669175e-01    2.0480692774e+03    2.0500000000e+03    3.1250000000e-01   -3.1949130336e+01    9.8588369742e-01    9.9756097561e-01
        27   -3.1860790754e+01    7.5615998346e-01    2.0480321602e+03    2.0470000000e+03    1.8750000000e-01   -3.1803993053e+01    9.8773811939e-01    9.9902296043e-01
        28   -3.1852673991e+01    7.7010164039e-01    2.0480078063e+03    2.0530000000e+03    3.1250000000e-01   -3.2104633839e+01    9.8685500985e-01    9.9415489528e-01
        29   -3.1842501113e+01    6.6155661013e-01    2.0478866653e+03    2.0440000000e+03    3.1250000000e-01   -3.1657170507e+01    9.8785910004e-01    9.9951076321e-01
        30   -3.1837252018e+01    6.0235215640e-01    2.0479038222e+03    2.0480000000e+03    3.1250000000e-01   -3.1842501113e+01    9.8751456082e-01    9.9755859375e-01
        31   -3.1845144976e+01    8.5084894900e-01    2.0480156166e+03    2.0460000000e+03    2.5000000000e-01   -3.1739548054e+01    9.8426925502e-01    9.9755620723e-01
